"location","target","score","forecast_week","skill","competition_week"
"HHS Region 1","Season onset",-1.0300194972025,42,0.357,1
"HHS Region 1","Season peak week",-0.120912928665311,42,0.886111111111111,1
"HHS Region 10","Season onset",-1.43129172705063,42,0.239,1
"HHS Region 10","Season peak week",-4.18109548863076,42,0.0152817574021012,1
"HHS Region 2","Season onset",-2.07147337203066,42,0.126,1
"HHS Region 2","Season peak week",-1.43695019747227,42,0.237651444547996,1
"HHS Region 3","Season onset",-0.928869514081015,42,0.395,1
"HHS Region 3","Season peak week",-2.09118335955652,42,0.123540856031128,1
"HHS Region 4","Season onset",-0.928869514081015,42,0.395,1
"HHS Region 4","Season peak week",-0.575771228157708,42,0.562271062271062,1
"HHS Region 5","Season onset",-0.999672340813206,42,0.368,1
"HHS Region 5","Season peak week",-2.32254583555658,42,0.0980237154150198,1
"HHS Region 6","Season onset",-1.28961463077052,42,0.275376884422111,1
"HHS Region 6","Season peak week",-1.57205038036248,42,0.207619047619048,1
"HHS Region 7","Season onset",-1.01611106715637,42,0.362,1
"HHS Region 7","Season peak week",-3.45717664940406,42,0.0315186246418338,1
"HHS Region 8","Season onset",-2.70306265959117,42,0.067,1
"HHS Region 8","Season peak week",-2.91028706759711,42,0.0544600938967136,1
"HHS Region 9","Season onset",-0.522560879984412,42,0.593,1
"HHS Region 9","Season peak week",-1.97375797643109,42,0.138933764135703,1
"US National","Season onset",-1.27654349716077,42,0.279,1
"US National","Season peak week",-1.77486717566355,42,0.169505962521295,1
"HHS Region 1","Season peak percentage",-1.8773173575897,42,0.153,1
"HHS Region 10","Season peak percentage",-1.76609172247948,42,0.171,1
"HHS Region 2","Season peak percentage",-2.64507540194082,42,0.071,1
"HHS Region 3","Season peak percentage",-2.70306265959117,42,0.067,1
"HHS Region 4","Season peak percentage",-2.15416508787577,42,0.116,1
"HHS Region 5","Season peak percentage",-0.727738625329564,42,0.483,1
"HHS Region 6","Season peak percentage",-2.64507540194082,42,0.071,1
"HHS Region 7","Season peak percentage",-1.8773173575897,42,0.153,1
"HHS Region 8","Season peak percentage",-1.41469383564159,42,0.243,1
"HHS Region 9","Season peak percentage",-1.4961092271271,42,0.224,1
"US National","Season peak percentage",-1.52785792544168,42,0.217,1
"HHS Region 8","1 wk ahead",-0.162518929497775,42,0.85,1
"HHS Region 8","2 wk ahead",-0.346724613085564,42,0.707,1
"HHS Region 8","3 wk ahead",-0.789658080940789,42,0.454,1
"HHS Region 8","4 wk ahead",-1.21066179247673,42,0.298,1
"HHS Region 1","Season onset",-0.889162064485903,43,0.411,2
"HHS Region 1","Season peak week",-0.123014914415716,43,0.884250474383302,2
"HHS Region 10","Season onset",-1.46967597005894,43,0.23,2
"HHS Region 10","Season peak week",-3.96745771231625,43,0.0189214758751183,2
"HHS Region 2","Season onset",-2.07944154167984,43,0.125,2
"HHS Region 2","Season peak week",-1.49620880723107,43,0.223977695167286,2
"HHS Region 3","Season onset",-0.800732391239883,43,0.449,2
"HHS Region 3","Season peak week",-2.27441421602735,43,0.102857142857143,2
"HHS Region 4","Season onset",-0.850971265753513,43,0.427,2
"HHS Region 4","Season peak week",-0.579288553534128,43,0.560296846011132,2
"HHS Region 5","Season onset",-0.941608539858445,43,0.39,2
"HHS Region 5","Season peak week",-2.20211456263041,43,0.110569105691057,2
"HHS Region 6","Season onset",-1.25878104082093,43,0.284,2
"HHS Region 6","Season peak week",-1.59620520516753,43,0.202664129400571,2
"HHS Region 7","Season onset",-0.867500567704723,43,0.42,2
"HHS Region 7","Season peak week",-3.65880199887666,43,0.025763358778626,2
"HHS Region 8","Season onset",-2.97592964625781,43,0.051,2
"HHS Region 8","Season peak week",-2.66290204540981,43,0.0697455230914232,2
"HHS Region 9","Season onset",-0.45886588483528,43,0.632,2
"HHS Region 9","Season peak week",-2.26305425423741,43,0.104032258064516,2
"US National","Season onset",-1.39836694235416,43,0.247,2
"US National","Season peak week",-1.74296930505862,43,0.175,2
"HHS Region 1","Season peak percentage",-2.04022082852655,43,0.13,2
"HHS Region 10","Season peak percentage",-1.49165487677772,43,0.225,2
"HHS Region 2","Season peak percentage",-2.29263476214088,43,0.101,2
"HHS Region 3","Season peak percentage",-2.55104645229255,43,0.0779999999999999,2
"HHS Region 4","Season peak percentage",-1.96611285637283,43,0.14,2
"HHS Region 5","Season peak percentage",-0.636766847123838,43,0.529,2
"HHS Region 6","Season peak percentage",-2.81341071676004,43,0.06,2
"HHS Region 7","Season peak percentage",-1.85150947363383,43,0.157,2
"HHS Region 8","Season peak percentage",-1.51868354916564,43,0.219,2
"HHS Region 9","Season peak percentage",-2.59026716544583,43,0.075,2
"US National","Season peak percentage",-1.57987911019256,43,0.206,2
"HHS Region 4","1 wk ahead",-0.0565703514883942,43,0.945,2
"HHS Region 8","1 wk ahead",-0.173163619009189,43,0.841,2
"HHS Region 4","2 wk ahead",-0.20089294237939,43,0.818,2
"HHS Region 8","2 wk ahead",-0.49758039701597,43,0.608,2
"HHS Region 4","3 wk ahead",-0.390084006069862,43,0.677,2
"HHS Region 8","3 wk ahead",-1.07880966137193,43,0.34,2
"HHS Region 4","4 wk ahead",-0.520875959619492,43,0.594,2
"HHS Region 8","4 wk ahead",-1.70925824771631,43,0.181,2
"HHS Region 1","Season onset",-0.809680996815897,44,0.445,3
"HHS Region 1","Season peak week",-0.156947884448319,44,0.854748603351956,3
"HHS Region 10","Season onset",-1.19072757757592,44,0.304,3
"HHS Region 10","Season peak week",-4.65776263610726,44,0.0094876660341556,3
"HHS Region 2","Season onset",-1.6094379124341,44,0.2,3
"HHS Region 2","Season peak week",-1.36338909954098,44,0.255792400370714,3
"HHS Region 3","Season onset",-1.03282454813011,44,0.356,3
"HHS Region 3","Season peak week",-1.89900499958165,44,0.149717514124294,3
"HHS Region 4","Season onset",-0.543004522130226,44,0.581,3
"HHS Region 4","Season peak week",-0.605678869589325,44,0.545703839122486,3
"HHS Region 5","Season onset",-1.21402314017944,44,0.297,3
"HHS Region 5","Season peak week",-2.42036812865043,44,0.0888888888888888,3
"HHS Region 6","Season onset",-1.26030637866823,44,0.283567134268537,3
"HHS Region 6","Season peak week",-1.69319839695915,44,0.183930300096805,3
"HHS Region 7","Season onset",-1.49165487677772,44,0.225,3
"HHS Region 7","Season peak week",-4.8607809274398,44,0.00774443368828654,3
"HHS Region 8","Season onset",-2.43041846450393,44,0.088,3
"HHS Region 8","Season peak week",-2.77258872223978,44,0.0625,3
"HHS Region 9","Season onset",-0.409473129505703,44,0.664,3
"HHS Region 9","Season peak week",-1.93419584094842,44,0.144540455616653,3
"US National","Season onset",-1.25526609871349,44,0.285,3
"US National","Season peak week",-1.62483599254522,44,0.196943972835314,3
"HHS Region 1","Season peak percentage",-1.98050159382493,44,0.138,3
"HHS Region 10","Season peak percentage",-1.61445045425764,44,0.199,3
"HHS Region 2","Season peak percentage",-2.17155683058764,44,0.114,3
"HHS Region 3","Season peak percentage",-2.60369018577797,44,0.074,3
"HHS Region 4","Season peak percentage",-1.90380897303668,44,0.149,3
"HHS Region 5","Season peak percentage",-0.606969484318893,44,0.545,3
"HHS Region 6","Season peak percentage",-2.64507540194082,44,0.071,3
"HHS Region 7","Season peak percentage",-2.37515578582888,44,0.093,3
"HHS Region 8","Season peak percentage",-1.70925824771631,44,0.181,3
"HHS Region 9","Season peak percentage",-1.9241486572738,44,0.146,3
"US National","Season peak percentage",-1.41058705368894,44,0.244,3
"HHS Region 4","1 wk ahead",-0.0768810443359576,44,0.926,3
"HHS Region 8","1 wk ahead",-0.261364764134408,44,0.77,3
"HHS Region 9","1 wk ahead",-0.143870370419702,44,0.866,3
"HHS Region 4","2 wk ahead",-0.226900600191922,44,0.797,3
"HHS Region 8","2 wk ahead",-0.650087691099498,44,0.522,3
"HHS Region 9","2 wk ahead",-0.267879445155601,44,0.765,3
"HHS Region 4","3 wk ahead",-0.373966441048793,44,0.688,3
"HHS Region 8","3 wk ahead",-1.51868354916564,44,0.219,3
"HHS Region 9","3 wk ahead",-0.3051673867928,44,0.737,3
"HHS Region 4","4 wk ahead",-0.605136303237232,44,0.546,3
"HHS Region 8","4 wk ahead",-1.22077992264232,44,0.295,3
"HHS Region 9","4 wk ahead",-0.301456857700351,44,0.73973973973974,3
"HHS Region 1","Season onset",-0.832409247893453,45,0.435,4
"HHS Region 1","Season peak week",-0.14161037173694,45,0.867959372114498,4
"HHS Region 10","Season onset",-1.2623083813389,45,0.283,4
"HHS Region 10","Season peak week",-3.43113684626079,45,0.0323501427212178,4
"HHS Region 2","Season onset",-1.34707364796661,45,0.26,4
"HHS Region 2","Season peak week",-1.42310833424261,45,0.240963855421687,4
"HHS Region 3","Season onset",-1.0700248318162,45,0.343,4
"HHS Region 3","Season peak week",-2.09376159545458,45,0.123222748815166,4
"HHS Region 4","Season onset",-0.376877651256252,45,0.686,4
"HHS Region 4","Season peak week",-0.577062701539143,45,0.561545372866128,4
"HHS Region 5","Season onset",-0.898942093539542,45,0.407,4
"HHS Region 5","Season peak week",-2.22663846254251,45,0.107890499194847,4
"HHS Region 6","Season onset",-1.23243000913997,45,0.291583166332666,4
"HHS Region 6","Season peak week",-1.63388900829827,45,0.195169082125604,4
"HHS Region 7","Season onset",-1.4961092271271,45,0.224,4
"HHS Region 7","Season peak week",-4.75359019110637,45,0.00862068965517241,4
"HHS Region 8","Season onset",-1.74296930505862,45,0.175,4
"HHS Region 8","Season peak week",-3.00952559568633,45,0.0493150684931507,4
"HHS Region 9","Season onset",-0.424647927524938,45,0.654,4
"HHS Region 9","Season peak week",-1.95294967753884,45,0.141855027279813,4
"US National","Season onset",-1.05268335677971,45,0.349,4
"US National","Season peak week",-1.6695418365038,45,0.188333333333334,4
"HHS Region 1","Season peak percentage",-1.80788885115794,45,0.164,4
"HHS Region 10","Season peak percentage",-1.38629436111989,45,0.25,4
"HHS Region 2","Season peak percentage",-1.98777435315401,45,0.137,4
"HHS Region 3","Season peak percentage",-2.79688141480883,45,0.061,4
"HHS Region 4","Season peak percentage",-1.78379129957888,45,0.168,4
"HHS Region 5","Season peak percentage",-0.671385688778433,45,0.511,4
"HHS Region 6","Season peak percentage",-2.57702193869581,45,0.076,4
"HHS Region 7","Season peak percentage",-2.25379492882461,45,0.105,4
"HHS Region 8","Season peak percentage",-1.52326021619305,45,0.218,4
"HHS Region 9","Season peak percentage",-2.17155683058764,45,0.114,4
"US National","Season peak percentage",-1.40649706843741,45,0.245,4
"US National","1 wk ahead",-0.0161293819298836,45,0.984,4
"HHS Region 1","1 wk ahead",-0.0345914447696191,45,0.966,4
"HHS Region 2","1 wk ahead",-0.436955775199535,45,0.646,4
"HHS Region 4","1 wk ahead",-0.0629397997738742,45,0.939,4
"HHS Region 8","1 wk ahead",-0.265268477614881,45,0.767,4
"HHS Region 9","1 wk ahead",-0.105360515657826,45,0.9,4
"US National","2 wk ahead",-0.0910193983871685,45,0.913,4
"HHS Region 1","2 wk ahead",-0.251028754803745,45,0.778,4
"HHS Region 2","2 wk ahead",-0.669430653942629,45,0.512,4
