"","REGION.TYPE","REGION","YEAR","WEEK","X..WEIGHTED.ILI","X.UNWEIGHTED.ILI","AGE.0.4","AGE.25.49","AGE.25.64","AGE.5.24","AGE.50.64","AGE.65","ILITOTAL","NUM..OF.PROVIDERS","TOTAL.PATIENTS"
"1","HHS Regions","Region 1",2015,40,0.745698,0.701816,103,50,,133,23,13,322,133,45881
"2","HHS Regions","Region 2",2015,40,1.08224,1.24345,551,299,,541,130,95,1616,203,129961
"3","HHS Regions","Region 3",2015,40,1.2178,1.24313,401,419,,625,144,81,1670,280,134338
"4","HHS Regions","Region 4",2015,40,1.00961,1.1514,485,231,,612,99,75,1502,298,130450
"5","HHS Regions","Region 5",2015,40,1.03369,1.16843,382,237,,438,157,103,1317,283,112715
"6","HHS Regions","Region 6",2015,40,2.87872,2.238,574,512,,745,220,102,2153,268,96202
"7","HHS Regions","Region 7",2015,40,0.873934,0.957817,46,46,,77,15,14,198,77,20672
"8","HHS Regions","Region 8",2015,40,0.655949,0.842218,81,71,,156,26,12,346,121,41082
"9","HHS Regions","Region 9",2015,40,1.35635,1.25803,205,179,,396,78,129,987,225,78456
"10","HHS Regions","Region 10",2015,40,0.497072,0.500344,38,14,,21,5,2,80,82,15989
"11","HHS Regions","Region 1",2015,41,0.613241,0.575962,67,39,,123,16,12,257,134,44621
"12","HHS Regions","Region 2",2015,41,0.948605,1.33798,572,305,,515,128,114,1634,193,122124
"13","HHS Regions","Region 3",2015,41,1.26021,1.33709,428,426,,708,153,84,1799,276,134546
"14","HHS Regions","Region 4",2015,41,1.08011,1.20023,484,277,,631,119,72,1583,300,131891
"15","HHS Regions","Region 5",2015,41,1.16169,1.26879,441,239,,556,121,96,1453,287,114519
"16","HHS Regions","Region 6",2015,41,2.9741,2.22942,626,478,,747,200,109,2160,264,96886
"17","HHS Regions","Region 7",2015,41,0.887407,0.927315,43,50,,74,18,19,204,77,21999
"18","HHS Regions","Region 8",2015,41,0.672674,0.820126,76,68,,138,37,22,341,125,41579
"19","HHS Regions","Region 9",2015,41,1.54012,1.42507,226,189,,442,101,140,1098,239,77049
"20","HHS Regions","Region 10",2015,41,0.756054,0.759702,33,14,,42,14,8,111,84,14611
"21","HHS Regions","Region 1",2015,42,0.721747,0.667951,83,48,,153,29,13,326,136,48806
"22","HHS Regions","Region 2",2015,42,1.23018,1.49285,687,299,,612,144,85,1827,194,122383
"23","HHS Regions","Region 3",2015,42,1.53341,1.60714,534,504,,817,176,124,2155,277,134089
