"REGION TYPE","REGION","YEAR","WEEK","% WEIGHTED ILI","%UNWEIGHTED ILI","AGE 0-4","AGE 25-49","AGE 25-64","AGE 5-24","AGE 50-64","AGE 65","ILITOTAL","NUM. OF PROVIDERS","TOTAL PATIENTS"
"HHS Regions","Region 1",2016,40,0.747602,0.66157,68,52,NA,174,24,16,334,136,50486
"HHS Regions","Region 2",2016,40,1.74499,1.61815,807,420,NA,696,171,106,2200,176,135958
"HHS Regions","Region 3",2016,40,1.1181,1.41288,416,443,NA,743,177,109,1888,295,133628
"HHS Regions","Region 4",2016,40,1.17386,1.24963,645,379,NA,806,117,85,2032,311,162608
"HHS Regions","Region 5",2016,40,0.999341,1.03836,329,172,NA,469,86,79,1135,295,109307
"HHS Regions","Region 6",2016,40,1.76526,1.61677,493,313,NA,614,121,96,1637,252,101251
"HHS Regions","Region 7",2016,40,0.581545,0.663206,26,29,NA,49,15,19,138,71,20808
"HHS Regions","Region 8",2016,40,0.774194,0.878808,70,98,NA,159,15,16,358,112,40737
"HHS Regions","Region 9",2016,40,1.2646,1.13907,237,229,NA,433,100,107,1106,229,97097
"HHS Regions","Region 10",2016,40,0.439119,0.487179,25,12,NA,27,4,8,76,76,15600
"HHS Regions","Region 1",2016,41,0.661232,0.590106,71,33,NA,142,18,18,282,136,47788
"HHS Regions","Region 2",2016,41,1.94603,1.67868,826,428,NA,685,190,106,2235,171,133140
"HHS Regions","Region 3",2016,41,1.08883,1.44772,417,511,NA,737,158,137,1960,300,135385
"HHS Regions","Region 4",2016,41,1.23174,1.45288,714,399,NA,769,153,96,2131,318,146674
"HHS Regions","Region 5",2016,41,0.974716,1.01152,349,165,NA,418,98,65,1095,294,108253
"HHS Regions","Region 6",2016,41,1.82039,1.67473,467,289,NA,624,98,101,1579,251,94284
"HHS Regions","Region 7",2016,41,0.698669,0.74533,27,40,NA,57,18,12,154,74,20662
"HHS Regions","Region 8",2016,41,0.911369,0.812057,74,78,NA,159,26,17,354,118,43593
"HHS Regions","Region 9",2016,41,1.2706,1.08053,238,197,NA,457,108,122,1122,237,103838
"HHS Regions","Region 10",2016,41,0.427974,0.470936,20,13,NA,24,8,2,67,74,14227
"HHS Regions","Region 1",2016,42,0.728388,0.682319,98,42,NA,169,20,18,347,132,50856
"HHS Regions","Region 2",2016,42,1.93008,1.73672,912,450,NA,743,185,130,2420,177,139343
"HHS Regions","Region 3",2016,42,1.17636,1.31576,506,524,NA,765,177,118,2090,302,158844
"HHS Regions","Region 4",2016,42,1.2768,1.51243,782,414,NA,898,185,93,2372,323,156834
"HHS Regions","Region 5",2016,42,1.03606,1.17295,379,162,NA,579,105,73,1298,291,110661
"HHS Regions","Region 6",2016,42,1.65697,1.58149,458,292,NA,545,108,104,1507,249,95290
"HHS Regions","Region 7",2016,42,0.788162,0.902375,31,52,NA,72,27,11,193,76,21388
"HHS Regions","Region 8",2016,42,0.932187,0.872944,101,76,NA,137,30,11,355,116,40667
"HHS Regions","Region 9",2016,42,1.38252,1.17637,264,209,NA,514,134,127,1248,238,106089
"HHS Regions","Region 10",2016,42,0.489575,0.530757,26,12,NA,27,6,7,78,79,14696
"HHS Regions","Region 1",2016,43,0.729991,0.644873,90,38,NA,169,23,12,332,135,51483
"HHS Regions","Region 2",2016,43,2.05051,1.81245,971,410,NA,757,176,128,2442,182,134735
"HHS Regions","Region 3",2016,43,1.22343,1.47704,551,548,NA,819,205,112,2235,299,151316
"HHS Regions","Region 4",2016,43,1.38032,1.66763,789,532,NA,994,198,109,2622,325,157229
"HHS Regions","Region 5",2016,43,1.10375,1.22615,414,191,NA,570,80,78,1333,296,108714
"HHS Regions","Region 6",2016,43,1.92206,1.75734,534,325,NA,652,126,85,1722,254,97989
"HHS Regions","Region 7",2016,43,0.695834,0.714476,28,52,NA,51,16,14,161,78,22534
"HHS Regions","Region 8",2016,43,0.831756,0.813517,107,77,NA,157,18,18,377,122,46342
"HHS Regions","Region 9",2016,43,1.44038,1.27518,269,208,NA,512,137,138,1264,230,99123
"HHS Regions","Region 10",2016,43,0.529992,0.571949,29,14,NA,37,4,4,88,83,15386
"HHS Regions","Region 1",2016,44,0.930192,0.779195,119,50,NA,192,21,15,397,134,50950
"HHS Regions","Region 2",2016,44,2.2409,1.99946,1091,433,NA,865,210,133,2732,181,136637
"HHS Regions","Region 3",2016,44,1.35918,1.64112,630,566,NA,886,218,118,2418,302,147338
"HHS Regions","Region 4",2016,44,1.64361,1.86843,928,518,NA,1176,195,122,2939,328,157298
"HHS Regions","Region 5",2016,44,1.26479,1.37972,494,228,NA,643,112,76,1553,291,112559
"HHS Regions","Region 6",2016,44,1.90556,1.84453,594,303,NA,676,117,96,1786,250,96827
"HHS Regions","Region 7",2016,44,0.848563,0.889319,28,51,NA,79,20,15,193,76,21702
"HHS Regions","Region 8",2016,44,0.506598,0.697375,78,71,NA,132,19,9,309,122,44309
"HHS Regions","Region 9",2016,44,1.52208,1.39558,312,208,NA,549,110,121,1300,230,93151
"HHS Regions","Region 10",2016,44,0.573751,0.666057,33,13,NA,44,5,7,102,83,15314
"HHS Regions","Region 1",2016,45,0.875043,0.701828,112,37,NA,192,18,10,369,138,52577
"HHS Regions","Region 2",2016,45,2.46429,2.2109,1279,434,NA,888,224,134,2959,177,133837
"HHS Regions","Region 3",2016,45,1.42255,1.6269,673,564,NA,795,199,130,2361,302,145123
"HHS Regions","Region 4",2016,45,1.67847,1.96436,991,569,NA,1170,189,140,3059,330,155725
"HHS Regions","Region 5",2016,45,1.23547,1.4166,488,230,NA,616,101,63,1498,288,105746
"HHS Regions","Region 6",2016,45,2.05983,2.02869,632,344,NA,618,142,114,1850,251,91192
"HHS Regions","Region 7",2016,45,0.915289,0.908094,45,51,NA,92,9,10,207,78,22795
"HHS Regions","Region 8",2016,45,0.746812,0.919219,101,92,NA,173,23,26,415,122,45147
"HHS Regions","Region 9",2016,45,1.61573,1.44737,331,218,NA,585,137,119,1390,231,96036
"HHS Regions","Region 10",2016,45,0.737088,0.864164,44,7,NA,59,11,7,128,74,14812
"HHS Regions","Region 1",2016,46,0.905197,0.753912,140,44,NA,191,17,18,410,138,54383
"HHS Regions","Region 2",2016,46,2.53078,2.26335,1380,447,NA,1000,196,149,3172,181,140146
"HHS Regions","Region 3",2016,46,1.44312,1.78452,737,583,NA,815,199,129,2463,300,138020
"HHS Regions","Region 4",2016,46,1.9058,2.11566,972,598,NA,1241,225,141,3177,321,150166
"HHS Regions","Region 5",2016,46,1.21572,1.44604,514,259,NA,607,114,80,1574,290,108849
"HHS Regions","Region 6",2016,46,2.25577,2.09569,698,327,NA,744,148,126,2043,253,97486
"HHS Regions","Region 7",2016,46,0.969142,0.986947,43,47,NA,97,19,11,217,75,21987
"HHS Regions","Region 8",2016,46,0.903441,0.932319,104,95,NA,189,21,15,424,121,45478
"HHS Regions","Region 9",2016,46,1.66935,1.51266,348,245,NA,676,139,153,1561,239,103196
"HHS Regions","Region 10",2016,46,0.643705,0.702448,35,12,NA,48,3,5,103,82,14663
"HHS Regions","Region 1",2016,47,0.975827,0.788407,115,29,NA,104,20,16,284,144,36022
"HHS Regions","Region 2",2016,47,3.25846,2.73019,1409,458,NA,992,202,160,3221,185,117977
"HHS Regions","Region 3",2016,47,1.74561,2.09089,769,576,NA,789,177,144,2455,300,117414
"HHS Regions","Region 4",2016,47,2.19048,2.50169,1115,613,NA,1000,268,156,3152,328,125995
"HHS Regions","Region 5",2016,47,1.26166,1.51066,415,207,NA,406,108,82,1218,283,80627
"HHS Regions","Region 6",2016,47,2.48723,2.35858,716,376,NA,602,173,136,2003,288,84924
"HHS Regions","Region 7",2016,47,1.42912,1.57276,55,50,NA,75,20,18,218,76,13861
"HHS Regions","Region 8",2016,47,0.789941,1.01386,115,77,NA,157,15,20,384,118,37875
"HHS Regions","Region 9",2016,47,1.97996,1.74741,319,250,NA,471,128,132,1300,231,74396
"HHS Regions","Region 10",2016,47,0.789485,0.866096,21,14,NA,36,10,8,89,81,10276
"HHS Regions","Region 1",2016,48,0.872621,0.709757,125,48,NA,167,23,21,384,138,54103
"HHS Regions","Region 2",2016,48,3.23771,2.66073,1619,542,NA,1140,241,160,3702,175,139135
"HHS Regions","Region 3",2016,48,1.4863,1.88844,757,688,NA,799,223,153,2620,296,138739
"HHS Regions","Region 4",2016,48,1.92682,2.21873,931,820,NA,1223,304,247,3525,328,158875
"HHS Regions","Region 5",2016,48,1.23902,1.36871,464,283,NA,571,120,87,1525,293,111419
