region_type,region,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start
HHS Regions,Region 1,2017,40,0.719043,0.676301,81,52,NA,164,23,16,336,139,49682,2017-10-02
HHS Regions,Region 2,2017,40,1.5296400000000001,1.40958,749,369,NA,614,149,136,2017,177,143092,2017-10-02
HHS Regions,Region 3,2017,40,0.926452,1.07097,600,506,NA,739,202,142,2189,363,204394,2017-10-02
HHS Regions,Region 4,2017,40,1.16474,1.56953,808,468,NA,913,170,144,2503,372,159474,2017-10-02
HHS Regions,Region 5,2017,40,1.13883,1.10788,358,213,NA,504,103,73,1251,287,112918,2017-10-02
HHS Regions,Region 6,2017,40,1.91763,1.9123000000000001,734,401,NA,736,177,132,2180,285,113999,2017-10-02
HHS Regions,Region 7,2017,40,0.625799,0.859623,65,33,NA,88,13,7,206,110,23964,2017-10-02
HHS Regions,Region 8,2017,40,0.473124,0.520749,95,69,NA,132,39,18,353,156,67787,2017-10-02
HHS Regions,Region 9,2017,40,1.77233,1.65739,269,267,NA,555,147,158,1396,193,84229,2017-10-02
HHS Regions,Region 10,2017,40,0.520871,0.951621,93,124,NA,121,52,51,441,144,46342,2017-10-02
HHS Regions,Region 1,2017,41,0.802789,0.781649,115,82,NA,182,34,31,444,145,56803,2017-10-09
HHS Regions,Region 2,2017,41,1.63699,1.50408,806,413,NA,613,161,141,2134,176,141881,2017-10-09
HHS Regions,Region 3,2017,41,0.990782,1.1312,595,478,NA,707,196,167,2143,358,189444,2017-10-09
HHS Regions,Region 4,2017,41,1.2559,1.61888,847,528,NA,929,195,143,2642,379,163199,2017-10-09
HHS Regions,Region 5,2017,41,1.16684,1.16117,428,234,NA,448,106,77,1293,296,111353,2017-10-09
HHS Regions,Region 6,2017,41,2.04769,1.9931,795,475,NA,702,160,143,2275,286,114144,2017-10-09
HHS Regions,Region 7,2017,41,0.700961,0.946268,64,37,NA,93,20,16,230,113,24306,2017-10-09
HHS Regions,Region 8,2017,41,0.559737,0.635018,116,78,NA,155,31,36,416,148,65510,2017-10-09
HHS Regions,Region 9,2017,41,1.55554,1.46801,253,233,NA,477,124,150,1237,199,84264,2017-10-09
HHS Regions,Region 10,2017,41,0.63234,0.981147,100,128,NA,157,51,48,484,152,49330,2017-10-09
HHS Regions,Region 1,2017,42,0.816928,0.780256,114,87,NA,200,28,31,460,145,58955,2017-10-16
HHS Regions,Region 2,2017,42,1.86708,1.71154,913,446,NA,835,168,152,2514,179,146885,2017-10-16
HHS Regions,Region 3,2017,42,1.02534,1.21089,706,499,NA,765,173,144,2287,363,188869,2017-10-16
HHS Regions,Region 4,2017,42,1.25906,1.63423,765,532,NA,952,221,166,2636,378,161299,2017-10-16
HHS Regions,Region 5,2017,42,1.14011,1.10251,435,239,NA,428,100,77,1279,303,116008,2017-10-16
HHS Regions,Region 6,2017,42,2.02153,2.18832,819,495,NA,783,194,176,2467,282,112735,2017-10-16
HHS Regions,Region 7,2017,42,0.832588,1.1854,107,55,NA,115,20,17,314,112,26489,2017-10-16
HHS Regions,Region 8,2017,42,0.56036,0.640767,126,77,NA,159,37,29,428,147,66795,2017-10-16
HHS Regions,Region 9,2017,42,1.58711,1.49185,250,266,NA,571,152,130,1369,213,91765,2017-10-16
HHS Regions,Region 10,2017,42,0.799399,1.20109,181,127,NA,199,49,54,610,151,50787,2017-10-16
HHS Regions,Region 1,2017,43,0.976353,0.90531,144,84,NA,239,40,35,542,144,59869,2017-10-23
HHS Regions,Region 2,2017,43,2.09091,1.80144,1044,405,NA,804,215,192,2660,181,147660,2017-10-23
HHS Regions,Region 3,2017,43,1.1191,1.32338,711,535,NA,853,205,150,2454,352,185434,2017-10-23
HHS Regions,Region 4,2017,43,1.59472,1.965,973,629,NA,1239,230,192,3263,386,166056,2017-10-23
HHS Regions,Region 5,2017,43,1.23078,1.18805,461,226,NA,488,104,74,1353,300,113884,2017-10-23
HHS Regions,Region 6,2017,43,2.23701,2.35963,972,500,NA,870,205,146,2693,286,114128,2017-10-23
HHS Regions,Region 7,2017,43,0.943455,1.28195,113,53,NA,134,22,18,340,110,26522,2017-10-23
HHS Regions,Region 8,2017,43,0.697744,0.922142,138,92,NA,177,63,40,510,151,55306,2017-10-23
HHS Regions,Region 9,2017,43,1.73348,1.57561,310,272,NA,548,185,159,1474,213,93551,2017-10-23
HHS Regions,Region 10,2017,43,0.706956,1.19291,146,131,NA,187,58,49,571,149,47866,2017-10-23
HHS Regions,Region 1,2017,44,0.954496,0.89159,138,84,NA,231,33,29,515,149,57762,2017-10-30
HHS Regions,Region 2,2017,44,2.41627,1.9045,1110,451,NA,813,195,144,2713,169,142452,2017-10-30
HHS Regions,Region 3,2017,44,1.1806,1.38637,758,625,NA,827,201,148,2559,358,184583,2017-10-30
HHS Regions,Region 4,2017,44,1.78955,2.17988,1012,721,NA,1372,283,193,3581,383,164275,2017-10-30
HHS Regions,Region 5,2017,44,1.22608,1.16856,447,202,NA,509,114,67,1339,303,114585,2017-10-30
HHS Regions,Region 6,2017,44,2.94144,2.91365,1018,583,NA,1123,244,198,3166,249,108661,2017-10-30
HHS Regions,Region 7,2017,44,1.16063,1.42252,132,76,NA,165,22,25,420,113,29525,2017-10-30
HHS Regions,Region 8,2017,44,0.696275,0.770991,154,97,NA,200,46,32,529,151,68613,2017-10-30
HHS Regions,Region 9,2017,44,2.02567,1.90317,273,311,NA,680,173,181,1618,213,85016,2017-10-30
