"","REGION.TYPE","REGION","YEAR","WEEK","X..WEIGHTED.ILI","X.UNWEIGHTED.ILI","AGE.0.4","AGE.25.49","AGE.25.64","AGE.5.24","AGE.50.64","AGE.65","ILITOTAL","NUM..OF.PROVIDERS","TOTAL.PATIENTS"
"1","National","X",2015,40,1.27228,1.26479,2866,2058,"X",3744,897,626,10191,1970,805746
"2","National","X",2015,41,1.33841,1.33029,2996,2085,"X",3976,907,676,10640,1979,799825
"3","National","X",2015,42,1.40019,1.41356,3255,2354,"X",4346,950,651,11556,1999,817509
"4","National","X",2015,43,1.39238,1.36882,3135,2255,"X",4140,926,693,11149,2005,814500
"5","National","X",2015,44,1.47952,1.48309,3587,2457,"X",4775,937,694,12450,2054,839465
"6","National","X",2015,45,1.54546,1.54501,3731,2509,"X",4712,942,742,12636,2031,817857
"7","National","X",2015,46,1.64238,1.62532,3952,2658,"X",5067,1025,768,13470,2027,828761
"8","National","X",2015,47,1.94444,1.91565,3959,2426,"X",4054,981,703,12123,2002,632839
"9","National","X",2015,48,1.72387,1.74368,4459,3008,"X",5071,1232,829,14599,2046,837250
"10","National","X",2015,49,1.83466,1.83277,4590,2900,"X",5373,1251,873,14987,2025,817723
"11","National","X",2015,50,1.92413,1.9781,5111,2950,"X",5090,1251,936,15338,1995,775392
"12","National","X",2015,51,2.36367,2.42502,5355,2871,"X",4297,1248,998,14769,1981,609027
"13","National","X",2015,52,2.46448,2.42004,5681,3257,"X",4000,1516,1169,15623,1952,645567
"14","National","X",2016,1,1.9951,2.00413,4768,3593,"X",4485,1631,1158,15635,2005,780140
"15","National","X",2016,2,2.04124,2.00081,4559,3163,"X",5348,1371,1011,15452,2006,772288
"16","National","X",2016,3,2.15824,2.1187,4760,3205,"X",5340,1291,950,15546,2001,733753
"17","National","X",2016,4,2.28139,2.19506,5074,3603,"X",6848,1551,1004,18080,2028,823667
"18","National","X",2016,5,2.41851,2.31324,5113,3749,"X",7297,1622,1064,18845,2004,814657
"19","National","X",2016,6,2.84596,2.69449,5638,4589,"X",8376,1912,1175,21690,1991,804977
"20","National","X",2016,7,3.16601,2.9892,5989,5620,"X",9232,2337,1361,24539,1987,820921
"21","National","X",2016,8,3.18382,3.11793,6279,5942,"X",10009,2578,1377,26185,1943,839819
"22","National","X",2016,9,3.34967,3.33009,6521,6336,"X",11231,2585,1431,28104,1937,843941
"23","National","X",2016,10,3.5683,3.59483,6606,7300,"X",11757,2964,1602,30229,1909,840902
"24","National","X",2016,11,3.08262,3.10597,5531,6000,"X",9251,2481,1463,24726,1883,796079
"25","National","X",2016,12,2.79466,2.80064,5162,4960,"X",8418,1992,1274,21806,1888,778608
"26","National","X",2016,13,2.48194,2.54489,4561,4454,"X",7353,1945,1194,19507,1817,766516
"27","National","X",2016,14,2.0578,2.13651,3687,3835,"X",6311,1646,1120,16599,1793,776921
"28","National","X",2016,15,2.00328,2.06223,3531,3497,"X",6511,1526,1028,16093,1788,780368
"29","National","X",2016,16,1.90477,1.99943,3437,3227,"X",6248,1372,938,15222,1751,761317
"30","National","X",2016,17,1.7318,1.79575,3120,2967,"X",5496,1233,886,13702,1736,763025
"31","National","X",2016,18,1.60558,1.62269,2756,2569,"X",4666,1030,736,11757,1709,724538
"32","National","X",2016,19,1.40574,1.48328,2843,2264,"X",4011,840,661,10619,1657,715914
"33","National","X",2016,20,1.33391,1.44191,2626,1964,"X",3554,832,635,9611,1579,666548
"34","National","X",2016,21,1.22655,1.42286,2529,1675,"X",3044,706,609,8563,1358,601816
"35","National","X",2016,22,1.17957,1.36967,2474,1599,"X",2549,644,524,7790,1396,568749
"36","National","X",2016,23,1.10719,1.17362,2212,1429,"X",2258,606,509,7014,1356,597638
"37","National","X",2016,24,1.02867,1.12368,2117,1311,"X",2110,539,456,6533,1339,581394
"38","National","X",2016,25,0.921516,1.05728,1981,1142,"X",1814,477,376,5790,1272,547634
"39","National","X",2016,26,0.904585,1.06795,1760,1100,"X",1725,452,367,5404,1202,506016
"40","National","X",2016,27,0.853462,1.00015,1526,952,"X",1557,429,348,4812,1163,481128
"41","National","X",2016,28,0.811449,0.905572,1408,936,"X",1370,353,319,4386,1015,484335
