"REGION TYPE","REGION","YEAR","WEEK","% WEIGHTED ILI","%UNWEIGHTED ILI","AGE 0-4","AGE 25-49","AGE 25-64","AGE 5-24","AGE 50-64","AGE 65","ILITOTAL","NUM. OF PROVIDERS","TOTAL PATIENTS"
"National","X",2016,40,1.19625,1.25697,3116,2147,"X",4170,830,641,10904,1953,867480
"National","X",2016,41,1.23448,1.29493,3203,2153,"X",4072,875,676,10979,1973,847844
"National","X",2016,42,1.26681,1.331,3557,2233,"X",4449,977,692,11908,1983,894668
"National","X",2016,43,1.35126,1.42126,3782,2395,"X",4718,983,698,12576,2004,884851
"National","X",2016,44,1.47735,1.56709,4307,2441,"X",5242,1027,712,13729,1997,876085
"National","X",2016,45,1.55759,1.64961,4696,2546,"X",5188,1053,753,14236,1991,862990
"National","X",2016,46,1.64645,1.73198,4971,2657,"X",5608,1081,827,15144,2000,874374
"National","X",2016,47,1.91349,2.04814,5049,2650,"X",4632,1121,872,14324,2034,699367
"National","X",2016,48,1.82411,1.93216,5321,3447,"X",5824,1456,1073,17121,2028,886109
"National","X",2016,49,1.92622,2.05656,5631,3291,"X",6055,1498,1066,17541,2042,852929
"National","X",2016,50,2.21907,2.33514,5864,3601,"X",6964,1588,1054,19071,2029,816695
"National","X",2016,51,2.74118,2.97302,6759,4211,"X",7694,2029,1448,22141,2006,744732
"National","X",2016,52,3.36449,3.56728,7770,5296,"X",7200,2683,2144,25093,1952,703421
"National","X",2017,1,3.09649,3.09843,6753,5719,"X",6845,2811,2240,24368,2050,786462
"National","X",2017,2,3.08536,3.05545,6090,5384,"X",8970,2714,2100,25258,2024,826654
"National","X",2017,3,3.51519,3.43189,6471,5655,"X",12229,2791,1951,29097,2055,847842
"National","X",2017,4,3.79437,3.53861,7022,5816,"X",13899,2689,1840,31266,2045,883568
"National","X",2017,5,4.44653,4.0825,7521,6563,"X",17381,3038,2108,36611,2049,896778
"National","X",2017,6,5.082,4.80959,8186,8304,"X",20144,3838,2676,43148,2049,897125
"National","X",2017,7,4.88942,4.70977,7813,8406,"X",18712,3729,2665,41325,1991,877432
"National","X",2017,8,4.58363,4.60999,7711,8592,"X",17247,3874,2820,40244,2010,872973
"National","X",2017,9,3.57198,3.49196,6163,6524,"X",12384,3022,2189,30282,2014,867192
"National","X",2017,10,3.52787,3.35051,5927,6043,"X",11676,2828,1929,28403,1990,847722
"National","X",2017,11,3.24033,3.22999,5564,5613,"X",10236,2656,1789,25858,1977,800560
"National","X",2017,12,3.12015,3.16471,5515,5851,"X",11454,2639,1833,27292,1931,862385
"National","X",2017,13,2.82248,2.9222,5176,5106,"X",10190,2387,1625,24484,1906,837863
"National","X",2017,14,2.41232,2.42226,4537,3991,"X",8275,1831,1356,19990,1923,825262
"National","X",2017,15,1.98507,1.95115,3887,3139,"X",5817,1468,1162,15473,1848,793019
"National","X",2017,16,1.75433,1.67254,3315,2794,"X",4723,1280,1004,13116,1862,784197
"National","X",2017,17,1.57751,1.52979,3058,2477,"X",4601,1192,975,12303,1862,804227
"National","X",2017,18,1.43359,1.39901,2907,2050,"X",4109,1040,718,10824,1804,773691
"National","X",2017,19,1.30602,1.35747,2729,2023,"X",3795,857,708,10112,1740,744917
"National","X",2017,20,1.31914,1.41632,2732,2081,"X",3643,971,723,10150,1742,716644
"National","X",2017,21,1.20047,1.32109,2372,1804,"X",3109,836,663,8784,1599,664905
"National","X",2017,22,1.13495,1.30656,2328,1626,"X",2613,756,592,7915,1537,605787
"National","X",2017,23,1.05263,1.22207,2482,1528,"X",2438,732,606,7786,1458,637116
"National","X",2017,24,0.921629,1.11103,2065,1422,"X",2155,657,564,6863,1422,617716
"National","X",2017,25,0.93649,1.0727,1950,1381,"X",2025,621,527,6504,1432,606323
"National","X",2017,26,0.878309,1.00069,1705,1104,"X",1697,480,455,5441,1278,543726
"National","X",2017,27,0.886117,1.06702,1733,1153,"X",1574,569,421,5450,1302,510770
"National","X",2017,28,0.754297,0.866161,1312,886,"X",1354,405,280,4237,1051,489170
