region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2019,40,967,25,57,21,7,56,1,0,2019-09-29
National,National,2019,41,1079,33,64,22,7,70,2,0,2019-10-06
National,National,2019,42,1164,35,82,2,13,76,3,0,2019-10-13
National,National,2019,43,1358,53,78,3,20,96,5,0,2019-10-20
National,National,2019,44,1433,52,61,3,39,120,5,0,2019-10-27
National,National,2019,45,1925,121,74,7,74,235,10,0,2019-11-03
National,National,2019,46,1865,149,58,5,89,326,10,0,2019-11-10
National,National,2019,47,2442,256,78,7,174,416,10,0,2019-11-17
National,National,2019,48,2145,368,82,10,142,498,10,0,2019-11-24
National,National,2019,49,3021,513,83,3,198,655,13,0,2019-12-01
National,National,2019,50,3358,619,78,7,311,804,15,0,2019-12-08
National,National,2019,51,3836,907,50,19,276,1076,15,0,2019-12-15
National,National,2019,52,4109,1198,86,20,339,1291,23,0,2019-12-22
National,National,2020,1,4092,1221,101,27,220,1227,20,0,2019-12-29
National,National,2020,2,4073,1207,83,17,217,1028,18,0,2020-01-05
National,National,2020,3,4598,1508,67,43,273,1122,11,0,2020-01-12
National,National,2020,4,4746,1682,78,28,281,1048,8,0,2020-01-19
National,National,2020,5,5536,2135,82,40,347,881,6,0,2020-01-26
National,National,2020,6,4257,1707,63,45,303,591,3,0,2020-02-02
National,National,2020,7,1626,531,22,84,161,180,3,0,2020-02-09
