region_type,region,season_description,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
States,Alabama,Season 2019-20,149,3,5,0,1,61,0,0,NA
States,Alaska,Season 2019-20,472,3,11,2,10,0,0,0,NA
States,Arizona,Season 2019-20,269,22,10,0,6,153,2,0,NA
States,Arkansas,Season 2019-20,36,1,1,0,0,4,0,0,NA
States,California,Season 2019-20,991,143,101,4,44,167,6,0,NA
States,Colorado,Season 2019-20,110,10,32,0,3,20,0,0,NA
States,Connecticut,Season 2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,Delaware,Season 2019-20,630,4,1,0,0,30,0,0,NA
States,District of Columbia,Season 2019-20,214,4,2,0,0,5,0,0,NA
States,Florida,Season 2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,Georgia,Season 2019-20,335,16,5,1,7,44,2,0,NA
States,Hawaii,Season 2019-20,284,41,5,2,2,51,0,0,NA
States,Idaho,Season 2019-20,149,6,35,0,0,25,1,0,NA
States,Illinois,Season 2019-20,440,3,4,3,59,12,0,0,NA
States,Indiana,Season 2019-20,62,7,1,0,0,4,0,0,NA
States,Iowa,Season 2019-20,403,39,11,5,2,13,1,0,NA
States,Kansas,Season 2019-20,35,1,0,0,0,0,0,0,NA
States,Kentucky,Season 2019-20,76,15,2,0,5,0,2,0,NA
States,Louisiana,Season 2019-20,354,3,4,0,0,64,0,0,NA
States,Maine,Season 2019-20,65,4,6,0,1,5,0,0,NA
States,Maryland,Season 2019-20,414,9,11,0,1,13,1,0,NA
States,Massachusetts,Season 2019-20,55,2,5,0,0,0,0,0,NA
States,Michigan,Season 2019-20,70,9,7,0,4,22,0,0,NA
States,Minnesota,Season 2019-20,195,10,5,3,0,7,3,0,NA
States,Mississippi,Season 2019-20,108,2,4,0,1,24,0,0,NA
States,Missouri,Season 2019-20,54,0,0,0,1,0,0,0,NA
States,Montana,Season 2019-20,173,2,21,0,0,15,0,0,NA
States,Nebraska,Season 2019-20,64,13,3,0,0,3,1,0,NA
States,Nevada,Season 2019-20,249,10,28,0,76,21,0,0,NA
States,New Hampshire,Season 2019-20,18,4,0,0,0,1,0,0,NA
States,New Jersey,Season 2019-20,85,2,4,0,3,0,0,0,NA
States,New Mexico,Season 2019-20,117,2,4,0,0,0,0,0,NA
States,New York,Season 2019-20,250,0,14,5,0,1,1,0,NA
States,North Carolina,Season 2019-20,143,1,4,0,0,5,5,0,NA
States,North Dakota,Season 2019-20,56,1,6,0,0,27,0,0,NA
States,Ohio,Season 2019-20,202,3,2,0,1,3,0,0,NA
States,Oklahoma,Season 2019-20,133,2,1,0,0,11,0,0,NA
States,Oregon,Season 2019-20,26,0,4,0,3,0,0,0,NA
States,Pennsylvania,Season 2019-20,287,0,14,8,12,2,0,0,NA
States,Rhode Island,Season 2019-20,29,0,0,0,0,0,0,0,NA
States,South Carolina,Season 2019-20,145,2,7,0,3,15,0,0,NA
States,South Dakota,Season 2019-20,95,1,2,0,0,6,0,0,NA
States,Tennessee,Season 2019-20,187,0,1,1,0,2,0,0,NA
States,Texas,Season 2019-20,377,27,4,3,32,26,0,0,NA
States,Utah,Season 2019-20,68,14,6,0,1,3,0,0,NA
States,Vermont,Season 2019-20,15,1,2,0,0,0,0,0,NA
States,Virginia,Season 2019-20,300,2,5,0,8,8,0,0,NA
States,Washington,Season 2019-20,147,14,16,0,3,13,0,0,NA
States,West Virginia,Season 2019-20,37,4,0,0,0,0,0,0,NA
States,Wisconsin,Season 2019-20,689,12,15,5,6,14,4,0,NA
States,Wyoming,Season 2019-20,31,2,0,0,0,0,0,0,NA
States,Puerto Rico,Season 2019-20,68,0,20,0,0,6,0,0,NA
States,Virgin Islands,Season 2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
States,New York City,Season 2019-20,NA,NA,NA,NA,NA,NA,NA,NA,NA
