region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
National,National,2018,40,16384,217,68,1.7395,1.32446,0.415039,2018-09-30
National,National,2018,41,17880,221,81,1.68904,1.23602,0.45302,2018-10-07
National,National,2018,42,20022,311,88,1.99281,1.55329,0.439517,2018-10-14
National,National,2018,43,21176,335,98,2.04477,1.58198,0.462788,2018-10-21
National,National,2018,44,22112,384,93,2.1572,1.73661,0.420586,2018-10-28
National,National,2018,45,23155,539,95,2.73807,2.32779,0.410279,2018-11-04
National,National,2018,46,24103,665,97,3.16143,2.75899,0.40244,2018-11-11
National,National,2018,47,24300,888,70,3.94239,3.65432,0.288066,2018-11-18
National,National,2018,48,27108,981,88,3.94349,3.61886,0.324627,2018-11-25
National,National,2018,49,27925,1641,137,6.36705,5.87645,0.4906,2018-12-02
National,National,2018,50,31857,3201,175,10.5974,10.048,0.54933,2018-12-09
National,National,2018,51,37575,5218,177,14.358,13.8869,0.471058,2018-12-16
National,National,2018,52,41254,6653,226,16.6747,16.1269,0.547826,2018-12-23
National,National,2019,1,41601,5044,133,12.4444,12.1247,0.319704,2018-12-30
National,National,2019,2,31051,3730,126,12.4183,12.0125,0.405784,2019-01-06
