region_type,region,year,week,total_specimens,a_2009_h1n1,a_h3,a_subtyping_not_performed,b,bvic,byam,h3n2v,wk_date
National,National,2018,40,796,29,11,8,0,7,11,0,2018-09-30
National,National,2018,41,899,52,11,8,5,3,5,0,2018-10-07
National,National,2018,42,1090,51,21,13,1,2,14,0,2018-10-14
National,National,2018,43,1100,74,35,3,3,0,13,0,2018-10-21
National,National,2018,44,1226,84,23,2,1,1,8,0,2018-10-28
National,National,2018,45,1311,117,27,15,4,4,7,0,2018-11-04
National,National,2018,46,1399,147,40,10,0,2,3,0,2018-11-11
National,National,2018,47,1106,212,53,8,1,2,5,0,2018-11-18
National,National,2018,48,1687,324,64,9,1,2,10,0,2018-11-25
National,National,2018,49,1695,356,89,14,7,3,7,0,2018-12-02
National,National,2018,50,2148,668,166,19,3,7,6,0,2018-12-09
National,National,2018,51,2632,1105,243,78,10,20,7,0,2018-12-16
National,National,2018,52,2555,1226,273,118,9,18,9,0,2018-12-23
National,National,2019,1,2835,1149,295,169,6,6,14,0,2018-12-30
National,National,2019,2,3178,1366,221,109,12,2,16,0,2019-01-06
National,National,2019,3,3220,1395,332,116,10,17,14,0,2019-01-13
National,National,2019,4,3449,1478,482,126,19,16,9,0,2019-01-20
National,National,2019,5,3992,1609,775,65,11,24,18,0,2019-01-27
National,National,2019,6,4580,1775,1105,41,17,17,10,0,2019-02-03
National,National,2019,7,4369,1529,1203,41,24,28,18,0,2019-02-10
National,National,2019,8,4346,1320,1359,56,58,27,11,0,2019-02-17
National,National,2019,9,4427,1200,1574,67,39,33,10,0,2019-02-24
National,National,2019,10,3972,1051,1489,83,20,26,24,0,2019-03-03
National,National,2019,11,3312,716,1273,90,17,34,13,0,2019-03-10
National,National,2019,12,1618,268,573,36,20,20,6,0,2019-03-17
