region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
States,Alabama,2018,40,455,2,2,0.88,0.44,0.44,2018-09-30
States,Alaska,2018,40,NA,NA,NA,NA,NA,NA,2018-09-30
States,Arizona,2018,40,183,0,0,0,0,0,2018-09-30
States,Arkansas,2018,40,86,1,0,1.16,1.16,0,2018-09-30
States,California,2018,40,409,2,1,0.73,0.49,0.24,2018-09-30
States,Colorado,2018,40,366,0,0,0,0,0,2018-09-30
States,Connecticut,2018,40,383,1,1,0.52,0.26,0.26,2018-09-30
States,Delaware,2018,40,147,1,0,0.68,0.68,0,2018-09-30
States,District of Columbia,2018,40,NA,NA,NA,NA,NA,NA,2018-09-30
States,Florida,2018,40,NA,NA,NA,NA,NA,NA,2018-09-30
States,Georgia,2018,40,752,3,8,1.46,0.4,1.06,2018-09-30
States,Hawaii,2018,40,62,2,0,3.23,3.23,0,2018-09-30
States,Idaho,2018,40,24,0,0,0,0,0,2018-09-30
States,Illinois,2018,40,97,1,2,3.09,1.03,2.06,2018-09-30
States,Indiana,2018,40,136,0,1,0.74,0,0.74,2018-09-30
States,Iowa,2018,40,180,0,0,0,0,0,2018-09-30
States,Kansas,2018,40,62,0,0,0,0,0,2018-09-30
States,Kentucky,2018,40,377,1,0,0.27,0.27,0,2018-09-30
States,Louisiana,2018,40,243,4,0,1.65,1.65,0,2018-09-30
States,Maine,2018,40,41,0,0,0,0,0,2018-09-30
States,Maryland,2018,40,148,0,1,0.68,0,0.68,2018-09-30
States,Massachusetts,2018,40,426,1,0,0.23,0.23,0,2018-09-30
States,Michigan,2018,40,751,0,2,0.27,0,0.27,2018-09-30
States,Minnesota,2018,40,344,0,0,0,0,0,2018-09-30
States,Mississippi,2018,40,53,0,0,0,0,0,2018-09-30
States,Missouri,2018,40,617,3,0,0.49,0.49,0,2018-09-30
States,Montana,2018,40,113,1,1,1.77,0.88,0.88,2018-09-30
States,Nebraska,2018,40,83,0,0,0,0,0,2018-09-30
States,Nevada,2018,40,15,0,0,0,0,0,2018-09-30
States,New Hampshire,2018,40,NA,NA,NA,NA,NA,NA,2018-09-30
States,New Jersey,2018,40,NA,NA,NA,NA,NA,NA,2018-09-30
States,New Mexico,2018,40,184,0,0,0,0,0,2018-09-30
States,New York,2018,40,1454,5,2,0.48,0.34,0.14,2018-09-30
States,North Carolina,2018,40,213,0,2,0.94,0,0.94,2018-09-30
States,North Dakota,2018,40,89,1,0,1.12,1.12,0,2018-09-30
States,Ohio,2018,40,1260,5,1,0.48,0.4,0.08,2018-09-30
States,Oklahoma,2018,40,212,0,2,0.94,0,0.94,2018-09-30
States,Oregon,2018,40,208,3,0,1.44,1.44,0,2018-09-30
States,Pennsylvania,2018,40,216,2,0,0.93,0.93,0,2018-09-30
States,Rhode Island,2018,40,NA,NA,NA,NA,NA,NA,2018-09-30
States,South Carolina,2018,40,240,0,0,0,0,0,2018-09-30
States,South Dakota,2018,40,78,0,0,0,0,0,2018-09-30
States,Tennessee,2018,40,72,0,1,1.39,0,1.39,2018-09-30
States,Texas,2018,40,1223,10,10,1.64,0.82,0.82,2018-09-30
