location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,0.4,Point,NA,NA
HHS Region 1,2 wk ahead,percent,0.4,Point,NA,NA
HHS Region 1,3 wk ahead,percent,0.4,Point,NA,NA
HHS Region 1,4 wk ahead,percent,0.4,Point,NA,NA
HHS Region 1,Season onset,week,4,Point,NA,NA
HHS Region 1,Season peak percentage,percent,2.3,Point,NA,NA
HHS Region 1,Season peak week,week,8,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,4 wk ahead,percent,0.7,Point,NA,NA
HHS Region 10,Season onset,week,5,Point,NA,NA
HHS Region 10,Season peak percentage,percent,3.9,Point,NA,NA
HHS Region 10,Season peak week,week,7,Point,NA,NA
HHS Region 2,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 2,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 2,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 2,4 wk ahead,percent,1.1,Point,NA,NA
HHS Region 2,Season onset,week,49,Point,NA,NA
HHS Region 2,Season peak percentage,percent,4.5,Point,NA,NA
HHS Region 2,Season peak week,week,52,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1,Point,NA,NA
HHS Region 3,4 wk ahead,percent,0.9,Point,NA,NA
HHS Region 3,Season onset,week,3,Point,NA,NA
HHS Region 3,Season peak percentage,percent,4.4,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,0.9,Point,NA,NA
HHS Region 4,2 wk ahead,percent,0.8,Point,NA,NA
HHS Region 4,3 wk ahead,percent,0.8,Point,NA,NA
HHS Region 4,4 wk ahead,percent,0.7,Point,NA,NA
HHS Region 4,Season onset,week,50,Point,NA,NA
HHS Region 4,Season peak percentage,percent,5.6,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 5,2 wk ahead,percent,0.7,Point,NA,NA
HHS Region 5,3 wk ahead,percent,0.6,Point,NA,NA
HHS Region 5,4 wk ahead,percent,0.6,Point,NA,NA
HHS Region 5,Season onset,week,3,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.8,Point,NA,NA
HHS Region 5,Season peak week,week,5,Point,NA,NA
HHS Region 6,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 6,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 6,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 6,Season onset,week,3,Point,NA,NA
HHS Region 6,Season peak percentage,percent,7.9,Point,NA,NA
HHS Region 6,Season peak week,week,7,Point,NA,NA
HHS Region 7,1 wk ahead,percent,0.5,Point,NA,NA
HHS Region 7,2 wk ahead,percent,0.4,Point,NA,NA
HHS Region 7,3 wk ahead,percent,0.4,Point,NA,NA
HHS Region 7,4 wk ahead,percent,0.4,Point,NA,NA
HHS Region 7,Season onset,week,4,Point,NA,NA
HHS Region 7,Season peak percentage,percent,4.7,Point,NA,NA
HHS Region 7,Season peak week,week,8,Point,NA,NA
HHS Region 8,1 wk ahead,percent,0.4,Point,NA,NA
HHS Region 8,2 wk ahead,percent,0.3,Point,NA,NA
HHS Region 8,3 wk ahead,percent,0.3,Point,NA,NA
HHS Region 8,4 wk ahead,percent,0.2,Point,NA,NA
HHS Region 8,Season onset,week,5,Point,NA,NA
HHS Region 8,Season peak percentage,percent,2.7,Point,NA,NA
HHS Region 8,Season peak week,week,7,Point,NA,NA
HHS Region 9,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.8,Point,NA,NA
HHS Region 9,Season onset,week,NA,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.7,Point,NA,NA
HHS Region 9,Season peak week,week,7,Point,NA,NA
US National,1 wk ahead,percent,0.9,Point,NA,NA
US National,2 wk ahead,percent,0.8,Point,NA,NA
US National,3 wk ahead,percent,0.7,Point,NA,NA
US National,4 wk ahead,percent,0.7,Point,NA,NA
US National,Season onset,week,51,Point,NA,NA
US National,Season peak percentage,percent,4.6,Point,NA,NA
US National,Season peak week,week,7,Point,NA,NA
US National,Season onset,week,0.000424910453683954,Bin,40.0,41.0
US National,Season onset,week,0.000826914500047751,Bin,41.0,42.0
US National,Season onset,week,0.00144035397592579,Bin,42.0,43.0
US National,Season onset,week,0.00225925934694217,Bin,43.0,44.0
US National,Season onset,week,0.00321615486310785,Bin,44.0,45.0
US National,Season onset,week,0.00419573486602211,Bin,45.0,46.0
US National,Season onset,week,0.00507467134379903,Bin,46.0,47.0
US National,Season onset,week,0.00576165308772397,Bin,47.0,48.0
US National,Season onset,week,0.0062099840569677,Bin,48.0,49.0
US National,Season onset,week,0.0063999322202904,Bin,49.0,50.0
US National,Season onset,week,0.00631836999909476,Bin,50.0,51.0
US National,Season onset,week,0.926847986216529,Bin,51.0,52.0
US National,Season onset,week,0.00539607825747886,Bin,52.0,53.0
US National,Season onset,week,0.00472119781477829,Bin,1.0,2.0
US National,Season onset,week,0.00408494382953234,Bin,2.0,3.0
US National,Season onset,week,0.00357795625062004,Bin,3.0,4.0
US National,Season onset,week,0.00318575622619919,Bin,4.0,5.0
US National,Season onset,week,0.00281340863726469,Bin,5.0,6.0
US National,Season onset,week,0.00236984702796496,Bin,6.0,7.0
US National,Season onset,week,0.00183932481838573,Bin,7.0,8.0
US National,Season onset,week,0.00128551618995085,Bin,8.0,9.0
US National,Season onset,week,0.00079851865637286,Bin,9.0,10.0
US National,Season onset,week,0.000437794111593672,Bin,10.0,11.0
US National,Season onset,week,0.000211097528364896,Bin,11.0,12.0
US National,Season onset,week,8.93587697590503e-05,Bin,12.0,13.0
US National,Season onset,week,3.43033297520897e-05,Bin,13.0,14.0
US National,Season onset,week,2.55676602639613e-05,Bin,14.0,15.0
US National,Season onset,week,2.55676602639613e-05,Bin,15.0,16.0
US National,Season onset,week,2.55676602639613e-05,Bin,16.0,17.0
US National,Season onset,week,2.55676602639613e-05,Bin,17.0,18.0
US National,Season onset,week,2.55676602639613e-05,Bin,18.0,19.0
US National,Season onset,week,2.55676602639613e-05,Bin,19.0,20.0
US National,Season onset,week,2.55676602639613e-05,Bin,20.0,21.0
US National,Season onset,week,0,Bin,none,none
US National,Season peak week,week,2.3019770679988e-05,Bin,40.0,41.0
US National,Season peak week,week,2.3019770679988e-05,Bin,41.0,42.0
US National,Season peak week,week,2.3019770679988e-05,Bin,42.0,43.0
US National,Season peak week,week,2.3019770679988e-05,Bin,43.0,44.0
US National,Season peak week,week,2.3019770679988e-05,Bin,44.0,45.0
US National,Season peak week,week,2.3019770679988e-05,Bin,45.0,46.0
US National,Season peak week,week,2.3019770679988e-05,Bin,46.0,47.0
US National,Season peak week,week,2.3019770679988e-05,Bin,47.0,48.0
US National,Season peak week,week,2.3019770679988e-05,Bin,48.0,49.0
US National,Season peak week,week,2.3019770679988e-05,Bin,49.0,50.0
US National,Season peak week,week,7.51602856349041e-05,Bin,50.0,51.0
US National,Season peak week,week,0.000843297871910029,Bin,51.0,52.0
US National,Season peak week,week,0.00189534626569543,Bin,52.0,53.0
US National,Season peak week,week,0.000886814639889676,Bin,1.0,2.0
US National,Season peak week,week,0.000583457753677474,Bin,2.0,3.0
US National,Season peak week,week,0.00115135120285002,Bin,3.0,4.0
US National,Season peak week,week,0.000555249379670533,Bin,4.0,5.0
US National,Season peak week,week,0.00067846053949418,Bin,5.0,6.0
US National,Season peak week,week,0.00284668607624281,Bin,6.0,7.0
US National,Season peak week,week,0.987772912954454,Bin,7.0,8.0
US National,Season peak week,week,0.00179616878608635,Bin,8.0,9.0
US National,Season peak week,week,0.000157042484847488,Bin,9.0,10.0
US National,Season peak week,week,4.79867320678627e-05,Bin,10.0,11.0
US National,Season peak week,week,4.79867320678627e-05,Bin,11.0,12.0
US National,Season peak week,week,4.79867320678627e-05,Bin,12.0,13.0
US National,Season peak week,week,4.79867320678627e-05,Bin,13.0,14.0
US National,Season peak week,week,4.79867320678627e-05,Bin,14.0,15.0
US National,Season peak week,week,4.79867320678627e-05,Bin,15.0,16.0
US National,Season peak week,week,4.79867320678627e-05,Bin,16.0,17.0
US National,Season peak week,week,4.79867320678627e-05,Bin,17.0,18.0
US National,Season peak week,week,4.79867320678627e-05,Bin,18.0,19.0
US National,Season peak week,week,4.79867320678627e-05,Bin,19.0,20.0
US National,Season peak week,week,4.79867320678627e-05,Bin,20.0,21.0
US National,Season peak percentage,percent,1.24514287984075e-06,Bin,0.0,0.1
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,0.1,0.2
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,0.2,0.3
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,0.3,0.4
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,0.4,0.5
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,0.5,0.6
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,0.6,0.7
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,0.7,0.8
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,0.8,0.9
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,0.9,1.0
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,1.0,1.1
US National,Season peak percentage,percent,2.49028575968151e-06,Bin,1.1,1.2
US National,Season peak percentage,percent,2.53884312642712e-06,Bin,1.2,1.3
US National,Season peak percentage,percent,3.60336691428984e-06,Bin,1.3,1.4
US National,Season peak percentage,percent,5.60942016184374e-06,Bin,1.4,1.5
US National,Season peak percentage,percent,8.54420959372235e-06,Bin,1.5,1.6
US National,Season peak percentage,percent,1.273478473243e-05,Bin,1.6,1.7
US National,Season peak percentage,percent,1.85757075496537e-05,Bin,1.7,1.8
US National,Season peak percentage,percent,2.65174386977515e-05,Bin,1.8,1.9
US National,Season peak percentage,percent,3.7054438955122e-05,Bin,1.9,2.0
US National,Season peak percentage,percent,5.06920875943089e-05,Bin,2.0,2.1
US National,Season peak percentage,percent,6.78962198198989e-05,Bin,2.1,2.2
US National,Season peak percentage,percent,8.90566795807706e-05,Bin,2.2,2.3
US National,Season peak percentage,percent,0.000114408943469492,Bin,2.3,2.4
US National,Season peak percentage,percent,0.000143981403130048,Bin,2.4,2.5
US National,Season peak percentage,percent,0.000177547888864676,Bin,2.5,2.6
US National,Season peak percentage,percent,0.000214571396090567,Bin,2.6,2.7
US National,Season peak percentage,percent,0.000254213884207359,Bin,2.7,2.8
US National,Season peak percentage,percent,0.000295342361714581,Bin,2.8,2.9
US National,Season peak percentage,percent,0.000336585064920286,Bin,2.9,3.0
US National,Season peak percentage,percent,0.000376417296497348,Bin,3.0,3.1
US National,Season peak percentage,percent,0.000413268888942977,Bin,3.1,3.2
US National,Season peak percentage,percent,0.000445650237992416,Bin,3.2,3.3
US National,Season peak percentage,percent,0.000472262580139247,Bin,3.3,3.4
US National,Season peak percentage,percent,0.000492115896324024,Bin,3.4,3.5
US National,Season peak percentage,percent,0.000504600210651396,Bin,3.5,3.6
US National,Season peak percentage,percent,0.000509516581419194,Bin,3.6,3.7
US National,Season peak percentage,percent,0.000507095492229747,Bin,3.7,3.8
US National,Season peak percentage,percent,0.000497946441607138,Bin,3.8,3.9
US National,Season peak percentage,percent,0.000482986443105444,Bin,3.9,4.0
US National,Season peak percentage,percent,0.000463376611085498,Bin,4.0,4.1
US National,Season peak percentage,percent,0.00044039992266457,Bin,4.1,4.2
US National,Season peak percentage,percent,0.000415381798195106,Bin,4.2,4.3
US National,Season peak percentage,percent,0.000389607744828562,Bin,4.3,4.4
US National,Season peak percentage,percent,0.000364245995771534,Bin,4.4,4.5
US National,Season peak percentage,percent,0.000340297395698664,Bin,4.5,4.6
US National,Season peak percentage,percent,0.984472506207041,Bin,4.6,4.7
US National,Season peak percentage,percent,0.000299570832185891,Bin,4.7,4.8
US National,Season peak percentage,percent,0.000283663931226068,Bin,4.8,4.9
US National,Season peak percentage,percent,0.000270896364033878,Bin,4.9,5.0
US National,Season peak percentage,percent,0.000261104935381489,Bin,5.0,5.1
US National,Season peak percentage,percent,0.000253903085787709,Bin,5.1,5.2
US National,Season peak percentage,percent,0.000248747945765283,Bin,5.2,5.3
US National,Season peak percentage,percent,0.000244966465712782,Bin,5.3,5.4
US National,Season peak percentage,percent,0.000241829140704138,Bin,5.4,5.5
US National,Season peak percentage,percent,0.000238611717987742,Bin,5.5,5.6
US National,Season peak percentage,percent,0.000234662142064375,Bin,5.6,5.7
US National,Season peak percentage,percent,0.000229459789903637,Bin,5.7,5.8
US National,Season peak percentage,percent,0.000222661366341817,Bin,5.8,5.9
US National,Season peak percentage,percent,0.000214141284929903,Bin,5.9,6.0
US National,Season peak percentage,percent,0.000203985195988045,Bin,6.0,6.1
US National,Season peak percentage,percent,0.000192495616313824,Bin,6.1,6.2
US National,Season peak percentage,percent,0.000180145447618232,Bin,6.2,6.3
