location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,0.9,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1,Point,NA,NA
HHS Region 1,Season onset,week,4,Point,NA,NA
HHS Region 1,Season peak percentage,percent,2.1,Point,NA,NA
HHS Region 1,Season peak week,week,7,Point,NA,NA
HHS Region 10,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 10,2 wk ahead,percent,1.8,Point,NA,NA
HHS Region 10,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 10,Season onset,week,7,Point,NA,NA
HHS Region 10,Season peak percentage,percent,3.3,Point,NA,NA
HHS Region 10,Season peak week,week,6,Point,NA,NA
HHS Region 2,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 2,2 wk ahead,percent,1.8,Point,NA,NA
HHS Region 2,3 wk ahead,percent,2,Point,NA,NA
HHS Region 2,4 wk ahead,percent,2.1,Point,NA,NA
HHS Region 2,Season onset,week,6,Point,NA,NA
HHS Region 2,Season peak percentage,percent,3.2,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.5,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 3,4 wk ahead,percent,2.1,Point,NA,NA
HHS Region 3,Season onset,week,5,Point,NA,NA
HHS Region 3,Season peak percentage,percent,3.4,Point,NA,NA
HHS Region 3,Season peak week,week,7,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,2 wk ahead,percent,2,Point,NA,NA
HHS Region 4,3 wk ahead,percent,2.1,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2.2,Point,NA,NA
HHS Region 4,Season onset,week,2,Point,NA,NA
HHS Region 4,Season peak percentage,percent,3,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.9,Point,NA,NA
HHS Region 5,4 wk ahead,percent,2.3,Point,NA,NA
HHS Region 5,Season onset,week,52,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.7,Point,NA,NA
HHS Region 5,Season peak week,week,7,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,3 wk ahead,percent,3,Point,NA,NA
HHS Region 6,4 wk ahead,percent,3.4,Point,NA,NA
HHS Region 6,Season onset,week,5,Point,NA,NA
HHS Region 6,Season peak percentage,percent,5.6,Point,NA,NA
HHS Region 6,Season peak week,week,7,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 7,4 wk ahead,percent,2,Point,NA,NA
HHS Region 7,Season onset,week,4,Point,NA,NA
HHS Region 7,Season peak percentage,percent,4.5,Point,NA,NA
HHS Region 7,Season peak week,week,6,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.6,Point,NA,NA
HHS Region 8,Season onset,week,7,Point,NA,NA
HHS Region 8,Season peak percentage,percent,2.9,Point,NA,NA
HHS Region 8,Season peak week,week,6,Point,NA,NA
HHS Region 9,1 wk ahead,percent,3,Point,NA,NA
HHS Region 9,2 wk ahead,percent,3.4,Point,NA,NA
HHS Region 9,3 wk ahead,percent,3.4,Point,NA,NA
HHS Region 9,4 wk ahead,percent,3.4,Point,NA,NA
HHS Region 9,Season onset,week,5,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.3,Point,NA,NA
HHS Region 9,Season peak week,week,6,Point,NA,NA
US National,1 wk ahead,percent,1.6,Point,NA,NA
US National,2 wk ahead,percent,1.8,Point,NA,NA
US National,3 wk ahead,percent,2,Point,NA,NA
US National,4 wk ahead,percent,2.1,Point,NA,NA
US National,Season onset,week,NA,Point,NA,NA
US National,Season peak percentage,percent,2.3,Point,NA,NA
US National,Season peak week,week,4,Point,NA,NA
US National,Season onset,week,0.000142790281812132,Bin,40.0,41.0
US National,Season onset,week,0.000193928440018621,Bin,41.0,42.0
US National,Season onset,week,0.00108860341443945,Bin,42.0,43.0
US National,Season onset,week,0.00427326559907641,Bin,43.0,44.0
US National,Season onset,week,0.00998779880980886,Bin,44.0,45.0
US National,Season onset,week,0.0145758714101317,Bin,45.0,46.0
US National,Season onset,week,0.0150663854844388,Bin,46.0,47.0
US National,Season onset,week,0.0143642089550307,Bin,47.0,48.0
US National,Season onset,week,0.016324390236564,Bin,48.0,49.0
US National,Season onset,week,0.0215130281216961,Bin,49.0,50.0
US National,Season onset,week,0.0284478113817092,Bin,50.0,51.0
US National,Season onset,week,0.0322454491840811,Bin,51.0,52.0
US National,Season onset,week,0.037671045889794,Bin,52.0,53.0
US National,Season onset,week,0.06175221269175,Bin,1.0,2.0
US National,Season onset,week,0.0492991866437533,Bin,2.0,3.0
US National,Season onset,week,0.0397186020821545,Bin,3.0,4.0
US National,Season onset,week,0.0368096391404503,Bin,4.0,5.0
US National,Season onset,week,0.0295036678568243,Bin,5.0,6.0
US National,Season onset,week,0.0162763196171887,Bin,6.0,7.0
US National,Season onset,week,0.0088002972945385,Bin,7.0,8.0
US National,Season onset,week,0.00808718003928158,Bin,8.0,9.0
US National,Season onset,week,0.00318005826627168,Bin,9.0,10.0
US National,Season onset,week,0.00316838420973028,Bin,10.0,11.0
US National,Season onset,week,0.00160052392750489,Bin,11.0,12.0
US National,Season onset,week,3.26636452795061e-05,Bin,12.0,13.0
US National,Season onset,week,0.00160052392750489,Bin,13.0,14.0
US National,Season onset,week,3.26636452795061e-05,Bin,14.0,15.0
US National,Season onset,week,3.26636452795061e-05,Bin,15.0,16.0
US National,Season onset,week,3.26636452795061e-05,Bin,16.0,17.0
US National,Season onset,week,3.26636452795061e-05,Bin,17.0,18.0
US National,Season onset,week,3.26636452795061e-05,Bin,18.0,19.0
US National,Season onset,week,3.26636452795061e-05,Bin,19.0,20.0
US National,Season onset,week,3.26636452795061e-05,Bin,20.0,21.0
US National,Season onset,week,0.54404751793221,Bin,none,none
US National,Season peak week,week,3.98061100481071e-10,Bin,40.0,41.0
US National,Season peak week,week,3.98061100481071e-10,Bin,41.0,42.0
US National,Season peak week,week,3.98061100481071e-10,Bin,42.0,43.0
US National,Season peak week,week,3.98061100481071e-10,Bin,43.0,44.0
US National,Season peak week,week,3.98061100481071e-10,Bin,44.0,45.0
US National,Season peak week,week,3.98061100481071e-10,Bin,45.0,46.0
US National,Season peak week,week,3.98061100481071e-10,Bin,46.0,47.0
US National,Season peak week,week,0.0550335422097785,Bin,47.0,48.0
US National,Season peak week,week,3.98061100481071e-10,Bin,48.0,49.0
US National,Season peak week,week,4.20027526068525e-10,Bin,49.0,50.0
US National,Season peak week,week,3.43192917190034e-09,Bin,50.0,51.0
US National,Season peak week,week,0.0255033676789861,Bin,51.0,52.0
US National,Season peak week,week,0.0845637685967999,Bin,52.0,53.0
US National,Season peak week,week,0.0885905988806222,Bin,1.0,2.0
US National,Season peak week,week,0.0979865554621779,Bin,2.0,3.0
US National,Season peak week,week,0.0953019918653219,Bin,3.0,4.0
US National,Season peak week,week,0.102013404329636,Bin,4.0,5.0
US National,Season peak week,week,0.0993288537998747,Bin,5.0,6.0
US National,Season peak week,week,0.0872483443422866,Bin,6.0,7.0
US National,Season peak week,week,0.0697987007381376,Bin,7.0,8.0
US National,Season peak week,week,0.0536912934108725,Bin,8.0,9.0
US National,Season peak week,week,0.0483221401398177,Bin,9.0,10.0
US National,Season peak week,week,0.0375838829273076,Bin,10.0,11.0
US National,Season peak week,week,0.0228187863062704,Bin,11.0,12.0
US National,Season peak week,week,0.0161073787682561,Bin,12.0,13.0
US National,Season peak week,week,0.00671140821503608,Bin,13.0,14.0
US National,Season peak week,week,0.00671140821503608,Bin,14.0,15.0
US National,Season peak week,week,6.77021755649485e-10,Bin,15.0,16.0
US National,Season peak week,week,0.00134228218462462,Bin,16.0,17.0
US National,Season peak week,week,6.77021755649485e-10,Bin,17.0,18.0
US National,Season peak week,week,0.00134228218462462,Bin,18.0,19.0
US National,Season peak week,week,6.77021755649485e-10,Bin,19.0,20.0
US National,Season peak week,week,6.77021755649485e-10,Bin,20.0,21.0
US National,Season peak percentage,percent,4.3047970653801e-07,Bin,0.0,0.1
US National,Season peak percentage,percent,8.6095941307602e-07,Bin,0.1,0.2
US National,Season peak percentage,percent,8.6095941307602e-07,Bin,0.2,0.3
US National,Season peak percentage,percent,8.6095941307602e-07,Bin,0.3,0.4
US National,Season peak percentage,percent,8.6095941307602e-07,Bin,0.4,0.5
US National,Season peak percentage,percent,8.6095941307602e-07,Bin,0.5,0.6
US National,Season peak percentage,percent,8.60959413076021e-07,Bin,0.6,0.7
US National,Season peak percentage,percent,8.60959413076021e-07,Bin,0.7,0.8
US National,Season peak percentage,percent,8.60959413076021e-07,Bin,0.8,0.9
US National,Season peak percentage,percent,9.35219164538298e-07,Bin,0.9,1.0
US National,Season peak percentage,percent,1.35650633601899e-06,Bin,1.0,1.1
US National,Season peak percentage,percent,1.9868656481253e-06,Bin,1.1,1.2
US National,Season peak percentage,percent,2.86419599549788e-06,Bin,1.2,1.3
US National,Season peak percentage,percent,4.06376487093063e-06,Bin,1.3,1.4
US National,Season peak percentage,percent,5.67533682056795e-06,Bin,1.4,1.5
US National,Season peak percentage,percent,7.80222336259748e-06,Bin,1.5,1.6
US National,Season peak percentage,percent,0.0813495205578892,Bin,1.6,1.7
US National,Season peak percentage,percent,0.0535787497072703,Bin,1.7,1.8
US National,Season peak percentage,percent,0.059534767061017,Bin,1.8,1.9
US National,Season peak percentage,percent,0.069459535021408,Bin,1.9,2.0
US National,Season peak percentage,percent,0.0754176481211431,Bin,2.0,2.1
US National,Season peak percentage,percent,0.0694736767903015,Bin,2.1,2.2
US National,Season peak percentage,percent,0.0694825567801651,Bin,2.2,2.3
US National,Season peak percentage,percent,0.0536216311215731,Bin,2.3,2.4
US National,Season peak percentage,percent,0.0734716421216162,Bin,2.4,2.5
US National,Season peak percentage,percent,0.0516612572872565,Bin,2.5,2.6
US National,Season peak percentage,percent,0.0576259806752728,Bin,2.6,2.7
US National,Season peak percentage,percent,0.0477202614031991,Bin,2.7,2.8
US National,Season peak percentage,percent,0.0358309304505338,Bin,2.8,2.9
US National,Season peak percentage,percent,0.0338608995014338,Bin,2.9,3.0
US National,Season peak percentage,percent,0.0239549023341468,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0259513346915985,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0299304594966264,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0220048316465433,Bin,3.3,3.4
US National,Season peak percentage,percent,0.0101097171129764,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0101159722956748,Bin,3.5,3.6
US National,Season peak percentage,percent,0.00416863587743738,Bin,3.6,3.7
US National,Season peak percentage,percent,0.010122625454777,Bin,3.7,3.8
US National,Season peak percentage,percent,0.00615540444189531,Bin,3.8,3.9
US National,Season peak percentage,percent,0.00813818352561968,Bin,3.9,4.0
US National,Season peak percentage,percent,0.00615183001897994,Bin,4.0,4.1
US National,Season peak percentage,percent,0.00019663449001817,Bin,4.1,4.2
US National,Season peak percentage,percent,0.000192293226945685,Bin,4.2,4.3
US National,Season peak percentage,percent,0.0021713574815555,Bin,4.3,4.4
US National,Season peak percentage,percent,0.0021663518460205,Bin,4.4,4.5
US National,Season peak percentage,percent,0.000177512625590474,Bin,4.5,4.6
US National,Season peak percentage,percent,0.000172774437130867,Bin,4.6,4.7
US National,Season peak percentage,percent,0.00215225454365324,Bin,4.7,4.8
US National,Season peak percentage,percent,0.00016437382051672,Bin,4.8,4.9
US National,Season peak percentage,percent,0.000160754249897816,Bin,4.9,5.0
US National,Season peak percentage,percent,0.000157454693196642,Bin,5.0,5.1
US National,Season peak percentage,percent,0.000154369439300356,Bin,5.1,5.2
US National,Season peak percentage,percent,0.000151364870492862,Bin,5.2,5.3
US National,Season peak percentage,percent,0.000148295654243485,Bin,5.3,5.4
US National,Season peak percentage,percent,0.000145021492243584,Bin,5.4,5.5
US National,Season peak percentage,percent,0.000141421014521717,Bin,5.5,5.6
US National,Season peak percentage,percent,0.000137407942202657,Bin,5.6,5.7
US National,Season peak percentage,percent,0.000132938959245565,Bin,5.7,5.8
US National,Season peak percentage,percent,0.000128019251079717,Bin,5.8,5.9
US National,Season peak percentage,percent,0.000122706100302146,Bin,5.9,6.0
US National,Season peak percentage,percent,0.000117103347748408,Bin,6.0,6.1
US National,Season peak percentage,percent,0.000111353655882757,Bin,6.1,6.2
US National,Season peak percentage,percent,0.000105626805528246,Bin,6.2,6.3
US National,Season peak percentage,percent,0.000100103625612891,Bin,6.3,6.4
US National,Season peak percentage,percent,9.49592389917244e-05,Bin,6.4,6.5
US National,Season peak percentage,percent,9.0346597705913e-05,Bin,6.5,6.6
US National,Season peak percentage,percent,8.63808023160867e-05,Bin,6.6,6.7
US National,Season peak percentage,percent,8.31264764286094e-05,Bin,6.7,6.8
US National,Season peak percentage,percent,8.05918649000409e-05,Bin,6.8,6.9
US National,Season peak percentage,percent,7.87252309761497e-05,Bin,6.9,7.0
US National,Season peak percentage,percent,7.74182391848438e-05,Bin,7.0,7.1
US National,Season peak percentage,percent,7.6517493698984e-05,Bin,7.1,7.2
US National,Season peak percentage,percent,7.58362653520628e-05,Bin,7.2,7.3
US National,Season peak percentage,percent,7.5171274544079e-05,Bin,7.3,7.4
US National,Season peak percentage,percent,7.43223857896355e-05,Bin,7.4,7.5
US National,Season peak percentage,percent,7.31090070631647e-05,Bin,7.5,7.6
US National,Season peak percentage,percent,7.13860606616457e-05,Bin,7.6,7.7
US National,Season peak percentage,percent,6.90561203963939e-05,Bin,7.7,7.8
US National,Season peak percentage,percent,6.60741261181931e-05,Bin,7.8,7.9
US National,Season peak percentage,percent,6.24494522789346e-05,Bin,7.9,8.0
US National,Season peak percentage,percent,5.82440303393754e-05,Bin,8.0,8.1
US National,Season peak percentage,percent,5.35605037749916e-05,Bin,8.1,8.2
US National,Season peak percentage,percent,4.85325048204906e-05,Bin,8.2,8.3
US National,Season peak percentage,percent,4.33122123065464e-05,Bin,8.3,8.4
US National,Season peak percentage,percent,3.80551446457884e-05,Bin,8.4,8.5
US National,Season peak percentage,percent,3.29096504689971e-05,Bin,8.5,8.6
US National,Season peak percentage,percent,2.80057498676744e-05,Bin,8.6,8.7
