location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 1,Season onset,week,50,Point,NA,NA
HHS Region 1,Season peak percentage,percent,3.3,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.7,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1.1,Point,NA,NA
HHS Region 10,Season onset,week,51,Point,NA,NA
HHS Region 10,Season peak percentage,percent,2.3,Point,NA,NA
HHS Region 10,Season peak week,week,5,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.7,Point,NA,NA
HHS Region 2,2 wk ahead,percent,3,Point,NA,NA
HHS Region 2,3 wk ahead,percent,3.1,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3.5,Point,NA,NA
HHS Region 2,Season onset,week,48,Point,NA,NA
HHS Region 2,Season peak percentage,percent,7,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.9,Point,NA,NA
HHS Region 3,4 wk ahead,percent,2,Point,NA,NA
HHS Region 3,Season onset,week,50,Point,NA,NA
HHS Region 3,Season peak percentage,percent,4.4,Point,NA,NA
HHS Region 3,Season peak week,week,4,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.9,Point,NA,NA
HHS Region 4,2 wk ahead,percent,2,Point,NA,NA
HHS Region 4,3 wk ahead,percent,2.2,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2.4,Point,NA,NA
HHS Region 4,Season onset,week,46,Point,NA,NA
HHS Region 4,Season peak percentage,percent,4.2,Point,NA,NA
HHS Region 4,Season peak week,week,4,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.4,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.5,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.5,Point,NA,NA
HHS Region 5,Season onset,week,2,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.7,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.5,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.9,Point,NA,NA
HHS Region 6,3 wk ahead,percent,3.1,Point,NA,NA
HHS Region 6,4 wk ahead,percent,3.3,Point,NA,NA
HHS Region 6,Season onset,week,52,Point,NA,NA
HHS Region 6,Season peak percentage,percent,7.1,Point,NA,NA
HHS Region 6,Season peak week,week,5,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,Season onset,week,2,Point,NA,NA
HHS Region 7,Season peak percentage,percent,4.1,Point,NA,NA
HHS Region 7,Season peak week,week,6,Point,NA,NA
HHS Region 8,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 8,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1,Point,NA,NA
HHS Region 8,Season onset,week,52,Point,NA,NA
HHS Region 8,Season peak percentage,percent,3.2,Point,NA,NA
HHS Region 8,Season peak week,week,6,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.8,Point,NA,NA
HHS Region 9,3 wk ahead,percent,2.2,Point,NA,NA
HHS Region 9,4 wk ahead,percent,2.5,Point,NA,NA
HHS Region 9,Season onset,week,50,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.3,Point,NA,NA
HHS Region 9,Season peak week,week,5,Point,NA,NA
US National,1 wk ahead,percent,1.7,Point,NA,NA
US National,2 wk ahead,percent,1.8,Point,NA,NA
US National,3 wk ahead,percent,1.9,Point,NA,NA
US National,4 wk ahead,percent,2,Point,NA,NA
US National,Season onset,week,50,Point,NA,NA
US National,Season peak percentage,percent,4.2,Point,NA,NA
US National,Season peak week,week,4,Point,NA,NA
US National,Season onset,week,0.000153623024233997,Bin,40.0,41.0
US National,Season onset,week,0.000415405666034626,Bin,41.0,42.0
US National,Season onset,week,0.0009650547317295,Bin,42.0,43.0
US National,Season onset,week,0.00194724911552568,Bin,43.0,44.0
US National,Season onset,week,0.00344537362443127,Bin,44.0,45.0
US National,Season onset,week,0.00538410706779563,Bin,45.0,46.0
US National,Season onset,week,0.00923539231186783,Bin,46.0,47.0
US National,Season onset,week,0.104539079566263,Bin,47.0,48.0
US National,Season onset,week,0.160317891608851,Bin,48.0,49.0
US National,Season onset,week,0.142877813181407,Bin,49.0,50.0
US National,Season onset,week,0.11760928614617,Bin,50.0,51.0
US National,Season onset,week,0.0759588031775419,Bin,51.0,52.0
US National,Season onset,week,0.0623608885556644,Bin,52.0,53.0
US National,Season onset,week,0.0400740818595152,Bin,1.0,2.0
US National,Season onset,week,0.0181153496930198,Bin,2.0,3.0
US National,Season onset,week,0.0229078946554071,Bin,3.0,4.0
US National,Season onset,week,0.0242013615048794,Bin,4.0,5.0
US National,Season onset,week,0.0111549087010085,Bin,5.0,6.0
US National,Season onset,week,0.00842558715857674,Bin,6.0,7.0
US National,Season onset,week,0.00384136895954341,Bin,7.0,8.0
US National,Season onset,week,0.00470210697535568,Bin,8.0,9.0
US National,Season onset,week,0.00232276938797799,Bin,9.0,10.0
US National,Season onset,week,0.000222191727839765,Bin,10.0,11.0
US National,Season onset,week,7.35641950786163e-05,Bin,11.0,12.0
US National,Season onset,week,0.00179332889211938,Bin,12.0,13.0
US National,Season onset,week,2.79473276909908e-05,Bin,13.0,14.0
US National,Season onset,week,2.79473276909908e-05,Bin,14.0,15.0
US National,Season onset,week,2.79473276909908e-05,Bin,15.0,16.0
US National,Season onset,week,2.79473276909908e-05,Bin,16.0,17.0
US National,Season onset,week,2.79473276909908e-05,Bin,17.0,18.0
US National,Season onset,week,2.79473276909908e-05,Bin,18.0,19.0
US National,Season onset,week,2.79473276909908e-05,Bin,19.0,20.0
US National,Season onset,week,2.79473276909908e-05,Bin,20.0,21.0
US National,Season onset,week,0.176731939890634,Bin,none,none
US National,Season peak week,week,0.00065703916895717,Bin,40.0,41.0
US National,Season peak week,week,0.00065703916895717,Bin,41.0,42.0
US National,Season peak week,week,0.00065703916895717,Bin,42.0,43.0
US National,Season peak week,week,0.00065703916895717,Bin,43.0,44.0
US National,Season peak week,week,0.00065703916895717,Bin,44.0,45.0
US National,Season peak week,week,0.00652671915059203,Bin,45.0,46.0
US National,Season peak week,week,0.00484966772726778,Bin,46.0,47.0
US National,Season peak week,week,0.00652671915059203,Bin,47.0,48.0
US National,Season peak week,week,0.0107193477089026,Bin,48.0,49.0
US National,Season peak week,week,0.0132725172836645,Bin,49.0,50.0
US National,Season peak week,week,0.0224574461734195,Bin,50.0,51.0
US National,Season peak week,week,0.0590885069335501,Bin,51.0,52.0
US National,Season peak week,week,0.0915373203882132,Bin,52.0,53.0
US National,Season peak week,week,0.0801016346454688,Bin,1.0,2.0
US National,Season peak week,week,0.0740081171721947,Bin,2.0,3.0
US National,Season peak week,week,0.0730309563724294,Bin,3.0,4.0
US National,Season peak week,week,0.0703587551635503,Bin,4.0,5.0
US National,Season peak week,week,0.0925391411121599,Bin,5.0,6.0
US National,Season peak week,week,0.0918289415912116,Bin,6.0,7.0
US National,Season peak week,week,0.0881542839866538,Bin,7.0,8.0
US National,Season peak week,week,0.0613767395387206,Bin,8.0,9.0
US National,Season peak week,week,0.0422742394033813,Bin,9.0,10.0
US National,Season peak week,week,0.0431312204769918,Bin,10.0,11.0
US National,Season peak week,week,0.0319513840331779,Bin,11.0,12.0
US National,Season peak week,week,0.0215053451143328,Bin,12.0,13.0
US National,Season peak week,week,0.00378314367939891,Bin,13.0,14.0
US National,Season peak week,week,0.00182460457527067,Bin,14.0,15.0
US National,Season peak week,week,0.000978008795678367,Bin,15.0,16.0
US National,Season peak week,week,0.00181653450734049,Bin,16.0,17.0
US National,Season peak week,week,0.00181653450734049,Bin,17.0,18.0
US National,Season peak week,week,0.000978008795678367,Bin,18.0,19.0
US National,Season peak week,week,0.000139483084016245,Bin,19.0,20.0
US National,Season peak week,week,0.000139483084016245,Bin,20.0,21.0
US National,Season peak percentage,percent,5.34380341698367e-05,Bin,0.0,0.1
US National,Season peak percentage,percent,0.000133397728562227,Bin,0.1,0.2
US National,Season peak percentage,percent,0.000177163923982348,Bin,0.2,0.3
US National,Season peak percentage,percent,0.000232984725643284,Bin,0.3,0.4
US National,Season peak percentage,percent,0.00030345255083856,Bin,0.4,0.5
US National,Season peak percentage,percent,0.000391504763544409,Bin,0.5,0.6
US National,Season peak percentage,percent,0.000500410264027313,Bin,0.6,0.7
US National,Season peak percentage,percent,0.000633780756165651,Bin,0.7,0.8
US National,Season peak percentage,percent,0.000795543803535479,Bin,0.8,0.9
US National,Season peak percentage,percent,0.000989869118221601,Bin,0.9,1.0
US National,Season peak percentage,percent,0.00122114377964171,Bin,1.0,1.1
US National,Season peak percentage,percent,0.00149385427738308,Bin,1.1,1.2
US National,Season peak percentage,percent,0.00181250699482602,Bin,1.2,1.3
US National,Season peak percentage,percent,0.0021814545863937,Bin,1.3,1.4
US National,Season peak percentage,percent,0.00260484974056054,Bin,1.4,1.5
US National,Season peak percentage,percent,0.00308647381468974,Bin,1.5,1.6
US National,Season peak percentage,percent,0.0056177973847607,Bin,1.6,1.7
US National,Season peak percentage,percent,0.00594033002780205,Bin,1.7,1.8
US National,Season peak percentage,percent,0.00803221933296683,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00876909658424948,Bin,1.9,2.0
US National,Season peak percentage,percent,0.0098540329757007,Bin,2.0,2.1
US National,Season peak percentage,percent,0.0124204791715565,Bin,2.1,2.2
US National,Season peak percentage,percent,0.0113510863522802,Bin,2.2,2.3
US National,Season peak percentage,percent,0.0148770376984596,Bin,2.3,2.4
US National,Season peak percentage,percent,0.0167410942142697,Bin,2.4,2.5
US National,Season peak percentage,percent,0.0163652758111617,Bin,2.5,2.6
US National,Season peak percentage,percent,0.0177147415652012,Bin,2.6,2.7
US National,Season peak percentage,percent,0.0187880926694993,Bin,2.7,2.8
US National,Season peak percentage,percent,0.0204232615283194,Bin,2.8,2.9
US National,Season peak percentage,percent,0.0211849470128777,Bin,2.9,3.0
US National,Season peak percentage,percent,0.0227620971294091,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0217308030385929,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0234733417263989,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0237153619312995,Bin,3.3,3.4
US National,Season peak percentage,percent,0.0235812048862026,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0250491973363527,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0252711117259706,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0259462345225985,Bin,3.7,3.8
US National,Season peak percentage,percent,0.025651942880629,Bin,3.8,3.9
US National,Season peak percentage,percent,0.0255245927167843,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0255672643635155,Bin,4.0,4.1
US National,Season peak percentage,percent,0.0249332020409157,Bin,4.1,4.2
