location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.4,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.5,Point,NA,NA
HHS Region 1,Season onset,week,2,Point,NA,NA
HHS Region 1,Season peak percentage,percent,2.2,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,3.2,Point,NA,NA
HHS Region 10,2 wk ahead,percent,2.4,Point,NA,NA
HHS Region 10,3 wk ahead,percent,2.4,Point,NA,NA
HHS Region 10,4 wk ahead,percent,2.2,Point,NA,NA
HHS Region 10,Season onset,week,50,Point,NA,NA
HHS Region 10,Season peak percentage,percent,4,Point,NA,NA
HHS Region 10,Season peak week,week,52,Point,NA,NA
HHS Region 2,1 wk ahead,percent,5.4,Point,NA,NA
HHS Region 2,2 wk ahead,percent,5.3,Point,NA,NA
HHS Region 2,3 wk ahead,percent,5.6,Point,NA,NA
HHS Region 2,4 wk ahead,percent,5.7,Point,NA,NA
HHS Region 2,Season onset,week,47,Point,NA,NA
HHS Region 2,Season peak percentage,percent,7.6,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,3.3,Point,NA,NA
HHS Region 3,2 wk ahead,percent,3.3,Point,NA,NA
HHS Region 3,3 wk ahead,percent,3.3,Point,NA,NA
HHS Region 3,4 wk ahead,percent,3.3,Point,NA,NA
HHS Region 3,Season onset,week,51,Point,NA,NA
HHS Region 3,Season peak percentage,percent,4.1,Point,NA,NA
HHS Region 3,Season peak week,week,4,Point,NA,NA
HHS Region 4,1 wk ahead,percent,3.5,Point,NA,NA
HHS Region 4,2 wk ahead,percent,3.5,Point,NA,NA
HHS Region 4,3 wk ahead,percent,3.5,Point,NA,NA
HHS Region 4,4 wk ahead,percent,3.6,Point,NA,NA
HHS Region 4,Season onset,week,45,Point,NA,NA
HHS Region 4,Season peak percentage,percent,4.3,Point,NA,NA
HHS Region 4,Season peak week,week,4,Point,NA,NA
HHS Region 5,1 wk ahead,percent,3,Point,NA,NA
HHS Region 5,2 wk ahead,percent,2.9,Point,NA,NA
HHS Region 5,3 wk ahead,percent,2.9,Point,NA,NA
HHS Region 5,4 wk ahead,percent,3,Point,NA,NA
HHS Region 5,Season onset,week,52,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.7,Point,NA,NA
HHS Region 5,Season peak week,week,4,Point,NA,NA
HHS Region 6,1 wk ahead,percent,4.3,Point,NA,NA
HHS Region 6,2 wk ahead,percent,4.4,Point,NA,NA
HHS Region 6,3 wk ahead,percent,4.5,Point,NA,NA
HHS Region 6,4 wk ahead,percent,4.4,Point,NA,NA
HHS Region 6,Season onset,week,2,Point,NA,NA
HHS Region 6,Season peak percentage,percent,5.9,Point,NA,NA
HHS Region 6,Season peak week,week,5,Point,NA,NA
HHS Region 7,1 wk ahead,percent,4,Point,NA,NA
HHS Region 7,2 wk ahead,percent,3.7,Point,NA,NA
HHS Region 7,3 wk ahead,percent,3.7,Point,NA,NA
HHS Region 7,4 wk ahead,percent,3.7,Point,NA,NA
HHS Region 7,Season onset,week,52,Point,NA,NA
HHS Region 7,Season peak percentage,percent,5.3,Point,NA,NA
HHS Region 7,Season peak week,week,3,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.7,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.8,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.9,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 8,Season onset,week,51,Point,NA,NA
HHS Region 8,Season peak percentage,percent,2.7,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,2.8,Point,NA,NA
HHS Region 9,2 wk ahead,percent,3.2,Point,NA,NA
HHS Region 9,3 wk ahead,percent,3.5,Point,NA,NA
HHS Region 9,4 wk ahead,percent,3.6,Point,NA,NA
HHS Region 9,Season onset,week,1,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.1,Point,NA,NA
HHS Region 9,Season peak week,week,5,Point,NA,NA
US National,1 wk ahead,percent,3.6,Point,NA,NA
US National,2 wk ahead,percent,3.6,Point,NA,NA
US National,3 wk ahead,percent,3.7,Point,NA,NA
US National,4 wk ahead,percent,3.7,Point,NA,NA
US National,Season onset,week,50,Point,NA,NA
US National,Season peak percentage,percent,4.2,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,0.00011040012806058,Bin,40.0,41.0
US National,Season onset,week,0.000298528392404239,Bin,41.0,42.0
US National,Season onset,week,0.00069352979092623,Bin,42.0,43.0
US National,Season onset,week,0.00139937669241663,Bin,43.0,44.0
US National,Season onset,week,0.00247599286988966,Bin,44.0,45.0
US National,Season onset,week,0.00386924922516665,Bin,45.0,46.0
US National,Season onset,week,0.00536893115488773,Bin,46.0,47.0
US National,Season onset,week,0.00665339925528071,Bin,47.0,48.0
US National,Season onset,week,0.00742994943699522,Bin,48.0,49.0
US National,Season onset,week,0.00757692139522504,Bin,49.0,50.0
US National,Season onset,week,0.922535240571999,Bin,50.0,51.0
US National,Season onset,week,0.00640264368444855,Bin,51.0,52.0
US National,Season onset,week,0.00550671095507427,Bin,52.0,53.0
US National,Season onset,week,0.00470664733057094,Bin,1.0,2.0
US National,Season onset,week,0.00414235188727826,Bin,2.0,3.0
US National,Season onset,week,0.00378243149612907,Bin,3.0,4.0
US National,Season onset,week,0.00344395593086221,Bin,4.0,5.0
US National,Season onset,week,0.00294432773571686,Bin,5.0,6.0
US National,Season onset,week,0.00225093703740976,Bin,6.0,7.0
US National,Season onset,week,0.00149255428042754,Bin,7.0,8.0
US National,Season onset,week,0.000843102467671896,Bin,8.0,9.0
US National,Season onset,week,0.000401225091924366,Bin,9.0,10.0
US National,Season onset,week,0.000159676263238754,Bin,10.0,11.0
US National,Season onset,week,5.28663052633913e-05,Bin,11.0,12.0
US National,Season onset,week,2.07470174009141e-05,Bin,12.0,13.0
US National,Season onset,week,2.00841176940517e-05,Bin,13.0,14.0
US National,Season onset,week,2.00841176940517e-05,Bin,14.0,15.0
US National,Season onset,week,2.00841176940517e-05,Bin,15.0,16.0
US National,Season onset,week,2.00841176940517e-05,Bin,16.0,17.0
US National,Season onset,week,2.00841176940517e-05,Bin,17.0,18.0
US National,Season onset,week,2.00841176940517e-05,Bin,18.0,19.0
US National,Season onset,week,2.00841176940517e-05,Bin,19.0,20.0
US National,Season onset,week,2.00841176940517e-05,Bin,20.0,21.0
US National,Season onset,week,0.00527763066177928,Bin,none,none
US National,Season peak week,week,0.000135737084368371,Bin,40.0,41.0
US National,Season peak week,week,0.000135737084368371,Bin,41.0,42.0
US National,Season peak week,week,0.000135737084368371,Bin,42.0,43.0
US National,Season peak week,week,0.000135737084368371,Bin,43.0,44.0
US National,Season peak week,week,0.000135737084368371,Bin,44.0,45.0
US National,Season peak week,week,0.000135737084368371,Bin,45.0,46.0
US National,Season peak week,week,0.000135737084368371,Bin,46.0,47.0
US National,Season peak week,week,0.000135737084368371,Bin,47.0,48.0
US National,Season peak week,week,0.000135737084368371,Bin,48.0,49.0
US National,Season peak week,week,0.000143503270061298,Bin,49.0,50.0
US National,Season peak week,week,0.00117485775129825,Bin,50.0,51.0
US National,Season peak week,week,0.00649044027727947,Bin,51.0,52.0
US National,Season peak week,week,0.0859515150487858,Bin,52.0,53.0
US National,Season peak week,week,0.09422950034789,Bin,1.0,2.0
US National,Season peak week,week,0.100572890465931,Bin,2.0,3.0
US National,Season peak week,week,0.104102156355471,Bin,3.0,4.0
US National,Season peak week,week,0.105502299917128,Bin,4.0,5.0
US National,Season peak week,week,0.107312841759177,Bin,5.0,6.0
US National,Season peak week,week,0.0943069199555092,Bin,6.0,7.0
US National,Season peak week,week,0.0728798332263937,Bin,7.0,8.0
US National,Season peak week,week,0.0646561283971081,Bin,8.0,9.0
US National,Season peak week,week,0.0388291979153724,Bin,9.0,10.0
US National,Season peak week,week,0.0446895661206656,Bin,10.0,11.0
US National,Season peak week,week,0.0385554862320327,Bin,11.0,12.0
US National,Season peak week,week,0.0145635499639168,Bin,12.0,13.0
US National,Season peak week,week,0.0131543319534595,Bin,13.0,14.0
US National,Season peak week,week,0.00432797177556848,Bin,14.0,15.0
US National,Season peak week,week,0.00146131196955985,Bin,15.0,16.0
US National,Season peak week,week,0.00289380827928162,Bin,16.0,17.0
US National,Season peak week,week,0.00146131196955985,Bin,17.0,18.0
US National,Season peak week,week,0.00146131196955985,Bin,18.0,19.0
US National,Season peak week,week,2.88156598380703e-05,Bin,19.0,20.0
US National,Season peak week,week,2.88156598380703e-05,Bin,20.0,21.0
US National,Season peak percentage,percent,5.27139376426777e-06,Bin,0.0,0.1
US National,Season peak percentage,percent,1.31590163642913e-05,Bin,0.1,0.2
US National,Season peak percentage,percent,1.74763322690287e-05,Bin,0.2,0.3
US National,Season peak percentage,percent,2.29827748665918e-05,Bin,0.3,0.4
US National,Season peak percentage,percent,2.99340732484021e-05,Bin,0.4,0.5
US National,Season peak percentage,percent,3.86199838105948e-05,Bin,0.5,0.6
US National,Season peak percentage,percent,4.93629673951731e-05,Bin,0.6,0.7
US National,Season peak percentage,percent,6.25193007655177e-05,Bin,0.7,0.8
US National,Season peak percentage,percent,7.84764187344624e-05,Bin,0.8,0.9
