location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,2.8
HHS Region 1,2 wk ahead,Point,percent,NA,NA,2.5
HHS Region 1,3 wk ahead,Point,percent,NA,NA,2.4
HHS Region 1,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 1,Season onset,Point,week,NA,NA,49
HHS Region 1,Season peak percentage,Point,percent,NA,NA,3.7
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,3.1
HHS Region 10,2 wk ahead,Point,percent,NA,NA,2.3
HHS Region 10,3 wk ahead,Point,percent,NA,NA,1.9
HHS Region 10,4 wk ahead,Point,percent,NA,NA,1.6
HHS Region 10,Season onset,Point,week,NA,NA,50
HHS Region 10,Season peak percentage,Point,percent,NA,NA,3.9
HHS Region 10,Season peak week,Point,week,NA,NA,10
HHS Region 2,1 wk ahead,Point,percent,NA,NA,3.8
HHS Region 2,2 wk ahead,Point,percent,NA,NA,3.6
HHS Region 2,3 wk ahead,Point,percent,NA,NA,3.3
HHS Region 2,4 wk ahead,Point,percent,NA,NA,3.1
HHS Region 2,Season onset,Point,week,NA,NA,49
HHS Region 2,Season peak percentage,Point,percent,NA,NA,5.2
HHS Region 2,Season peak week,Point,week,NA,NA,7
HHS Region 3,1 wk ahead,Point,percent,NA,NA,3.7
HHS Region 3,2 wk ahead,Point,percent,NA,NA,3.1
HHS Region 3,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 3,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 3,Season onset,Point,week,NA,NA,50
HHS Region 3,Season peak percentage,Point,percent,NA,NA,4.7
HHS Region 3,Season peak week,Point,week,NA,NA,8
HHS Region 4,1 wk ahead,Point,percent,NA,NA,3.4
HHS Region 4,2 wk ahead,Point,percent,NA,NA,3
HHS Region 4,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 4,4 wk ahead,Point,percent,NA,NA,2.4
HHS Region 4,Season onset,Point,week,NA,NA,47
HHS Region 4,Season peak percentage,Point,percent,NA,NA,5.9
HHS Region 4,Season peak week,Point,week,NA,NA,6
HHS Region 5,1 wk ahead,Point,percent,NA,NA,3
HHS Region 5,2 wk ahead,Point,percent,NA,NA,2.6
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 5,4 wk ahead,Point,percent,NA,NA,1.9
HHS Region 5,Season onset,Point,week,NA,NA,51
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3.4
HHS Region 5,Season peak week,Point,week,NA,NA,10
HHS Region 6,1 wk ahead,Point,percent,NA,NA,6.1
HHS Region 6,2 wk ahead,Point,percent,NA,NA,5.1
HHS Region 6,3 wk ahead,Point,percent,NA,NA,4.2
HHS Region 6,4 wk ahead,Point,percent,NA,NA,3.7
HHS Region 6,Season onset,Point,week,NA,NA,51
HHS Region 6,Season peak percentage,Point,percent,NA,NA,10.2
HHS Region 6,Season peak week,Point,week,NA,NA,7
HHS Region 7,1 wk ahead,Point,percent,NA,NA,4.5
HHS Region 7,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 7,3 wk ahead,Point,percent,NA,NA,2
HHS Region 7,4 wk ahead,Point,percent,NA,NA,1.5
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,6.4
HHS Region 7,Season peak week,Point,week,NA,NA,10
HHS Region 8,1 wk ahead,Point,percent,NA,NA,4.5
HHS Region 8,2 wk ahead,Point,percent,NA,NA,3.3
HHS Region 8,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 8,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 8,Season onset,Point,week,NA,NA,46
HHS Region 8,Season peak percentage,Point,percent,NA,NA,6.4
HHS Region 8,Season peak week,Point,week,NA,NA,10
HHS Region 9,1 wk ahead,Point,percent,NA,NA,3.1
HHS Region 9,2 wk ahead,Point,percent,NA,NA,2.6
HHS Region 9,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 9,4 wk ahead,Point,percent,NA,NA,2
HHS Region 9,Season onset,Point,week,NA,NA,48
HHS Region 9,Season peak percentage,Point,percent,NA,NA,3.9
HHS Region 9,Season peak week,Point,week,NA,NA,9
US National,1 wk ahead,Point,percent,NA,NA,4.2
US National,2 wk ahead,Point,percent,NA,NA,3.9
US National,3 wk ahead,Point,percent,NA,NA,3.6
US National,4 wk ahead,Point,percent,NA,NA,3.3
US National,Season onset,Point,week,NA,NA,47
US National,Season peak percentage,Point,percent,NA,NA,5.1
US National,Season peak week,Point,week,NA,NA,7
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000105781056899655
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.000279264310034916
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.000385937537547992
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000509515173461044
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.000645233630612691
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00078779796083444
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.000932792230117743
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00301167228851116
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0012203856400847
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.00135969175040546
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.00342544061363301
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00257457682543263
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.00266532764191482
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00272069558180649
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.00563604392627289
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.00560968743035874
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0036167278684163
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0016038888427634
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00248508149776544
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00916998283570098
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0119894670920615
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0293142126454704
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0379267128952639
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0281496368460304
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.0618747355051008
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0656055045436578
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0606253391818648
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.106903769175856
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0806617171966567
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0892537462809709
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0611182059018784
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.078458417446544
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0406939540423331
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0464648483057089
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0213005479822988
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0270914829501375
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0222495528549739
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0222468738297027
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0125758315755838
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.00483906094249404
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.00580615727163026
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.0106416389173113
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00580615727163026
