location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,2.8
HHS Region 1,2 wk ahead,Point,percent,NA,NA,2.5
HHS Region 1,3 wk ahead,Point,percent,NA,NA,2.4
HHS Region 1,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 1,Season onset,Point,week,NA,NA,49
HHS Region 1,Season peak percentage,Point,percent,NA,NA,3.7
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,3.1
HHS Region 10,2 wk ahead,Point,percent,NA,NA,2.3
HHS Region 10,3 wk ahead,Point,percent,NA,NA,1.9
HHS Region 10,4 wk ahead,Point,percent,NA,NA,1.6
HHS Region 10,Season onset,Point,week,NA,NA,50
HHS Region 10,Season peak percentage,Point,percent,NA,NA,3.9
HHS Region 10,Season peak week,Point,week,NA,NA,10
HHS Region 2,1 wk ahead,Point,percent,NA,NA,3.8
HHS Region 2,2 wk ahead,Point,percent,NA,NA,3.6
HHS Region 2,3 wk ahead,Point,percent,NA,NA,3.3
HHS Region 2,4 wk ahead,Point,percent,NA,NA,3.1
HHS Region 2,Season onset,Point,week,NA,NA,49
HHS Region 2,Season peak percentage,Point,percent,NA,NA,5.2
HHS Region 2,Season peak week,Point,week,NA,NA,7
HHS Region 3,1 wk ahead,Point,percent,NA,NA,3.7
HHS Region 3,2 wk ahead,Point,percent,NA,NA,3.1
HHS Region 3,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 3,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 3,Season onset,Point,week,NA,NA,50
HHS Region 3,Season peak percentage,Point,percent,NA,NA,4.7
HHS Region 3,Season peak week,Point,week,NA,NA,8
HHS Region 4,1 wk ahead,Point,percent,NA,NA,3.4
HHS Region 4,2 wk ahead,Point,percent,NA,NA,3
HHS Region 4,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 4,4 wk ahead,Point,percent,NA,NA,2.4
HHS Region 4,Season onset,Point,week,NA,NA,47
HHS Region 4,Season peak percentage,Point,percent,NA,NA,5.9
HHS Region 4,Season peak week,Point,week,NA,NA,6
HHS Region 5,1 wk ahead,Point,percent,NA,NA,3
HHS Region 5,2 wk ahead,Point,percent,NA,NA,2.6
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 5,4 wk ahead,Point,percent,NA,NA,1.9
HHS Region 5,Season onset,Point,week,NA,NA,51
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3.4
HHS Region 5,Season peak week,Point,week,NA,NA,10
HHS Region 6,1 wk ahead,Point,percent,NA,NA,6.1
HHS Region 6,2 wk ahead,Point,percent,NA,NA,5.1
HHS Region 6,3 wk ahead,Point,percent,NA,NA,4.2
HHS Region 6,4 wk ahead,Point,percent,NA,NA,3.7
HHS Region 6,Season onset,Point,week,NA,NA,51
HHS Region 6,Season peak percentage,Point,percent,NA,NA,10.2
HHS Region 6,Season peak week,Point,week,NA,NA,7
HHS Region 7,1 wk ahead,Point,percent,NA,NA,4.5
HHS Region 7,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 7,3 wk ahead,Point,percent,NA,NA,2
HHS Region 7,4 wk ahead,Point,percent,NA,NA,1.5
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,6.4
HHS Region 7,Season peak week,Point,week,NA,NA,10
HHS Region 8,1 wk ahead,Point,percent,NA,NA,4.5
HHS Region 8,2 wk ahead,Point,percent,NA,NA,3.3
HHS Region 8,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 8,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 8,Season onset,Point,week,NA,NA,46
HHS Region 8,Season peak percentage,Point,percent,NA,NA,6.4
HHS Region 8,Season peak week,Point,week,NA,NA,10
HHS Region 9,1 wk ahead,Point,percent,NA,NA,3.1
HHS Region 9,2 wk ahead,Point,percent,NA,NA,2.6
HHS Region 9,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 9,4 wk ahead,Point,percent,NA,NA,2
HHS Region 9,Season onset,Point,week,NA,NA,48
HHS Region 9,Season peak percentage,Point,percent,NA,NA,3.9
HHS Region 9,Season peak week,Point,week,NA,NA,9
US National,1 wk ahead,Point,percent,NA,NA,4.3
US National,2 wk ahead,Point,percent,NA,NA,3.9
US National,3 wk ahead,Point,percent,NA,NA,3.6
US National,4 wk ahead,Point,percent,NA,NA,3.3
US National,Season onset,Point,week,NA,NA,47
US National,Season peak percentage,Point,percent,NA,NA,5.1
US National,Season peak week,Point,week,NA,NA,7
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,9.78166940750062e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.000258238137502329
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.000356879685895116
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.0004711528525919
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.000596652707458265
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000728482949856071
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.000862560084393109
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00293550084332066
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.00112849899849173
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.00125731556887587
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.00331811303707123
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00245601912858523
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.00253993590255967
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00259113413857295
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0055128558075517
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.00548848386410585
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00349499474460765
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.00148312331065706
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00237326248305745
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00908188984439315
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0119149666706498
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0292905553610955
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0379322323230188
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0281383715929827
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.0619594625611871
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0657105029592254
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0607288440250504
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.107136897594295
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0808377765556876
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0894605231831785
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0612598940808259
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.078649783530616
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0407922916142435
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0465804360523651
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0213532125620088
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0271598888119926
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0223060569886529
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0223035796660945
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0126077688947043
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.00485117869174756
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.00582075246711716
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.0106686213439651
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00582075246711716
