location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,2.8
HHS Region 1,2 wk ahead,Point,percent,NA,NA,2.6
HHS Region 1,3 wk ahead,Point,percent,NA,NA,2.4
HHS Region 1,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 1,Season onset,Point,week,NA,NA,49
HHS Region 1,Season peak percentage,Point,percent,NA,NA,3.7
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,3.3
HHS Region 10,2 wk ahead,Point,percent,NA,NA,2.3
HHS Region 10,3 wk ahead,Point,percent,NA,NA,1.9
HHS Region 10,4 wk ahead,Point,percent,NA,NA,1.6
HHS Region 10,Season onset,Point,week,NA,NA,50
HHS Region 10,Season peak percentage,Point,percent,NA,NA,4.7
HHS Region 10,Season peak week,Point,week,NA,NA,11
HHS Region 2,1 wk ahead,Point,percent,NA,NA,3.7
HHS Region 2,2 wk ahead,Point,percent,NA,NA,3.4
HHS Region 2,3 wk ahead,Point,percent,NA,NA,3
HHS Region 2,4 wk ahead,Point,percent,NA,NA,2.9
HHS Region 2,Season onset,Point,week,NA,NA,49
HHS Region 2,Season peak percentage,Point,percent,NA,NA,5.2
HHS Region 2,Season peak week,Point,week,NA,NA,7
HHS Region 3,1 wk ahead,Point,percent,NA,NA,3.4
HHS Region 3,2 wk ahead,Point,percent,NA,NA,2.8
HHS Region 3,3 wk ahead,Point,percent,NA,NA,2.3
HHS Region 3,4 wk ahead,Point,percent,NA,NA,2
HHS Region 3,Season onset,Point,week,NA,NA,50
HHS Region 3,Season peak percentage,Point,percent,NA,NA,4.6
HHS Region 3,Season peak week,Point,week,NA,NA,8
HHS Region 4,1 wk ahead,Point,percent,NA,NA,3
HHS Region 4,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 4,3 wk ahead,Point,percent,NA,NA,2.4
HHS Region 4,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 4,Season onset,Point,week,NA,NA,47
HHS Region 4,Season peak percentage,Point,percent,NA,NA,5.9
HHS Region 4,Season peak week,Point,week,NA,NA,6
HHS Region 5,1 wk ahead,Point,percent,NA,NA,3.2
HHS Region 5,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 5,4 wk ahead,Point,percent,NA,NA,1.8
HHS Region 5,Season onset,Point,week,NA,NA,51
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3.7
HHS Region 5,Season peak week,Point,week,NA,NA,11
HHS Region 6,1 wk ahead,Point,percent,NA,NA,5.7
HHS Region 6,2 wk ahead,Point,percent,NA,NA,4.6
HHS Region 6,3 wk ahead,Point,percent,NA,NA,3.9
HHS Region 6,4 wk ahead,Point,percent,NA,NA,3.4
HHS Region 6,Season onset,Point,week,NA,NA,51
HHS Region 6,Season peak percentage,Point,percent,NA,NA,10.2
HHS Region 6,Season peak week,Point,week,NA,NA,7
HHS Region 7,1 wk ahead,Point,percent,NA,NA,4.6
HHS Region 7,2 wk ahead,Point,percent,NA,NA,2.9
HHS Region 7,3 wk ahead,Point,percent,NA,NA,2
HHS Region 7,4 wk ahead,Point,percent,NA,NA,1.4
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,7.5
HHS Region 7,Season peak week,Point,week,NA,NA,11
HHS Region 8,1 wk ahead,Point,percent,NA,NA,3.7
HHS Region 8,2 wk ahead,Point,percent,NA,NA,2.8
HHS Region 8,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 8,4 wk ahead,Point,percent,NA,NA,1.7
HHS Region 8,Season onset,Point,week,NA,NA,46
HHS Region 8,Season peak percentage,Point,percent,NA,NA,5.8
HHS Region 8,Season peak week,Point,week,NA,NA,8
HHS Region 9,1 wk ahead,Point,percent,NA,NA,2.9
HHS Region 9,2 wk ahead,Point,percent,NA,NA,2.5
HHS Region 9,3 wk ahead,Point,percent,NA,NA,2.1
HHS Region 9,4 wk ahead,Point,percent,NA,NA,1.8
HHS Region 9,Season onset,Point,week,NA,NA,48
HHS Region 9,Season peak percentage,Point,percent,NA,NA,3.8
HHS Region 9,Season peak week,Point,week,NA,NA,9
US National,1 wk ahead,Point,percent,NA,NA,4.1
US National,2 wk ahead,Point,percent,NA,NA,3.8
US National,3 wk ahead,Point,percent,NA,NA,3.4
US National,4 wk ahead,Point,percent,NA,NA,2.8
US National,Season onset,Point,week,NA,NA,47
US National,Season peak percentage,Point,percent,NA,NA,5.1
US National,Season peak week,Point,week,NA,NA,7
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,1.32842461459683e-10
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,3.88263258624443e-10
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,6.07945171241091e-10
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,9.02032880967763e-10
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,1.26868957516077e-09
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,1.69037568966448e-09
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,2.13213692815054e-09
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00200000242204486
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,2.89010263656488e-09
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,3.1336287693315e-09
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.00200000315473352
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00100000329647562
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.00200000328959854
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00300000329450374
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.00700000313376379
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.00200000353946404
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00100000365983731
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.00100000363915351
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00700000312978756
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0030000031154877
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0260000012872922
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0489999993643744
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0369999995863469
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0329999993217227
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.0639999969328238
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0729999960168418
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0749999956422747
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.0839999949203806
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.117999992702152
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0709999955951381
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0889999944470654
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0539999966318474
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0429999973199945
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0409999974451122
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0229999985711711
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0119999992593183
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0139999991342006
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.00799999950955362
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.00399999975978895
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.00499999969723012
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.0139999991342006
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.00399999975978895
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00699999957211245
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.00199999988490661
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.00199999988490661
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.00199999988490661
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.00499999969723012
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.00499999969723012
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.00199999988490661
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.000999999947465446
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.000999999947465446
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,1.00242777628099e-11
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,0.000999999947465446
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,10.7,10.8,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,10.8,10.9,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,10.9,11.0,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,11.0,11.1,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,11.1,11.2,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,11.2,11.3,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,11.3,11.4,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,11.4,11.5,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,11.5,11.6,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,11.6,11.7,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,11.7,11.8,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,11.8,11.9,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,11.9,12.0,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,12.0,12.1,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,12.1,12.2,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,12.2,12.3,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,12.3,12.4,1.002427776281e-11
HHS Region 1,1 wk ahead,Bin,percent,12.4,12.5,1.002427776281e-11
