location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,2.8
HHS Region 1,2 wk ahead,Point,percent,NA,NA,2.6
HHS Region 1,3 wk ahead,Point,percent,NA,NA,2.4
HHS Region 1,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 1,Season onset,Point,week,NA,NA,49
HHS Region 1,Season peak percentage,Point,percent,NA,NA,3.7
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,3.1
HHS Region 10,2 wk ahead,Point,percent,NA,NA,2.3
HHS Region 10,3 wk ahead,Point,percent,NA,NA,2
HHS Region 10,4 wk ahead,Point,percent,NA,NA,1.6
HHS Region 10,Season onset,Point,week,NA,NA,50
HHS Region 10,Season peak percentage,Point,percent,NA,NA,3.9
HHS Region 10,Season peak week,Point,week,NA,NA,10
HHS Region 2,1 wk ahead,Point,percent,NA,NA,3.8
HHS Region 2,2 wk ahead,Point,percent,NA,NA,3.6
HHS Region 2,3 wk ahead,Point,percent,NA,NA,3.3
HHS Region 2,4 wk ahead,Point,percent,NA,NA,3.1
HHS Region 2,Season onset,Point,week,NA,NA,49
HHS Region 2,Season peak percentage,Point,percent,NA,NA,5.2
HHS Region 2,Season peak week,Point,week,NA,NA,7
HHS Region 3,1 wk ahead,Point,percent,NA,NA,3.8
HHS Region 3,2 wk ahead,Point,percent,NA,NA,3.1
HHS Region 3,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 3,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 3,Season onset,Point,week,NA,NA,50
HHS Region 3,Season peak percentage,Point,percent,NA,NA,4.7
HHS Region 3,Season peak week,Point,week,NA,NA,8
HHS Region 4,1 wk ahead,Point,percent,NA,NA,3.4
HHS Region 4,2 wk ahead,Point,percent,NA,NA,3
HHS Region 4,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 4,4 wk ahead,Point,percent,NA,NA,2.5
HHS Region 4,Season onset,Point,week,NA,NA,47
HHS Region 4,Season peak percentage,Point,percent,NA,NA,5.9
HHS Region 4,Season peak week,Point,week,NA,NA,6
HHS Region 5,1 wk ahead,Point,percent,NA,NA,3
HHS Region 5,2 wk ahead,Point,percent,NA,NA,2.6
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 5,4 wk ahead,Point,percent,NA,NA,1.9
HHS Region 5,Season onset,Point,week,NA,NA,51
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3.4
HHS Region 5,Season peak week,Point,week,NA,NA,10
HHS Region 6,1 wk ahead,Point,percent,NA,NA,6.2
HHS Region 6,2 wk ahead,Point,percent,NA,NA,5.2
HHS Region 6,3 wk ahead,Point,percent,NA,NA,4.2
HHS Region 6,4 wk ahead,Point,percent,NA,NA,3.7
HHS Region 6,Season onset,Point,week,NA,NA,51
HHS Region 6,Season peak percentage,Point,percent,NA,NA,10.2
HHS Region 6,Season peak week,Point,week,NA,NA,7
HHS Region 7,1 wk ahead,Point,percent,NA,NA,4.6
HHS Region 7,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 7,3 wk ahead,Point,percent,NA,NA,2
HHS Region 7,4 wk ahead,Point,percent,NA,NA,1.5
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,6.4
HHS Region 7,Season peak week,Point,week,NA,NA,10
HHS Region 8,1 wk ahead,Point,percent,NA,NA,4.5
HHS Region 8,2 wk ahead,Point,percent,NA,NA,3.4
HHS Region 8,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 8,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 8,Season onset,Point,week,NA,NA,46
HHS Region 8,Season peak percentage,Point,percent,NA,NA,6.4
HHS Region 8,Season peak week,Point,week,NA,NA,10
HHS Region 9,1 wk ahead,Point,percent,NA,NA,3.1
HHS Region 9,2 wk ahead,Point,percent,NA,NA,2.6
HHS Region 9,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 9,4 wk ahead,Point,percent,NA,NA,2
HHS Region 9,Season onset,Point,week,NA,NA,48
HHS Region 9,Season peak percentage,Point,percent,NA,NA,3.9
HHS Region 9,Season peak week,Point,week,NA,NA,9
US National,1 wk ahead,Point,percent,NA,NA,4.3
US National,2 wk ahead,Point,percent,NA,NA,3.9
US National,3 wk ahead,Point,percent,NA,NA,3.6
US National,4 wk ahead,Point,percent,NA,NA,3.3
US National,Season onset,Point,week,NA,NA,47
US National,Season peak percentage,Point,percent,NA,NA,5.1
US National,Season peak week,Point,week,NA,NA,7
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,5.97871786563586e-10
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,1.57591282921845e-09
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,2.17436479741423e-09
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,2.86711687057671e-09
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,3.6272990008112e-09
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,4.42453528297782e-09
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,5.23257901613775e-09
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00200000566785993
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,6.81782075367906e-09
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,7.57285818474725e-09
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.00200000791045628
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00100000870672142
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.00100000917864756
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00100000946070351
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.00400000897653809
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0040000088320761
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0020000088881261
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,8.84435862042812e-09
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00100000821604334
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00800000649486063
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0110000055166766
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0290000017791378
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0379999996344016
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0280000008785138
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.0629999937874738
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0669999922871251
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0619999923929521
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.109999982812411
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0829999870223105
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0919999847474887
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0629999895501556
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0809999858757816
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0419999927438825
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0479999914667239
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0219999961127647
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0279999949486375
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0229999958269989
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0229999958117389
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0129999976413572
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.00499999910541195
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.0059999989224051
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.0109999980073709
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.0059999989224051
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.00299999947142563
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.00299999947142563
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.00299999947142563
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.00299999947142563
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.000999999837439314
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.00399999928841879
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,2.04461558630768e-11
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,2.0446155863077e-11
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,0.00199999965443247
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,10.7,10.8,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,10.8,10.9,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,10.9,11.0,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,11.0,11.1,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,11.1,11.2,0.000999999837439314
HHS Region 1,1 wk ahead,Bin,percent,11.2,11.3,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,11.3,11.4,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,11.4,11.5,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,11.5,11.6,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,11.6,11.7,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,11.7,11.8,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,11.8,11.9,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,11.9,12.0,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,12.0,12.1,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,12.1,12.2,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,12.2,12.3,2.04461558630772e-11
HHS Region 1,1 wk ahead,Bin,percent,12.3,12.4,2.04461558630772e-11
