location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,4.5
HHS Region 1,2 wk ahead,Point,percent,NA,NA,6.2
HHS Region 1,3 wk ahead,Point,percent,NA,NA,6.1
HHS Region 1,4 wk ahead,Point,percent,NA,NA,4.8
HHS Region 1,Season onset,Point,week,NA,NA,49
HHS Region 1,Season peak percentage,Point,percent,NA,NA,7.1
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,2.3
HHS Region 10,2 wk ahead,Point,percent,NA,NA,2.9
HHS Region 10,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 10,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 10,Season onset,Point,week,NA,NA,50
HHS Region 10,Season peak percentage,Point,percent,NA,NA,3.4
HHS Region 10,Season peak week,Point,week,NA,NA,6
HHS Region 2,1 wk ahead,Point,percent,NA,NA,4.7
HHS Region 2,2 wk ahead,Point,percent,NA,NA,4.8
HHS Region 2,3 wk ahead,Point,percent,NA,NA,4.8
HHS Region 2,4 wk ahead,Point,percent,NA,NA,4.6
HHS Region 2,Season onset,Point,week,NA,NA,49
HHS Region 2,Season peak percentage,Point,percent,NA,NA,5.6
HHS Region 2,Season peak week,Point,week,NA,NA,6
HHS Region 3,1 wk ahead,Point,percent,NA,NA,3.6
HHS Region 3,2 wk ahead,Point,percent,NA,NA,4.6
HHS Region 3,3 wk ahead,Point,percent,NA,NA,4.6
HHS Region 3,4 wk ahead,Point,percent,NA,NA,3.7
HHS Region 3,Season onset,Point,week,NA,NA,50
HHS Region 3,Season peak percentage,Point,percent,NA,NA,4.9
HHS Region 3,Season peak week,Point,week,NA,NA,6
HHS Region 4,1 wk ahead,Point,percent,NA,NA,4
HHS Region 4,2 wk ahead,Point,percent,NA,NA,4.8
HHS Region 4,3 wk ahead,Point,percent,NA,NA,4.4
HHS Region 4,4 wk ahead,Point,percent,NA,NA,3.7
HHS Region 4,Season onset,Point,week,NA,NA,47
HHS Region 4,Season peak percentage,Point,percent,NA,NA,5
HHS Region 4,Season peak week,Point,week,NA,NA,6
HHS Region 5,1 wk ahead,Point,percent,NA,NA,2.7
HHS Region 5,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 5,4 wk ahead,Point,percent,NA,NA,2.7
HHS Region 5,Season onset,Point,week,NA,NA,51
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3.1
HHS Region 5,Season peak week,Point,week,NA,NA,6
HHS Region 6,1 wk ahead,Point,percent,NA,NA,5.9
HHS Region 6,2 wk ahead,Point,percent,NA,NA,5.6
HHS Region 6,3 wk ahead,Point,percent,NA,NA,5.3
HHS Region 6,4 wk ahead,Point,percent,NA,NA,5.1
HHS Region 6,Season onset,Point,week,NA,NA,51
HHS Region 6,Season peak percentage,Point,percent,NA,NA,7.4
HHS Region 6,Season peak week,Point,week,NA,NA,5
HHS Region 7,1 wk ahead,Point,percent,NA,NA,4
HHS Region 7,2 wk ahead,Point,percent,NA,NA,5.5
HHS Region 7,3 wk ahead,Point,percent,NA,NA,4.9
HHS Region 7,4 wk ahead,Point,percent,NA,NA,3.8
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,6.1
HHS Region 7,Season peak week,Point,week,NA,NA,6
HHS Region 8,1 wk ahead,Point,percent,NA,NA,3.6
HHS Region 8,2 wk ahead,Point,percent,NA,NA,3.7
HHS Region 8,3 wk ahead,Point,percent,NA,NA,3.2
HHS Region 8,4 wk ahead,Point,percent,NA,NA,2.8
HHS Region 8,Season onset,Point,week,NA,NA,46
HHS Region 8,Season peak percentage,Point,percent,NA,NA,5.5
HHS Region 8,Season peak week,Point,week,NA,NA,52
HHS Region 9,1 wk ahead,Point,percent,NA,NA,3.1
HHS Region 9,2 wk ahead,Point,percent,NA,NA,3.5
HHS Region 9,3 wk ahead,Point,percent,NA,NA,3.4
HHS Region 9,4 wk ahead,Point,percent,NA,NA,3.2
HHS Region 9,Season onset,Point,week,NA,NA,48
HHS Region 9,Season peak percentage,Point,percent,NA,NA,3.7
HHS Region 9,Season peak week,Point,week,NA,NA,6
US National,1 wk ahead,Point,percent,NA,NA,4
US National,2 wk ahead,Point,percent,NA,NA,4.6
US National,3 wk ahead,Point,percent,NA,NA,4.3
US National,4 wk ahead,Point,percent,NA,NA,3.9
US National,Season onset,Point,week,NA,NA,47
US National,Season peak percentage,Point,percent,NA,NA,4.7
US National,Season peak week,Point,week,NA,NA,6
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000109689855082914
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.000302845753761569
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.000449840598175683
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000649269827557234
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.00091325050163924
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00125520732706443
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00168871206792862
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00222569298131733
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.00287350364750048
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.00363040640832501
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.00448228011428162
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00539925426416865
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.00882803320620564
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00723383212785691
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0080285209720805
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.00865646616375287
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00906444968519584
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0100474353717724
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0115911634913699
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00872145255743884
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0106078876601467
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0081622999211269
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00642990842762151
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0054752994533967
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00619013533801705
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00364108675276023
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00451094820295587
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00466782574795209
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00162674712050854
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00202918685283506
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00503209073163911
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.00480354773637821
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.00298724443337018
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.00953517690014026
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0202802065424307
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.010291447585616
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0103016612509633
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0144969479854053
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0178982990256464
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.0205132882892415
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.0522548601251055
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.04002126209507
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.0311582464746289
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.0372802564207991
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.0575312355224513
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.0436970551263754
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.0464186051575392
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.0673288793561653
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.0349677766895887
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.0440343547990316
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.0372192135081217
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.0353125513926507
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.0308664079107404
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.016433814820881
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.0269311303780258
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.0241642603537002
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.0122985306772751
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.00961458037578547
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.00697348987375647
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.00769372710464203
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,0.0117688244018791
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.00257737013778547
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.0100190387915721
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.00750507568698396
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,0.00167698389043657
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,0.00582320619882207
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.00748266042301048
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.00166758083780379
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,0.00249830649283332
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.00332903214786285
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,0.00166758083780379
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,6.12952774473927e-06
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,0.00332903214786285
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,0.00166758083780379
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,0.00249830649283332
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,6.12952774473927e-06
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,6.12952774473927e-06
