location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,5.3,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1,Point,NA,NA
HHS Region 10,Season onset,week,47,Point,NA,NA
HHS Region 10,Season peak percentage,percent,5.1,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 2,2 wk ahead,percent,2.4,Point,NA,NA
HHS Region 2,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 2,4 wk ahead,percent,2.8,Point,NA,NA
HHS Region 2,Season onset,week,46,Point,NA,NA
HHS Region 2,Season peak percentage,percent,7.3,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,Season onset,week,49,Point,NA,NA
HHS Region 3,Season peak percentage,percent,6.9,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2,Point,NA,NA
HHS Region 4,Season onset,week,47,Point,NA,NA
HHS Region 4,Season peak percentage,percent,7.6,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,51,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.3,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.3,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.5,Point,NA,NA
HHS Region 6,4 wk ahead,percent,2.7,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,8.9,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,49,Point,NA,NA
HHS Region 7,Season peak percentage,percent,9.5,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 8,Season onset,week,1,Point,NA,NA
HHS Region 8,Season peak percentage,percent,4.4,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.8,Point,NA,NA
HHS Region 9,Season onset,week,48,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.9,Point,NA,NA
HHS Region 9,Season peak week,week,3,Point,NA,NA
US National,1 wk ahead,percent,1.5,Point,NA,NA
US National,2 wk ahead,percent,1.7,Point,NA,NA
US National,3 wk ahead,percent,1.8,Point,NA,NA
US National,4 wk ahead,percent,2,Point,NA,NA
US National,Season onset,week,47,Point,NA,NA
US National,Season peak percentage,percent,5.5,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,4.18392431884085e-05,Bin,40.0,41.0
US National,Season onset,week,4.86899406375668e-05,Bin,41.0,42.0
US National,Season onset,week,0.00191876208750033,Bin,42.0,43.0
US National,Season onset,week,0.039892534629289,Bin,43.0,44.0
US National,Season onset,week,0.109897768839463,Bin,44.0,45.0
US National,Season onset,week,0.151046075018363,Bin,45.0,46.0
US National,Season onset,week,0.145722524337016,Bin,46.0,47.0
US National,Season onset,week,0.11329957105939,Bin,47.0,48.0
US National,Season onset,week,0.122772339290085,Bin,48.0,49.0
US National,Season onset,week,0.0794362902314974,Bin,49.0,50.0
US National,Season onset,week,0.0508667161240616,Bin,50.0,51.0
US National,Season onset,week,0.0463655006905091,Bin,51.0,52.0
US National,Season onset,week,0.0297377253840142,Bin,52.0,53.0
US National,Season onset,week,0.0197383330556251,Bin,1.0,2.0
US National,Season onset,week,0.0270272353950229,Bin,2.0,3.0
US National,Season onset,week,0.0154307335342529,Bin,3.0,4.0
US National,Season onset,week,0.00948954322429544,Bin,4.0,5.0
US National,Season onset,week,0.0085873426331368,Bin,5.0,6.0
US National,Season onset,week,0.0058100628391248,Bin,6.0,7.0
US National,Season onset,week,0.00359080213020465,Bin,7.0,8.0
US National,Season onset,week,0.00179022984370296,Bin,8.0,9.0
US National,Season onset,week,0.000711201168499679,Bin,9.0,10.0
US National,Season onset,week,0.00022319975667357,Bin,10.0,11.0
US National,Season onset,week,6.69100977769079e-05,Bin,11.0,12.0
US National,Season onset,week,5.78761774480469e-05,Bin,12.0,13.0
US National,Season onset,week,5.78761774480469e-05,Bin,13.0,14.0
US National,Season onset,week,5.78761774480469e-05,Bin,14.0,15.0
US National,Season onset,week,5.78761774480469e-05,Bin,15.0,16.0
US National,Season onset,week,5.78761774480469e-05,Bin,16.0,17.0
US National,Season onset,week,5.78761774480469e-05,Bin,17.0,18.0
US National,Season onset,week,5.78761774480469e-05,Bin,18.0,19.0
US National,Season onset,week,5.78761774480469e-05,Bin,19.0,20.0
US National,Season onset,week,5.78761774480469e-05,Bin,20.0,21.0
US National,Season onset,week,0.0159671838496364,Bin,none,none
US National,Season peak week,week,0.000151084360307617,Bin,40.0,41.0
US National,Season peak week,week,0.000151084360307617,Bin,41.0,42.0
US National,Season peak week,week,0.000151084360307617,Bin,42.0,43.0
US National,Season peak week,week,0.000151084360307617,Bin,43.0,44.0
US National,Season peak week,week,0.000151084360307617,Bin,44.0,45.0
US National,Season peak week,week,0.000151084360307617,Bin,45.0,46.0
US National,Season peak week,week,0.00164167847308285,Bin,46.0,47.0
US National,Season peak week,week,0.000151084360307617,Bin,47.0,48.0
US National,Season peak week,week,0.000151084360307617,Bin,48.0,49.0
US National,Season peak week,week,0.00239318762948411,Bin,49.0,50.0
US National,Season peak week,week,0.00349501119091942,Bin,50.0,51.0
US National,Season peak week,week,0.0123829910716623,Bin,51.0,52.0
US National,Season peak week,week,0.0195028701100646,Bin,52.0,53.0
US National,Season peak week,week,0.0176097019627782,Bin,1.0,2.0
US National,Season peak week,week,0.0413607690941485,Bin,2.0,3.0
US National,Season peak week,week,0.0955378137122559,Bin,3.0,4.0
US National,Season peak week,week,0.182801930833746,Bin,4.0,5.0
US National,Season peak week,week,0.407568923224795,Bin,5.0,6.0
US National,Season peak week,week,0.10084158452529,Bin,6.0,7.0
US National,Season peak week,week,0.0675371317032409,Bin,7.0,8.0
US National,Season peak week,week,0.0126048664052244,Bin,8.0,9.0
US National,Season peak week,week,0.0101771184735915,Bin,9.0,10.0
US National,Season peak week,week,0.00955162942302275,Bin,10.0,11.0
US National,Season peak week,week,0.00722748536379197,Bin,11.0,12.0
US National,Season peak week,week,0.00300390557576149,Bin,12.0,13.0
US National,Season peak week,week,0.00106548104467443,Bin,13.0,14.0
US National,Season peak week,week,0.00078248550535029,Bin,14.0,15.0
US National,Season peak week,week,0.000780991336701017,Bin,15.0,16.0
US National,Season peak week,week,3.56942803133993e-05,Bin,16.0,17.0
US National,Season peak week,week,0.000780991336701017,Bin,17.0,18.0
US National,Season peak week,week,3.56942803133993e-05,Bin,18.0,19.0
US National,Season peak week,week,3.56942803133993e-05,Bin,19.0,20.0
US National,Season peak week,week,3.56942803133993e-05,Bin,20.0,21.0
US National,Season peak percentage,percent,1.51743800369525e-05,Bin,0.0,0.1
US National,Season peak percentage,percent,3.64696406559648e-05,Bin,0.1,0.2
US National,Season peak percentage,percent,4.61883441461672e-05,Bin,0.2,0.3
US National,Season peak percentage,percent,5.80935431871042e-05,Bin,0.3,0.4
US National,Season peak percentage,percent,7.25615140435929e-05,Bin,0.4,0.5
US National,Season peak percentage,percent,9.00053855329096e-05,Bin,0.5,0.6
US National,Season peak percentage,percent,0.000110894433361988,Bin,0.6,0.7
US National,Season peak percentage,percent,0.000135718668335808,Bin,0.7,0.8
US National,Season peak percentage,percent,0.000165000745567413,Bin,0.8,0.9
US National,Season peak percentage,percent,0.00019927164188262,Bin,0.9,1.0
US National,Season peak percentage,percent,0.000239122181499341,Bin,1.0,1.1
US National,Season peak percentage,percent,0.000285076649853605,Bin,1.1,1.2
US National,Season peak percentage,percent,0.000337698194911912,Bin,1.2,1.3
US National,Season peak percentage,percent,0.000397502080952689,Bin,1.3,1.4
US National,Season peak percentage,percent,0.00046496950015222,Bin,1.4,1.5
US National,Season peak percentage,percent,0.000540475906098676,Bin,1.5,1.6
US National,Season peak percentage,percent,0.000624351904930846,Bin,1.6,1.7
US National,Season peak percentage,percent,0.00071680885098341,Bin,1.7,1.8
US National,Season peak percentage,percent,0.000817887003562617,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00267449522587087,Bin,1.9,2.0
US National,Season peak percentage,percent,0.00366593418303293,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00204476483256561,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00217780498141574,Bin,2.2,2.3
US National,Season peak percentage,percent,0.00319074300462066,Bin,2.3,2.4
US National,Season peak percentage,percent,0.00508254368798348,Bin,2.4,2.5
US National,Season peak percentage,percent,0.00348452469866533,Bin,2.5,2.6
US National,Season peak percentage,percent,0.00713018049766359,Bin,2.6,2.7
US National,Season peak percentage,percent,0.00903003090732404,Bin,2.7,2.8
US National,Season peak percentage,percent,0.00830889612763069,Bin,2.8,2.9
US National,Season peak percentage,percent,0.00758544168414298,Bin,2.9,3.0
US National,Season peak percentage,percent,0.00947825934512463,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0113650152292746,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0132438419630092,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0186068842162326,Bin,3.3,3.4
US National,Season peak percentage,percent,0.0152236194260402,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0100804444641614,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0188987495356179,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0189667459831538,Bin,3.7,3.8
US National,Season peak percentage,percent,0.0146510165210798,Bin,3.8,3.9
US National,Season peak percentage,percent,0.012065325298544,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0216912370147069,Bin,4.0,4.1
