location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,5.7,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1.1,Point,NA,NA
HHS Region 10,Season onset,week,47,Point,NA,NA
HHS Region 10,Season peak percentage,percent,6,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.7,Point,NA,NA
HHS Region 2,2 wk ahead,percent,2.9,Point,NA,NA
HHS Region 2,3 wk ahead,percent,3.1,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3.5,Point,NA,NA
HHS Region 2,Season onset,week,46,Point,NA,NA
HHS Region 2,Season peak percentage,percent,8.2,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.5,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.6,Point,NA,NA
HHS Region 3,Season onset,week,49,Point,NA,NA
HHS Region 3,Season peak percentage,percent,7.5,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.4,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 4,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 4,Season onset,week,48,Point,NA,NA
HHS Region 4,Season peak percentage,percent,6.5,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,52,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.5,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,4 wk ahead,percent,3,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,9.2,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,50,Point,NA,NA
HHS Region 7,Season peak percentage,percent,6.2,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,Season onset,week,52,Point,NA,NA
HHS Region 8,Season peak percentage,percent,5.6,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 9,Season onset,week,49,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.7,Point,NA,NA
HHS Region 9,Season peak week,week,3,Point,NA,NA
US National,1 wk ahead,percent,1.5,Point,NA,NA
US National,2 wk ahead,percent,1.7,Point,NA,NA
US National,3 wk ahead,percent,1.8,Point,NA,NA
US National,4 wk ahead,percent,1.9,Point,NA,NA
US National,Season onset,week,48,Point,NA,NA
US National,Season peak percentage,percent,5.1,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,8.75081622941851e-05,Bin,40.0,41.0
US National,Season onset,week,0.00010189130889677,Bin,41.0,42.0
US National,Season onset,week,0.000360848849811744,Bin,42.0,43.0
US National,Season onset,week,0.00268544940180726,Bin,43.0,44.0
US National,Season onset,week,0.059189023712755,Bin,44.0,45.0
US National,Season onset,week,0.132725902868609,Bin,45.0,46.0
US National,Season onset,week,0.157742216163704,Bin,46.0,47.0
US National,Season onset,week,0.0978933198753763,Bin,47.0,48.0
US National,Season onset,week,0.115127037057145,Bin,48.0,49.0
US National,Season onset,week,0.0868316925835298,Bin,49.0,50.0
US National,Season onset,week,0.0651930231789351,Bin,50.0,51.0
US National,Season onset,week,0.0616195606683724,Bin,51.0,52.0
US National,Season onset,week,0.0438326217331478,Bin,52.0,53.0
US National,Season onset,week,0.0243085674321301,Bin,1.0,2.0
US National,Season onset,week,0.0324016294430763,Bin,2.0,3.0
US National,Season onset,week,0.0274052564277421,Bin,3.0,4.0
US National,Season onset,week,0.0227865187704512,Bin,4.0,5.0
US National,Season onset,week,0.0171858253518635,Bin,5.0,6.0
US National,Season onset,week,0.0129561853902846,Bin,6.0,7.0
US National,Season onset,week,0.00801145305265803,Bin,7.0,8.0
US National,Season onset,week,0.00399543281663533,Bin,8.0,9.0
US National,Season onset,week,0.00158756539675038,Bin,9.0,10.0
US National,Season onset,week,0.000498293634125633,Bin,10.0,11.0
US National,Season onset,week,0.000149387498297413,Bin,11.0,12.0
US National,Season onset,week,0.000129218745381376,Bin,12.0,13.0
US National,Season onset,week,0.000129218745381376,Bin,13.0,14.0
US National,Season onset,week,0.000129218745381376,Bin,14.0,15.0
US National,Season onset,week,0.000129218745381376,Bin,15.0,16.0
US National,Season onset,week,0.000129218745381376,Bin,16.0,17.0
US National,Season onset,week,0.000129218745381376,Bin,17.0,18.0
US National,Season onset,week,0.000129218745381376,Bin,18.0,19.0
US National,Season onset,week,0.000129218745381376,Bin,19.0,20.0
US National,Season onset,week,0.000129218745381376,Bin,20.0,21.0
US National,Season onset,week,0.0241608205131671,Bin,none,none
US National,Season peak week,week,0.000322991150882718,Bin,40.0,41.0
US National,Season peak week,week,0.000322991150882718,Bin,41.0,42.0
US National,Season peak week,week,0.000940597964422175,Bin,42.0,43.0
US National,Season peak week,week,0.000322991150882718,Bin,43.0,44.0
US National,Season peak week,week,0.000940597964422175,Bin,44.0,45.0
US National,Season peak week,week,0.000322991150882718,Bin,45.0,46.0
US National,Season peak week,week,0.000940597964422175,Bin,46.0,47.0
US National,Season peak week,week,0.00217581159150109,Bin,47.0,48.0
US National,Season peak week,week,0.00155820477796163,Bin,48.0,49.0
US National,Season peak week,week,0.00280669875609611,Bin,49.0,50.0
US National,Season peak week,week,0.00516219938284382,Bin,50.0,51.0
US National,Season peak week,week,0.0177899212194163,Bin,51.0,52.0
US National,Season peak week,week,0.0353867867648373,Bin,52.0,53.0
US National,Season peak week,week,0.0225674367483126,Bin,1.0,2.0
US National,Season peak week,week,0.0333725424374149,Bin,2.0,3.0
US National,Season peak week,week,0.111864022251234,Bin,3.0,4.0
US National,Season peak week,week,0.17845743686682,Bin,4.0,5.0
US National,Season peak week,week,0.325192427962415,Bin,5.0,6.0
US National,Season peak week,week,0.115029779069673,Bin,6.0,7.0
US National,Season peak week,week,0.07079234910789,Bin,7.0,8.0
US National,Season peak week,week,0.0220989474320164,Bin,8.0,9.0
US National,Season peak week,week,0.0109403423111105,Bin,9.0,10.0
US National,Season peak week,week,0.0184552697293363,Bin,10.0,11.0
US National,Season peak week,week,0.0148507720285921,Bin,11.0,12.0
US National,Season peak week,week,0.00491475650559257,Bin,12.0,13.0
US National,Season peak week,week,0.00131034427212954,Bin,13.0,14.0
US National,Season peak week,week,8.02783952310392e-05,Bin,14.0,15.0
US National,Season peak week,week,7.70511798728805e-05,Bin,15.0,16.0
US National,Season peak week,week,7.70511798728805e-05,Bin,16.0,17.0
US National,Season peak week,week,0.000694657993412338,Bin,17.0,18.0
US National,Season peak week,week,7.70511798728805e-05,Bin,18.0,19.0
US National,Season peak week,week,7.70511798728805e-05,Bin,19.0,20.0
US National,Season peak week,week,7.70511798728805e-05,Bin,20.0,21.0
US National,Season peak percentage,percent,3.29389331077989e-05,Bin,0.0,0.1
US National,Season peak percentage,percent,7.91891270935867e-05,Bin,0.1,0.2
US National,Season peak percentage,percent,0.000100333910256833,Bin,0.2,0.3
US National,Season peak percentage,percent,0.000126249587977091,Bin,0.3,0.4
US National,Season peak percentage,percent,0.000157761152998176,Bin,0.4,0.5
US National,Season peak percentage,percent,0.000195775360949017,Bin,0.5,0.6
US National,Season peak percentage,percent,0.000241323158217842,Bin,0.6,0.7
US National,Season peak percentage,percent,0.000295482507832622,Bin,0.7,0.8
US National,Season peak percentage,percent,0.000359404561227459,Bin,0.8,0.9
US National,Season peak percentage,percent,0.000434260487568174,Bin,0.9,1.0
US National,Season peak percentage,percent,0.000521354636721945,Bin,1.0,1.1
US National,Season peak percentage,percent,0.000621847397330704,Bin,1.1,1.2
US National,Season peak percentage,percent,0.000736986326058316,Bin,1.2,1.3
US National,Season peak percentage,percent,0.000867915811220514,Bin,1.3,1.4
US National,Season peak percentage,percent,0.00101570722209762,Bin,1.4,1.5
US National,Season peak percentage,percent,0.0019062713271582,Bin,1.5,1.6
US National,Season peak percentage,percent,0.00136514007205637,Bin,1.6,1.7
US National,Season peak percentage,percent,0.00229307690104165,Bin,1.7,1.8
US National,Season peak percentage,percent,0.00251497614654884,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00275577678460805,Bin,1.9,2.0
US National,Season peak percentage,percent,0.00301497828800202,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00474171724895214,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00503435317653876,Bin,2.2,2.3
US National,Season peak percentage,percent,0.00606629380692604,Bin,2.3,2.4
US National,Season peak percentage,percent,0.00566005414521197,Bin,2.4,2.5
US National,Season peak percentage,percent,0.00743825248120996,Bin,2.5,2.6
US National,Season peak percentage,percent,0.00632233743735134,Bin,2.6,2.7
US National,Season peak percentage,percent,0.0124598151482603,Bin,2.7,2.8
US National,Season peak percentage,percent,0.00554497112531702,Bin,2.8,2.9
US National,Season peak percentage,percent,0.00950114243645613,Bin,2.9,3.0
US National,Season peak percentage,percent,0.00982276468897053,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0137563856764552,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0162223544895095,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0215670603890342,Bin,3.3,3.4
US National,Season peak percentage,percent,0.0102098280596355,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0169506567624181,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0178590872719405,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0194582799900142,Bin,3.7,3.8
US National,Season peak percentage,percent,0.0195710801120697,Bin,3.8,3.9
US National,Season peak percentage,percent,0.0261717748589439,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0283836242212487,Bin,4.0,4.1
US National,Season peak percentage,percent,0.0247564297257735,Bin,4.1,4.2
