location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,4.1,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1,Point,NA,NA
HHS Region 10,Season onset,week,47,Point,NA,NA
HHS Region 10,Season peak percentage,percent,4.1,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.3,Point,NA,NA
HHS Region 2,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 2,3 wk ahead,percent,2.7,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3,Point,NA,NA
HHS Region 2,Season onset,week,46,Point,NA,NA
HHS Region 2,Season peak percentage,percent,5.5,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,Season onset,week,49,Point,NA,NA
HHS Region 3,Season peak percentage,percent,6.2,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.9,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2,Point,NA,NA
HHS Region 4,Season onset,week,47,Point,NA,NA
HHS Region 4,Season peak percentage,percent,5.5,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,51,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.4,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.3,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,4 wk ahead,percent,2.8,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,8.1,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,49,Point,NA,NA
HHS Region 7,Season peak percentage,percent,6.1,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,Season onset,week,1,Point,NA,NA
HHS Region 8,Season peak percentage,percent,3.8,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.8,Point,NA,NA
HHS Region 9,Season onset,week,49,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.9,Point,NA,NA
HHS Region 9,Season peak week,week,4,Point,NA,NA
US National,1 wk ahead,percent,1.6,Point,NA,NA
US National,2 wk ahead,percent,1.7,Point,NA,NA
US National,3 wk ahead,percent,1.9,Point,NA,NA
US National,4 wk ahead,percent,2,Point,NA,NA
US National,Season onset,week,47,Point,NA,NA
US National,Season peak percentage,percent,4.9,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,5.60096254993033e-05,Bin,40.0,41.0
US National,Season onset,week,6.51744058287434e-05,Bin,41.0,42.0
US National,Season onset,week,0.00189122481129314,Bin,42.0,43.0
US National,Season onset,week,0.0381625000399817,Bin,43.0,44.0
US National,Season onset,week,0.105121015076029,Bin,44.0,45.0
US National,Season onset,week,0.144964661145148,Bin,45.0,46.0
US National,Season onset,week,0.140886385411037,Bin,46.0,47.0
US National,Season onset,week,0.111029923335778,Bin,47.0,48.0
US National,Season onset,week,0.120662833752501,Bin,48.0,49.0
US National,Season onset,week,0.0795839914776358,Bin,49.0,50.0
US National,Season onset,week,0.0521763727800585,Bin,50.0,51.0
US National,Season onset,week,0.0475054079142265,Bin,51.0,52.0
US National,Season onset,week,0.0313424708453955,Bin,52.0,53.0
US National,Season onset,week,0.02168205630475,Bin,1.0,2.0
US National,Season onset,week,0.0287301522941554,Bin,2.0,3.0
US National,Season onset,week,0.0179478041162328,Bin,3.0,4.0
US National,Season onset,week,0.012365272368553,Bin,4.0,5.0
US National,Season onset,week,0.0111574691573859,Bin,5.0,6.0
US National,Season onset,week,0.00777815642682369,Bin,6.0,7.0
US National,Season onset,week,0.00480714702404249,Bin,7.0,8.0
US National,Season onset,week,0.0023966510034409,Bin,8.0,9.0
US National,Season onset,week,0.000952113098157776,Bin,9.0,10.0
US National,Season onset,week,0.000298806385959323,Bin,10.0,11.0
US National,Season onset,week,8.95751928275331e-05,Bin,11.0,12.0
US National,Season onset,week,7.74811045446245e-05,Bin,12.0,13.0
US National,Season onset,week,7.74811045446245e-05,Bin,13.0,14.0
US National,Season onset,week,7.74811045446245e-05,Bin,14.0,15.0
US National,Season onset,week,7.74811045446245e-05,Bin,15.0,16.0
US National,Season onset,week,7.74811045446245e-05,Bin,16.0,17.0
US National,Season onset,week,7.74811045446245e-05,Bin,17.0,18.0
US National,Season onset,week,7.74811045446245e-05,Bin,18.0,19.0
US National,Season onset,week,7.74811045446245e-05,Bin,19.0,20.0
US National,Season onset,week,7.74811045446245e-05,Bin,20.0,21.0
US National,Season onset,week,0.0176494960663585,Bin,none,none
US National,Season peak week,week,0.000582153977962921,Bin,40.0,41.0
US National,Season peak week,week,0.000582153977962921,Bin,41.0,42.0
US National,Season peak week,week,0.000582153977962921,Bin,42.0,43.0
US National,Season peak week,week,0.000582153977962921,Bin,43.0,44.0
US National,Season peak week,week,0.000582153977962921,Bin,44.0,45.0
US National,Season peak week,week,0.000582153977962921,Bin,45.0,46.0
US National,Season peak week,week,0.00145677069271934,Bin,46.0,47.0
US National,Season peak week,week,0.000582153977962921,Bin,47.0,48.0
US National,Season peak week,week,0.000582153977962921,Bin,48.0,49.0
US National,Season peak week,week,0.00191801533792435,Bin,49.0,50.0
US National,Season peak week,week,0.00616353067799319,Bin,50.0,51.0
US National,Season peak week,week,0.0306726464545805,Bin,51.0,52.0
US National,Season peak week,week,0.0532378668555434,Bin,52.0,53.0
US National,Season peak week,week,0.0362054121191436,Bin,1.0,2.0
US National,Season peak week,week,0.0425168481901811,Bin,2.0,3.0
US National,Season peak week,week,0.0832935238971959,Bin,3.0,4.0
US National,Season peak week,week,0.134706446650099,Bin,4.0,5.0
US National,Season peak week,week,0.277740770018775,Bin,5.0,6.0
US National,Season peak week,week,0.113467450646235,Bin,6.0,7.0
US National,Season peak week,week,0.0898208860054298,Bin,7.0,8.0
US National,Season peak week,week,0.0315276490886558,Bin,8.0,9.0
US National,Season peak week,week,0.0221732464068621,Bin,9.0,10.0
US National,Season peak week,week,0.0319355392684507,Bin,10.0,11.0
US National,Season peak week,week,0.0254145222414367,Bin,11.0,12.0
US National,Season peak week,week,0.00914016746382683,Bin,12.0,13.0
US National,Season peak week,week,0.00167103727069854,Bin,13.0,14.0
US National,Season peak week,week,0.000580602310120189,Bin,14.0,15.0
US National,Season peak week,week,0.000574845001656523,Bin,15.0,16.0
US National,Season peak week,week,0.000137536644278315,Bin,16.0,17.0
US National,Season peak week,week,0.000574845001656523,Bin,17.0,18.0
US National,Season peak week,week,0.000137536644278315,Bin,18.0,19.0
US National,Season peak week,week,0.000137536644278315,Bin,19.0,20.0
US National,Season peak week,week,0.000137536644278315,Bin,20.0,21.0
US National,Season peak percentage,percent,5.86626234790502e-05,Bin,0.0,0.1
US National,Season peak percentage,percent,0.000140987973895842,Bin,0.1,0.2
US National,Season peak percentage,percent,0.00017855954039751,Bin,0.2,0.3
US National,Season peak percentage,percent,0.000224583897918224,Bin,0.3,0.4
US National,Season peak percentage,percent,0.000280515699100431,Bin,0.4,0.5
US National,Season peak percentage,percent,0.000347952066245687,Bin,0.5,0.6
US National,Season peak percentage,percent,0.000428707181711518,Bin,0.6,0.7
US National,Season peak percentage,percent,0.000524675389251455,Bin,0.7,0.8
US National,Season peak percentage,percent,0.000637877234075475,Bin,0.8,0.9
US National,Season peak percentage,percent,0.000770365433851117,Bin,0.9,1.0
US National,Season peak percentage,percent,0.000924424072833101,Bin,1.0,1.1
US National,Season peak percentage,percent,0.00110208000343051,Bin,1.1,1.2
US National,Season peak percentage,percent,0.00130551031891324,Bin,1.2,1.3
US National,Season peak percentage,percent,0.00153670699965503,Bin,1.3,1.4
US National,Season peak percentage,percent,0.00179753030746652,Bin,1.4,1.5
US National,Season peak percentage,percent,0.00208943172826339,Bin,1.5,1.6
US National,Season peak percentage,percent,0.00241368937234156,Bin,1.6,1.7
US National,Season peak percentage,percent,0.00277112033260558,Bin,1.7,1.8
US National,Season peak percentage,percent,0.00316188026191033,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00460754386792612,Bin,1.9,2.0
US National,Season peak percentage,percent,0.00557445001739693,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00503897439511943,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00555329725979848,Bin,2.2,2.3
US National,Season peak percentage,percent,0.00660331742773864,Bin,2.3,2.4
US National,Season peak percentage,percent,0.00818503284399544,Bin,2.4,2.5
US National,Season peak percentage,percent,0.00773905514469068,Bin,2.5,2.6
US National,Season peak percentage,percent,0.0103691991369943,Bin,2.6,2.7
US National,Season peak percentage,percent,0.0119820344692977,Bin,2.7,2.8
US National,Season peak percentage,percent,0.0120601036366531,Bin,2.8,2.9
US National,Season peak percentage,percent,0.0121292052133498,Bin,2.9,3.0
US National,Season peak percentage,percent,0.0137148526272867,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0152770656678976,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0168086251738999,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0203462125825671,Bin,3.3,3.4
US National,Season peak percentage,percent,0.0187304525820829,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0160428556417257,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0214745415659922,Bin,3.6,3.7
US National,Season peak percentage,percent,0.021737410133181,Bin,3.7,3.8
US National,Season peak percentage,percent,0.0193827326983501,Bin,3.8,3.9
US National,Season peak percentage,percent,0.0179844090556549,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0236723184664997,Bin,4.0,4.1
US National,Season peak percentage,percent,0.0206079587251115,Bin,4.1,4.2
