location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,5.1,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1,Point,NA,NA
HHS Region 10,Season onset,week,46,Point,NA,NA
HHS Region 10,Season peak percentage,percent,5.5,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.3,Point,NA,NA
HHS Region 2,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 2,3 wk ahead,percent,2.7,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3,Point,NA,NA
HHS Region 2,Season onset,week,48,Point,NA,NA
HHS Region 2,Season peak percentage,percent,5.9,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,Season onset,week,50,Point,NA,NA
HHS Region 3,Season peak percentage,percent,6.7,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.9,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2,Point,NA,NA
HHS Region 4,Season onset,week,47,Point,NA,NA
HHS Region 4,Season peak percentage,percent,7,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,3,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.5,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.3,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,4 wk ahead,percent,2.8,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,8.9,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,3,Point,NA,NA
HHS Region 7,Season peak percentage,percent,4,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,Season onset,week,1,Point,NA,NA
HHS Region 8,Season peak percentage,percent,4.4,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,Season onset,week,49,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.9,Point,NA,NA
HHS Region 9,Season peak week,week,3,Point,NA,NA
US National,1 wk ahead,percent,1.6,Point,NA,NA
US National,2 wk ahead,percent,1.7,Point,NA,NA
US National,3 wk ahead,percent,1.9,Point,NA,NA
US National,4 wk ahead,percent,2,Point,NA,NA
US National,Season onset,week,48,Point,NA,NA
US National,Season peak percentage,percent,5,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,0.000149809508997547,Bin,40.0,41.0
US National,Season onset,week,0.000174324474683242,Bin,41.0,42.0
US National,Season onset,week,0.00170906479688865,Bin,42.0,43.0
US National,Season onset,week,0.0267117313482037,Bin,43.0,44.0
US National,Season onset,week,0.0735043440886394,Bin,44.0,45.0
US National,Season onset,week,0.104712635227153,Bin,45.0,46.0
US National,Season onset,week,0.108876787374929,Bin,46.0,47.0
US National,Season onset,week,0.0960077362149044,Bin,47.0,48.0
US National,Season onset,week,0.106700581509569,Bin,48.0,49.0
US National,Season onset,week,0.0805620270626331,Bin,49.0,50.0
US National,Season onset,week,0.060845280706231,Bin,50.0,51.0
US National,Season onset,week,0.0550506426124522,Bin,51.0,52.0
US National,Season onset,week,0.0419642281514669,Bin,52.0,53.0
US National,Season onset,week,0.0345472053386676,Bin,1.0,2.0
US National,Season onset,week,0.0400011283351023,Bin,2.0,3.0
US National,Season onset,week,0.0346073777924522,Bin,3.0,4.0
US National,Season onset,week,0.031398678250552,Bin,4.0,5.0
US National,Season onset,week,0.0281681666426903,Bin,5.0,6.0
US National,Season onset,week,0.0208042225081993,Bin,6.0,7.0
US National,Season onset,week,0.0128576681396298,Bin,7.0,8.0
US National,Season onset,week,0.00641031832614909,Bin,8.0,9.0
US National,Season onset,week,0.00254661522167642,Bin,9.0,10.0
US National,Season onset,week,0.000799216896307227,Bin,10.0,11.0
US National,Season onset,week,0.000239586609464323,Bin,11.0,12.0
US National,Season onset,week,0.000207238579542934,Bin,12.0,13.0
US National,Season onset,week,0.000207238579542934,Bin,13.0,14.0
US National,Season onset,week,0.000207238579542934,Bin,14.0,15.0
US National,Season onset,week,0.000207238579542934,Bin,15.0,16.0
US National,Season onset,week,0.000207238579542934,Bin,16.0,17.0
US National,Season onset,week,0.000207238579542934,Bin,17.0,18.0
US National,Season onset,week,0.000207238579542934,Bin,18.0,19.0
US National,Season onset,week,0.000207238579542934,Bin,19.0,20.0
US National,Season onset,week,0.000207238579542934,Bin,20.0,21.0
US National,Season onset,week,0.0287854756464722,Bin,none,none
US National,Season peak week,week,0.000540980339208647,Bin,40.0,41.0
US National,Season peak week,week,0.000540980339208647,Bin,41.0,42.0
US National,Season peak week,week,0.000540980339208647,Bin,42.0,43.0
US National,Season peak week,week,0.000540980339208647,Bin,43.0,44.0
US National,Season peak week,week,0.000540980339208647,Bin,44.0,45.0
US National,Season peak week,week,0.000540980339208647,Bin,45.0,46.0
US National,Season peak week,week,0.00147443130992758,Bin,46.0,47.0
US National,Season peak week,week,0.000540980339208647,Bin,47.0,48.0
US National,Season peak week,week,0.000540980339208647,Bin,48.0,49.0
US National,Season peak week,week,0.00196340015631888,Bin,49.0,50.0
US National,Season peak week,week,0.00590864559952578,Bin,50.0,51.0
US National,Season peak week,week,0.0289257059908984,Bin,51.0,52.0
US National,Season peak week,week,0.0500156633362097,Bin,52.0,53.0
US National,Season peak week,week,0.0344292447697966,Bin,1.0,2.0
US National,Season peak week,week,0.0424064532462882,Bin,2.0,3.0
US National,Season peak week,week,0.0844630756669667,Bin,3.0,4.0
US National,Season peak week,week,0.139300249066763,Bin,4.0,5.0
US National,Season peak week,week,0.290141129026693,Bin,5.0,6.0
US National,Season peak week,week,0.112261491134171,Bin,6.0,7.0
US National,Season peak week,week,0.0876924520751221,Bin,7.0,8.0
US National,Season peak week,week,0.0297202500033941,Bin,8.0,9.0
US National,Season peak week,week,0.0210274705728059,Bin,9.0,10.0
US National,Season peak week,week,0.0297976062613664,Bin,10.0,11.0
US National,Season peak week,week,0.0236774283449902,Bin,11.0,12.0
US National,Season peak week,week,0.00855407137308812,Bin,12.0,13.0
US National,Season peak week,week,0.00161319803429252,Bin,13.0,14.0
US National,Season peak week,week,0.000599884852574251,Bin,14.0,15.0
US National,Season peak week,week,0.000594534734429377,Bin,15.0,16.0
US National,Season peak week,week,0.000127809249069911,Bin,16.0,17.0
US National,Season peak week,week,0.000594534734429377,Bin,17.0,18.0
US National,Season peak week,week,0.000127809249069911,Bin,18.0,19.0
US National,Season peak week,week,0.000127809249069911,Bin,19.0,20.0
US National,Season peak week,week,0.000127809249069911,Bin,20.0,21.0
US National,Season peak percentage,percent,5.43344884423978e-05,Bin,0.0,0.1
US National,Season peak percentage,percent,0.000130585863433187,Bin,0.1,0.2
US National,Season peak percentage,percent,0.000165385392142364,Bin,0.2,0.3
US National,Season peak percentage,percent,0.000208014062285803,Bin,0.3,0.4
US National,Season peak percentage,percent,0.000259819201502356,Bin,0.4,0.5
US National,Season peak percentage,percent,0.000322280095540498,Bin,0.5,0.6
US National,Season peak percentage,percent,0.000397077075329601,Bin,0.6,0.7
US National,Season peak percentage,percent,0.000485964718739764,Bin,0.7,0.8
US National,Season peak percentage,percent,0.000590814493779267,Bin,0.8,0.9
US National,Season peak percentage,percent,0.000713527667091694,Bin,0.9,1.0
US National,Season peak percentage,percent,0.000856219801429239,Bin,1.0,1.1
US National,Season peak percentage,percent,0.00102076820626063,Bin,1.1,1.2
US National,Season peak percentage,percent,0.00120918934693394,Bin,1.2,1.3
US National,Season peak percentage,percent,0.00142332823349838,Bin,1.3,1.4
US National,Season peak percentage,percent,0.00166490787558577,Bin,1.4,1.5
US National,Season peak percentage,percent,0.00193527266656664,Bin,1.5,1.6
US National,Season peak percentage,percent,0.00223560641585614,Bin,1.6,1.7
US National,Season peak percentage,percent,0.00256666592956162,Bin,1.7,1.8
US National,Season peak percentage,percent,0.00292859537520224,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00441515783073923,Bin,1.9,2.0
US National,Season peak percentage,percent,0.00538450545095125,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00474097676957143,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00521735256961288,Bin,2.2,2.3
US National,Season peak percentage,percent,0.0062636819775627,Bin,2.3,2.4
US National,Season peak percentage,percent,0.00787625821238371,Bin,2.4,2.5
US National,Season peak percentage,percent,0.00731562420383114,Bin,2.5,2.6
US National,Season peak percentage,percent,0.010046836072626,Bin,2.6,2.7
US National,Season peak percentage,percent,0.0116882361504776,Bin,2.7,2.8
US National,Season peak percentage,percent,0.0116867648761974,Bin,2.8,2.9
US National,Season peak percentage,percent,0.0116769876414885,Bin,2.9,3.0
US National,Season peak percentage,percent,0.0132932057304997,Bin,3.0,3.1
US National,Season peak percentage,percent,0.014887718450358,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0164538392775336,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0201731036075933,Bin,3.3,3.4
US National,Season peak percentage,percent,0.0183814337749398,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0154494470272815,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0212181837367913,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0214616577310636,Bin,3.7,3.8
US National,Season peak percentage,percent,0.018911807953608,Bin,3.8,3.9
US National,Season peak percentage,percent,0.0173953124131613,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0234751488019926,Bin,4.0,4.1
US National,Season peak percentage,percent,0.0201941972340043,Bin,4.1,4.2
US National,Season peak percentage,percent,0.0201345740272872,Bin,4.2,4.3
