location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,5.7,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1,Point,NA,NA
HHS Region 10,Season onset,week,46,Point,NA,NA
HHS Region 10,Season peak percentage,percent,5.5,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 2,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 2,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 2,4 wk ahead,percent,2.9,Point,NA,NA
HHS Region 2,Season onset,week,46,Point,NA,NA
HHS Region 2,Season peak percentage,percent,7.4,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,Season onset,week,49,Point,NA,NA
HHS Region 3,Season peak percentage,percent,7.1,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2,Point,NA,NA
HHS Region 4,Season onset,week,46,Point,NA,NA
HHS Region 4,Season peak percentage,percent,7.9,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,51,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.3,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.3,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,4 wk ahead,percent,2.8,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,9.2,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,49,Point,NA,NA
HHS Region 7,Season peak percentage,percent,10.1,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 8,Season onset,week,1,Point,NA,NA
HHS Region 8,Season peak percentage,percent,4.6,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.8,Point,NA,NA
HHS Region 9,Season onset,week,49,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.9,Point,NA,NA
HHS Region 9,Season peak week,week,3,Point,NA,NA
US National,1 wk ahead,percent,1.6,Point,NA,NA
US National,2 wk ahead,percent,1.7,Point,NA,NA
US National,3 wk ahead,percent,1.8,Point,NA,NA
US National,4 wk ahead,percent,2,Point,NA,NA
US National,Season onset,week,47,Point,NA,NA
US National,Season peak percentage,percent,5.6,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,2.64447154475943e-05,Bin,40.0,41.0
US National,Season onset,week,3.07732584181386e-05,Bin,41.0,42.0
US National,Season onset,week,0.00194864760468781,Bin,42.0,43.0
US National,Season onset,week,0.0417717501192345,Bin,43.0,44.0
US National,Season onset,week,0.115086485292166,Bin,44.0,45.0
US National,Season onset,week,0.157651967289238,Bin,45.0,46.0
US National,Season onset,week,0.15097571334212,Bin,46.0,47.0
US National,Season onset,week,0.115764885527363,Bin,47.0,48.0
US National,Season onset,week,0.125063706476474,Bin,48.0,49.0
US National,Season onset,week,0.0792757441231057,Bin,49.0,50.0
US National,Season onset,week,0.0494439910246602,Bin,50.0,51.0
US National,Season onset,week,0.0451271964519018,Bin,51.0,52.0
US National,Season onset,week,0.0279945385937168,Bin,52.0,53.0
US National,Season onset,week,0.0176269985095946,Bin,1.0,2.0
US National,Season onset,week,0.025177553320902,Bin,2.0,3.0
US National,Season onset,week,0.0126967262265894,Bin,3.0,4.0
US National,Season onset,week,0.00636596548991356,Bin,4.0,5.0
US National,Season onset,week,0.00579571533359278,Bin,5.0,6.0
US National,Season onset,week,0.0036723540374135,Bin,6.0,7.0
US National,Season onset,week,0.00226963088246168,Bin,7.0,8.0
US National,Season onset,week,0.00113154697575297,Bin,8.0,9.0
US National,Season onset,week,0.000449527530488239,Bin,9.0,10.0
US National,Season onset,week,0.000141077446476541,Bin,10.0,11.0
US National,Season onset,week,4.22917349775152e-05,Bin,11.0,12.0
US National,Season onset,week,3.65816772927057e-05,Bin,12.0,13.0
US National,Season onset,week,3.65816772927057e-05,Bin,13.0,14.0
US National,Season onset,week,3.65816772927057e-05,Bin,14.0,15.0
US National,Season onset,week,3.65816772927057e-05,Bin,15.0,16.0
US National,Season onset,week,3.65816772927057e-05,Bin,16.0,17.0
US National,Season onset,week,3.65816772927057e-05,Bin,17.0,18.0
US National,Season onset,week,3.65816772927057e-05,Bin,18.0,19.0
US National,Season onset,week,3.65816772927057e-05,Bin,19.0,20.0
US National,Season onset,week,3.65816772927057e-05,Bin,20.0,21.0
US National,Season onset,week,0.01413953359767,Bin,none,none
US National,Season peak week,week,9.54944770447027e-05,Bin,40.0,41.0
US National,Season peak week,week,9.54944770447027e-05,Bin,41.0,42.0
US National,Season peak week,week,9.54944770447027e-05,Bin,42.0,43.0
US National,Season peak week,week,9.54944770447027e-05,Bin,43.0,44.0
US National,Season peak week,week,9.54944770447027e-05,Bin,44.0,45.0
US National,Season peak week,week,9.54944770447027e-05,Bin,45.0,46.0
US National,Season peak week,week,0.00166552270154008,Bin,46.0,47.0
US National,Season peak week,week,9.54944770447027e-05,Bin,47.0,48.0
US National,Season peak week,week,9.54944770447027e-05,Bin,48.0,49.0
US National,Season peak week,week,0.00245446323768066,Bin,49.0,50.0
US National,Season peak week,week,0.00315088254000689,Bin,50.0,51.0
US National,Season peak week,week,0.010024389490675,Bin,51.0,52.0
US National,Season peak week,week,0.0151524674014803,Bin,52.0,53.0
US National,Season peak week,week,0.0152116398663166,Bin,1.0,2.0
US National,Season peak week,week,0.0412117196685112,Bin,2.0,3.0
US National,Season peak week,week,0.0971168618735755,Bin,3.0,4.0
US National,Season peak week,week,0.189004176782971,Bin,4.0,5.0
US National,Season peak week,week,0.424311065996108,Bin,5.0,6.0
US National,Season peak week,week,0.0992133788970163,Bin,6.0,7.0
US National,Season peak week,week,0.064663463075356,Bin,7.0,8.0
US National,Season peak week,week,0.0101646368286955,Bin,8.0,9.0
US National,Season peak week,week,0.00863016687554532,Bin,9.0,10.0
US National,Season peak week,week,0.006665131978241,Bin,10.0,11.0
US National,Season peak week,week,0.00488217541736505,Bin,11.0,12.0
US National,Season peak week,week,0.00221259744994237,Bin,12.0,13.0
US National,Season peak week,week,0.000987390361864521,Bin,13.0,14.0
US National,Season peak week,week,0.000808519519165954,Bin,14.0,15.0
US National,Season peak week,week,0.000807575111762596,Bin,15.0,16.0
US National,Season peak week,week,2.25609995149044e-05,Bin,16.0,17.0
US National,Season peak week,week,0.000807575111762596,Bin,17.0,18.0
US National,Season peak week,week,2.25609995149044e-05,Bin,18.0,19.0
US National,Season peak week,week,2.25609995149044e-05,Bin,19.0,20.0
US National,Season peak week,week,2.25609995149044e-05,Bin,20.0,21.0
US National,Season peak percentage,percent,9.59116183677832e-06,Bin,0.0,0.1
US National,Season peak percentage,percent,2.30511065423196e-05,Bin,0.1,0.2
US National,Season peak percentage,percent,2.91939412008527e-05,Bin,0.2,0.3
US National,Season peak percentage,percent,3.67187801254479e-05,Bin,0.3,0.4
US National,Season peak percentage,percent,4.58634541169671e-05,Bin,0.4,0.5
US National,Season peak percentage,percent,5.68890872246802e-05,Bin,0.5,0.6
US National,Season peak percentage,percent,7.00922920167649e-05,Bin,0.6,0.7
US National,Season peak percentage,percent,8.57827870818707e-05,Bin,0.7,0.8
US National,Season peak percentage,percent,0.000104290924419921,Bin,0.8,0.9
US National,Season peak percentage,percent,0.000125952316008092,Bin,0.9,1.0
US National,Season peak percentage,percent,0.000151140401357143,Bin,1.0,1.1
US National,Season peak percentage,percent,0.000180186563317944,Bin,1.1,1.2
US National,Season peak percentage,percent,0.000213446748492493,Bin,1.2,1.3
US National,Season peak percentage,percent,0.000251246638034713,Bin,1.3,1.4
US National,Season peak percentage,percent,0.00029389037745215,Bin,1.4,1.5
US National,Season peak percentage,percent,0.00034161527871997,Bin,1.5,1.6
US National,Season peak percentage,percent,0.000394630307415175,Bin,1.6,1.7
US National,Season peak percentage,percent,0.000453069054315731,Bin,1.7,1.8
US National,Season peak percentage,percent,0.00051695696705686,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00242632450135306,Bin,1.9,2.0
US National,Season peak percentage,percent,0.00342091357733196,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00166035863368098,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00174444862828937,Bin,2.2,2.3
US National,Season peak percentage,percent,0.00275262653265281,Bin,2.3,2.4
US National,Season peak percentage,percent,0.00468423802454092,Bin,2.4,2.5
US National,Season peak percentage,percent,0.00293831564546749,Bin,2.5,2.6
US National,Season peak percentage,percent,0.00671434809138963,Bin,2.6,2.7
US National,Season peak percentage,percent,0.00865104755735866,Bin,2.7,2.8
US National,Season peak percentage,percent,0.00782730826994411,Bin,2.8,2.9
US National,Season peak percentage,percent,0.00700210280886675,Bin,2.9,3.0
US National,Season peak percentage,percent,0.00893435713391275,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0108627800218875,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0127861911682716,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0183835939982917,Bin,3.3,3.4
US National,Season peak percentage,percent,0.0147734097369018,Bin,3.4,3.5
US National,Season peak percentage,percent,0.00931497733470498,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0185680718230441,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0186110499491747,Bin,3.7,3.8
US National,Season peak percentage,percent,0.0140435520726463,Bin,3.8,3.9
US National,Season peak percentage,percent,0.011305421290869,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0214369108164645,Bin,4.0,4.1
