location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,5.7,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1,Point,NA,NA
HHS Region 10,Season onset,week,46,Point,NA,NA
HHS Region 10,Season peak percentage,percent,5.4,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.3,Point,NA,NA
HHS Region 2,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 2,3 wk ahead,percent,2.7,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3,Point,NA,NA
HHS Region 2,Season onset,week,47,Point,NA,NA
HHS Region 2,Season peak percentage,percent,7.4,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,Season onset,week,49,Point,NA,NA
HHS Region 3,Season peak percentage,percent,7,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 4,Season onset,week,47,Point,NA,NA
HHS Region 4,Season peak percentage,percent,8.2,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,51,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.3,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.3,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,4 wk ahead,percent,2.8,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,9,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,49,Point,NA,NA
HHS Region 7,Season peak percentage,percent,10.1,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 8,Season onset,week,1,Point,NA,NA
HHS Region 8,Season peak percentage,percent,4.6,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,Season onset,week,49,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.9,Point,NA,NA
HHS Region 9,Season peak week,week,3,Point,NA,NA
US National,1 wk ahead,percent,1.6,Point,NA,NA
US National,2 wk ahead,percent,1.7,Point,NA,NA
US National,3 wk ahead,percent,1.8,Point,NA,NA
US National,4 wk ahead,percent,1.8,Point,NA,NA
US National,Season onset,week,47,Point,NA,NA
US National,Season peak percentage,percent,5.7,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,4.23356485769305e-05,Bin,40.0,41.0
US National,Season onset,week,4.92643971116255e-05,Bin,41.0,42.0
US National,Season onset,week,0.00191778611206573,Bin,42.0,43.0
US National,Season onset,week,0.0398318287918713,Bin,43.0,44.0
US National,Season onset,week,0.109730178841531,Bin,44.0,45.0
US National,Season onset,week,0.150832710792838,Bin,45.0,46.0
US National,Season onset,week,0.145552838221746,Bin,46.0,47.0
US National,Season onset,week,0.113219913917742,Bin,47.0,48.0
US National,Season onset,week,0.122698302902674,Bin,48.0,49.0
US National,Season onset,week,0.0794414328873954,Bin,49.0,50.0
US National,Season onset,week,0.0509126206778171,Bin,50.0,51.0
US National,Season onset,week,0.0464054613705469,Bin,51.0,52.0
US National,Season onset,week,0.0297940112338515,Bin,52.0,53.0
US National,Season onset,week,0.0198065356106391,Bin,1.0,2.0
US National,Season onset,week,0.0270870182537007,Bin,2.0,3.0
US National,Season onset,week,0.0155190966969569,Bin,3.0,4.0
US National,Season onset,week,0.00959049712948563,Bin,4.0,5.0
US National,Season onset,week,0.00867757154410391,Bin,5.0,6.0
US National,Season onset,week,0.00587915654531118,Bin,6.0,7.0
US National,Season onset,week,0.00363350472794169,Bin,7.0,8.0
US National,Season onset,week,0.00181151985906581,Bin,8.0,9.0
US National,Season onset,week,0.000719659096611687,Bin,9.0,10.0
US National,Season onset,week,0.000225854178588868,Bin,10.0,11.0
US National,Season onset,week,6.77058240946872e-05,Bin,11.0,12.0
US National,Season onset,week,5.85644565813742e-05,Bin,12.0,13.0
US National,Season onset,week,5.85644565813742e-05,Bin,13.0,14.0
US National,Season onset,week,5.85644565813742e-05,Bin,14.0,15.0
US National,Season onset,week,5.85644565813742e-05,Bin,15.0,16.0
US National,Season onset,week,5.85644565813742e-05,Bin,16.0,17.0
US National,Season onset,week,5.85644565813742e-05,Bin,17.0,18.0
US National,Season onset,week,5.85644565813742e-05,Bin,18.0,19.0
US National,Season onset,week,5.85644565813742e-05,Bin,19.0,20.0
US National,Season onset,week,5.85644565813742e-05,Bin,20.0,21.0
US National,Season onset,week,0.0160261146284998,Bin,none,none
US National,Season peak week,week,1.34202928863845e-10,Bin,40.0,41.0
US National,Season peak week,week,1.34202928863845e-10,Bin,41.0,42.0
US National,Season peak week,week,1.34202928863845e-10,Bin,42.0,43.0
US National,Season peak week,week,1.34202928863845e-10,Bin,43.0,44.0
US National,Season peak week,week,1.34202928863845e-10,Bin,44.0,45.0
US National,Season peak week,week,1.34202928863845e-10,Bin,45.0,46.0
US National,Season peak week,week,0.00170648458607958,Bin,46.0,47.0
US National,Season peak week,week,1.34202928863845e-10,Bin,47.0,48.0
US National,Season peak week,week,1.34202928863845e-10,Bin,48.0,49.0
US National,Season peak week,week,0.0025597268175359,Bin,49.0,50.0
US National,Season peak week,week,0.00255972779624697,Bin,50.0,51.0
US National,Season peak week,week,0.00597270194677861,Bin,51.0,52.0
US National,Season peak week,week,0.00767919139789567,Bin,52.0,53.0
US National,Season peak week,week,0.0110921559530741,Bin,1.0,2.0
US National,Season peak week,week,0.0409556316938119,Bin,2.0,3.0
US National,Season peak week,week,0.0998293476357477,Bin,3.0,4.0
US National,Season peak week,week,0.199658688192802,Bin,4.0,5.0
US National,Season peak week,week,0.453071632366616,Bin,5.0,6.0
US National,Season peak week,week,0.0964163861814447,Bin,6.0,7.0
US National,Season peak week,week,0.0597269693945706,Bin,7.0,8.0
US National,Season peak week,week,0.00597270210986802,Bin,8.0,9.0
US National,Season peak week,week,0.0059726998987028,Bin,9.0,10.0
US National,Season peak week,week,0.00170649145292771,Bin,10.0,11.0
US National,Season peak week,week,0.000853247884938139,Bin,11.0,12.0
US National,Season peak week,week,0.000853244209456755,Bin,12.0,13.0
US National,Season peak week,week,0.000853242508175277,Bin,13.0,14.0
US National,Season peak week,week,0.000853242258767037,Bin,14.0,15.0
US National,Season peak week,week,0.0008532422574485,Bin,15.0,16.0
US National,Season peak week,week,3.15101742128686e-11,Bin,16.0,17.0
US National,Season peak week,week,0.0008532422574485,Bin,17.0,18.0
US National,Season peak week,week,3.15101742128686e-11,Bin,18.0,19.0
US National,Season peak week,week,3.15101742128686e-11,Bin,19.0,20.0
US National,Season peak week,week,3.15101742128686e-11,Bin,20.0,21.0
US National,Season peak percentage,percent,3.19777245663937e-10,Bin,0.0,0.1
US National,Season peak percentage,percent,7.68536838261681e-10,Bin,0.1,0.2
US National,Season peak percentage,percent,9.73332116675948e-10,Bin,0.2,0.3
US National,Season peak percentage,percent,1.22419849767158e-09,Bin,0.3,0.4
US National,Season peak percentage,percent,1.5290634402214e-09,Bin,0.4,0.5
US National,Season peak percentage,percent,1.89663058554791e-09,Bin,0.5,0.6
US National,Season peak percentage,percent,2.33678622351278e-09,Bin,0.6,0.7
US National,Season peak percentage,percent,2.85985311677266e-09,Bin,0.7,0.8
US National,Season peak percentage,percent,3.47684139151018e-09,Bin,0.8,0.9
US National,Season peak percentage,percent,4.19893606622378e-09,Bin,0.9,1.0
US National,Season peak percentage,percent,5.03858255771817e-09,Bin,1.0,1.1
US National,Season peak percentage,percent,6.00682396268243e-09,Bin,1.1,1.2
US National,Season peak percentage,percent,7.11552166383293e-09,Bin,1.2,1.3
US National,Season peak percentage,percent,8.37552777924515e-09,Bin,1.3,1.4
US National,Season peak percentage,percent,9.79697617975375e-09,Bin,1.4,1.5
US National,Season peak percentage,percent,1.13877728129213e-08,Bin,1.5,1.6
US National,Season peak percentage,percent,1.31548785036625e-08,Bin,1.6,1.7
US National,Season peak percentage,percent,1.51027416169418e-08,Bin,1.7,1.8
US National,Season peak percentage,percent,1.72322061447982e-08,Bin,1.8,1.9
US National,Season peak percentage,percent,0.0020000142099011,Bin,1.9,2.0
US National,Season peak percentage,percent,0.0030000140287937,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00100002201107848,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00100002481376394,Bin,2.2,2.3
US National,Season peak percentage,percent,0.00200002508547358,Bin,2.3,2.4
US National,Season peak percentage,percent,0.0040000228043983,Bin,2.4,2.5
US National,Season peak percentage,percent,0.00200003127424853,Bin,2.5,2.6
US National,Season peak percentage,percent,0.00600002380607505,Bin,2.6,2.7
US National,Season peak percentage,percent,0.00800002169448719,Bin,2.7,2.8
US National,Season peak percentage,percent,0.00700002756982641,Bin,2.8,2.9
US National,Season peak percentage,percent,0.00600003339628352,Bin,2.9,3.0
US National,Season peak percentage,percent,0.00800003113649746,Bin,3.0,3.1
US National,Season peak percentage,percent,0.010000028749016,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0120000261945125,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0180000127710216,Bin,3.3,3.4
US National,Season peak percentage,percent,0.0140000257666115,Bin,3.4,3.5
US National,Season peak percentage,percent,0.00800004382173736,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0180000189194797,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0180000203520493,Bin,3.7,3.8
US National,Season peak percentage,percent,0.0130000347715186,Bin,3.8,3.9
US National,Season peak percentage,percent,0.0100000435023339,Bin,3.9,4.0
