location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,5.7,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1,Point,NA,NA
HHS Region 10,Season onset,week,48,Point,NA,NA
HHS Region 10,Season peak percentage,percent,5.8,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.8,Point,NA,NA
HHS Region 2,2 wk ahead,percent,3,Point,NA,NA
HHS Region 2,3 wk ahead,percent,3.3,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3.5,Point,NA,NA
HHS Region 2,Season onset,week,45,Point,NA,NA
HHS Region 2,Season peak percentage,percent,8.7,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.5,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.6,Point,NA,NA
HHS Region 3,Season onset,week,49,Point,NA,NA
HHS Region 3,Season peak percentage,percent,7.5,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 4,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 4,Season onset,week,48,Point,NA,NA
HHS Region 4,Season peak percentage,percent,6.8,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,50,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.3,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,4 wk ahead,percent,3,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,9,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,49,Point,NA,NA
HHS Region 7,Season peak percentage,percent,7.2,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,Season onset,week,52,Point,NA,NA
HHS Region 8,Season peak percentage,percent,5.6,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 9,Season onset,week,49,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.7,Point,NA,NA
HHS Region 9,Season peak week,week,3,Point,NA,NA
US National,1 wk ahead,percent,1.6,Point,NA,NA
US National,2 wk ahead,percent,1.7,Point,NA,NA
US National,3 wk ahead,percent,1.9,Point,NA,NA
US National,4 wk ahead,percent,2,Point,NA,NA
US National,Season onset,week,47,Point,NA,NA
US National,Season peak percentage,percent,5.4,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,3.73084951059177e-05,Bin,40.0,41.0
US National,Season onset,week,4.34357467193586e-05,Bin,41.0,42.0
US National,Season onset,week,0.000153833501368474,Bin,42.0,43.0
US National,Season onset,week,0.00229221178386169,Bin,43.0,44.0
US National,Season onset,week,0.0694061338656732,Bin,44.0,45.0
US National,Season onset,week,0.155828836740143,Bin,45.0,46.0
US National,Season onset,week,0.181983074460865,Bin,46.0,47.0
US National,Season onset,week,0.104838173673584,Bin,47.0,48.0
US National,Season onset,week,0.123085113792446,Bin,48.0,49.0
US National,Season onset,week,0.0880754629585728,Bin,49.0,50.0
US National,Season onset,week,0.0627876580665821,Bin,50.0,51.0
US National,Season onset,week,0.0601168212282996,Bin,51.0,52.0
US National,Season onset,week,0.0399131176313113,Bin,52.0,53.0
US National,Season onset,week,0.0166742188608306,Bin,1.0,2.0
US National,Season onset,week,0.0258612314430294,Bin,2.0,3.0
US National,Season onset,week,0.0185682379200754,Bin,3.0,4.0
US National,Season onset,week,0.0125835197378409,Bin,4.0,5.0
US National,Season onset,week,0.00732740205916011,Bin,5.0,6.0
US National,Season onset,week,0.00552404156328386,Bin,6.0,7.0
US National,Season onset,week,0.0034157901053192,Bin,7.0,8.0
US National,Season onset,week,0.00170350652174142,Bin,8.0,9.0
US National,Season onset,week,0.000676879990149706,Bin,9.0,10.0
US National,Season onset,week,0.000212454277865364,Bin,10.0,11.0
US National,Season onset,week,6.36933830284114e-05,Bin,11.0,12.0
US National,Season onset,week,5.5094144531495e-05,Bin,12.0,13.0
US National,Season onset,week,5.5094144531495e-05,Bin,13.0,14.0
US National,Season onset,week,5.5094144531495e-05,Bin,14.0,15.0
US National,Season onset,week,5.5094144531495e-05,Bin,15.0,16.0
US National,Season onset,week,5.5094144531495e-05,Bin,16.0,17.0
US National,Season onset,week,5.5094144531495e-05,Bin,17.0,18.0
US National,Season onset,week,5.5094144531495e-05,Bin,18.0,19.0
US National,Season onset,week,5.5094144531495e-05,Bin,19.0,20.0
US National,Season onset,week,5.5094144531495e-05,Bin,20.0,21.0
US National,Season onset,week,0.0183319948923595,Bin,none,none
US National,Season peak week,week,7.48267651945259e-05,Bin,40.0,41.0
US National,Season peak week,week,7.48267651945259e-05,Bin,41.0,42.0
US National,Season peak week,week,0.000872362816149441,Bin,42.0,43.0
US National,Season peak week,week,7.48267651945259e-05,Bin,43.0,44.0
US National,Season peak week,week,0.000872362816149441,Bin,44.0,45.0
US National,Season peak week,week,7.48267651945259e-05,Bin,45.0,46.0
US National,Season peak week,week,0.000872362816149441,Bin,46.0,47.0
US National,Season peak week,week,0.00246743491805927,Bin,47.0,48.0
US National,Season peak week,week,0.00166989886710436,Bin,48.0,49.0
US National,Season peak week,week,0.00326804760348984,Bin,49.0,50.0
US National,Season peak week,week,0.00381374209647131,Bin,50.0,51.0
US National,Season peak week,week,0.00673918316618557,Bin,51.0,52.0
US National,Season peak week,week,0.0167059227817254,Bin,52.0,53.0
US National,Season peak week,week,0.0111182665741075,Bin,1.0,2.0
US National,Season peak week,week,0.0299828902005546,Bin,2.0,3.0
US National,Season peak week,week,0.124738263167962,Bin,3.0,4.0
US National,Season peak week,week,0.210847095040649,Bin,4.0,5.0
US National,Season peak week,week,0.392748017668339,Bin,5.0,6.0
US National,Season peak week,week,0.110419156670806,Bin,6.0,7.0
US National,Season peak week,week,0.0563221769390894,Bin,7.0,8.0
US National,Season peak week,week,0.0116641916303095,Bin,8.0,9.0
US National,Season peak week,week,0.00253454719490451,Bin,9.0,10.0
US National,Season peak week,week,0.00492998732407644,Bin,10.0,11.0
US National,Season peak week,week,0.00409492756340715,Bin,11.0,12.0
US National,Season peak week,week,0.00113859726232409,Bin,12.0,13.0
US National,Season peak week,week,0.000958021708862453,Bin,13.0,14.0
US National,Season peak week,week,1.85979900484032e-05,Bin,14.0,15.0
US National,Season peak week,week,1.78503452238261e-05,Bin,15.0,16.0
US National,Season peak week,week,1.78503452238261e-05,Bin,16.0,17.0
US National,Season peak week,week,0.000815386396178741,Bin,17.0,18.0
US National,Season peak week,week,1.78503452238261e-05,Bin,18.0,19.0
US National,Season peak week,week,1.78503452238261e-05,Bin,19.0,20.0
US National,Season peak week,week,1.78503452238261e-05,Bin,20.0,21.0
US National,Season peak percentage,percent,7.58754413181047e-06,Bin,0.0,0.1
US National,Season peak percentage,percent,1.82413654779645e-05,Bin,0.1,0.2
US National,Season peak percentage,percent,2.31121125544144e-05,Bin,0.2,0.3
US National,Season peak percentage,percent,2.90818476724582e-05,Bin,0.3,0.4
US National,Season peak percentage,percent,3.63406106537746e-05,Bin,0.4,0.5
US National,Season peak percentage,percent,4.50972758139045e-05,Bin,0.5,0.6
US National,Season peak percentage,percent,5.55893253824547e-05,Bin,0.6,0.7
US National,Season peak percentage,percent,6.80650722566125e-05,Bin,0.7,0.8
US National,Season peak percentage,percent,8.27896887634548e-05,Bin,0.8,0.9
US National,Season peak percentage,percent,0.000100032958641368,Bin,0.9,1.0
US National,Season peak percentage,percent,0.000120095344534564,Bin,1.0,1.1
US National,Season peak percentage,percent,0.000143244147423217,Bin,1.1,1.2
US National,Season peak percentage,percent,0.000169766748019189,Bin,1.2,1.3
US National,Season peak percentage,percent,0.000199926762129211,Bin,1.3,1.4
US National,Season peak percentage,percent,0.000233970985629811,Bin,1.4,1.5
US National,Season peak percentage,percent,0.00120876241599018,Bin,1.5,1.6
US National,Season peak percentage,percent,0.000314464002141695,Bin,1.6,1.7
US National,Season peak percentage,percent,0.0012978643943198,Bin,1.7,1.8
US National,Season peak percentage,percent,0.00134897966498058,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00140444895586413,Bin,1.9,2.0
US National,Season peak percentage,percent,0.00146415697098536,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00340121121581609,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00346862101322976,Bin,2.2,2.3
US National,Season peak percentage,percent,0.0044759791694581,Bin,2.3,2.4
US National,Season peak percentage,percent,0.00361275366786124,Bin,2.4,2.5
US National,Season peak percentage,percent,0.0055616618538937,Bin,2.5,2.6
US National,Season peak percentage,percent,0.00376531327854973,Bin,2.6,2.7
US National,Season peak percentage,percent,0.0113362782174044,Bin,2.7,2.8
US National,Season peak percentage,percent,0.00204695081472684,Bin,2.8,2.9
US National,Season peak percentage,percent,0.00680650348366907,Bin,2.9,3.0
US National,Season peak percentage,percent,0.00688059051242622,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0116349486293517,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0145119340978135,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0211306343402973,Bin,3.3,3.4
US National,Season peak percentage,percent,0.00620010571554407,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0146797014699046,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0156586085605082,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0175662819873409,Bin,3.7,3.8
US National,Season peak percentage,percent,0.0175922657856446,Bin,3.8,3.9
US National,Season peak percentage,percent,0.026039580916605,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0288580286111754,Bin,4.0,4.1
