location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,5.7,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1,Point,NA,NA
HHS Region 10,Season onset,week,48,Point,NA,NA
HHS Region 10,Season peak percentage,percent,5.7,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.8,Point,NA,NA
HHS Region 2,2 wk ahead,percent,3,Point,NA,NA
HHS Region 2,3 wk ahead,percent,3.3,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3.7,Point,NA,NA
HHS Region 2,Season onset,week,45,Point,NA,NA
HHS Region 2,Season peak percentage,percent,8.6,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.5,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.6,Point,NA,NA
HHS Region 3,Season onset,week,49,Point,NA,NA
HHS Region 3,Season peak percentage,percent,7.4,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 4,Season onset,week,48,Point,NA,NA
HHS Region 4,Season peak percentage,percent,6.7,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,50,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.3,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,4 wk ahead,percent,3,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,9,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,49,Point,NA,NA
HHS Region 7,Season peak percentage,percent,7.1,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,Season onset,week,52,Point,NA,NA
HHS Region 8,Season peak percentage,percent,5.5,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 9,Season onset,week,49,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.7,Point,NA,NA
HHS Region 9,Season peak week,week,3,Point,NA,NA
US National,1 wk ahead,percent,1.6,Point,NA,NA
US National,2 wk ahead,percent,1.7,Point,NA,NA
US National,3 wk ahead,percent,1.9,Point,NA,NA
US National,4 wk ahead,percent,2.1,Point,NA,NA
US National,Season onset,week,47,Point,NA,NA
US National,Season peak percentage,percent,5.3,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,2.65345994860262e-05,Bin,40.0,41.0
US National,Season onset,week,3.08926048233272e-05,Bin,41.0,42.0
US National,Season onset,week,0.000109410095108537,Bin,42.0,43.0
US National,Season onset,week,0.00220782814369859,Bin,43.0,44.0
US National,Season onset,week,0.0715990899230408,Bin,44.0,45.0
US National,Season onset,week,0.160787522074925,Bin,45.0,46.0
US National,Season onset,week,0.187185998960497,Bin,46.0,47.0
US National,Season onset,week,0.1063288067725,Bin,47.0,48.0
US National,Season onset,week,0.124793215100198,Bin,48.0,49.0
US National,Season onset,week,0.0883424528132808,Bin,49.0,50.0
US National,Season onset,week,0.0622714209296776,Bin,50.0,51.0
US National,Season onset,week,0.059794307498592,Bin,51.0,52.0
US National,Season onset,week,0.0390718688347667,Bin,52.0,53.0
US National,Season onset,week,0.0150356185921108,Bin,1.0,2.0
US National,Season onset,week,0.0244574037695971,Bin,2.0,3.0
US National,Season onset,week,0.0166714601717009,Bin,3.0,4.0
US National,Season onset,week,0.0103935486444916,Bin,4.0,5.0
US National,Season onset,week,0.00521139284732821,Bin,5.0,6.0
US National,Season onset,week,0.00392880722892805,Bin,6.0,7.0
US National,Season onset,week,0.00242937721429285,Bin,7.0,8.0
US National,Season onset,week,0.00121156738586736,Bin,8.0,9.0
US National,Season onset,week,0.000481410374392903,Bin,9.0,10.0
US National,Season onset,week,0.000151101663348664,Bin,10.0,11.0
US National,Season onset,week,4.52999878535983e-05,Bin,11.0,12.0
US National,Season onset,week,3.91840407723618e-05,Bin,12.0,13.0
US National,Season onset,week,3.91840407723618e-05,Bin,13.0,14.0
US National,Season onset,week,3.91840407723618e-05,Bin,14.0,15.0
US National,Season onset,week,3.91840407723618e-05,Bin,15.0,16.0
US National,Season onset,week,3.91840407723618e-05,Bin,16.0,17.0
US National,Season onset,week,3.91840407723618e-05,Bin,17.0,18.0
US National,Season onset,week,3.91840407723618e-05,Bin,18.0,19.0
US National,Season onset,week,3.91840407723618e-05,Bin,19.0,20.0
US National,Season onset,week,3.91840407723618e-05,Bin,20.0,21.0
US National,Season onset,week,0.0170810074025422,Bin,none,none
US National,Season peak week,week,9.79406847818331e-05,Bin,40.0,41.0
US National,Season peak week,week,9.79406847818331e-05,Bin,41.0,42.0
US National,Season peak week,week,0.000878717780029427,Bin,42.0,43.0
US National,Season peak week,week,9.79406847818331e-05,Bin,43.0,44.0
US National,Season peak week,week,0.000878717780029427,Bin,44.0,45.0
US National,Season peak week,week,9.79406847818331e-05,Bin,45.0,46.0
US National,Season peak week,week,0.000878717780029427,Bin,46.0,47.0
US National,Season peak week,week,0.00244027197052461,Bin,47.0,48.0
US National,Season peak week,week,0.00165949487527702,Bin,48.0,49.0
US National,Season peak week,week,0.00322507606983401,Bin,49.0,50.0
US National,Season peak week,week,0.00393933509449406,Bin,50.0,51.0
US National,Season peak week,week,0.00776844225091602,Bin,51.0,52.0
US National,Season peak week,week,0.018445844978848,Bin,52.0,53.0
US National,Season peak week,week,0.012184641804775,Bin,1.0,2.0
US National,Season peak week,week,0.0302986347895611,Bin,2.0,3.0
US National,Season peak week,week,0.123539185263845,Bin,3.0,4.0
US National,Season peak week,week,0.207830286026612,Bin,4.0,5.0
US National,Season peak week,week,0.386455756894451,Bin,5.0,6.0
US National,Season peak week,week,0.110848582451026,Bin,6.0,7.0
US National,Season peak week,week,0.0576699262941267,Bin,7.0,8.0
US National,Season peak week,week,0.0126360903415033,Bin,8.0,9.0
US National,Season peak week,week,0.00331749701449652,Bin,9.0,10.0
US National,Season peak week,week,0.00618979357640817,Bin,10.0,11.0
US National,Season peak week,week,0.00509676385171229,Bin,11.0,12.0
US National,Season peak week,week,0.00149031673368427,Bin,12.0,13.0
US National,Season peak week,week,0.000990837373306129,Bin,13.0,14.0
US National,Season peak week,week,2.43429625463702e-05,Bin,14.0,15.0
US National,Season peak week,week,2.33643679314741e-05,Bin,15.0,16.0
US National,Season peak week,week,2.33643679314741e-05,Bin,16.0,17.0
US National,Season peak week,week,0.000804141463179068,Bin,17.0,18.0
US National,Season peak week,week,2.33643679314741e-05,Bin,18.0,19.0
US National,Season peak week,week,2.33643679314741e-05,Bin,19.0,20.0
US National,Season peak week,week,2.33643679314741e-05,Bin,20.0,21.0
US National,Season peak percentage,percent,9.98816119339691e-06,Bin,0.0,0.1
US National,Season peak percentage,percent,2.40127357324605e-05,Bin,0.1,0.2
US National,Season peak percentage,percent,3.04245328795407e-05,Bin,0.2,0.3
US National,Season peak percentage,percent,3.8283025141407e-05,Bin,0.3,0.4
US National,Season peak percentage,percent,4.78383785950469e-05,Bin,0.4,0.5
US National,Season peak percentage,percent,5.93655527788241e-05,Bin,0.5,0.6
US National,Season peak percentage,percent,7.31771662978696e-05,Bin,0.6,0.7
US National,Season peak percentage,percent,8.96000950596134e-05,Bin,0.7,0.8
US National,Season peak percentage,percent,0.00010898340845998,Bin,0.8,0.9
US National,Season peak percentage,percent,0.00013168224623727,Bin,0.9,1.0
US National,Season peak percentage,percent,0.000158092133393601,Bin,1.0,1.1
US National,Season peak percentage,percent,0.000188564941257593,Bin,1.1,1.2
US National,Season peak percentage,percent,0.000223478973799705,Bin,1.2,1.3
US National,Season peak percentage,percent,0.000263181251098249,Bin,1.3,1.4
US National,Season peak percentage,percent,0.000307996651623409,Bin,1.4,1.5
US National,Season peak percentage,percent,0.00127481231670832,Bin,1.5,1.6
US National,Season peak percentage,percent,0.000413956666190584,Bin,1.6,1.7
US National,Season peak percentage,percent,0.00139210505505705,Bin,1.7,1.8
US National,Season peak percentage,percent,0.00145939255680116,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00153241163186206,Bin,1.9,2.0
US National,Season peak percentage,percent,0.0016110105055165,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00352814928937389,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00361688668184408,Bin,2.2,2.3
US National,Season peak percentage,percent,0.00462657274148201,Bin,2.3,2.4
US National,Season peak percentage,percent,0.0038066210448096,Bin,2.4,2.5
US National,Season peak percentage,percent,0.00573936418585494,Bin,2.5,2.6
US National,Season peak percentage,percent,0.00400744852563913,Bin,2.6,2.7
US National,Season peak percentage,percent,0.0114426713081766,Bin,2.7,2.8
US National,Season peak percentage,percent,0.0023781927519691,Bin,2.8,2.9
US National,Season peak percentage,percent,0.00706167035165843,Bin,2.9,3.0
US National,Season peak percentage,percent,0.00715919753663111,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0118358370945244,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0146739019632913,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0211719630065533,Bin,3.3,3.4
US National,Season peak percentage,percent,0.00657980327784044,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0148947487368792,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0158669821884058,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0177454444539851,Bin,3.7,3.8
US National,Season peak percentage,percent,0.0177796492259566,Bin,3.8,3.9
US National,Season peak percentage,percent,0.0260521009428713,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0288131075316706,Bin,4.0,4.1
