location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,5.2,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1,Point,NA,NA
HHS Region 10,Season onset,week,47,Point,NA,NA
HHS Region 10,Season peak percentage,percent,5,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 2,2 wk ahead,percent,2.4,Point,NA,NA
HHS Region 2,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 2,4 wk ahead,percent,2.8,Point,NA,NA
HHS Region 2,Season onset,week,46,Point,NA,NA
HHS Region 2,Season peak percentage,percent,7.1,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.3,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,Season onset,week,49,Point,NA,NA
HHS Region 3,Season peak percentage,percent,6.9,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 4,Season onset,week,47,Point,NA,NA
HHS Region 4,Season peak percentage,percent,7.4,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,51,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.3,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.3,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.5,Point,NA,NA
HHS Region 6,4 wk ahead,percent,2.7,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,8.8,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.1,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,49,Point,NA,NA
HHS Region 7,Season peak percentage,percent,9.2,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 8,Season onset,week,1,Point,NA,NA
HHS Region 8,Season peak percentage,percent,4.3,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.8,Point,NA,NA
HHS Region 9,Season onset,week,49,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.9,Point,NA,NA
HHS Region 9,Season peak week,week,3,Point,NA,NA
US National,1 wk ahead,percent,1.5,Point,NA,NA
US National,2 wk ahead,percent,1.6,Point,NA,NA
US National,3 wk ahead,percent,1.8,Point,NA,NA
US National,4 wk ahead,percent,1.9,Point,NA,NA
US National,Season onset,week,47,Point,NA,NA
US National,Season peak percentage,percent,5.4,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,5.29614314537166e-05,Bin,40.0,41.0
US National,Season onset,week,6.16332443151748e-05,Bin,41.0,42.0
US National,Season onset,week,0.00189716643349443,Bin,42.0,43.0
US National,Season onset,week,0.0385348089871011,Bin,43.0,44.0
US National,Season onset,week,0.106148950423837,Bin,44.0,45.0
US National,Season onset,week,0.146273354737246,Bin,45.0,46.0
US National,Season onset,week,0.141927120332444,Bin,46.0,47.0
US National,Season onset,week,0.11151838529157,Bin,47.0,48.0
US National,Season onset,week,0.121116830260523,Bin,48.0,49.0
US National,Season onset,week,0.0795522697489689,Bin,49.0,50.0
US National,Season onset,week,0.0518946111580605,Bin,50.0,51.0
US National,Season onset,week,0.047260156893893,Bin,51.0,52.0
US National,Season onset,week,0.0309971623343401,Bin,52.0,53.0
US National,Season onset,week,0.0212637632500727,Bin,1.0,2.0
US National,Season onset,week,0.0283636335238282,Bin,2.0,3.0
US National,Season onset,week,0.0174060574590988,Bin,3.0,4.0
US National,Season onset,week,0.0117463322422638,Bin,4.0,5.0
US National,Season onset,week,0.0106042982248706,Bin,5.0,6.0
US National,Season onset,week,0.00735456126339954,Bin,6.0,7.0
US National,Season onset,week,0.00454535088464442,Bin,7.0,8.0
US National,Season onset,week,0.00226612954778881,Bin,8.0,9.0
US National,Season onset,week,0.000900260929491155,Bin,9.0,10.0
US National,Season onset,week,0.000282533310411241,Bin,10.0,11.0
US National,Season onset,week,8.46969176771836e-05,Bin,11.0,12.0
US National,Season onset,week,7.32614955873391e-05,Bin,12.0,13.0
US National,Season onset,week,7.32614955873391e-05,Bin,13.0,14.0
US National,Season onset,week,7.32614955873391e-05,Bin,14.0,15.0
US National,Season onset,week,7.32614955873391e-05,Bin,15.0,16.0
US National,Season onset,week,7.32614955873391e-05,Bin,16.0,17.0
US National,Season onset,week,7.32614955873391e-05,Bin,17.0,18.0
US National,Season onset,week,7.32614955873391e-05,Bin,18.0,19.0
US National,Season onset,week,7.32614955873391e-05,Bin,19.0,20.0
US National,Season onset,week,7.32614955873391e-05,Bin,20.0,21.0
US National,Season onset,week,0.0172876177089204,Bin,none,none
US National,Season peak week,week,0.000191247349154346,Bin,40.0,41.0
US National,Season peak week,week,0.000191247349154346,Bin,41.0,42.0
US National,Season peak week,week,0.000191247349154346,Bin,42.0,43.0
US National,Season peak week,week,0.000191247349154346,Bin,43.0,44.0
US National,Season peak week,week,0.000191247349154346,Bin,44.0,45.0
US National,Season peak week,week,0.000191247349154346,Bin,45.0,46.0
US National,Season peak week,week,0.00162445094376745,Bin,46.0,47.0
US National,Season peak week,week,0.000191247349154346,Bin,47.0,48.0
US National,Season peak week,week,0.000191247349154346,Bin,48.0,49.0
US National,Season peak week,week,0.0023489162132287,Bin,49.0,50.0
US National,Season peak week,week,0.00374363923374051,Bin,50.0,51.0
US National,Season peak week,week,0.0140870496268028,Bin,51.0,52.0
US National,Season peak week,week,0.0226459796559778,Bin,52.0,53.0
US National,Season peak week,week,0.0193422728405427,Bin,1.0,2.0
US National,Season peak week,week,0.0414684676504386,Bin,2.0,3.0
US National,Season peak week,week,0.0943969878230711,Bin,3.0,4.0
US National,Season peak week,week,0.178320868779039,Bin,4.0,5.0
US National,Season peak week,week,0.395472855980016,Bin,5.0,6.0
US National,Season peak week,week,0.102017942885126,Bin,6.0,7.0
US National,Season peak week,week,0.0696133210572189,Bin,7.0,8.0
US National,Season peak week,week,0.0143679065150826,Bin,8.0,9.0
US National,Season peak week,week,0.0112947867493582,Bin,9.0,10.0
US National,Season peak week,week,0.0116371168030709,Bin,10.0,11.0
US National,Season peak week,week,0.0089219605020434,Bin,11.0,12.0
US National,Season peak week,week,0.003575619769328,Bin,12.0,13.0
US National,Season peak week,week,0.00112190079559953,Bin,13.0,14.0
US National,Season peak week,week,0.00076367610964772,Bin,14.0,15.0
US National,Season peak week,week,0.000761784743815181,Bin,15.0,16.0
US National,Season peak week,week,4.51829465086305e-05,Bin,16.0,17.0
US National,Season peak week,week,0.000761784743815181,Bin,17.0,18.0
US National,Season peak week,week,4.51829465086305e-05,Bin,18.0,19.0
US National,Season peak week,week,4.51829465086305e-05,Bin,19.0,20.0
US National,Season peak week,week,4.51829465086305e-05,Bin,20.0,21.0
US National,Season peak percentage,percent,1.92082092746608e-05,Bin,0.0,0.1
US National,Season peak percentage,percent,4.61644224313679e-05,Bin,0.1,0.2
US National,Season peak percentage,percent,5.84666641434056e-05,Bin,0.2,0.3
US National,Season peak percentage,percent,7.35366409644008e-05,Bin,0.3,0.4
US National,Season peak percentage,percent,9.18506552745078e-05,Bin,0.4,0.5
US National,Season peak percentage,percent,0.000113931658579409,Bin,0.5,0.6
US National,Season peak percentage,percent,0.000140373674891814,Bin,0.6,0.7
US National,Season peak percentage,percent,0.000171796975367539,Bin,0.7,0.8
US National,Season peak percentage,percent,0.000208863153359733,Bin,0.8,0.9
US National,Season peak percentage,percent,0.000252244336109668,Bin,0.9,1.0
US National,Season peak percentage,percent,0.000302688407579135,Bin,1.0,1.1
US National,Season peak percentage,percent,0.00036085902483966,Bin,1.1,1.2
US National,Season peak percentage,percent,0.000427469038382669,Bin,1.2,1.3
US National,Season peak percentage,percent,0.000503170686016181,Bin,1.3,1.4
US National,Season peak percentage,percent,0.000588573076006419,Bin,1.4,1.5
US National,Season peak percentage,percent,0.00068415146937576,Bin,1.5,1.6
US National,Season peak percentage,percent,0.000790324357829505,Bin,1.6,1.7
US National,Season peak percentage,percent,0.000907359280373035,Bin,1.7,1.8
US National,Season peak percentage,percent,0.0010353071985201,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00285379736132227,Bin,1.9,2.0
US National,Season peak percentage,percent,0.00384296052509419,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00232249632312489,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00249090274609811,Bin,2.2,2.3
US National,Season peak percentage,percent,0.00350728010706524,Bin,2.3,2.4
US National,Season peak percentage,percent,0.00537031799919719,Bin,2.4,2.5
US National,Season peak percentage,percent,0.00387915825604437,Bin,2.5,2.6
US National,Season peak percentage,percent,0.00743061818315761,Bin,2.6,2.7
US National,Season peak percentage,percent,0.00930384567338755,Bin,2.7,2.8
US National,Season peak percentage,percent,0.00865684207635694,Bin,2.8,2.9
US National,Season peak percentage,percent,0.00800690217566458,Bin,2.9,3.0
US National,Season peak percentage,percent,0.00987122739058866,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0117278794169017,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0135744944740974,Bin,3.2,3.3
US National,Season peak percentage,percent,0.0187682132524462,Bin,3.3,3.4
US National,Season peak percentage,percent,0.015548896153547,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0106334923384567,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0191376655936854,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0192237376445244,Bin,3.7,3.8
US National,Season peak percentage,percent,0.0150899088939241,Bin,3.8,3.9
US National,Season peak percentage,percent,0.0126143540236634,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0218749896934218,Bin,4.0,4.1
