location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,4.5
HHS Region 1,2 wk ahead,Point,percent,NA,NA,5.5
HHS Region 1,3 wk ahead,Point,percent,NA,NA,4.4
HHS Region 1,4 wk ahead,Point,percent,NA,NA,3.6
HHS Region 1,Season onset,Point,week,NA,NA,49
HHS Region 1,Season peak percentage,Point,percent,NA,NA,5.7
HHS Region 1,Season peak week,Point,week,NA,NA,7
HHS Region 10,1 wk ahead,Point,percent,NA,NA,2.3
HHS Region 10,2 wk ahead,Point,percent,NA,NA,2.8
HHS Region 10,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 10,4 wk ahead,Point,percent,NA,NA,2
HHS Region 10,Season onset,Point,week,NA,NA,50
HHS Region 10,Season peak percentage,Point,percent,NA,NA,3.1
HHS Region 10,Season peak week,Point,week,NA,NA,7
HHS Region 2,1 wk ahead,Point,percent,NA,NA,4.6
HHS Region 2,2 wk ahead,Point,percent,NA,NA,4.5
HHS Region 2,3 wk ahead,Point,percent,NA,NA,4.3
HHS Region 2,4 wk ahead,Point,percent,NA,NA,4.2
HHS Region 2,Season onset,Point,week,NA,NA,49
HHS Region 2,Season peak percentage,Point,percent,NA,NA,5.4
HHS Region 2,Season peak week,Point,week,NA,NA,7
HHS Region 3,1 wk ahead,Point,percent,NA,NA,3.6
HHS Region 3,2 wk ahead,Point,percent,NA,NA,5
HHS Region 3,3 wk ahead,Point,percent,NA,NA,4
HHS Region 3,4 wk ahead,Point,percent,NA,NA,3.3
HHS Region 3,Season onset,Point,week,NA,NA,50
HHS Region 3,Season peak percentage,Point,percent,NA,NA,5.1
HHS Region 3,Season peak week,Point,week,NA,NA,7
HHS Region 4,1 wk ahead,Point,percent,NA,NA,4.7
HHS Region 4,2 wk ahead,Point,percent,NA,NA,5.2
HHS Region 4,3 wk ahead,Point,percent,NA,NA,4.3
HHS Region 4,4 wk ahead,Point,percent,NA,NA,3.8
HHS Region 4,Season onset,Point,week,NA,NA,47
HHS Region 4,Season peak percentage,Point,percent,NA,NA,5.4
HHS Region 4,Season peak week,Point,week,NA,NA,7
HHS Region 5,1 wk ahead,Point,percent,NA,NA,2.6
HHS Region 5,2 wk ahead,Point,percent,NA,NA,2.6
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2.5
HHS Region 5,4 wk ahead,Point,percent,NA,NA,2.5
HHS Region 5,Season onset,Point,week,NA,NA,51
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3
HHS Region 5,Season peak week,Point,week,NA,NA,52
HHS Region 6,1 wk ahead,Point,percent,NA,NA,6.7
HHS Region 6,2 wk ahead,Point,percent,NA,NA,5.9
HHS Region 6,3 wk ahead,Point,percent,NA,NA,5.6
HHS Region 6,4 wk ahead,Point,percent,NA,NA,5
HHS Region 6,Season onset,Point,week,NA,NA,51
HHS Region 6,Season peak percentage,Point,percent,NA,NA,7.9
HHS Region 6,Season peak week,Point,week,NA,NA,6
HHS Region 7,1 wk ahead,Point,percent,NA,NA,4.1
HHS Region 7,2 wk ahead,Point,percent,NA,NA,4.3
HHS Region 7,3 wk ahead,Point,percent,NA,NA,3.5
HHS Region 7,4 wk ahead,Point,percent,NA,NA,3
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,4.9
HHS Region 7,Season peak week,Point,week,NA,NA,7
HHS Region 8,1 wk ahead,Point,percent,NA,NA,4.1
HHS Region 8,2 wk ahead,Point,percent,NA,NA,3.9
HHS Region 8,3 wk ahead,Point,percent,NA,NA,3.3
HHS Region 8,4 wk ahead,Point,percent,NA,NA,2.7
HHS Region 8,Season onset,Point,week,NA,NA,46
HHS Region 8,Season peak percentage,Point,percent,NA,NA,5.5
HHS Region 8,Season peak week,Point,week,NA,NA,52
HHS Region 9,1 wk ahead,Point,percent,NA,NA,3.7
HHS Region 9,2 wk ahead,Point,percent,NA,NA,3.7
HHS Region 9,3 wk ahead,Point,percent,NA,NA,3.4
HHS Region 9,4 wk ahead,Point,percent,NA,NA,3.1
HHS Region 9,Season onset,Point,week,NA,NA,48
HHS Region 9,Season peak percentage,Point,percent,NA,NA,4
HHS Region 9,Season peak week,Point,week,NA,NA,6
US National,1 wk ahead,Point,percent,NA,NA,4.3
US National,2 wk ahead,Point,percent,NA,NA,4.7
US National,3 wk ahead,Point,percent,NA,NA,4.1
US National,4 wk ahead,Point,percent,NA,NA,3.7
US National,Season onset,Point,week,NA,NA,49
US National,Season peak percentage,Point,percent,NA,NA,4.7
US National,Season peak week,Point,week,NA,NA,7
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,1.18128906598964e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,3.94702827815904e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,7.11214731675251e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000117202459515245
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.000176634450436251
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000243529432641328
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.000307473006679553
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.000356633226613251
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.000383457188471488
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.000390850309556003
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.000396395826399433
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00325487370548437
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.000538104611630903
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.000752992900841151
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.00109898420232146
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.00156862033990442
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00211706300084036
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.00831109721342267
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00311763256931176
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00338825105713532
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00436852188776199
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00417726284551951
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00286150751507234
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00426153560245057
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00187351528451712
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00235607646312633
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00199723493977989
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000827504577388531
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00262343727041689
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00456184303952804
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00380880990759174
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.00410495503248273
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.00540942496463245
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0170690040256605
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.015480035912642
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0203249988082243
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0174420053034673
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0190672250137668
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0280801196678926
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.0539765791587445
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.0516739776426262
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.0616878952943394
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.0463973248267881
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.0415474683856729
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.0461728064646888
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.0489569038381099
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.0799917070195161
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.041406203540583
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.0470508184527277
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.0348205173145971
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.0310627223250115
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.017901254613187
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.0254494282292674
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.0348899633504094
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.0226983357795577
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.0170988145981411
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.00867342046178186
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.0171721526093663
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.00494859278658797
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.00963855448545159
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,0.00960416602032183
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.0105001732003597
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.00292699269813796
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.0057113101319961
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,0.00286022536556467
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,0.0122517172086231
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.000949940343673217
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.00376767217695092
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,0.00188467977961954
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.00188467977961954
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,2.7628056089757e-06
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,0.00282563826662483
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,2.7628056089757e-06
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,0.00188467977961954
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,0.00094372129261426
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,2.7628056089757e-06
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,2.7628056089757e-06
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,0.00376659675363011
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,2.7628056089757e-06
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,2.7628056089757e-06
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,2.76280560897573e-06
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,2.76280560897575e-06
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,2.76280560897575e-06
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,2.76280560897575e-06
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,2.76280560897575e-06
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,2.76280560897575e-06
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,2.76280560897575e-06
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,2.76280560897575e-06
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,2.76280560897575e-06
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,2.76280560897575e-06
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,2.76280560897575e-06
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,0.00094372129261426
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,2.76280560897575e-06
