location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,2 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 1,Season onset,week,51,Point,NA,NA
HHS Region 1,Season peak percentage,percent,4.7,Point,NA,NA
HHS Region 1,Season peak week,week,6,Point,NA,NA
HHS Region 10,1 wk ahead,percent,0.8,Point,NA,NA
HHS Region 10,2 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1.1,Point,NA,NA
HHS Region 10,Season onset,week,49,Point,NA,NA
HHS Region 10,Season peak percentage,percent,4.8,Point,NA,NA
HHS Region 10,Season peak week,week,4,Point,NA,NA
HHS Region 2,1 wk ahead,percent,2.8,Point,NA,NA
HHS Region 2,2 wk ahead,percent,3,Point,NA,NA
HHS Region 2,3 wk ahead,percent,3.4,Point,NA,NA
HHS Region 2,4 wk ahead,percent,3.7,Point,NA,NA
HHS Region 2,Season onset,week,46,Point,NA,NA
HHS Region 2,Season peak percentage,percent,7,Point,NA,NA
HHS Region 2,Season peak week,week,5,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,2 wk ahead,percent,1.4,Point,NA,NA
HHS Region 3,3 wk ahead,percent,1.5,Point,NA,NA
HHS Region 3,4 wk ahead,percent,1.6,Point,NA,NA
HHS Region 3,Season onset,week,49,Point,NA,NA
HHS Region 3,Season peak percentage,percent,6.8,Point,NA,NA
HHS Region 3,Season peak week,week,5,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.6,Point,NA,NA
HHS Region 4,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2,Point,NA,NA
HHS Region 4,Season onset,week,49,Point,NA,NA
HHS Region 4,Season peak percentage,percent,5.6,Point,NA,NA
HHS Region 4,Season peak week,week,5,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.1,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,1.3,Point,NA,NA
HHS Region 5,Season onset,week,51,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.4,Point,NA,NA
HHS Region 5,Season peak week,week,6,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.2,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.5,Point,NA,NA
HHS Region 6,3 wk ahead,percent,2.6,Point,NA,NA
HHS Region 6,4 wk ahead,percent,3,Point,NA,NA
HHS Region 6,Season onset,week,50,Point,NA,NA
HHS Region 6,Season peak percentage,percent,8.3,Point,NA,NA
HHS Region 6,Season peak week,week,4,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 7,2 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,3 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,4 wk ahead,percent,1.2,Point,NA,NA
HHS Region 7,Season onset,week,50,Point,NA,NA
HHS Region 7,Season peak percentage,percent,6,Point,NA,NA
HHS Region 7,Season peak week,week,5,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.4,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,Season onset,week,52,Point,NA,NA
HHS Region 8,Season peak percentage,percent,4.7,Point,NA,NA
HHS Region 8,Season peak week,week,5,Point,NA,NA
HHS Region 9,1 wk ahead,percent,1.5,Point,NA,NA
HHS Region 9,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,3 wk ahead,percent,1.7,Point,NA,NA
HHS Region 9,4 wk ahead,percent,1.8,Point,NA,NA
HHS Region 9,Season onset,week,49,Point,NA,NA
HHS Region 9,Season peak percentage,percent,4.8,Point,NA,NA
HHS Region 9,Season peak week,week,4,Point,NA,NA
US National,1 wk ahead,percent,1.6,Point,NA,NA
US National,2 wk ahead,percent,1.8,Point,NA,NA
US National,3 wk ahead,percent,1.9,Point,NA,NA
US National,4 wk ahead,percent,2.1,Point,NA,NA
US National,Season onset,week,48,Point,NA,NA
US National,Season peak percentage,percent,5,Point,NA,NA
US National,Season peak week,week,5,Point,NA,NA
US National,Season onset,week,0.000109845439911817,Bin,40.0,41.0
US National,Season onset,week,0.000127876788171902,Bin,41.0,42.0
US National,Season onset,week,0.000452902552795085,Bin,42.0,43.0
US National,Season onset,week,0.00286029930585671,Bin,43.0,44.0
US National,Season onset,week,0.0546412760154357,Bin,44.0,45.0
US National,Season onset,week,0.122442801758151,Bin,45.0,46.0
US National,Season onset,week,0.146952612243074,Bin,46.0,47.0
US National,Season onset,week,0.0948018978136825,Bin,47.0,48.0
US National,Season onset,week,0.111584671793167,Bin,48.0,49.0
US National,Season onset,week,0.0862777650462236,Bin,49.0,50.0
US National,Season onset,week,0.0662632930149153,Bin,50.0,51.0
US National,Season onset,week,0.0622881796927107,Bin,51.0,52.0
US National,Season onset,week,0.0455770771363001,Bin,52.0,53.0
US National,Season onset,week,0.0277066699773949,Bin,1.0,2.0
US National,Season onset,week,0.0353130738987194,Bin,2.0,3.0
US National,Season onset,week,0.0313390812066099,Bin,3.0,4.0
US National,Season onset,week,0.0273284067757349,Bin,4.0,5.0
US National,Season onset,week,0.0215743038518263,Bin,5.0,6.0
US National,Season onset,week,0.0162646155143857,Bin,6.0,7.0
US National,Season onset,week,0.0100572234870524,Bin,7.0,8.0
US National,Season onset,week,0.00501569103889998,Bin,8.0,9.0
US National,Season onset,week,0.0019929605518427,Bin,9.0,10.0
US National,Season onset,week,0.000625536364480057,Bin,10.0,11.0
US National,Season onset,week,0.000187534575649096,Bin,11.0,12.0
US National,Season onset,week,0.000162215516256315,Bin,12.0,13.0
US National,Season onset,week,0.000162215516256315,Bin,13.0,14.0
US National,Season onset,week,0.000162215516256315,Bin,14.0,15.0
US National,Season onset,week,0.000162215516256315,Bin,15.0,16.0
US National,Season onset,week,0.000162215516256315,Bin,16.0,17.0
US National,Season onset,week,0.000162215516256315,Bin,17.0,18.0
US National,Season onset,week,0.000162215516256315,Bin,18.0,19.0
US National,Season onset,week,0.000162215516256315,Bin,19.0,20.0
US National,Season onset,week,0.000162215516256315,Bin,20.0,21.0
US National,Season onset,week,0.0267544645107026,Bin,none,none
US National,Season peak week,week,0.000405451165086871,Bin,40.0,41.0
US National,Season peak week,week,0.000405451165086871,Bin,41.0,42.0
US National,Season peak week,week,0.000963266753770276,Bin,42.0,43.0
US National,Season peak week,week,0.000405451165086871,Bin,43.0,44.0
US National,Season peak week,week,0.000963266753770276,Bin,44.0,45.0
US National,Season peak week,week,0.000405451165086871,Bin,45.0,46.0
US National,Season peak week,week,0.000963266753770276,Bin,46.0,47.0
US National,Season peak week,week,0.00207889793113709,Bin,47.0,48.0
US National,Season peak week,week,0.00152108234245368,Bin,48.0,49.0
US National,Season peak week,week,0.00265338435985296,Bin,49.0,50.0
US National,Season peak week,week,0.00561024701995084,Bin,50.0,51.0
US National,Season peak week,week,0.0214618409130224,Bin,51.0,52.0
US National,Season peak week,week,0.0415940084858361,Bin,52.0,53.0
US National,Season peak week,week,0.0263718124509894,Bin,1.0,2.0
US National,Season peak week,week,0.0344992023837629,Bin,2.0,3.0
US National,Season peak week,week,0.107586408600458,Bin,3.0,4.0
US National,Season peak week,week,0.167694487802065,Bin,4.0,5.0
US National,Season peak week,week,0.30274339682768,Bin,5.0,6.0
US National,Season peak week,week,0.116561739272251,Bin,6.0,7.0
US National,Season peak week,week,0.0756005361532015,Bin,7.0,8.0
US National,Season peak week,week,0.0255663108348153,Bin,8.0,9.0
US National,Season peak week,week,0.0137338054929468,Bin,9.0,10.0
US National,Season peak week,week,0.0229501389527589,Bin,10.0,11.0
US National,Season peak week,week,0.0184251493391909,Bin,11.0,12.0
US National,Season peak week,week,0.00616959717509052,Bin,12.0,13.0
US National,Season peak week,week,0.00142741905167541,Bin,13.0,14.0
US National,Season peak week,week,0.000100774441052325,Bin,14.0,15.0
US National,Season peak week,week,9.67232765780214e-05,Bin,15.0,16.0
US National,Season peak week,week,9.67232765780214e-05,Bin,16.0,17.0
US National,Season peak week,week,0.000654538865261427,Bin,17.0,18.0
US National,Season peak week,week,9.67232765780214e-05,Bin,18.0,19.0
US National,Season peak week,week,9.67232765780214e-05,Bin,19.0,20.0
US National,Season peak week,week,9.67232765780214e-05,Bin,20.0,21.0
US National,Season peak percentage,percent,4.13488454227685e-05,Bin,0.0,0.1
US National,Season peak percentage,percent,9.94075878207689e-05,Bin,0.1,0.2
US National,Season peak percentage,percent,0.000125951075222143,Bin,0.2,0.3
US National,Season peak percentage,percent,0.000158483581467134,Bin,0.3,0.4
US National,Season peak percentage,percent,0.000198040744229106,Bin,0.4,0.5
US National,Season peak percentage,percent,0.00024576084160419,Bin,0.5,0.6
US National,Season peak percentage,percent,0.000302938053208623,Bin,0.6,0.7
US National,Season peak percentage,percent,0.000370925581752113,Bin,0.7,0.8
US National,Season peak percentage,percent,0.000451168507293621,Bin,0.8,0.9
US National,Season peak percentage,percent,0.000545137040702761,Bin,0.9,1.0
US National,Season peak percentage,percent,0.000654468580678916,Bin,1.0,1.1
US National,Season peak percentage,percent,0.000780619809291698,Bin,1.1,1.2
US National,Season peak percentage,percent,0.000925156835366411,Bin,1.2,1.3
US National,Season peak percentage,percent,0.00108951625947743,Bin,1.3,1.4
US National,Season peak percentage,percent,0.00127504302112068,Bin,1.4,1.5
US National,Season peak percentage,percent,0.00213766758084765,Bin,1.5,1.6
US National,Season peak percentage,percent,0.00171369634477035,Bin,1.6,1.7
US National,Season peak percentage,percent,0.00262323621559128,Bin,1.7,1.8
US National,Season peak percentage,percent,0.00290179318364904,Bin,1.8,1.9
US National,Season peak percentage,percent,0.00320407778901734,Bin,1.9,2.0
US National,Season peak percentage,percent,0.00352946172116553,Bin,2.0,2.1
US National,Season peak percentage,percent,0.00518643538449225,Bin,2.1,2.2
US National,Season peak percentage,percent,0.00555379092189484,Bin,2.2,2.3
US National,Season peak percentage,percent,0.00659389090112919,Bin,2.3,2.4
US National,Season peak percentage,percent,0.00633925444927095,Bin,2.4,2.5
US National,Season peak percentage,percent,0.00806082735795988,Bin,2.5,2.6
US National,Season peak percentage,percent,0.00717064156964811,Bin,2.6,2.7
US National,Season peak percentage,percent,0.0128325862114239,Bin,2.7,2.8
US National,Season peak percentage,percent,0.00670544812187287,Bin,2.8,2.9
US National,Season peak percentage,percent,0.0103951149199023,Bin,2.9,3.0
US National,Season peak percentage,percent,0.0107988588624563,Bin,3.0,3.1
US National,Season peak percentage,percent,0.0144602175001906,Bin,3.1,3.2
US National,Season peak percentage,percent,0.0167898424495033,Bin,3.2,3.3
US National,Season peak percentage,percent,0.021711923729016,Bin,3.3,3.4
US National,Season peak percentage,percent,0.0115400844373454,Bin,3.4,3.5
US National,Season peak percentage,percent,0.0177041056650163,Bin,3.5,3.6
US National,Season peak percentage,percent,0.0185891590105402,Bin,3.6,3.7
US National,Season peak percentage,percent,0.0200860192397723,Bin,3.7,3.8
US National,Season peak percentage,percent,0.020227619912876,Bin,3.8,3.9
US National,Season peak percentage,percent,0.0262157245931517,Bin,3.9,4.0
US National,Season peak percentage,percent,0.0282263420438701,Bin,4.0,4.1
US National,Season peak percentage,percent,0.0249496488313431,Bin,4.1,4.2
