Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,0.80000000000000004440892099
HHS Region 1,2 wk ahead,Point,percent,NA,NA,0.80000000000000004440892099
HHS Region 1,3 wk ahead,Point,percent,NA,NA,0.80000000000000004440892099
HHS Region 1,4 wk ahead,Point,percent,NA,NA,0.90000000000000002220446049
HHS Region 1,Season onset,Point,week,NA,NA,51.00000000000000000000000000
HHS Region 1,Season peak percentage,Point,percent,NA,NA,2.89999999999999991118215803
HHS Region 1,Season peak week,Point,week,NA,NA,6.00000000000000000000000000
HHS Region 10,1 wk ahead,Point,percent,NA,NA,1.00000000000000000000000000
HHS Region 10,2 wk ahead,Point,percent,NA,NA,1.00000000000000000000000000
HHS Region 10,3 wk ahead,Point,percent,NA,NA,1.00000000000000000000000000
HHS Region 10,4 wk ahead,Point,percent,NA,NA,1.19999999999999995559107901
HHS Region 10,Season onset,Point,week,NA,NA,51.00000000000000000000000000
HHS Region 10,Season peak percentage,Point,percent,NA,NA,4.20000000000000017763568394
HHS Region 10,Season peak week,Point,week,NA,NA,6.00000000000000000000000000
HHS Region 2,1 wk ahead,Point,percent,NA,NA,1.30000000000000004440892099
HHS Region 2,2 wk ahead,Point,percent,NA,NA,1.50000000000000000000000000
HHS Region 2,3 wk ahead,Point,percent,NA,NA,1.60000000000000008881784197
HHS Region 2,4 wk ahead,Point,percent,NA,NA,1.89999999999999991118215803
HHS Region 2,Season onset,Point,week,NA,NA,49.00000000000000000000000000
HHS Region 2,Season peak percentage,Point,percent,NA,NA,4.79999999999999982236431606
HHS Region 2,Season peak week,Point,week,NA,NA,5.00000000000000000000000000
HHS Region 3,1 wk ahead,Point,percent,NA,NA,1.39999999999999991118215803
HHS Region 3,2 wk ahead,Point,percent,NA,NA,1.50000000000000000000000000
HHS Region 3,3 wk ahead,Point,percent,NA,NA,1.60000000000000008881784197
HHS Region 3,4 wk ahead,Point,percent,NA,NA,1.80000000000000004440892099
HHS Region 3,Season onset,Point,week,NA,NA,51.00000000000000000000000000
HHS Region 3,Season peak percentage,Point,percent,NA,NA,5.50000000000000000000000000
HHS Region 3,Season peak week,Point,week,NA,NA,6.00000000000000000000000000
HHS Region 4,1 wk ahead,Point,percent,NA,NA,1.30000000000000004440892099
HHS Region 4,2 wk ahead,Point,percent,NA,NA,1.39999999999999991118215803
HHS Region 4,3 wk ahead,Point,percent,NA,NA,1.60000000000000008881784197
HHS Region 4,4 wk ahead,Point,percent,NA,NA,1.89999999999999991118215803
HHS Region 4,Season onset,Point,week,NA,NA,49.00000000000000000000000000
HHS Region 4,Season peak percentage,Point,percent,NA,NA,4.70000000000000017763568394
HHS Region 4,Season peak week,Point,week,NA,NA,5.00000000000000000000000000
HHS Region 5,1 wk ahead,Point,percent,NA,NA,1.19999999999999995559107901
HHS Region 5,2 wk ahead,Point,percent,NA,NA,1.19999999999999995559107901
HHS Region 5,3 wk ahead,Point,percent,NA,NA,1.19999999999999995559107901
HHS Region 5,4 wk ahead,Point,percent,NA,NA,1.50000000000000000000000000
HHS Region 5,Season onset,Point,week,NA,NA,52.00000000000000000000000000
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3.89999999999999991118215803
HHS Region 5,Season peak week,Point,week,NA,NA,7.00000000000000000000000000
HHS Region 6,1 wk ahead,Point,percent,NA,NA,2.10000000000000008881784197
HHS Region 6,2 wk ahead,Point,percent,NA,NA,2.29999999999999982236431606
HHS Region 6,3 wk ahead,Point,percent,NA,NA,2.60000000000000008881784197
HHS Region 6,4 wk ahead,Point,percent,NA,NA,3.00000000000000000000000000
HHS Region 6,Season onset,Point,week,NA,NA,49.00000000000000000000000000
HHS Region 6,Season peak percentage,Point,percent,NA,NA,8.19999999999999928945726424
HHS Region 6,Season peak week,Point,week,NA,NA,3.00000000000000000000000000
HHS Region 7,1 wk ahead,Point,percent,NA,NA,0.90000000000000002220446049
HHS Region 7,2 wk ahead,Point,percent,NA,NA,1.10000000000000008881784197
HHS Region 7,3 wk ahead,Point,percent,NA,NA,1.00000000000000000000000000
HHS Region 7,4 wk ahead,Point,percent,NA,NA,1.19999999999999995559107901
HHS Region 7,Season onset,Point,week,NA,NA,52.00000000000000000000000000
HHS Region 7,Season peak percentage,Point,percent,NA,NA,4.70000000000000017763568394
HHS Region 7,Season peak week,Point,week,NA,NA,6.00000000000000000000000000
HHS Region 8,1 wk ahead,Point,percent,NA,NA,0.80000000000000004440892099
HHS Region 8,2 wk ahead,Point,percent,NA,NA,0.80000000000000004440892099
HHS Region 8,3 wk ahead,Point,percent,NA,NA,0.80000000000000004440892099
HHS Region 8,4 wk ahead,Point,percent,NA,NA,0.90000000000000002220446049
HHS Region 8,Season onset,Point,week,NA,NA,51.00000000000000000000000000
HHS Region 8,Season peak percentage,Point,percent,NA,NA,3.39999999999999991118215803
HHS Region 8,Season peak week,Point,week,NA,NA,6.00000000000000000000000000
HHS Region 9,1 wk ahead,Point,percent,NA,NA,1.80000000000000004440892099
HHS Region 9,2 wk ahead,Point,percent,NA,NA,1.80000000000000004440892099
HHS Region 9,3 wk ahead,Point,percent,NA,NA,2.00000000000000000000000000
HHS Region 9,4 wk ahead,Point,percent,NA,NA,2.10000000000000008881784197
HHS Region 9,Season onset,Point,week,NA,NA,1.00000000000000000000000000
HHS Region 9,Season peak percentage,Point,percent,NA,NA,5.09999999999999964472863212
HHS Region 9,Season peak week,Point,week,NA,NA,5.00000000000000000000000000
US National,1 wk ahead,Point,percent,NA,NA,1.50000000000000000000000000
US National,2 wk ahead,Point,percent,NA,NA,1.50000000000000000000000000
US National,3 wk ahead,Point,percent,NA,NA,1.60000000000000008881784197
US National,4 wk ahead,Point,percent,NA,NA,1.89999999999999991118215803
US National,Season onset,Point,week,NA,NA,50.00000000000000000000000000
US National,Season peak percentage,Point,percent,NA,NA,4.70000000000000017763568394
US National,Season peak week,Point,week,NA,NA,6.00000000000000000000000000
US National,Season onset,Bin,week,40,41,0.00084536472287020274826025
US National,Season onset,Bin,week,41,42,0.00084536472287020274826025
US National,Season onset,Bin,week,42,43,0.00176064690882835441290699
US National,Season onset,Bin,week,43,44,0.00693112589187699738857429
US National,Season onset,Bin,week,44,45,0.02050154257049328909712216
US National,Season onset,Bin,week,45,46,0.04571167956428870415841459
US National,Season onset,Bin,week,46,47,0.07788359792829398220437298
US National,Season onset,Bin,week,47,48,0.10400935864996872781684800
US National,Season onset,Bin,week,48,49,0.11393649878705613964768872
US National,Season onset,Bin,week,49,50,0.10959242385162015764876742
US National,Season onset,Bin,week,50,51,0.09890871962758386592984294
US National,Season onset,Bin,week,51,52,0.08560712977687172375862446
US National,Season onset,Bin,week,52,53,0.07000777182762429884377298
US National,Season onset,Bin,week,1,2,0.05500611016383585849531812
US National,Season onset,Bin,week,2,3,0.04492014844320754707318599
US National,Season onset,Bin,week,3,4,0.03987737294454202219284866
US National,Season onset,Bin,week,4,5,0.03566440478834388000395350
US National,Season onset,Bin,week,5,6,0.02880216038465176556226943
US National,Season onset,Bin,week,6,7,0.01958324104801540191389542
US National,Season onset,Bin,week,7,8,0.01076085229759824075934649
US National,Season onset,Bin,week,8,9,0.00464309357181740770675882
US National,Season onset,Bin,week,9,10,0.00153952436362127546495837
US National,Season onset,Bin,week,10,11,0.00038804218001163592356717
US National,Season onset,Bin,week,11,12,0.00018603938867025503678052
US National,Season onset,Bin,week,12,13,0.00018603938867025503678052
US National,Season onset,Bin,week,13,14,0.00018603938867025503678052
US National,Season onset,Bin,week,14,15,0.00018603938867025503678052
US National,Season onset,Bin,week,15,16,0.00018603938867025503678052
US National,Season onset,Bin,week,16,17,0.00018603938867025503678052
US National,Season onset,Bin,week,17,18,0.00018603938867025503678052
US National,Season onset,Bin,week,18,19,0.00018603938867025503678052
US National,Season onset,Bin,week,19,20,0.00018603938867025503678052
US National,Season onset,Bin,week,20,21,0.00018603938867025503678052
US National,Season onset,Bin,week,none,none,0.02041343109740584998990087
US National,Season peak week,Bin,week,40,41,0.00121380581097897829144505
US National,Season peak week,Bin,week,41,42,0.00121380581097897829144505
US National,Season peak week,Bin,week,42,43,0.00121380581097897829144505
US National,Season peak week,Bin,week,43,44,0.00121380581097897829144505
US National,Season peak week,Bin,week,44,45,0.00121380581097897829144505
US National,Season peak week,Bin,week,45,46,0.00121380581097897829144505
US National,Season peak week,Bin,week,46,47,0.00121380581097897829144505
US National,Season peak week,Bin,week,47,48,0.00121380581097897829144505
US National,Season peak week,Bin,week,48,49,0.00121380581097897829144505
US National,Season peak week,Bin,week,49,50,0.00121894002757697906581813
US National,Season peak week,Bin,week,50,51,0.00855731054986740881374008
US National,Season peak week,Bin,week,51,52,0.05502200242308810662628105
US National,Season peak week,Bin,week,52,53,0.10200494008122064359955772
US National,Season peak week,Bin,week,1,2,0.05716405474100244576973751
US National,Season peak week,Bin,week,2,3,0.02257609351165982408682353
US National,Season peak week,Bin,week,3,4,0.03193616752484502302467106
US National,Season peak week,Bin,week,4,5,0.05607742590799774662357891
US National,Season peak week,Bin,week,5,6,0.10817203055729007754592885
US National,Season peak week,Bin,week,6,7,0.15447819654892100404985911
US National,Season peak week,Bin,week,7,8,0.17014705150788803078576450
US National,Season peak week,Bin,week,8,9,0.09864072205323948239197307
US National,Season peak week,Bin,week,9,10,0.03778063442021826340289081
US National,Season peak week,Bin,week,10,11,0.03593479295251531674404433
US National,Season peak week,Bin,week,11,12,0.03277068985089582470182634
US National,Season peak week,Bin,week,12,13,0.01302617177289638016046691
US National,Season peak week,Bin,week,13,14,0.00181683377272169404269275
US National,Season peak week,Bin,week,14,15,0.00025115432589174730522094
US National,Season peak week,Bin,week,15,16,0.00025008919524219030494985
US National,Season peak week,Bin,week,16,17,0.00025008919524219030494985
US National,Season peak week,Bin,week,17,18,0.00025008919524219030494985
US National,Season peak week,Bin,week,18,19,0.00025008919524219030494985
US National,Season peak week,Bin,week,19,20,0.00025008919524219030494985
US National,Season peak week,Bin,week,20,21,0.00025008919524219030494985
US National,Season peak percentage,Bin,percent,0,0.1,0.00009857223753252379225796
US National,Season peak percentage,Bin,percent,0.1,0.2,0.00023753118816066624689222
US National,Season peak percentage,Bin,percent,0.2,0.3,0.00030182672285924250872233
US National,Season peak percentage,Bin,percent,0.3,0.4,0.00038057386671842634816298
US National,Season peak percentage,Bin,percent,0.4,0.5,0.00047622379696688458715001
US National,Season peak percentage,Bin,percent,0.5,0.6,0.00059153471893560994297745
US National,Season peak percentage,Bin,percent,0.6,0.7,0.00072935702079909359770576
US National,Season peak percentage,Bin,percent,0.7,0.8,0.00089274250200843208256224
US National,Season peak percentage,Bin,percent,0.8,0.9,0.00108497429536618902358447
US National,Season peak percentage,Bin,percent,0.9,1,0.00130935839390413657178092
