location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,3.7
HHS Region 1,2 wk ahead,Point,percent,NA,NA,3.5
HHS Region 1,3 wk ahead,Point,percent,NA,NA,3
HHS Region 1,4 wk ahead,Point,percent,NA,NA,2.5
HHS Region 1,Season onset,Point,week,NA,NA,50
HHS Region 1,Season peak percentage,Point,percent,NA,NA,7.2
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,3
HHS Region 10,2 wk ahead,Point,percent,NA,NA,2.5
HHS Region 10,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 10,4 wk ahead,Point,percent,NA,NA,1.8
HHS Region 10,Season onset,Point,week,NA,NA,47
HHS Region 10,Season peak percentage,Point,percent,NA,NA,7.2
HHS Region 10,Season peak week,Point,week,NA,NA,52
HHS Region 2,1 wk ahead,Point,percent,NA,NA,8.1
HHS Region 2,2 wk ahead,Point,percent,NA,NA,7.2
HHS Region 2,3 wk ahead,Point,percent,NA,NA,6.6
HHS Region 2,4 wk ahead,Point,percent,NA,NA,5.4
HHS Region 2,Season onset,Point,week,NA,NA,48
HHS Region 2,Season peak percentage,Point,percent,NA,NA,12.2
HHS Region 2,Season peak week,Point,week,NA,NA,13
HHS Region 3,1 wk ahead,Point,percent,NA,NA,4
HHS Region 3,2 wk ahead,Point,percent,NA,NA,3.2
HHS Region 3,3 wk ahead,Point,percent,NA,NA,2.5
HHS Region 3,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 3,Season onset,Point,week,NA,NA,46
HHS Region 3,Season peak percentage,Point,percent,NA,NA,6.9
HHS Region 3,Season peak week,Point,week,NA,NA,12
HHS Region 4,1 wk ahead,Point,percent,NA,NA,3.4
HHS Region 4,2 wk ahead,Point,percent,NA,NA,3
HHS Region 4,3 wk ahead,Point,percent,NA,NA,2.7
HHS Region 4,4 wk ahead,Point,percent,NA,NA,2.4
HHS Region 4,Season onset,Point,week,NA,NA,45
HHS Region 4,Season peak percentage,Point,percent,NA,NA,8.8
HHS Region 4,Season peak week,Point,week,NA,NA,52
HHS Region 5,1 wk ahead,Point,percent,NA,NA,3
HHS Region 5,2 wk ahead,Point,percent,NA,NA,2.3
HHS Region 5,3 wk ahead,Point,percent,NA,NA,1.8
HHS Region 5,4 wk ahead,Point,percent,NA,NA,1.5
HHS Region 5,Season onset,Point,week,NA,NA,48
HHS Region 5,Season peak percentage,Point,percent,NA,NA,5.5
HHS Region 5,Season peak week,Point,week,NA,NA,6
HHS Region 6,1 wk ahead,Point,percent,NA,NA,6.1
HHS Region 6,2 wk ahead,Point,percent,NA,NA,5.1
HHS Region 6,3 wk ahead,Point,percent,NA,NA,4.4
HHS Region 6,4 wk ahead,Point,percent,NA,NA,3.8
HHS Region 6,Season onset,Point,week,NA,NA,45
HHS Region 6,Season peak percentage,Point,percent,NA,NA,13
HHS Region 6,Season peak week,Point,week,NA,NA,52
HHS Region 7,1 wk ahead,Point,percent,NA,NA,3.5
HHS Region 7,2 wk ahead,Point,percent,NA,NA,2.5
HHS Region 7,3 wk ahead,Point,percent,NA,NA,1.8
HHS Region 7,4 wk ahead,Point,percent,NA,NA,1.4
HHS Region 7,Season onset,Point,week,NA,NA,48
HHS Region 7,Season peak percentage,Point,percent,NA,NA,7.4
HHS Region 7,Season peak week,Point,week,NA,NA,11
HHS Region 8,1 wk ahead,Point,percent,NA,NA,3.3
HHS Region 8,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 8,3 wk ahead,Point,percent,NA,NA,2.4
HHS Region 8,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 8,Season onset,Point,week,NA,NA,48
HHS Region 8,Season peak percentage,Point,percent,NA,NA,6.8
HHS Region 8,Season peak week,Point,week,NA,NA,5
HHS Region 9,1 wk ahead,Point,percent,NA,NA,3.4
HHS Region 9,2 wk ahead,Point,percent,NA,NA,2.9
HHS Region 9,3 wk ahead,Point,percent,NA,NA,2.5
HHS Region 9,4 wk ahead,Point,percent,NA,NA,2.2
HHS Region 9,Season onset,Point,week,NA,NA,46
HHS Region 9,Season peak percentage,Point,percent,NA,NA,4.7
HHS Region 9,Season peak week,Point,week,NA,NA,6
US National,1 wk ahead,Point,percent,NA,NA,4.8
US National,2 wk ahead,Point,percent,NA,NA,4.4
US National,3 wk ahead,Point,percent,NA,NA,4
US National,4 wk ahead,Point,percent,NA,NA,3.6
US National,Season onset,Point,week,NA,NA,45
US National,Season peak percentage,Point,percent,NA,NA,7
US National,Season peak week,Point,week,NA,NA,52
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.00072562113867417
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.00198726078587862
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.00284370554407249
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.00382467120668521
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.00484415382382545
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00579199766346242
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00655906802693962
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00706556050704737
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0072822382668521
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.00723647720003647
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0104708528806207
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00667052265552522
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.00633377575696943
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00691894614730442
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.00584450278963544
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.00656218742446316
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00555779158402118
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.00624950265593303
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0059956264761243
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00651673633856906
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00695801110555835
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00388060518304837
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00339192428059968
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00291688925633324
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00593910334634858
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00638915101655838
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00600047916689822
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.0160508221506854
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0122574492230849
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0180503137496861
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.035171894479635
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.028059410813561
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0244676106119011
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0408695089473717
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0529658040238983
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0477344307414187
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0537943235493769
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0503235901777113
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0555282828936859
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.0433839998897451
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.0555282828936859
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.0442514486757409
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.0295048193138128
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.0295048193138128
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.0381793071737705
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.0208303314538551
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.0216977802398509
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.017360536309872
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.017360536309872
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.0104209460219059
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.0104209460219059
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.00781859966391858
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.00695115087792281
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.00955349723591012
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.0112883948079017
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.00781859966391858
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.00261390694794396
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.00261390694794396
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.0043488045199355
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.00261390694794396
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.00174645816194819
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.00261390694794396
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.0043488045199355
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,0.000879009375952426
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.000879009375952426
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.00174645816194819
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,0.000879009375952426
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,1.15605899566565e-05
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,1.15605899566566e-05
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,1.15605899566567e-05
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,0.000879009375952426
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,1.15605899566567e-05
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,1.15605899566567e-05
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,1.15605899566567e-05
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,1.15605899566567e-05
