location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,2.6
HHS Region 1,2 wk ahead,Point,percent,NA,NA,2.2
HHS Region 1,3 wk ahead,Point,percent,NA,NA,2.4
HHS Region 1,4 wk ahead,Point,percent,NA,NA,2.5
HHS Region 1,Season onset,Point,week,NA,NA,51
HHS Region 1,Season peak percentage,Point,percent,NA,NA,4
HHS Region 1,Season peak week,Point,week,NA,NA,7
HHS Region 10,1 wk ahead,Point,percent,NA,NA,3
HHS Region 10,2 wk ahead,Point,percent,NA,NA,2.9
HHS Region 10,3 wk ahead,Point,percent,NA,NA,3.3
HHS Region 10,4 wk ahead,Point,percent,NA,NA,3.2
HHS Region 10,Season onset,Point,week,NA,NA,50
HHS Region 10,Season peak percentage,Point,percent,NA,NA,6.6
HHS Region 10,Season peak week,Point,week,NA,NA,4
HHS Region 2,1 wk ahead,Point,percent,NA,NA,3.9
HHS Region 2,2 wk ahead,Point,percent,NA,NA,3.7
HHS Region 2,3 wk ahead,Point,percent,NA,NA,3.9
HHS Region 2,4 wk ahead,Point,percent,NA,NA,4.2
HHS Region 2,Season onset,Point,week,NA,NA,50
HHS Region 2,Season peak percentage,Point,percent,NA,NA,5.6
HHS Region 2,Season peak week,Point,week,NA,NA,6
HHS Region 3,1 wk ahead,Point,percent,NA,NA,3.5
HHS Region 3,2 wk ahead,Point,percent,NA,NA,3.4
HHS Region 3,3 wk ahead,Point,percent,NA,NA,3.8
HHS Region 3,4 wk ahead,Point,percent,NA,NA,3.9
HHS Region 3,Season onset,Point,week,NA,NA,48
HHS Region 3,Season peak percentage,Point,percent,NA,NA,5.7
HHS Region 3,Season peak week,Point,week,NA,NA,3
HHS Region 4,1 wk ahead,Point,percent,NA,NA,3.5
HHS Region 4,2 wk ahead,Point,percent,NA,NA,3
HHS Region 4,3 wk ahead,Point,percent,NA,NA,3.2
HHS Region 4,4 wk ahead,Point,percent,NA,NA,3.7
HHS Region 4,Season onset,Point,week,NA,NA,47
HHS Region 4,Season peak percentage,Point,percent,NA,NA,6.3
HHS Region 4,Season peak week,Point,week,NA,NA,5
HHS Region 5,1 wk ahead,Point,percent,NA,NA,2.9
HHS Region 5,2 wk ahead,Point,percent,NA,NA,2.4
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2.6
HHS Region 5,4 wk ahead,Point,percent,NA,NA,3.1
HHS Region 5,Season onset,Point,week,NA,NA,49
HHS Region 5,Season peak percentage,Point,percent,NA,NA,4.3
HHS Region 5,Season peak week,Point,week,NA,NA,6
HHS Region 6,1 wk ahead,Point,percent,NA,NA,7.3
HHS Region 6,2 wk ahead,Point,percent,NA,NA,6.6
HHS Region 6,3 wk ahead,Point,percent,NA,NA,6.6
HHS Region 6,4 wk ahead,Point,percent,NA,NA,6.6
HHS Region 6,Season onset,Point,week,NA,NA,47
HHS Region 6,Season peak percentage,Point,percent,NA,NA,10
HHS Region 6,Season peak week,Point,week,NA,NA,1
HHS Region 7,1 wk ahead,Point,percent,NA,NA,3.4
HHS Region 7,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 7,3 wk ahead,Point,percent,NA,NA,3.3
HHS Region 7,4 wk ahead,Point,percent,NA,NA,3.9
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,6.1
HHS Region 7,Season peak week,Point,week,NA,NA,5
HHS Region 8,1 wk ahead,Point,percent,NA,NA,2.8
HHS Region 8,2 wk ahead,Point,percent,NA,NA,2.8
HHS Region 8,3 wk ahead,Point,percent,NA,NA,2.9
HHS Region 8,4 wk ahead,Point,percent,NA,NA,3
HHS Region 8,Season onset,Point,week,NA,NA,49
HHS Region 8,Season peak percentage,Point,percent,NA,NA,4.1
HHS Region 8,Season peak week,Point,week,NA,NA,6
HHS Region 9,1 wk ahead,Point,percent,NA,NA,3.8
HHS Region 9,2 wk ahead,Point,percent,NA,NA,3.8
HHS Region 9,3 wk ahead,Point,percent,NA,NA,3.9
HHS Region 9,4 wk ahead,Point,percent,NA,NA,4.1
HHS Region 9,Season onset,Point,week,NA,NA,50
HHS Region 9,Season peak percentage,Point,percent,NA,NA,5.2
HHS Region 9,Season peak week,Point,week,NA,NA,4
US National,1 wk ahead,Point,percent,NA,NA,3.8
US National,2 wk ahead,Point,percent,NA,NA,3.4
US National,3 wk ahead,Point,percent,NA,NA,3.8
US National,4 wk ahead,Point,percent,NA,NA,4.1
US National,Season onset,Point,week,NA,NA,47
US National,Season peak percentage,Point,percent,NA,NA,5.8
US National,Season peak week,Point,week,NA,NA,6
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000726174070558868
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.00226796243236604
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.00381551065378791
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.00600507185809246
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.00888466091004298
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.0124175080924623
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.0164729467362355
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.0208332120226157
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0252145978995294
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0296351540157941
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0331200657758975
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.0354017614001344
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.036939209938714
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.037259172846617
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0366298760928796
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0350913878067923
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0321448563495169
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0270979092910419
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0223537476038231
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0183312401569632
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0143806134919458
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0114095017114526
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00889472147949346
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00693191813602746
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00627140926734621
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0113131924881817
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0140502404544987
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.0159875945329238
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0174245304499429
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0241386794897551
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.031501910211702
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0343268000131059
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0340392364779864
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0370898912830465
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0329053829154912
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0290557881128415
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0317345820770892
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0292889959620453
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0218484394315385
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.0213690750953075
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.0173864883609681
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.0157572112437716
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00870597662605848
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.0108352677946823
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.00811137887998746
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.00850553394350774
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.00697022132284084
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.00676320534645515
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.00545737666794618
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.00663464741994979
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.00525019117240145
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.00431713489422451
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.00323396989611885
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.00342589819337424
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.00231170486386389
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.00294729355780567
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.0010190438946035
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.00151831500087395
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.000755461397783592
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.00103964849603813
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.000363138525697043
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.000696471859030376
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.000363138525697043
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,0.000363138525697043
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,0.000363138525697043
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,2.98051923637097e-05
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,2.980519236371e-05
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,10.7,10.8,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,10.8,10.9,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,10.9,11.0,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,11.0,11.1,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,11.1,11.2,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,11.2,11.3,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,11.3,11.4,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,11.4,11.5,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,11.5,11.6,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,11.6,11.7,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,11.7,11.8,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,11.8,11.9,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,11.9,12.0,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,12.0,12.1,0.000363138525697043
HHS Region 1,1 wk ahead,Bin,percent,12.1,12.2,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,12.2,12.3,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,12.3,12.4,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,12.4,12.5,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,12.5,12.6,2.98051923637102e-05
HHS Region 1,1 wk ahead,Bin,percent,12.6,12.7,2.98051923637102e-05
