location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,1.5
HHS Region 1,2 wk ahead,Point,percent,NA,NA,1.5
HHS Region 1,3 wk ahead,Point,percent,NA,NA,1.6
HHS Region 1,4 wk ahead,Point,percent,NA,NA,1.9
HHS Region 1,Season onset,Point,week,NA,NA,51
HHS Region 1,Season peak percentage,Point,percent,NA,NA,4.3
HHS Region 1,Season peak week,Point,week,NA,NA,7
HHS Region 10,1 wk ahead,Point,percent,NA,NA,1.4
HHS Region 10,2 wk ahead,Point,percent,NA,NA,1.6
HHS Region 10,3 wk ahead,Point,percent,NA,NA,1.7
HHS Region 10,4 wk ahead,Point,percent,NA,NA,1.8
HHS Region 10,Season onset,Point,week,NA,NA,48
HHS Region 10,Season peak percentage,Point,percent,NA,NA,4
HHS Region 10,Season peak week,Point,week,NA,NA,6
HHS Region 2,1 wk ahead,Point,percent,NA,NA,3
HHS Region 2,2 wk ahead,Point,percent,NA,NA,3.2
HHS Region 2,3 wk ahead,Point,percent,NA,NA,3.4
HHS Region 2,4 wk ahead,Point,percent,NA,NA,3.8
HHS Region 2,Season onset,Point,week,NA,NA,48
HHS Region 2,Season peak percentage,Point,percent,NA,NA,6.3
HHS Region 2,Season peak week,Point,week,NA,NA,6
HHS Region 3,1 wk ahead,Point,percent,NA,NA,1.9
HHS Region 3,2 wk ahead,Point,percent,NA,NA,2
HHS Region 3,3 wk ahead,Point,percent,NA,NA,2.2
HHS Region 3,4 wk ahead,Point,percent,NA,NA,2.5
HHS Region 3,Season onset,Point,week,NA,NA,48
HHS Region 3,Season peak percentage,Point,percent,NA,NA,4.6
HHS Region 3,Season peak week,Point,week,NA,NA,5
HHS Region 4,1 wk ahead,Point,percent,NA,NA,3
HHS Region 4,2 wk ahead,Point,percent,NA,NA,3.2
HHS Region 4,3 wk ahead,Point,percent,NA,NA,3.5
HHS Region 4,4 wk ahead,Point,percent,NA,NA,3.8
HHS Region 4,Season onset,Point,week,NA,NA,46
HHS Region 4,Season peak percentage,Point,percent,NA,NA,6.2
HHS Region 4,Season peak week,Point,week,NA,NA,5
HHS Region 5,1 wk ahead,Point,percent,NA,NA,1.6
HHS Region 5,2 wk ahead,Point,percent,NA,NA,1.6
HHS Region 5,3 wk ahead,Point,percent,NA,NA,1.7
HHS Region 5,4 wk ahead,Point,percent,NA,NA,1.8
HHS Region 5,Season onset,Point,week,NA,NA,50
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3.7
HHS Region 5,Season peak week,Point,week,NA,NA,6
HHS Region 6,1 wk ahead,Point,percent,NA,NA,4.4
HHS Region 6,2 wk ahead,Point,percent,NA,NA,4.6
HHS Region 6,3 wk ahead,Point,percent,NA,NA,4.8
HHS Region 6,4 wk ahead,Point,percent,NA,NA,5
HHS Region 6,Season onset,Point,week,NA,NA,44
HHS Region 6,Season peak percentage,Point,percent,NA,NA,8
HHS Region 6,Season peak week,Point,week,NA,NA,4
HHS Region 7,1 wk ahead,Point,percent,NA,NA,1.5
HHS Region 7,2 wk ahead,Point,percent,NA,NA,1.6
HHS Region 7,3 wk ahead,Point,percent,NA,NA,1.7
HHS Region 7,4 wk ahead,Point,percent,NA,NA,1.9
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,5.2
HHS Region 7,Season peak week,Point,week,NA,NA,5
HHS Region 8,1 wk ahead,Point,percent,NA,NA,2.4
HHS Region 8,2 wk ahead,Point,percent,NA,NA,2.4
HHS Region 8,3 wk ahead,Point,percent,NA,NA,2.6
HHS Region 8,4 wk ahead,Point,percent,NA,NA,3.3
HHS Region 8,Season onset,Point,week,NA,NA,50
HHS Region 8,Season peak percentage,Point,percent,NA,NA,7.5
HHS Region 8,Season peak week,Point,week,NA,NA,6
HHS Region 9,1 wk ahead,Point,percent,NA,NA,3.2
HHS Region 9,2 wk ahead,Point,percent,NA,NA,3.3
HHS Region 9,3 wk ahead,Point,percent,NA,NA,3.5
HHS Region 9,4 wk ahead,Point,percent,NA,NA,3.8
HHS Region 9,Season onset,Point,week,NA,NA,45
HHS Region 9,Season peak percentage,Point,percent,NA,NA,5.3
HHS Region 9,Season peak week,Point,week,NA,NA,2
US National,1 wk ahead,Point,percent,NA,NA,2.8
US National,2 wk ahead,Point,percent,NA,NA,3
US National,3 wk ahead,Point,percent,NA,NA,3.2
US National,4 wk ahead,Point,percent,NA,NA,3.4
US National,Season onset,Point,week,NA,NA,45
US National,Season peak percentage,Point,percent,NA,NA,4.9
US National,Season peak week,Point,week,NA,NA,5
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,2.26955028783132e-06
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,4.53910057566265e-06
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,1.0494903946351e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,9.74785204133804e-05
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.00236962265429296
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00085074038740611
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00232742877516812
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00606621794262763
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.00672341037485411
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0117745711685021
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.017250329737551
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.0523398703511569
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.0867948526269555
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.132878910001286
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.171287060607137
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.147914088654266
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.10972882018486
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0917066288424087
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0580101849425385
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.041244917995023
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0206245491818513
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.013751883201434
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00589740779524281
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00589740779524281
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00589740779524281
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.000988360666373316
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00197017009214721
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.000988360666373316
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.000988360666373316
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.000988360666373316
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.000988360666373316
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.000988360666373316
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,6.55124059941678e-06
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,6.55124059941678e-06
