location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,4.9
HHS Region 1,2 wk ahead,Point,percent,NA,NA,5.3
HHS Region 1,3 wk ahead,Point,percent,NA,NA,5
HHS Region 1,4 wk ahead,Point,percent,NA,NA,4.5
HHS Region 1,Season onset,Point,week,NA,NA,50
HHS Region 1,Season peak percentage,Point,percent,NA,NA,7.2
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,5.1
HHS Region 10,2 wk ahead,Point,percent,NA,NA,5.4
HHS Region 10,3 wk ahead,Point,percent,NA,NA,4.8
HHS Region 10,4 wk ahead,Point,percent,NA,NA,4.1
HHS Region 10,Season onset,Point,week,NA,NA,47
HHS Region 10,Season peak percentage,Point,percent,NA,NA,7.2
HHS Region 10,Season peak week,Point,week,NA,NA,52
HHS Region 2,1 wk ahead,Point,percent,NA,NA,6.7
HHS Region 2,2 wk ahead,Point,percent,NA,NA,7
HHS Region 2,3 wk ahead,Point,percent,NA,NA,6.7
HHS Region 2,4 wk ahead,Point,percent,NA,NA,5.8
HHS Region 2,Season onset,Point,week,NA,NA,48
HHS Region 2,Season peak percentage,Point,percent,NA,NA,7.9
HHS Region 2,Season peak week,Point,week,NA,NA,11
HHS Region 3,1 wk ahead,Point,percent,NA,NA,5.1
HHS Region 3,2 wk ahead,Point,percent,NA,NA,4.3
HHS Region 3,3 wk ahead,Point,percent,NA,NA,3.4
HHS Region 3,4 wk ahead,Point,percent,NA,NA,2.7
HHS Region 3,Season onset,Point,week,NA,NA,46
HHS Region 3,Season peak percentage,Point,percent,NA,NA,6.5
HHS Region 3,Season peak week,Point,week,NA,NA,6
HHS Region 4,1 wk ahead,Point,percent,NA,NA,4.6
HHS Region 4,2 wk ahead,Point,percent,NA,NA,4.6
HHS Region 4,3 wk ahead,Point,percent,NA,NA,4.1
HHS Region 4,4 wk ahead,Point,percent,NA,NA,3.5
HHS Region 4,Season onset,Point,week,NA,NA,45
HHS Region 4,Season peak percentage,Point,percent,NA,NA,8.8
HHS Region 4,Season peak week,Point,week,NA,NA,52
HHS Region 5,1 wk ahead,Point,percent,NA,NA,3.8
HHS Region 5,2 wk ahead,Point,percent,NA,NA,3.1
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2.4
HHS Region 5,4 wk ahead,Point,percent,NA,NA,1.9
HHS Region 5,Season onset,Point,week,NA,NA,48
HHS Region 5,Season peak percentage,Point,percent,NA,NA,5.5
HHS Region 5,Season peak week,Point,week,NA,NA,6
HHS Region 6,1 wk ahead,Point,percent,NA,NA,6.4
HHS Region 6,2 wk ahead,Point,percent,NA,NA,5.5
HHS Region 6,3 wk ahead,Point,percent,NA,NA,4.8
HHS Region 6,4 wk ahead,Point,percent,NA,NA,4.1
HHS Region 6,Season onset,Point,week,NA,NA,45
HHS Region 6,Season peak percentage,Point,percent,NA,NA,13
HHS Region 6,Season peak week,Point,week,NA,NA,52
HHS Region 7,1 wk ahead,Point,percent,NA,NA,4.8
HHS Region 7,2 wk ahead,Point,percent,NA,NA,3.5
HHS Region 7,3 wk ahead,Point,percent,NA,NA,2.5
HHS Region 7,4 wk ahead,Point,percent,NA,NA,1.9
HHS Region 7,Season onset,Point,week,NA,NA,48
HHS Region 7,Season peak percentage,Point,percent,NA,NA,7.5
HHS Region 7,Season peak week,Point,week,NA,NA,11
HHS Region 8,1 wk ahead,Point,percent,NA,NA,5.5
HHS Region 8,2 wk ahead,Point,percent,NA,NA,7.7
HHS Region 8,3 wk ahead,Point,percent,NA,NA,7
HHS Region 8,4 wk ahead,Point,percent,NA,NA,6.6
HHS Region 8,Season onset,Point,week,NA,NA,48
HHS Region 8,Season peak percentage,Point,percent,NA,NA,6.8
HHS Region 8,Season peak week,Point,week,NA,NA,13
HHS Region 9,1 wk ahead,Point,percent,NA,NA,3.9
HHS Region 9,2 wk ahead,Point,percent,NA,NA,3.4
HHS Region 9,3 wk ahead,Point,percent,NA,NA,2.9
HHS Region 9,4 wk ahead,Point,percent,NA,NA,2.5
HHS Region 9,Season onset,Point,week,NA,NA,46
HHS Region 9,Season peak percentage,Point,percent,NA,NA,4.7
HHS Region 9,Season peak week,Point,week,NA,NA,6
US National,1 wk ahead,Point,percent,NA,NA,5.4
US National,2 wk ahead,Point,percent,NA,NA,5.4
US National,3 wk ahead,Point,percent,NA,NA,4.9
US National,4 wk ahead,Point,percent,NA,NA,4.4
US National,Season onset,Point,week,NA,NA,45
US National,Season peak percentage,Point,percent,NA,NA,7
US National,Season peak week,Point,week,NA,NA,52
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,5.36444675927573e-06
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,1.52303852424741e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,2.30394148815551e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,3.30747576121902e-05
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,4.50756672803651e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,5.8378687335648e-05
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,7.19852668290659e-05
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,8.47609489863645e-05
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,9.57151023021076e-05
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.000104263178791848
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.000110362248498025
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.000114455387980377
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.00111490695535603
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.000119372771790603
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.000121164866514191
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.000122487185746039
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.000122799501324395
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0031143375596983
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.000117430665555713
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00210599815527201
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.000101190591137383
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,8.96484187484258e-05
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,7.71101738524544e-05
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,6.47754530761236e-05
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00304664828698619
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00104199805490452
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00103452946732054
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,3.09028773230017e-05
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00102358107280728
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,2.14463466836255e-05
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00101490337010023
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.00200861010140814
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.00499802937856705
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.00200201969341096
