location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,1.6
HHS Region 1,2 wk ahead,Point,percent,NA,NA,1.7
HHS Region 1,3 wk ahead,Point,percent,NA,NA,1.9
HHS Region 1,4 wk ahead,Point,percent,NA,NA,2.3
HHS Region 1,Season onset,Point,week,NA,NA,50
HHS Region 1,Season peak percentage,Point,percent,NA,NA,4.4
HHS Region 1,Season peak week,Point,week,NA,NA,7
HHS Region 10,1 wk ahead,Point,percent,NA,NA,1.8
HHS Region 10,2 wk ahead,Point,percent,NA,NA,1.9
HHS Region 10,3 wk ahead,Point,percent,NA,NA,2
HHS Region 10,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 10,Season onset,Point,week,NA,NA,47
HHS Region 10,Season peak percentage,Point,percent,NA,NA,4.1
HHS Region 10,Season peak week,Point,week,NA,NA,5
HHS Region 2,1 wk ahead,Point,percent,NA,NA,3
HHS Region 2,2 wk ahead,Point,percent,NA,NA,3.3
HHS Region 2,3 wk ahead,Point,percent,NA,NA,3.7
HHS Region 2,4 wk ahead,Point,percent,NA,NA,4.3
HHS Region 2,Season onset,Point,week,NA,NA,49
HHS Region 2,Season peak percentage,Point,percent,NA,NA,6.3
HHS Region 2,Season peak week,Point,week,NA,NA,6
HHS Region 3,1 wk ahead,Point,percent,NA,NA,2
HHS Region 3,2 wk ahead,Point,percent,NA,NA,2.2
HHS Region 3,3 wk ahead,Point,percent,NA,NA,2.5
HHS Region 3,4 wk ahead,Point,percent,NA,NA,2.9
HHS Region 3,Season onset,Point,week,NA,NA,47
HHS Region 3,Season peak percentage,Point,percent,NA,NA,4.6
HHS Region 3,Season peak week,Point,week,NA,NA,5
HHS Region 4,1 wk ahead,Point,percent,NA,NA,3.3
HHS Region 4,2 wk ahead,Point,percent,NA,NA,3.7
HHS Region 4,3 wk ahead,Point,percent,NA,NA,4
HHS Region 4,4 wk ahead,Point,percent,NA,NA,4.3
HHS Region 4,Season onset,Point,week,NA,NA,45
HHS Region 4,Season peak percentage,Point,percent,NA,NA,6.4
HHS Region 4,Season peak week,Point,week,NA,NA,4
HHS Region 5,1 wk ahead,Point,percent,NA,NA,1.7
HHS Region 5,2 wk ahead,Point,percent,NA,NA,1.8
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2
HHS Region 5,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 5,Season onset,Point,week,NA,NA,50
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3.6
HHS Region 5,Season peak week,Point,week,NA,NA,6
HHS Region 6,1 wk ahead,Point,percent,NA,NA,6.7
HHS Region 6,2 wk ahead,Point,percent,NA,NA,6.9
HHS Region 6,3 wk ahead,Point,percent,NA,NA,6.7
HHS Region 6,4 wk ahead,Point,percent,NA,NA,6.8
HHS Region 6,Season onset,Point,week,NA,NA,44
HHS Region 6,Season peak percentage,Point,percent,NA,NA,8.9
HHS Region 6,Season peak week,Point,week,NA,NA,1
HHS Region 7,1 wk ahead,Point,percent,NA,NA,1.6
HHS Region 7,2 wk ahead,Point,percent,NA,NA,1.7
HHS Region 7,3 wk ahead,Point,percent,NA,NA,1.9
HHS Region 7,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,5.3
HHS Region 7,Season peak week,Point,week,NA,NA,5
HHS Region 8,1 wk ahead,Point,percent,NA,NA,2.4
HHS Region 8,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 8,3 wk ahead,Point,percent,NA,NA,3.2
HHS Region 8,4 wk ahead,Point,percent,NA,NA,4
HHS Region 8,Season onset,Point,week,NA,NA,50
HHS Region 8,Season peak percentage,Point,percent,NA,NA,7
HHS Region 8,Season peak week,Point,week,NA,NA,6
HHS Region 9,1 wk ahead,Point,percent,NA,NA,2.8
HHS Region 9,2 wk ahead,Point,percent,NA,NA,3
HHS Region 9,3 wk ahead,Point,percent,NA,NA,3.3
HHS Region 9,4 wk ahead,Point,percent,NA,NA,3.7
HHS Region 9,Season onset,Point,week,NA,NA,45
HHS Region 9,Season peak percentage,Point,percent,NA,NA,5
HHS Region 9,Season peak week,Point,week,NA,NA,3
US National,1 wk ahead,Point,percent,NA,NA,3.1
US National,2 wk ahead,Point,percent,NA,NA,3.4
US National,3 wk ahead,Point,percent,NA,NA,3.6
US National,4 wk ahead,Point,percent,NA,NA,3.8
US National,Season onset,Point,week,NA,NA,45
US National,Season peak percentage,Point,percent,NA,NA,5.3
US National,Season peak week,Point,week,NA,NA,5
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,2.73892015964644e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,5.47784031929288e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,5.47784031929287e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,5.47784031929287e-05
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.000401775049215835
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00543480944592011
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.0131406098979796
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.020231978629877
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0290937283387916
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0211534826802696
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0130901725239635
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.0257076948364576
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.0510655082925676
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.0813811909597808
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0959482781261846
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.126687436597587
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.145925553723542
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.11885293971124
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0838996706360512
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0501419087287476
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0375999523736405
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0294334118352895
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0187386503083044
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00804391360815158
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00269654525807518
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00358777331642125
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,2.28610830369814e-05
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000914089141383048
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.000914089141383048
