location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,5.6
HHS Region 1,2 wk ahead,Point,percent,NA,NA,5.2
HHS Region 1,3 wk ahead,Point,percent,NA,NA,4.8
HHS Region 1,4 wk ahead,Point,percent,NA,NA,4.4
HHS Region 1,Season onset,Point,week,NA,NA,50
HHS Region 1,Season peak percentage,Point,percent,NA,NA,7.1
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,6.4
HHS Region 10,2 wk ahead,Point,percent,NA,NA,3.9
HHS Region 10,3 wk ahead,Point,percent,NA,NA,3.5
HHS Region 10,4 wk ahead,Point,percent,NA,NA,3.2
HHS Region 10,Season onset,Point,week,NA,NA,47
HHS Region 10,Season peak percentage,Point,percent,NA,NA,7.2
HHS Region 10,Season peak week,Point,week,NA,NA,52
HHS Region 2,1 wk ahead,Point,percent,NA,NA,6
HHS Region 2,2 wk ahead,Point,percent,NA,NA,5.6
HHS Region 2,3 wk ahead,Point,percent,NA,NA,5.2
HHS Region 2,4 wk ahead,Point,percent,NA,NA,4.8
HHS Region 2,Season onset,Point,week,NA,NA,48
HHS Region 2,Season peak percentage,Point,percent,NA,NA,8
HHS Region 2,Season peak week,Point,week,NA,NA,6
HHS Region 3,1 wk ahead,Point,percent,NA,NA,4.4
HHS Region 3,2 wk ahead,Point,percent,NA,NA,3.8
HHS Region 3,3 wk ahead,Point,percent,NA,NA,3.4
HHS Region 3,4 wk ahead,Point,percent,NA,NA,2.9
HHS Region 3,Season onset,Point,week,NA,NA,46
HHS Region 3,Season peak percentage,Point,percent,NA,NA,6.5
HHS Region 3,Season peak week,Point,week,NA,NA,6
HHS Region 4,1 wk ahead,Point,percent,NA,NA,4.4
HHS Region 4,2 wk ahead,Point,percent,NA,NA,4
HHS Region 4,3 wk ahead,Point,percent,NA,NA,3.6
HHS Region 4,4 wk ahead,Point,percent,NA,NA,3.3
HHS Region 4,Season onset,Point,week,NA,NA,45
HHS Region 4,Season peak percentage,Point,percent,NA,NA,8.8
HHS Region 4,Season peak week,Point,week,NA,NA,52
HHS Region 5,1 wk ahead,Point,percent,NA,NA,3.9
HHS Region 5,2 wk ahead,Point,percent,NA,NA,3.4
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2.9
HHS Region 5,4 wk ahead,Point,percent,NA,NA,2.4
HHS Region 5,Season onset,Point,week,NA,NA,48
HHS Region 5,Season peak percentage,Point,percent,NA,NA,5.5
HHS Region 5,Season peak week,Point,week,NA,NA,6
HHS Region 6,1 wk ahead,Point,percent,NA,NA,7.4
HHS Region 6,2 wk ahead,Point,percent,NA,NA,6.5
HHS Region 6,3 wk ahead,Point,percent,NA,NA,5.7
HHS Region 6,4 wk ahead,Point,percent,NA,NA,5.1
HHS Region 6,Season onset,Point,week,NA,NA,45
HHS Region 6,Season peak percentage,Point,percent,NA,NA,13
HHS Region 6,Season peak week,Point,week,NA,NA,52
HHS Region 7,1 wk ahead,Point,percent,NA,NA,5.2
HHS Region 7,2 wk ahead,Point,percent,NA,NA,4.1
HHS Region 7,3 wk ahead,Point,percent,NA,NA,3.1
HHS Region 7,4 wk ahead,Point,percent,NA,NA,2.4
HHS Region 7,Season onset,Point,week,NA,NA,48
HHS Region 7,Season peak percentage,Point,percent,NA,NA,7.3
HHS Region 7,Season peak week,Point,week,NA,NA,6
HHS Region 8,1 wk ahead,Point,percent,NA,NA,5.4
HHS Region 8,2 wk ahead,Point,percent,NA,NA,4.9
HHS Region 8,3 wk ahead,Point,percent,NA,NA,4.4
HHS Region 8,4 wk ahead,Point,percent,NA,NA,4
HHS Region 8,Season onset,Point,week,NA,NA,48
HHS Region 8,Season peak percentage,Point,percent,NA,NA,6.9
HHS Region 8,Season peak week,Point,week,NA,NA,5
HHS Region 9,1 wk ahead,Point,percent,NA,NA,4
HHS Region 9,2 wk ahead,Point,percent,NA,NA,3.5
HHS Region 9,3 wk ahead,Point,percent,NA,NA,3.1
HHS Region 9,4 wk ahead,Point,percent,NA,NA,2.8
HHS Region 9,Season onset,Point,week,NA,NA,46
HHS Region 9,Season peak percentage,Point,percent,NA,NA,5
HHS Region 9,Season peak week,Point,week,NA,NA,6
US National,1 wk ahead,Point,percent,NA,NA,5.3
US National,2 wk ahead,Point,percent,NA,NA,4.9
US National,3 wk ahead,Point,percent,NA,NA,4.5
US National,4 wk ahead,Point,percent,NA,NA,4.3
US National,Season onset,Point,week,NA,NA,45
US National,Season peak percentage,Point,percent,NA,NA,7.1
US National,Season peak week,Point,week,NA,NA,52
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,7.51676224543378e-10
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,1.86106080513151e-09
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,2.41219535024472e-09
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,3.05063517385263e-09
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,3.77037738855159e-09
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,4.56084601446397e-09
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,5.40679510489227e-09
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,6.28827459130054e-09
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,7.18033392310432e-09
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,8.05274218241267e-09
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,8.87024422569647e-09
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,9.59402775271223e-09
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,1.01845405415113e-08
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,1.06063027810068e-08
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.00100001059788669
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,1.08563235505899e-08
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,1.06826767853235e-08
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,1.03405507228487e-08
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00100000963716533
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00100000909550408
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,8.76643522585916e-09
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00200000774863795
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,7.71934628339615e-09
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,7.27319671003456e-09
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,6.8750676858106e-09
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00100000627088392
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,6.14406263293154e-09
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,5.76370182908786e-09
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00300000464005724
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00100000464984353
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,4.37879396268919e-09
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,3.83683132461704e-09
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.00100000304130244
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,2.72133197766852e-09
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.00300000148484962
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,1.70972594430559e-09
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.00300000058142322
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.00300000023019055
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.00999999829952482
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.0109999978501171
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.00999999793028884
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.0219999949925676
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.0169999960994475
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.0159999962894701
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.0159999962616972
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.037999991060519
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.0179999957751825
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.032999992238443
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.0349999917668778
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.032999992238443
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.0259999938889214
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.0359999915310951
