location,target,unit,value,type,bin_start_incl,bin_end_notincl
HHS Region 1,1 wk ahead,percent,0.9,Point,NA,NA
HHS Region 1,2 wk ahead,percent,0.8,Point,NA,NA
HHS Region 1,3 wk ahead,percent,0.9,Point,NA,NA
HHS Region 1,4 wk ahead,percent,1.1,Point,NA,NA
HHS Region 1,Season onset,week,5,Point,NA,NA
HHS Region 1,Season peak percentage,percent,1.7,Point,NA,NA
HHS Region 1,Season peak week,week,7,Point,NA,NA
HHS Region 10,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 10,2 wk ahead,percent,1.8,Point,NA,NA
HHS Region 10,3 wk ahead,percent,1.9,Point,NA,NA
HHS Region 10,4 wk ahead,percent,1.9,Point,NA,NA
HHS Region 10,Season onset,week,NA,Point,NA,NA
HHS Region 10,Season peak percentage,percent,3.1,Point,NA,NA
HHS Region 10,Season peak week,week,6,Point,NA,NA
HHS Region 2,1 wk ahead,percent,1.4,Point,NA,NA
HHS Region 2,2 wk ahead,percent,1.7,Point,NA,NA
HHS Region 2,3 wk ahead,percent,1.8,Point,NA,NA
HHS Region 2,4 wk ahead,percent,1.8,Point,NA,NA
HHS Region 2,Season onset,week,NA,Point,NA,NA
HHS Region 2,Season peak percentage,percent,2.5,Point,NA,NA
HHS Region 2,Season peak week,week,6,Point,NA,NA
HHS Region 3,1 wk ahead,percent,1.8,Point,NA,NA
HHS Region 3,2 wk ahead,percent,2.1,Point,NA,NA
HHS Region 3,3 wk ahead,percent,2.3,Point,NA,NA
HHS Region 3,4 wk ahead,percent,2.5,Point,NA,NA
HHS Region 3,Season onset,week,5,Point,NA,NA
HHS Region 3,Season peak percentage,percent,3.3,Point,NA,NA
HHS Region 3,Season peak week,week,7,Point,NA,NA
HHS Region 4,1 wk ahead,percent,1.7,Point,NA,NA
HHS Region 4,2 wk ahead,percent,1.8,Point,NA,NA
HHS Region 4,3 wk ahead,percent,2,Point,NA,NA
HHS Region 4,4 wk ahead,percent,2,Point,NA,NA
HHS Region 4,Season onset,week,NA,Point,NA,NA
HHS Region 4,Season peak percentage,percent,2.4,Point,NA,NA
HHS Region 4,Season peak week,week,4,Point,NA,NA
HHS Region 5,1 wk ahead,percent,1.6,Point,NA,NA
HHS Region 5,2 wk ahead,percent,1.8,Point,NA,NA
HHS Region 5,3 wk ahead,percent,2.2,Point,NA,NA
HHS Region 5,4 wk ahead,percent,2.5,Point,NA,NA
HHS Region 5,Season onset,week,3,Point,NA,NA
HHS Region 5,Season peak percentage,percent,3.3,Point,NA,NA
HHS Region 5,Season peak week,week,8,Point,NA,NA
HHS Region 6,1 wk ahead,percent,2.4,Point,NA,NA
HHS Region 6,2 wk ahead,percent,2.8,Point,NA,NA
HHS Region 6,3 wk ahead,percent,3.3,Point,NA,NA
HHS Region 6,4 wk ahead,percent,3.7,Point,NA,NA
HHS Region 6,Season onset,week,9,Point,NA,NA
HHS Region 6,Season peak percentage,percent,5,Point,NA,NA
HHS Region 6,Season peak week,week,8,Point,NA,NA
HHS Region 7,1 wk ahead,percent,1.8,Point,NA,NA
HHS Region 7,2 wk ahead,percent,2.2,Point,NA,NA
HHS Region 7,3 wk ahead,percent,2.4,Point,NA,NA
HHS Region 7,4 wk ahead,percent,2.9,Point,NA,NA
HHS Region 7,Season onset,week,4,Point,NA,NA
HHS Region 7,Season peak percentage,percent,4.5,Point,NA,NA
HHS Region 7,Season peak week,week,7,Point,NA,NA
HHS Region 8,1 wk ahead,percent,1.3,Point,NA,NA
HHS Region 8,2 wk ahead,percent,1.5,Point,NA,NA
HHS Region 8,3 wk ahead,percent,1.6,Point,NA,NA
HHS Region 8,4 wk ahead,percent,1.8,Point,NA,NA
HHS Region 8,Season onset,week,NA,Point,NA,NA
HHS Region 8,Season peak percentage,percent,2.6,Point,NA,NA
HHS Region 8,Season peak week,week,7,Point,NA,NA
HHS Region 9,1 wk ahead,percent,2.3,Point,NA,NA
HHS Region 9,2 wk ahead,percent,2.9,Point,NA,NA
HHS Region 9,3 wk ahead,percent,3.3,Point,NA,NA
HHS Region 9,4 wk ahead,percent,3.4,Point,NA,NA
HHS Region 9,Season onset,week,NA,Point,NA,NA
HHS Region 9,Season peak percentage,percent,3.9,Point,NA,NA
HHS Region 9,Season peak week,week,6,Point,NA,NA
US National,1 wk ahead,percent,1.4,Point,NA,NA
US National,2 wk ahead,percent,1.4,Point,NA,NA
US National,3 wk ahead,percent,1.5,Point,NA,NA
US National,4 wk ahead,percent,1.5,Point,NA,NA
US National,Season onset,week,NA,Point,NA,NA
US National,Season peak percentage,percent,1.8,Point,NA,NA
US National,Season peak week,week,3,Point,NA,NA
US National,Season onset,week,2.70996315784583e-05,Bin,40.0,41.0
US National,Season onset,week,3.68050136235489e-05,Bin,41.0,42.0
US National,Season onset,week,0.000206605922944952,Bin,42.0,43.0
US National,Season onset,week,0.000811064191962714,Bin,43.0,44.0
US National,Season onset,week,0.00189595454549981,Bin,44.0,45.0
US National,Season onset,week,0.00276791974787252,Bin,45.0,46.0
US National,Season onset,week,0.00286311221863866,Bin,46.0,47.0
US National,Season onset,week,0.00273121605525276,Bin,47.0,48.0
US National,Season onset,week,0.0031026503568946,Bin,48.0,49.0
US National,Season onset,week,0.0040864051889036,Bin,49.0,50.0
US National,Season onset,week,0.00540289104180363,Bin,50.0,51.0
US National,Season onset,week,0.00612448784748606,Bin,51.0,52.0
US National,Season onset,week,0.00507081188703964,Bin,52.0,53.0
US National,Season onset,week,0.00279555905191231,Bin,1.0,2.0
US National,Season onset,week,0.00102622345273525,Bin,2.0,3.0
US National,Season onset,week,0.000399299901644133,Bin,3.0,4.0
US National,Season onset,week,0.0100345397787575,Bin,4.0,5.0
US National,Season onset,week,0.0082195811623796,Bin,5.0,6.0
US National,Season onset,week,0.0100058276740181,Bin,6.0,7.0
US National,Season onset,week,0.00785628555205706,Bin,7.0,8.0
US National,Season onset,week,0.00580126642802815,Bin,8.0,9.0
US National,Season onset,week,0.00384425516152516,Bin,9.0,10.0
US National,Season onset,week,6.28226848613382e-06,Bin,10.0,11.0
US National,Season onset,week,6.28226848613382e-06,Bin,11.0,12.0
US National,Season onset,week,6.28226848613382e-06,Bin,12.0,13.0
US National,Season onset,week,6.28226848613382e-06,Bin,13.0,14.0
US National,Season onset,week,6.28226848613382e-06,Bin,14.0,15.0
US National,Season onset,week,6.28226848613382e-06,Bin,15.0,16.0
US National,Season onset,week,6.28226848613382e-06,Bin,16.0,17.0
US National,Season onset,week,6.28226848613382e-06,Bin,17.0,18.0
US National,Season onset,week,6.28226848613382e-06,Bin,18.0,19.0
US National,Season onset,week,6.28226848613382e-06,Bin,19.0,20.0
US National,Season onset,week,6.28226848613382e-06,Bin,20.0,21.0
US National,Season onset,week,0.914821033234094,Bin,none,none
US National,Season peak week,week,5.90944923144496e-05,Bin,40.0,41.0
US National,Season peak week,week,5.90944923144496e-05,Bin,41.0,42.0
US National,Season peak week,week,5.90944923144496e-05,Bin,42.0,43.0
US National,Season peak week,week,5.90944923144496e-05,Bin,43.0,44.0
US National,Season peak week,week,5.90944923144496e-05,Bin,44.0,45.0
US National,Season peak week,week,5.90944923144496e-05,Bin,45.0,46.0
US National,Season peak week,week,5.90944923144496e-05,Bin,46.0,47.0
US National,Season peak week,week,5.90944923144496e-05,Bin,47.0,48.0
US National,Season peak week,week,5.90944923144496e-05,Bin,48.0,49.0
US National,Season peak week,week,6.23555150255149e-05,Bin,49.0,50.0
US National,Season peak week,week,0.000509489902351223,Bin,50.0,51.0
US National,Season peak week,week,0.00282578682580622,Bin,51.0,52.0
US National,Season peak week,week,0.471858662926625,Bin,52.0,53.0
US National,Season peak week,week,0.00287644923649954,Bin,1.0,2.0
US National,Season peak week,week,0.00524657336191208,Bin,2.0,3.0
US National,Season peak week,week,0.0170150994627332,Bin,3.0,4.0
US National,Season peak week,week,0.051836061515292,Bin,4.0,5.0
US National,Season peak week,week,0.0714746241328169,Bin,5.0,6.0
US National,Season peak week,week,0.0898734218357204,Bin,6.0,7.0
US National,Season peak week,week,0.0774273962293962,Bin,7.0,8.0
US National,Season peak week,week,0.0716080809445397,Bin,8.0,9.0
US National,Season peak week,week,0.0423698696747395,Bin,9.0,10.0
US National,Season peak week,week,0.0267841855330536,Bin,10.0,11.0
US National,Season peak week,week,0.0282607550890552,Bin,11.0,12.0
US National,Season peak week,week,0.011957430657353,Bin,12.0,13.0
US National,Season peak week,week,0.013439551060235,Bin,13.0,14.0
US National,Season peak week,week,0.00751106944870688,Bin,14.0,15.0
US National,Season peak week,week,0.00306470824006081,Bin,15.0,16.0
US National,Season peak week,week,0.000100467434296767,Bin,16.0,17.0
US National,Season peak week,week,0.000100467434296767,Bin,17.0,18.0
US National,Season peak week,week,0.00158258783717879,Bin,18.0,19.0
US National,Season peak week,week,0.00158258783717879,Bin,19.0,20.0
US National,Season peak week,week,0.000100467434296767,Bin,20.0,21.0
US National,Season peak percentage,percent,2.19491161344224e-06,Bin,0.0,0.1
US National,Season peak percentage,percent,4.38982322688449e-06,Bin,0.1,0.2
US National,Season peak percentage,percent,4.38982322688448e-06,Bin,0.2,0.3
US National,Season peak percentage,percent,4.38982322688448e-06,Bin,0.3,0.4
US National,Season peak percentage,percent,4.38982322688448e-06,Bin,0.4,0.5
US National,Season peak percentage,percent,4.38982322688449e-06,Bin,0.5,0.6
US National,Season peak percentage,percent,4.38982322688449e-06,Bin,0.6,0.7
US National,Season peak percentage,percent,4.38982322688449e-06,Bin,0.7,0.8
US National,Season peak percentage,percent,4.38982322688449e-06,Bin,0.8,0.9
US National,Season peak percentage,percent,4.76843380394768e-06,Bin,0.9,1.0
US National,Season peak percentage,percent,6.9163250423435e-06,Bin,1.0,1.1
US National,Season peak percentage,percent,1.01300776391314e-05,Bin,1.1,1.2
US National,Season peak percentage,percent,1.46028534741854e-05,Bin,1.2,1.3
US National,Season peak percentage,percent,2.07183097416832e-05,Bin,1.3,1.4
US National,Season peak percentage,percent,2.89339812299178e-05,Bin,1.4,1.5
US National,Season peak percentage,percent,3.97764305847024e-05,Bin,1.5,1.6
US National,Season peak percentage,percent,5.38287353648199e-05,Bin,1.6,1.7
US National,Season peak percentage,percent,7.17148875144657e-05,Bin,1.7,1.8
US National,Season peak percentage,percent,0.604221169754223,Bin,1.8,1.9
US National,Season peak percentage,percent,0.069164604995485,Bin,1.9,2.0
US National,Season peak percentage,percent,0.0634440525534761,Bin,2.0,2.1
US National,Season peak percentage,percent,0.0481401861778201,Bin,2.1,2.2
US National,Season peak percentage,percent,0.0366782649171965,Bin,2.2,2.3
US National,Season peak percentage,percent,0.0328939719014185,Bin,2.3,2.4
US National,Season peak percentage,percent,0.0271976685401941,Bin,2.4,2.5
US National,Season peak percentage,percent,0.0157529902066493,Bin,2.5,2.6
US National,Season peak percentage,percent,0.0177375813397135,Bin,2.6,2.7
US National,Season peak percentage,percent,0.0235608269511141,Bin,2.7,2.8
US National,Season peak percentage,percent,0.00637106033117065,Bin,2.8,2.9
US National,Season peak percentage,percent,0.000688041587637187,Bin,2.9,3.0
US National,Season peak percentage,percent,0.000756283180284205,Bin,3.0,3.1
US National,Season peak percentage,percent,0.00657387256907364,Bin,3.1,3.2
US National,Season peak percentage,percent,0.000878244787998224,Bin,3.2,3.3
US National,Season peak percentage,percent,0.00668220999913412,Bin,3.3,3.4
US National,Season peak percentage,percent,0.00288803072164373,Bin,3.4,3.5
US National,Season peak percentage,percent,0.00100207141253487,Bin,3.5,3.6
US National,Season peak percentage,percent,0.00102398841855368,Bin,3.6,3.7
US National,Season peak percentage,percent,0.00103603668584243,Bin,3.7,3.8
US National,Season peak percentage,percent,0.00295664733688481,Bin,3.8,3.9
US National,Season peak percentage,percent,0.00103321415202573,Bin,3.9,4.0
US National,Season peak percentage,percent,0.00102061474606935,Bin,4.0,4.1
US National,Season peak percentage,percent,0.00100246343092,Bin,4.1,4.2
US National,Season peak percentage,percent,0.00098034112274379,Bin,4.2,4.3
US National,Season peak percentage,percent,0.000955802494915214,Bin,4.3,4.4
