location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Point,percent,NA,NA,3
HHS Region 1,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 1,3 wk ahead,Point,percent,NA,NA,2.5
HHS Region 1,4 wk ahead,Point,percent,NA,NA,2.4
HHS Region 1,Season onset,Point,week,NA,NA,49
HHS Region 1,Season peak percentage,Point,percent,NA,NA,3.8
HHS Region 1,Season peak week,Point,week,NA,NA,6
HHS Region 10,1 wk ahead,Point,percent,NA,NA,2.7
HHS Region 10,2 wk ahead,Point,percent,NA,NA,2.2
HHS Region 10,3 wk ahead,Point,percent,NA,NA,1.9
HHS Region 10,4 wk ahead,Point,percent,NA,NA,1.7
HHS Region 10,Season onset,Point,week,NA,NA,50
HHS Region 10,Season peak percentage,Point,percent,NA,NA,3.5
HHS Region 10,Season peak week,Point,week,NA,NA,7
HHS Region 2,1 wk ahead,Point,percent,NA,NA,4
HHS Region 2,2 wk ahead,Point,percent,NA,NA,3.9
HHS Region 2,3 wk ahead,Point,percent,NA,NA,3.6
HHS Region 2,4 wk ahead,Point,percent,NA,NA,3.3
HHS Region 2,Season onset,Point,week,NA,NA,49
HHS Region 2,Season peak percentage,Point,percent,NA,NA,5.2
HHS Region 2,Season peak week,Point,week,NA,NA,7
HHS Region 3,1 wk ahead,Point,percent,NA,NA,3.9
HHS Region 3,2 wk ahead,Point,percent,NA,NA,3.3
HHS Region 3,3 wk ahead,Point,percent,NA,NA,2.9
HHS Region 3,4 wk ahead,Point,percent,NA,NA,2.5
HHS Region 3,Season onset,Point,week,NA,NA,50
HHS Region 3,Season peak percentage,Point,percent,NA,NA,4.7
HHS Region 3,Season peak week,Point,week,NA,NA,8
HHS Region 4,1 wk ahead,Point,percent,NA,NA,3.9
HHS Region 4,2 wk ahead,Point,percent,NA,NA,3.4
HHS Region 4,3 wk ahead,Point,percent,NA,NA,3.1
HHS Region 4,4 wk ahead,Point,percent,NA,NA,2.8
HHS Region 4,Season onset,Point,week,NA,NA,47
HHS Region 4,Season peak percentage,Point,percent,NA,NA,5.9
HHS Region 4,Season peak week,Point,week,NA,NA,6
HHS Region 5,1 wk ahead,Point,percent,NA,NA,3.1
HHS Region 5,2 wk ahead,Point,percent,NA,NA,2.8
HHS Region 5,3 wk ahead,Point,percent,NA,NA,2.4
HHS Region 5,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 5,Season onset,Point,week,NA,NA,51
HHS Region 5,Season peak percentage,Point,percent,NA,NA,3.4
HHS Region 5,Season peak week,Point,week,NA,NA,9
HHS Region 6,1 wk ahead,Point,percent,NA,NA,7
HHS Region 6,2 wk ahead,Point,percent,NA,NA,5.5
HHS Region 6,3 wk ahead,Point,percent,NA,NA,4.8
HHS Region 6,4 wk ahead,Point,percent,NA,NA,4
HHS Region 6,Season onset,Point,week,NA,NA,51
HHS Region 6,Season peak percentage,Point,percent,NA,NA,10.2
HHS Region 6,Season peak week,Point,week,NA,NA,7
HHS Region 7,1 wk ahead,Point,percent,NA,NA,3.8
HHS Region 7,2 wk ahead,Point,percent,NA,NA,2.7
HHS Region 7,3 wk ahead,Point,percent,NA,NA,2.1
HHS Region 7,4 wk ahead,Point,percent,NA,NA,1.7
HHS Region 7,Season onset,Point,week,NA,NA,50
HHS Region 7,Season peak percentage,Point,percent,NA,NA,5.3
HHS Region 7,Season peak week,Point,week,NA,NA,8
HHS Region 8,1 wk ahead,Point,percent,NA,NA,4.2
HHS Region 8,2 wk ahead,Point,percent,NA,NA,3.2
HHS Region 8,3 wk ahead,Point,percent,NA,NA,2.6
HHS Region 8,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 8,Season onset,Point,week,NA,NA,46
HHS Region 8,Season peak percentage,Point,percent,NA,NA,5.8
HHS Region 8,Season peak week,Point,week,NA,NA,8
HHS Region 9,1 wk ahead,Point,percent,NA,NA,3.3
HHS Region 9,2 wk ahead,Point,percent,NA,NA,2.8
HHS Region 9,3 wk ahead,Point,percent,NA,NA,2.4
HHS Region 9,4 wk ahead,Point,percent,NA,NA,2.1
HHS Region 9,Season onset,Point,week,NA,NA,48
HHS Region 9,Season peak percentage,Point,percent,NA,NA,3.8
HHS Region 9,Season peak week,Point,week,NA,NA,9
US National,1 wk ahead,Point,percent,NA,NA,4.4
US National,2 wk ahead,Point,percent,NA,NA,4
US National,3 wk ahead,Point,percent,NA,NA,3.7
US National,4 wk ahead,Point,percent,NA,NA,3.4
US National,Season onset,Point,week,NA,NA,49
US National,Season peak percentage,Point,percent,NA,NA,5
US National,Season peak week,Point,week,NA,NA,7
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,5.12506823307864e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.00013438304190537
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.000188443835544676
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000258984995458217
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.000348968123815034
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000460933723711337
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.000596343864293427
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.000754794926443731
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.000933183989985963
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.00112508042460768
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.00132051569787153
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00537529792263162
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.00166855000937971
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00179238917169193
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.00380116785303515
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.00865595077400015
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00281650244223147
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.00466658333857411
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00648127990434458
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00634177483698844
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00909950379423659
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0108982884301282
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.026253682551026
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0464632554315305
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.0221978854153499
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0366304483941253
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0916890499045619
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.0567978829439154
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0712292948443348
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0808203786309099
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0846059083827945
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0651798222157054
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0747740682451812
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0456886016768654
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0446616690727424
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.060087924970107
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0271654629232143
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0155308730095158
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0106747573996021
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.0125953884315075
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.0116192321037255
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.00290892830501114
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00774153049510695
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.00967405337056046
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.00677214747849918
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.00580495797569362
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.00290338946727693
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.00193619996447137
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.00483776847288805
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.000969010461665807
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,0.00193619996447137
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,1.82095886024449e-06
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,1.82095886024451e-06
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,0.000969010461665807
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,10.7,10.8,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,10.8,10.9,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,10.9,11.0,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,11.0,11.1,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,11.1,11.2,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,11.2,11.3,1.82095886024452e-06
HHS Region 1,1 wk ahead,Bin,percent,11.3,11.4,1.82095886024452e-06
