location,target,unit,value,type,bin_start_incl,bin_end_notincl
Delaware,1 wk ahead,percent,0.6,Point,NA,NA
Delaware,2 wk ahead,percent,1.2,Point,NA,NA
Delaware,3 wk ahead,percent,1.7,Point,NA,NA
Delaware,4 wk ahead,percent,2,Point,NA,NA
Delaware,Season peak percentage,percent,5.4,Point,NA,NA
Delaware,Season peak week,week,4,Point,NA,NA
Maryland,1 wk ahead,percent,3,Point,NA,NA
Maryland,2 wk ahead,percent,3.1,Point,NA,NA
Maryland,3 wk ahead,percent,3.2,Point,NA,NA
Maryland,4 wk ahead,percent,3.3,Point,NA,NA
Maryland,Season peak percentage,percent,5.2,Point,NA,NA
Maryland,Season peak week,week,3,Point,NA,NA
Pennsylvania,1 wk ahead,percent,4.2,Point,NA,NA
Pennsylvania,2 wk ahead,percent,4.1,Point,NA,NA
Pennsylvania,3 wk ahead,percent,3.9,Point,NA,NA
Pennsylvania,4 wk ahead,percent,3.9,Point,NA,NA
Pennsylvania,Season peak percentage,percent,4.9,Point,NA,NA
Pennsylvania,Season peak week,week,1,Point,NA,NA
Virginia,1 wk ahead,percent,5.4,Point,NA,NA
Virginia,2 wk ahead,percent,4.9,Point,NA,NA
Virginia,3 wk ahead,percent,4.5,Point,NA,NA
Virginia,4 wk ahead,percent,3.9,Point,NA,NA
Virginia,Season peak percentage,percent,5.9,Point,NA,NA
Virginia,Season peak week,week,52,Point,NA,NA
West Virginia,1 wk ahead,percent,4.1,Point,NA,NA
West Virginia,2 wk ahead,percent,5.3,Point,NA,NA
West Virginia,3 wk ahead,percent,5.4,Point,NA,NA
West Virginia,4 wk ahead,percent,6.3,Point,NA,NA
West Virginia,Season peak percentage,percent,6,Point,NA,NA
West Virginia,Season peak week,week,4,Point,NA,NA
Delaware,1 wk ahead,percent,6.37440832967217e-10,Bin,0.0,0.1
Delaware,1 wk ahead,percent,0.0564516121533491,Bin,0.1,0.2
Delaware,1 wk ahead,percent,0.0403225805492727,Bin,0.2,0.3
Delaware,1 wk ahead,percent,0.0544354832820724,Bin,0.3,0.4
Delaware,1 wk ahead,percent,0.0725806438986871,Bin,0.4,0.5
Delaware,1 wk ahead,percent,0.135080641555065,Bin,0.5,0.6
Delaware,1 wk ahead,percent,0.153225802110959,Bin,0.6,0.7
Delaware,1 wk ahead,percent,0.139112899317238,Bin,0.7,0.8
Delaware,1 wk ahead,percent,0.0766129015171869,Bin,0.8,0.9
Delaware,1 wk ahead,percent,0.0443548380708998,Bin,0.9,1.0
Delaware,1 wk ahead,percent,0.0362903221116415,Bin,1.0,1.1
Delaware,1 wk ahead,percent,0.0383064509411546,Bin,1.1,1.2
Delaware,1 wk ahead,percent,0.0241935481136748,Bin,1.2,1.3
Delaware,1 wk ahead,percent,0.0120967742536362,Bin,1.3,1.4
Delaware,1 wk ahead,percent,0.00604838727973636,Bin,1.4,1.5
Delaware,1 wk ahead,percent,3.20488768670882e-10,Bin,1.5,1.6
Delaware,1 wk ahead,percent,2.50025307697291e-10,Bin,1.6,1.7
Delaware,1 wk ahead,percent,0.0100806449838465,Bin,1.7,1.8
Delaware,1 wk ahead,percent,0.0161290318166987,Bin,1.8,1.9
Delaware,1 wk ahead,percent,0.0100806449163561,Bin,1.9,2.0
Delaware,1 wk ahead,percent,0.0080645159438416,Bin,2.0,2.1
Delaware,1 wk ahead,percent,1.08973677740767e-10,Bin,2.1,2.2
Delaware,1 wk ahead,percent,1.15082347062505e-10,Bin,2.2,2.3
Delaware,1 wk ahead,percent,0.0221774186656568,Bin,2.3,2.4
Delaware,1 wk ahead,percent,1.52852249091927e-10,Bin,2.4,2.5
Delaware,1 wk ahead,percent,1.82925061638762e-10,Bin,2.5,2.6
Delaware,1 wk ahead,percent,2.19622840123985e-10,Bin,2.6,2.7
Delaware,1 wk ahead,percent,0.00604838713581508,Bin,2.7,2.8
Delaware,1 wk ahead,percent,0.00604838718434815,Bin,2.8,2.9
Delaware,1 wk ahead,percent,3.64844045342516e-10,Bin,2.9,3.0
Delaware,1 wk ahead,percent,4.23628240697818e-10,Bin,3.0,3.1
Delaware,1 wk ahead,percent,4.86870846336669e-10,Bin,3.1,3.2
Delaware,1 wk ahead,percent,5.53910549822477e-10,Bin,3.2,3.3
Delaware,1 wk ahead,percent,0.00403225853938678,Bin,3.3,3.4
Delaware,1 wk ahead,percent,6.95223286329744e-10,Bin,3.4,3.5
Delaware,1 wk ahead,percent,7.66311786326948e-10,Bin,3.5,3.6
Delaware,1 wk ahead,percent,8.34712511875193e-10,Bin,3.6,3.7
Delaware,1 wk ahead,percent,8.97602710303861e-10,Bin,3.7,3.8
Delaware,1 wk ahead,percent,9.5182243528745e-10,Bin,3.8,3.9
Delaware,1 wk ahead,percent,9.94145778706958e-10,Bin,3.9,4.0
Delaware,1 wk ahead,percent,1.02156354134958e-09,Bin,4.0,4.1
Delaware,1 wk ahead,percent,1.03167068852633e-09,Bin,4.1,4.2
Delaware,1 wk ahead,percent,1.02294545740419e-09,Bin,4.2,4.3
Delaware,1 wk ahead,percent,9.94978678774855e-10,Bin,4.3,4.4
Delaware,1 wk ahead,percent,9.48660855665886e-10,Bin,4.4,4.5
Delaware,1 wk ahead,percent,8.86047720083255e-10,Bin,4.5,4.6
Delaware,1 wk ahead,percent,0.00604838768361307,Bin,4.6,4.7
Delaware,1 wk ahead,percent,7.25115054267416e-10,Bin,4.7,4.8
Delaware,1 wk ahead,percent,0.00604838750818902,Bin,4.8,4.9
Delaware,1 wk ahead,percent,5.43544202093784e-10,Bin,4.9,5.0
Delaware,1 wk ahead,percent,4.5503059011933e-10,Bin,5.0,5.1
Delaware,1 wk ahead,percent,3.72374975175768e-10,Bin,5.1,5.2
Delaware,1 wk ahead,percent,2.97848341376927e-10,Bin,5.2,5.3
Delaware,1 wk ahead,percent,2.32821892810808e-10,Bin,5.3,5.4
Delaware,1 wk ahead,percent,1.77830118805597e-10,Bin,5.4,5.5
Delaware,1 wk ahead,percent,1.32725373643633e-10,Bin,5.5,5.6
Delaware,1 wk ahead,percent,9.67787664467713e-11,Bin,5.6,5.7
Delaware,1 wk ahead,percent,6.89436038281384e-11,Bin,5.7,5.8
Delaware,1 wk ahead,percent,4.79830467634921e-11,Bin,5.8,5.9
Delaware,1 wk ahead,percent,3.26214417925879e-11,Bin,5.9,6.0
Delaware,1 wk ahead,percent,2.16663986952595e-11,Bin,6.0,6.1
