location,target,unit,value,type,bin_start_incl,bin_end_notincl
Delaware,1 wk ahead,percent,0.5,Point,NA,NA
Delaware,2 wk ahead,percent,1,Point,NA,NA
Delaware,3 wk ahead,percent,2.3,Point,NA,NA
Delaware,4 wk ahead,percent,1.2,Point,NA,NA
Delaware,Season peak percentage,percent,3.2,Point,NA,NA
Delaware,Season peak week,week,7,Point,NA,NA
Maryland,1 wk ahead,percent,2.9,Point,NA,NA
Maryland,2 wk ahead,percent,2.8,Point,NA,NA
Maryland,3 wk ahead,percent,2.6,Point,NA,NA
Maryland,4 wk ahead,percent,2.5,Point,NA,NA
Maryland,Season peak percentage,percent,4.6,Point,NA,NA
Maryland,Season peak week,week,2,Point,NA,NA
Pennsylvania,1 wk ahead,percent,2.3,Point,NA,NA
Pennsylvania,2 wk ahead,percent,3.1,Point,NA,NA
Pennsylvania,3 wk ahead,percent,3.1,Point,NA,NA
Pennsylvania,4 wk ahead,percent,2.7,Point,NA,NA
Pennsylvania,Season peak percentage,percent,3.9,Point,NA,NA
Pennsylvania,Season peak week,week,6,Point,NA,NA
Virginia,1 wk ahead,percent,2.6,Point,NA,NA
Virginia,2 wk ahead,percent,2.5,Point,NA,NA
Virginia,3 wk ahead,percent,2.4,Point,NA,NA
Virginia,4 wk ahead,percent,2.8,Point,NA,NA
Virginia,Season peak percentage,percent,3.1,Point,NA,NA
Virginia,Season peak week,week,4,Point,NA,NA
West Virginia,1 wk ahead,percent,1.6,Point,NA,NA
West Virginia,2 wk ahead,percent,1.7,Point,NA,NA
West Virginia,3 wk ahead,percent,1.9,Point,NA,NA
West Virginia,4 wk ahead,percent,1.9,Point,NA,NA
West Virginia,Season peak percentage,percent,2.5,Point,NA,NA
West Virginia,Season peak week,week,6,Point,NA,NA
Delaware,1 wk ahead,percent,1.97478145018888e-11,Bin,0.0,0.1
Delaware,1 wk ahead,percent,0.0299999999303301,Bin,0.1,0.2
Delaware,1 wk ahead,percent,0.0579999998290262,Bin,0.2,0.3
Delaware,1 wk ahead,percent,0.105999999653976,Bin,0.3,0.4
Delaware,1 wk ahead,percent,0.215999999250308,Bin,0.4,0.5
Delaware,1 wk ahead,percent,0.213999999259589,Bin,0.5,0.6
Delaware,1 wk ahead,percent,0.103999999667061,Bin,0.6,0.7
Delaware,1 wk ahead,percent,0.0499999998680122,Bin,0.7,0.8
Delaware,1 wk ahead,percent,0.0759999997739419,Bin,0.8,0.9
Delaware,1 wk ahead,percent,0.0120000000116657,Bin,0.9,1.0
Delaware,1 wk ahead,percent,0.0379999999174765,Bin,1.0,1.1
Delaware,1 wk ahead,percent,0.01200000001495,Bin,1.1,1.2
Delaware,1 wk ahead,percent,0.0239999999722285,Bin,1.2,1.3
Delaware,1 wk ahead,percent,0.0100000000252857,Bin,1.3,1.4
Delaware,1 wk ahead,percent,0.012000000019249,Bin,1.4,1.5
Delaware,1 wk ahead,percent,0.00400000004997966,Bin,1.5,1.6
Delaware,1 wk ahead,percent,6.58507356952521e-11,Bin,1.6,1.7
Delaware,1 wk ahead,percent,0.00200000005948139,Bin,1.7,1.8
Delaware,1 wk ahead,percent,0.00600000004561532,Bin,1.8,1.9
Delaware,1 wk ahead,percent,0.0100000000316209,Bin,1.9,2.0
Delaware,1 wk ahead,percent,6.9118440160127e-11,Bin,2.0,2.1
Delaware,1 wk ahead,percent,6.96113763521256e-11,Bin,2.1,2.2
Delaware,1 wk ahead,percent,6.99714118600217e-11,Bin,2.2,2.3
Delaware,1 wk ahead,percent,7.01958016974195e-11,Bin,2.3,2.4
Delaware,1 wk ahead,percent,0.00400000005553812,Bin,2.4,2.5
Delaware,1 wk ahead,percent,7.02473199502903e-11,Bin,2.5,2.6
Delaware,1 wk ahead,percent,7.00787577126791e-11,Bin,2.6,2.7
Delaware,1 wk ahead,percent,6.97848156006586e-11,Bin,2.7,2.8
Delaware,1 wk ahead,percent,0.00400000005462,Bin,2.8,2.9
Delaware,1 wk ahead,percent,6.88379703238104e-11,Bin,2.9,3.0
Delaware,1 wk ahead,percent,0.00200000006082279,Bin,3.0,3.1
Delaware,1 wk ahead,percent,6.74532962802092e-11,Bin,3.1,3.2
Delaware,1 wk ahead,percent,6.66115120499428e-11,Bin,3.2,3.3
Delaware,1 wk ahead,percent,6.56803110782549e-11,Bin,3.3,3.4
Delaware,1 wk ahead,percent,6.46673233171085e-11,Bin,3.4,3.5
Delaware,1 wk ahead,percent,6.35792145048044e-11,Bin,3.5,3.6
Delaware,1 wk ahead,percent,6.24235226364145e-11,Bin,3.6,3.7
Delaware,1 wk ahead,percent,6.12071655738011e-11,Bin,3.7,3.8
Delaware,1 wk ahead,percent,5.99379757123817e-11,Bin,3.8,3.9
Delaware,1 wk ahead,percent,5.86224028994635e-11,Bin,3.9,4.0
Delaware,1 wk ahead,percent,5.72668462339382e-11,Bin,4.0,4.1
Delaware,1 wk ahead,percent,5.58769614555993e-11,Bin,4.1,4.2
Delaware,1 wk ahead,percent,5.44587431608212e-11,Bin,4.2,4.3
Delaware,1 wk ahead,percent,5.30172998314971e-11,Bin,4.3,4.4
Delaware,1 wk ahead,percent,5.15570293975147e-11,Bin,4.4,4.5
Delaware,1 wk ahead,percent,5.00821062083604e-11,Bin,4.5,4.6
Delaware,1 wk ahead,percent,4.85961853770296e-11,Bin,4.6,4.7
Delaware,1 wk ahead,percent,4.71026290166656e-11,Bin,4.7,4.8
Delaware,1 wk ahead,percent,4.56042244446735e-11,Bin,4.8,4.9
Delaware,1 wk ahead,percent,4.41034824847807e-11,Bin,4.9,5.0
Delaware,1 wk ahead,percent,4.26026287538019e-11,Bin,5.0,5.1
Delaware,1 wk ahead,percent,0.00200000003372924,Bin,5.1,5.2
Delaware,1 wk ahead,percent,3.96083158914599e-11,Bin,5.2,5.3
Delaware,1 wk ahead,percent,3.81183331896023e-11,Bin,5.3,5.4
Delaware,1 wk ahead,percent,3.66352882996847e-11,Bin,5.4,5.5
Delaware,1 wk ahead,percent,3.51607557594828e-11,Bin,5.5,5.6
Delaware,1 wk ahead,percent,0.00400000001894738,Bin,5.6,5.7
Delaware,1 wk ahead,percent,3.22433048582291e-11,Bin,5.7,5.8
Delaware,1 wk ahead,percent,3.08038303357176e-11,Bin,5.8,5.9
Delaware,1 wk ahead,percent,2.93795161567465e-11,Bin,5.9,6.0
Delaware,1 wk ahead,percent,2.79721823184451e-11,Bin,6.0,6.1
Delaware,1 wk ahead,percent,2.6583701647631e-11,Bin,6.1,6.2
Delaware,1 wk ahead,percent,2.5216453136612e-11,Bin,6.2,6.3
Delaware,1 wk ahead,percent,2.38724395621729e-11,Bin,6.3,6.4
Delaware,1 wk ahead,percent,2.25539607977332e-11,Bin,6.4,6.5
Delaware,1 wk ahead,percent,2.12630300588933e-11,Bin,6.5,6.6
Delaware,1 wk ahead,percent,2.00020547237226e-11,Bin,6.6,6.7
Delaware,1 wk ahead,percent,1.8773634073846e-11,Bin,6.7,6.8
Delaware,1 wk ahead,percent,1.75796010079345e-11,Bin,6.8,6.9
Delaware,1 wk ahead,percent,1.64220563932884e-11,Bin,6.9,7.0
Delaware,1 wk ahead,percent,1.53027837651989e-11,Bin,7.0,7.1
Delaware,1 wk ahead,percent,1.42242307694651e-11,Bin,7.1,7.2
Delaware,1 wk ahead,percent,1.31875649525849e-11,Bin,7.2,7.3
Delaware,1 wk ahead,percent,1.21943651737237e-11,Bin,7.3,7.4
Delaware,1 wk ahead,percent,1.12453652974818e-11,Bin,7.4,7.5
Delaware,1 wk ahead,percent,1.03417734545193e-11,Bin,7.5,7.6
Delaware,1 wk ahead,percent,9.48476982554303e-12,Bin,7.6,7.7
Delaware,1 wk ahead,percent,8.67395225792446e-12,Bin,7.7,7.8
Delaware,1 wk ahead,percent,7.90960310593224e-12,Bin,7.8,7.9
Delaware,1 wk ahead,percent,7.19124185781577e-12,Bin,7.9,8.0
Delaware,1 wk ahead,percent,6.51929204446959e-12,Bin,8.0,8.1
Delaware,1 wk ahead,percent,5.89237932992565e-12,Bin,8.1,8.2
Delaware,1 wk ahead,percent,5.30965786950418e-12,Bin,8.2,8.3
