location,target,unit,type,bin_start_incl,bin_end_notincl,value
Alabama,1 wk ahead,percent,Point,NA,NA,8
Alabama,2 wk ahead,percent,Point,NA,NA,8.1
Alabama,3 wk ahead,percent,Point,NA,NA,8.1
Alabama,4 wk ahead,percent,Point,NA,NA,7.3
Alabama,Season peak percentage,percent,Point,NA,NA,9.2
Alabama,Season peak week,week,Point,NA,NA,3
Alaska,1 wk ahead,percent,Point,NA,NA,1.3
Alaska,2 wk ahead,percent,Point,NA,NA,1.8
Alaska,3 wk ahead,percent,Point,NA,NA,2.4
Alaska,4 wk ahead,percent,Point,NA,NA,1.7
Alaska,Season peak percentage,percent,Point,NA,NA,4.4
Alaska,Season peak week,week,Point,NA,NA,3
Arizona,1 wk ahead,percent,Point,NA,NA,1.7
Arizona,2 wk ahead,percent,Point,NA,NA,2
Arizona,3 wk ahead,percent,Point,NA,NA,2.1
Arizona,4 wk ahead,percent,Point,NA,NA,2.3
Arizona,Season peak percentage,percent,Point,NA,NA,3.7
Arizona,Season peak week,week,Point,NA,NA,6
Arkansas,1 wk ahead,percent,Point,NA,NA,2.1
Arkansas,2 wk ahead,percent,Point,NA,NA,3.9
Arkansas,3 wk ahead,percent,Point,NA,NA,4.9
Arkansas,4 wk ahead,percent,Point,NA,NA,4.2
Arkansas,Season peak percentage,percent,Point,NA,NA,7
Arkansas,Season peak week,week,Point,NA,NA,4
California,1 wk ahead,percent,Point,NA,NA,2.8
California,2 wk ahead,percent,Point,NA,NA,3.3
California,3 wk ahead,percent,Point,NA,NA,4.6
California,4 wk ahead,percent,Point,NA,NA,3.7
California,Season peak percentage,percent,Point,NA,NA,5
California,Season peak week,week,Point,NA,NA,4
Colorado,1 wk ahead,percent,Point,NA,NA,1.1
Colorado,2 wk ahead,percent,Point,NA,NA,1.5
Colorado,3 wk ahead,percent,Point,NA,NA,2.3
Colorado,4 wk ahead,percent,Point,NA,NA,2
Colorado,Season peak percentage,percent,Point,NA,NA,3
Colorado,Season peak week,week,Point,NA,NA,6
Connecticut,1 wk ahead,percent,Point,NA,NA,1.2
Connecticut,2 wk ahead,percent,Point,NA,NA,1.6
Connecticut,3 wk ahead,percent,Point,NA,NA,2
Connecticut,4 wk ahead,percent,Point,NA,NA,1.8
Connecticut,Season peak percentage,percent,Point,NA,NA,3.7
Connecticut,Season peak week,week,Point,NA,NA,7
Delaware,1 wk ahead,percent,Point,NA,NA,0.5
Delaware,2 wk ahead,percent,Point,NA,NA,0.8
Delaware,3 wk ahead,percent,Point,NA,NA,1.3
Delaware,4 wk ahead,percent,Point,NA,NA,1.4
Delaware,Season peak percentage,percent,Point,NA,NA,3.3
Delaware,Season peak week,week,Point,NA,NA,4
Georgia,1 wk ahead,percent,Point,NA,NA,3.8
Georgia,2 wk ahead,percent,Point,NA,NA,4.7
Georgia,3 wk ahead,percent,Point,NA,NA,5.2
Georgia,4 wk ahead,percent,Point,NA,NA,3.2
Georgia,Season peak percentage,percent,Point,NA,NA,5.4
Georgia,Season peak week,week,Point,NA,NA,52
Hawaii,1 wk ahead,percent,Point,NA,NA,2.3
Hawaii,2 wk ahead,percent,Point,NA,NA,2.2
Hawaii,3 wk ahead,percent,Point,NA,NA,2.2
Hawaii,4 wk ahead,percent,Point,NA,NA,2.5
Hawaii,Season peak percentage,percent,Point,NA,NA,6.5
Hawaii,Season peak week,week,Point,NA,NA,9
Idaho,1 wk ahead,percent,Point,NA,NA,1.7
Idaho,2 wk ahead,percent,Point,NA,NA,2.9
Idaho,3 wk ahead,percent,Point,NA,NA,4.4
Idaho,4 wk ahead,percent,Point,NA,NA,2.8
Idaho,Season peak percentage,percent,Point,NA,NA,5.8
Idaho,Season peak week,week,Point,NA,NA,5
Illinois,1 wk ahead,percent,Point,NA,NA,2.6
Illinois,2 wk ahead,percent,Point,NA,NA,3.2
Illinois,3 wk ahead,percent,Point,NA,NA,4.1
Illinois,4 wk ahead,percent,Point,NA,NA,3.6
Illinois,Season peak percentage,percent,Point,NA,NA,4.9
Illinois,Season peak week,week,Point,NA,NA,3
Indiana,1 wk ahead,percent,Point,NA,NA,2
Indiana,2 wk ahead,percent,Point,NA,NA,3
Indiana,3 wk ahead,percent,Point,NA,NA,4.5
Indiana,4 wk ahead,percent,Point,NA,NA,3.1
Indiana,Season peak percentage,percent,Point,NA,NA,6.2
Indiana,Season peak week,week,Point,NA,NA,2
Iowa,1 wk ahead,percent,Point,NA,NA,1.1
Iowa,2 wk ahead,percent,Point,NA,NA,1.2
Iowa,3 wk ahead,percent,Point,NA,NA,1.1
Iowa,4 wk ahead,percent,Point,NA,NA,0.8
Iowa,Season peak percentage,percent,Point,NA,NA,2.5
Iowa,Season peak week,week,Point,NA,NA,2
Kansas,1 wk ahead,percent,Point,NA,NA,1.6
Kansas,2 wk ahead,percent,Point,NA,NA,2.3
Kansas,3 wk ahead,percent,Point,NA,NA,4.5
Kansas,4 wk ahead,percent,Point,NA,NA,4.4
Kansas,Season peak percentage,percent,Point,NA,NA,4.8
Kansas,Season peak week,week,Point,NA,NA,5
Kentucky,1 wk ahead,percent,Point,NA,NA,0.6
Kentucky,2 wk ahead,percent,Point,NA,NA,0.8
Kentucky,3 wk ahead,percent,Point,NA,NA,1.2
Kentucky,4 wk ahead,percent,Point,NA,NA,1.5
Kentucky,Season peak percentage,percent,Point,NA,NA,2.4
Kentucky,Season peak week,week,Point,NA,NA,6
Maine,1 wk ahead,percent,Point,NA,NA,1
Maine,2 wk ahead,percent,Point,NA,NA,1
Maine,3 wk ahead,percent,Point,NA,NA,1.4
Maine,4 wk ahead,percent,Point,NA,NA,1.2
Maine,Season peak percentage,percent,Point,NA,NA,2.2
Maine,Season peak week,week,Point,NA,NA,5
Maryland,1 wk ahead,percent,Point,NA,NA,2.2
Maryland,2 wk ahead,percent,Point,NA,NA,2.9
Maryland,3 wk ahead,percent,Point,NA,NA,3.7
Maryland,4 wk ahead,percent,Point,NA,NA,2.8
Maryland,Season peak percentage,percent,Point,NA,NA,4.4
Maryland,Season peak week,week,Point,NA,NA,3
Massachusetts,1 wk ahead,percent,Point,NA,NA,1.2
Massachusetts,2 wk ahead,percent,Point,NA,NA,1.4
Massachusetts,3 wk ahead,percent,Point,NA,NA,1.8
Massachusetts,4 wk ahead,percent,Point,NA,NA,1.7
Massachusetts,Season peak percentage,percent,Point,NA,NA,2.8
Massachusetts,Season peak week,week,Point,NA,NA,5
Michigan,1 wk ahead,percent,Point,NA,NA,1.6
Michigan,2 wk ahead,percent,Point,NA,NA,2.1
Michigan,3 wk ahead,percent,Point,NA,NA,2.7
Michigan,4 wk ahead,percent,Point,NA,NA,3
Michigan,Season peak percentage,percent,Point,NA,NA,3.4
Michigan,Season peak week,week,Point,NA,NA,7
Minnesota,1 wk ahead,percent,Point,NA,NA,1.5
Minnesota,2 wk ahead,percent,Point,NA,NA,2.5
Minnesota,3 wk ahead,percent,Point,NA,NA,3.7
Minnesota,4 wk ahead,percent,Point,NA,NA,3
Minnesota,Season peak percentage,percent,Point,NA,NA,4
Minnesota,Season peak week,week,Point,NA,NA,1
Mississippi,1 wk ahead,percent,Point,NA,NA,6.6
Mississippi,2 wk ahead,percent,Point,NA,NA,8.2
Mississippi,3 wk ahead,percent,Point,NA,NA,8.4
Mississippi,4 wk ahead,percent,Point,NA,NA,7
Mississippi,Season peak percentage,percent,Point,NA,NA,9.1
Mississippi,Season peak week,week,Point,NA,NA,52
Missouri,1 wk ahead,percent,Point,NA,NA,2.2
Missouri,2 wk ahead,percent,Point,NA,NA,3.5
Missouri,3 wk ahead,percent,Point,NA,NA,4.8
Missouri,4 wk ahead,percent,Point,NA,NA,3.9
Missouri,Season peak percentage,percent,Point,NA,NA,6.1
Missouri,Season peak week,week,Point,NA,NA,6
Montana,1 wk ahead,percent,Point,NA,NA,0.2
Montana,2 wk ahead,percent,Point,NA,NA,0.6
Montana,3 wk ahead,percent,Point,NA,NA,0.7
Montana,4 wk ahead,percent,Point,NA,NA,0.9
Montana,Season peak percentage,percent,Point,NA,NA,1.4
Montana,Season peak week,week,Point,NA,NA,8
Nebraska,1 wk ahead,percent,Point,NA,NA,2.2
Nebraska,2 wk ahead,percent,Point,NA,NA,2.3
Nebraska,3 wk ahead,percent,Point,NA,NA,4.3
Nebraska,4 wk ahead,percent,Point,NA,NA,2.8
Nebraska,Season peak percentage,percent,Point,NA,NA,5.9
Nebraska,Season peak week,week,Point,NA,NA,4
Nevada,1 wk ahead,percent,Point,NA,NA,1.3
Nevada,2 wk ahead,percent,Point,NA,NA,1.8
Nevada,3 wk ahead,percent,Point,NA,NA,2.6
Nevada,4 wk ahead,percent,Point,NA,NA,2.6
Nevada,Season peak percentage,percent,Point,NA,NA,3.7
Nevada,Season peak week,week,Point,NA,NA,6
New Hampshire,1 wk ahead,percent,Point,NA,NA,0.3
New Hampshire,2 wk ahead,percent,Point,NA,NA,0.3
New Hampshire,3 wk ahead,percent,Point,NA,NA,0.5
New Hampshire,4 wk ahead,percent,Point,NA,NA,0.4
New Hampshire,Season peak percentage,percent,Point,NA,NA,1.4
New Hampshire,Season peak week,week,Point,NA,NA,3
New Jersey,1 wk ahead,percent,Point,NA,NA,1.8
