location,target,unit,value,type,bin_start_incl,bin_end_notincl
Georgia,1 wk ahead,percent,3.7,Point,NA,NA
Georgia,2 wk ahead,percent,3.8,Point,NA,NA
Georgia,3 wk ahead,percent,3.7,Point,NA,NA
Georgia,4 wk ahead,percent,3.6,Point,NA,NA
Georgia,Season peak percentage,percent,4.6,Point,NA,NA
Georgia,Season peak week,week,3,Point,NA,NA
Virginia,1 wk ahead,percent,3.4,Point,NA,NA
Virginia,2 wk ahead,percent,3.4,Point,NA,NA
Virginia,3 wk ahead,percent,3.4,Point,NA,NA
Virginia,4 wk ahead,percent,3.3,Point,NA,NA
Virginia,Season peak percentage,percent,4.4,Point,NA,NA
Virginia,Season peak week,week,4,Point,NA,NA
Georgia,1 wk ahead,percent,1.51681961491947e-05,Bin,0.0,0.1
Georgia,1 wk ahead,percent,3.97513670076459e-05,Bin,0.1,0.2
Georgia,1 wk ahead,percent,5.56466730214858e-05,Bin,0.2,0.3
Georgia,1 wk ahead,percent,7.62054827212029e-05,Bin,0.3,0.4
Georgia,1 wk ahead,percent,0.000102105510516034,Bin,0.4,0.5
Georgia,1 wk ahead,percent,0.000133875657849776,Bin,0.5,0.6
Georgia,1 wk ahead,percent,0.000171798280969651,Bin,0.6,0.7
Georgia,1 wk ahead,percent,0.00021582363558508,Bin,0.7,0.8
Georgia,1 wk ahead,percent,0.000265486085201648,Bin,0.8,0.9
Georgia,1 wk ahead,percent,0.000319873085640384,Bin,0.9,1.0
Georgia,1 wk ahead,percent,0.000377621168258465,Bin,1.0,1.1
Georgia,1 wk ahead,percent,0.00433405376512177,Bin,1.1,1.2
Georgia,1 wk ahead,percent,0.00049588015137005,Bin,1.2,1.3
Georgia,1 wk ahead,percent,0.000552167815400729,Bin,1.3,1.4
Georgia,1 wk ahead,percent,0.000603713478873584,Bin,1.4,1.5
Georgia,1 wk ahead,percent,0.000648647197101322,Bin,1.5,1.6
Georgia,1 wk ahead,percent,0.000685527673297864,Bin,1.6,1.7
Georgia,1 wk ahead,percent,0.00071348311101037,Bin,1.7,1.8
Georgia,1 wk ahead,percent,0.000732293737461659,Bin,1.8,1.9
Georgia,1 wk ahead,percent,0.000742404490086167,Bin,1.9,2.0
Georgia,1 wk ahead,percent,0.000744867105551172,Bin,2.0,2.1
Georgia,1 wk ahead,percent,0.00268975499962802,Bin,2.1,2.2
Georgia,1 wk ahead,percent,0.00463037083566135,Bin,2.2,2.3
Georgia,1 wk ahead,percent,0.000723050254582593,Bin,2.3,2.4
Georgia,1 wk ahead,percent,0.0124036160093444,Bin,2.4,2.5
Georgia,1 wk ahead,percent,0.0143426422225478,Bin,2.5,2.6
Georgia,1 wk ahead,percent,0.00654132099009989,Bin,2.6,2.7
Georgia,1 wk ahead,percent,0.0221255317782115,Bin,2.7,2.8
Georgia,1 wk ahead,percent,0.00653627066937459,Bin,2.8,2.9
Georgia,1 wk ahead,percent,0.0357662479242948,Bin,2.9,3.0
Georgia,1 wk ahead,percent,0.0338215306296627,Bin,3.0,3.1
Georgia,1 wk ahead,percent,0.0357746668704623,Bin,3.1,3.2
Georgia,1 wk ahead,percent,0.0201903060857461,Bin,3.2,3.3
Georgia,1 wk ahead,percent,0.0611115291183714,Bin,3.3,3.4
Georgia,1 wk ahead,percent,0.0591613432803345,Bin,3.4,3.5
Georgia,1 wk ahead,percent,0.0416180987548933,Bin,3.5,3.6
Georgia,1 wk ahead,percent,0.0630399911745572,Bin,3.6,3.7
Georgia,1 wk ahead,percent,0.0727643569390035,Bin,3.7,3.8
Georgia,1 wk ahead,percent,0.0454599384748489,Bin,3.8,3.9
Georgia,1 wk ahead,percent,0.0512743663097429,Bin,3.9,4.0
Georgia,1 wk ahead,percent,0.0824139952724828,Bin,4.0,4.1
Georgia,1 wk ahead,percent,0.047298243806676,Bin,4.1,4.2
Georgia,1 wk ahead,percent,0.0375096237745867,Bin,4.2,4.3
Georgia,1 wk ahead,percent,0.0452552493290313,Bin,4.3,4.4
Georgia,1 wk ahead,percent,0.0140288056016994,Bin,4.4,4.5
Georgia,1 wk ahead,percent,0.0334645518239164,Bin,4.5,4.6
Georgia,1 wk ahead,percent,0.0256221529360718,Bin,4.6,4.7
Georgia,1 wk ahead,percent,0.00414253819692821,Bin,4.7,4.8
Georgia,1 wk ahead,percent,0.0391741126229847,Bin,4.8,4.9
Georgia,1 wk ahead,percent,0.00406239446507787,Bin,4.9,5.0
Georgia,1 wk ahead,percent,0.000131920248518648,Bin,5.0,5.1
Georgia,1 wk ahead,percent,0.000103263829079817,Bin,5.1,5.2
Georgia,1 wk ahead,percent,0.0176161263054978,Bin,5.2,5.3
Georgia,1 wk ahead,percent,0.00785378747746662,Bin,5.3,5.4
Georgia,1 wk ahead,percent,0.00588957245740226,Bin,5.4,5.5
Georgia,1 wk ahead,percent,0.015620058888903,Bin,5.5,5.6
Georgia,1 wk ahead,percent,2.24358276812126e-05,Bin,5.6,5.7
Georgia,1 wk ahead,percent,0.00391261179938243,Bin,5.7,5.8
Georgia,1 wk ahead,percent,0.00780468590789457,Bin,5.8,5.9
Georgia,1 wk ahead,percent,6.97629034813211e-06,Bin,5.9,6.0
Georgia,1 wk ahead,percent,4.52596765000677e-06,Bin,6.0,6.1
Georgia,1 wk ahead,percent,3.1599272044338e-06,Bin,6.1,6.2
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,6.2,6.3
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,6.3,6.4
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,6.4,6.5
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,6.5,6.6
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,6.6,6.7
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,6.7,6.8
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,6.8,6.9
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,6.9,7.0
Georgia,1 wk ahead,percent,0.00195161707369604,Bin,7.0,7.1
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,7.1,7.2
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,7.2,7.3
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,7.3,7.4
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,7.4,7.5
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,7.5,7.6
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,7.6,7.7
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,7.7,7.8
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,7.8,7.9
Georgia,1 wk ahead,percent,3.07619746763841e-06,Bin,7.9,8.0
Georgia,1 wk ahead,percent,3.07619746763844e-06,Bin,8.0,8.1
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,8.1,8.2
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,8.2,8.3
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,8.3,8.4
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,8.4,8.5
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,8.5,8.6
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,8.6,8.7
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,8.7,8.8
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,8.8,8.9
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,8.9,9.0
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,9.0,9.1
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,9.1,9.2
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,9.2,9.3
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,9.3,9.4
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,9.4,9.5
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,9.5,9.6
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,9.6,9.7
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,9.7,9.8
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,9.8,9.9
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,9.9,10.0
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,10.0,10.1
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,10.1,10.2
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,10.2,10.3
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,10.3,10.4
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,10.4,10.5
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,10.5,10.6
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,10.6,10.7
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,10.7,10.8
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,10.8,10.9
Georgia,1 wk ahead,percent,0.00390015794992445,Bin,10.9,11.0
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,11.0,11.1
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,11.1,11.2
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,11.2,11.3
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,11.3,11.4
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,11.4,11.5
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,11.5,11.6
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,11.6,11.7
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,11.7,11.8
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,11.8,11.9
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,11.9,12.0
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,12.0,12.1
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,12.1,12.2
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,12.2,12.3
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,12.3,12.4
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,12.4,12.5
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,12.5,12.6
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,12.6,12.7
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,12.7,12.8
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,12.8,12.9
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,12.9,13.0
Georgia,1 wk ahead,percent,3.07619746763847e-06,Bin,13.0,100.0
Georgia,2 wk ahead,percent,4.36264197233222e-06,Bin,0.0,0.1
Georgia,2 wk ahead,percent,8.72528394466444e-06,Bin,0.1,0.2
Georgia,2 wk ahead,percent,8.72528394466444e-06,Bin,0.2,0.3
Georgia,2 wk ahead,percent,8.72528394466444e-06,Bin,0.3,0.4
Georgia,2 wk ahead,percent,8.72528394466444e-06,Bin,0.4,0.5
Georgia,2 wk ahead,percent,8.72528394466444e-06,Bin,0.5,0.6
Georgia,2 wk ahead,percent,8.72528394466445e-06,Bin,0.6,0.7
Georgia,2 wk ahead,percent,8.72528394466445e-06,Bin,0.7,0.8
Georgia,2 wk ahead,percent,0.00195726616017307,Bin,0.8,0.9
Georgia,2 wk ahead,percent,0.00195726616017307,Bin,0.9,1.0
Georgia,2 wk ahead,percent,8.75213519995275e-06,Bin,1.0,1.1
Georgia,2 wk ahead,percent,1.93500866689247e-05,Bin,1.1,1.2
Georgia,2 wk ahead,percent,0.00395779895873432,Bin,1.2,1.3
Georgia,2 wk ahead,percent,0.000159477158342806,Bin,1.3,1.4
Georgia,2 wk ahead,percent,0.00230238157222216,Bin,1.4,1.5
Georgia,2 wk ahead,percent,0.000671429066710337,Bin,1.5,1.6
Georgia,2 wk ahead,percent,0.00110537822992414,Bin,1.6,1.7
Georgia,2 wk ahead,percent,0.00160068029751869,Bin,1.7,1.8
Georgia,2 wk ahead,percent,0.0059547347746407,Bin,1.8,1.9
Georgia,2 wk ahead,percent,0.0101465916234508,Bin,1.9,2.0
Georgia,2 wk ahead,percent,0.0160189064767763,Bin,2.0,2.1
Georgia,2 wk ahead,percent,0.00990266645838654,Bin,2.1,2.2
Georgia,2 wk ahead,percent,0.00551965887986577,Bin,2.2,2.3
Georgia,2 wk ahead,percent,0.0147225001306207,Bin,2.3,2.4
Georgia,2 wk ahead,percent,0.0259790845102724,Bin,2.4,2.5
Georgia,2 wk ahead,percent,0.010152150264239,Bin,2.5,2.6
Georgia,2 wk ahead,percent,0.0354486898740765,Bin,2.6,2.7
Georgia,2 wk ahead,percent,0.0336122133897761,Bin,2.7,2.8
Georgia,2 wk ahead,percent,0.016234692196475,Bin,2.8,2.9
Georgia,2 wk ahead,percent,0.0338749080240524,Bin,2.9,3.0
Georgia,2 wk ahead,percent,0.0299740636441197,Bin,3.0,3.1
Georgia,2 wk ahead,percent,0.0318476162652652,Bin,3.1,3.2
Georgia,2 wk ahead,percent,0.0201000406402502,Bin,3.2,3.3
Georgia,2 wk ahead,percent,0.0376602818860741,Bin,3.3,3.4
Georgia,2 wk ahead,percent,0.0494294234198371,Bin,3.4,3.5
Georgia,2 wk ahead,percent,0.020245426973202,Bin,3.5,3.6
Georgia,2 wk ahead,percent,0.0396699681591763,Bin,3.6,3.7
Georgia,2 wk ahead,percent,0.0395085014087588,Bin,3.7,3.8
Georgia,2 wk ahead,percent,0.0334666956308464,Bin,3.8,3.9
Georgia,2 wk ahead,percent,0.0508405032280009,Bin,3.9,4.0
Georgia,2 wk ahead,percent,0.0429445097769806,Bin,4.0,4.1
Georgia,2 wk ahead,percent,0.0448434513491211,Bin,4.1,4.2
Georgia,2 wk ahead,percent,0.0467743839290509,Bin,4.2,4.3
Georgia,2 wk ahead,percent,0.0272879044428175,Bin,4.3,4.4
Georgia,2 wk ahead,percent,0.0272879044428175,Bin,4.4,4.5
Georgia,2 wk ahead,percent,0.00975103655676182,Bin,4.5,4.6
Georgia,2 wk ahead,percent,0.015596659185447,Bin,4.6,4.7
Georgia,2 wk ahead,percent,0.0233908226903607,Bin,4.7,4.8
Georgia,2 wk ahead,percent,0.00585395480430501,Bin,4.8,4.9
Georgia,2 wk ahead,percent,0.00585395480430501,Bin,4.9,5.0
Georgia,2 wk ahead,percent,0.015596659185447,Bin,5.0,5.1
Georgia,2 wk ahead,percent,0.0116995774329902,Bin,5.1,5.2
Georgia,2 wk ahead,percent,0.0194937409379038,Bin,5.2,5.3
Georgia,2 wk ahead,percent,0.0136481183092186,Bin,5.3,5.4
Georgia,2 wk ahead,percent,0.00975103655676182,Bin,5.4,5.5
Georgia,2 wk ahead,percent,0.00585395480430501,Bin,5.5,5.6
Georgia,2 wk ahead,percent,0.0116995774329902,Bin,5.6,5.7
Georgia,2 wk ahead,percent,0.0136481183092186,Bin,5.7,5.8
Georgia,2 wk ahead,percent,0.00780249568053341,Bin,5.8,5.9
Georgia,2 wk ahead,percent,0.0039054139280766,Bin,5.9,6.0
Georgia,2 wk ahead,percent,0.00195687305184819,Bin,6.0,6.1
Georgia,2 wk ahead,percent,8.33217561978682e-06,Bin,6.1,6.2
Georgia,2 wk ahead,percent,0.00780249568053341,Bin,6.2,6.3
Georgia,2 wk ahead,percent,0.00585395480430501,Bin,6.3,6.4
Georgia,2 wk ahead,percent,0.00780249568053341,Bin,6.4,6.5
Georgia,2 wk ahead,percent,0.00585395480430501,Bin,6.5,6.6
Georgia,2 wk ahead,percent,8.33217561978682e-06,Bin,6.6,6.7
Georgia,2 wk ahead,percent,0.0039054139280766,Bin,6.7,6.8
