location,target,unit,value,type,bin_start_incl,bin_end_notincl
Delaware,1 wk ahead,percent,1,Point,NA,NA
Delaware,2 wk ahead,percent,1,Point,NA,NA
Delaware,3 wk ahead,percent,1,Point,NA,NA
Delaware,4 wk ahead,percent,0.8,Point,NA,NA
Delaware,Season peak percentage,percent,1.4,Point,NA,NA
Delaware,Season peak week,week,8,Point,NA,NA
Maryland,1 wk ahead,percent,3,Point,NA,NA
Maryland,2 wk ahead,percent,2.7,Point,NA,NA
Maryland,3 wk ahead,percent,2.6,Point,NA,NA
Maryland,4 wk ahead,percent,2.3,Point,NA,NA
Maryland,Season peak percentage,percent,6.1,Point,NA,NA
Maryland,Season peak week,week,7,Point,NA,NA
Pennsylvania,1 wk ahead,percent,3.5,Point,NA,NA
Pennsylvania,2 wk ahead,percent,3.2,Point,NA,NA
Pennsylvania,3 wk ahead,percent,3,Point,NA,NA
Pennsylvania,4 wk ahead,percent,2.8,Point,NA,NA
Pennsylvania,Season peak percentage,percent,5.8,Point,NA,NA
Pennsylvania,Season peak week,week,6,Point,NA,NA
Virginia,1 wk ahead,percent,4,Point,NA,NA
Virginia,2 wk ahead,percent,3.5,Point,NA,NA
Virginia,3 wk ahead,percent,3.3,Point,NA,NA
Virginia,4 wk ahead,percent,2.9,Point,NA,NA
Virginia,Season peak percentage,percent,5.9,Point,NA,NA
Virginia,Season peak week,week,7,Point,NA,NA
West Virginia,1 wk ahead,percent,2.9,Point,NA,NA
West Virginia,2 wk ahead,percent,2.5,Point,NA,NA
West Virginia,3 wk ahead,percent,2.4,Point,NA,NA
West Virginia,4 wk ahead,percent,2.1,Point,NA,NA
West Virginia,Season peak percentage,percent,3.6,Point,NA,NA
West Virginia,Season peak week,week,7,Point,NA,NA
Delaware,1 wk ahead,percent,0.00523408151533312,Bin,0.0,0.1
Delaware,1 wk ahead,percent,0.0180240354593618,Bin,0.1,0.2
Delaware,1 wk ahead,percent,0.0280580724294882,Bin,0.2,0.3
Delaware,1 wk ahead,percent,0.035775560360474,Bin,0.3,0.4
Delaware,1 wk ahead,percent,0.0355355031535207,Bin,0.4,0.5
Delaware,1 wk ahead,percent,0.0374481960119933,Bin,0.5,0.6
Delaware,1 wk ahead,percent,0.0437560577351381,Bin,0.6,0.7
Delaware,1 wk ahead,percent,0.0578317832026582,Bin,0.7,0.8
Delaware,1 wk ahead,percent,0.101047420765066,Bin,0.8,0.9
Delaware,1 wk ahead,percent,0.093553979889857,Bin,0.9,1.0
Delaware,1 wk ahead,percent,0.0544781175979427,Bin,1.0,1.1
Delaware,1 wk ahead,percent,0.0546818043566724,Bin,1.1,1.2
Delaware,1 wk ahead,percent,0.0368079070008534,Bin,1.2,1.3
Delaware,1 wk ahead,percent,0.0447196334152872,Bin,1.3,1.4
Delaware,1 wk ahead,percent,0.0412969056916124,Bin,1.4,1.5
Delaware,1 wk ahead,percent,0.0366544784096971,Bin,1.5,1.6
Delaware,1 wk ahead,percent,0.0251587021064356,Bin,1.6,1.7
Delaware,1 wk ahead,percent,0.028168667508537,Bin,1.7,1.8
Delaware,1 wk ahead,percent,0.0231818749322981,Bin,1.8,1.9
Delaware,1 wk ahead,percent,0.0180662096845574,Bin,1.9,2.0
Delaware,1 wk ahead,percent,0.0218201371186342,Bin,2.0,2.1
Delaware,1 wk ahead,percent,0.0187046162419446,Bin,2.1,2.2
Delaware,1 wk ahead,percent,0.0154814338238665,Bin,2.2,2.3
