location,target,unit,value,type,bin_start_incl,bin_end_notincl
Delaware,1 wk ahead,percent,0.6,Point,NA,NA
Delaware,2 wk ahead,percent,0.7,Point,NA,NA
Delaware,3 wk ahead,percent,0.8,Point,NA,NA
Delaware,4 wk ahead,percent,0.9,Point,NA,NA
Delaware,Season peak percentage,percent,3.2,Point,NA,NA
Delaware,Season peak week,week,6,Point,NA,NA
Maryland,1 wk ahead,percent,2.9,Point,NA,NA
Maryland,2 wk ahead,percent,2.8,Point,NA,NA
Maryland,3 wk ahead,percent,2.7,Point,NA,NA
Maryland,4 wk ahead,percent,2.8,Point,NA,NA
Maryland,Season peak percentage,percent,5.4,Point,NA,NA
Maryland,Season peak week,week,4,Point,NA,NA
Pennsylvania,1 wk ahead,percent,1.9,Point,NA,NA
Pennsylvania,2 wk ahead,percent,2.1,Point,NA,NA
Pennsylvania,3 wk ahead,percent,2.3,Point,NA,NA
Pennsylvania,4 wk ahead,percent,2.4,Point,NA,NA
Pennsylvania,Season peak percentage,percent,3.2,Point,NA,NA
Pennsylvania,Season peak week,week,6,Point,NA,NA
Virginia,1 wk ahead,percent,3.2,Point,NA,NA
Virginia,2 wk ahead,percent,3.5,Point,NA,NA
Virginia,3 wk ahead,percent,3.5,Point,NA,NA
Virginia,4 wk ahead,percent,3.5,Point,NA,NA
Virginia,Season peak percentage,percent,5.5,Point,NA,NA
Virginia,Season peak week,week,4,Point,NA,NA
West Virginia,1 wk ahead,percent,4.5,Point,NA,NA
West Virginia,2 wk ahead,percent,4.8,Point,NA,NA
West Virginia,3 wk ahead,percent,5.7,Point,NA,NA
West Virginia,4 wk ahead,percent,5,Point,NA,NA
West Virginia,Season peak percentage,percent,8.6,Point,NA,NA
West Virginia,Season peak week,week,6,Point,NA,NA
Delaware,1 wk ahead,percent,8.70210758786738e-09,Bin,0.0,0.1
Delaware,1 wk ahead,percent,0.0280000086019592,Bin,0.1,0.2
Delaware,1 wk ahead,percent,0.0400000053722392,Bin,0.2,0.3
Delaware,1 wk ahead,percent,0.0520000015204227,Bin,0.3,0.4
Delaware,1 wk ahead,percent,0.0819999906630061,Bin,0.4,0.5
Delaware,1 wk ahead,percent,0.0939999856111645,Bin,0.5,0.6
Delaware,1 wk ahead,percent,0.245999930511584,Bin,0.6,0.7
Delaware,1 wk ahead,percent,0.105999978526292,Bin,0.7,0.8
Delaware,1 wk ahead,percent,0.0679999902423047,Bin,0.8,0.9
Delaware,1 wk ahead,percent,0.0579999920002251,Bin,0.9,1.0
Delaware,1 wk ahead,percent,0.0280000008993006,Bin,1.0,1.1
Delaware,1 wk ahead,percent,0.0259999999985956,Bin,1.1,1.2
Delaware,1 wk ahead,percent,0.0319999964115608,Bin,1.2,1.3
Delaware,1 wk ahead,percent,0.0140000014800583,Bin,1.3,1.4
Delaware,1 wk ahead,percent,0.0140000003225296,Bin,1.4,1.5
Delaware,1 wk ahead,percent,0.0179999978903679,Bin,1.5,1.6
Delaware,1 wk ahead,percent,0.0139999984295923,Bin,1.6,1.7
Delaware,1 wk ahead,percent,0.0119999983975366,Bin,1.7,1.8
Delaware,1 wk ahead,percent,0.00599999992340839,Bin,1.8,1.9
Delaware,1 wk ahead,percent,0.00799999876252215,Bin,1.9,2.0
Delaware,1 wk ahead,percent,0.00200000058909073,Bin,2.0,2.1
Delaware,1 wk ahead,percent,0.00799999832558885,Bin,2.1,2.2
Delaware,1 wk ahead,percent,0.00200000047830906,Bin,2.2,2.3
Delaware,1 wk ahead,percent,0.00599999925787474,Bin,2.3,2.4
Delaware,1 wk ahead,percent,0.00200000103777562,Bin,2.4,2.5
Delaware,1 wk ahead,percent,0.00200000155735461,Bin,2.5,2.6
Delaware,1 wk ahead,percent,2.91933577353545e-09,Bin,2.6,2.7
Delaware,1 wk ahead,percent,0.00200000296156513,Bin,2.7,2.8
Delaware,1 wk ahead,percent,4.46636666298141e-09,Bin,2.8,2.9
Delaware,1 wk ahead,percent,5.24665771912305e-09,Bin,2.9,3.0
Delaware,1 wk ahead,percent,0.00200000523789982,Bin,3.0,3.1
Delaware,1 wk ahead,percent,0.00400000509133951,Bin,3.1,3.2
Delaware,1 wk ahead,percent,6.8927827025525e-09,Bin,3.2,3.3
Delaware,1 wk ahead,percent,7.0852983834502e-09,Bin,3.3,3.4
Delaware,1 wk ahead,percent,7.09799811838653e-09,Bin,3.4,3.5
Delaware,1 wk ahead,percent,6.96524059116623e-09,Bin,3.5,3.6
Delaware,1 wk ahead,percent,6.73409260874343e-09,Bin,3.6,3.7
Delaware,1 wk ahead,percent,0.00200000574378682,Bin,3.7,3.8
Delaware,1 wk ahead,percent,6.15607549773257e-09,Bin,3.8,3.9
Delaware,1 wk ahead,percent,5.86413761519571e-09,Bin,3.9,4.0
Delaware,1 wk ahead,percent,5.57553377250412e-09,Bin,4.0,4.1
Delaware,1 wk ahead,percent,5.27473142485063e-09,Bin,4.1,4.2
Delaware,1 wk ahead,percent,4.94012935387345e-09,Bin,4.2,4.3
Delaware,1 wk ahead,percent,4.55332900552138e-09,Bin,4.3,4.4
Delaware,1 wk ahead,percent,4.10670515965292e-09,Bin,4.4,4.5
Delaware,1 wk ahead,percent,3.60635876326982e-09,Bin,4.5,4.6
Delaware,1 wk ahead,percent,3.07151994021027e-09,Bin,4.6,4.7
Delaware,1 wk ahead,percent,2.52956513054284e-09,Bin,4.7,4.8
Delaware,1 wk ahead,percent,2.01003036131485e-09,Bin,4.8,4.9
Delaware,1 wk ahead,percent,1.53872312246402e-09,Bin,4.9,5.0
Delaware,1 wk ahead,percent,1.13356042385062e-09,Bin,5.0,5.1
Delaware,1 wk ahead,percent,8.03058031817184e-10,Bin,5.1,5.2
Delaware,1 wk ahead,percent,5.46801748427259e-10,Bin,5.2,5.3
Delaware,1 wk ahead,percent,0.0059999982324665,Bin,5.3,5.4
Delaware,1 wk ahead,percent,2.2482011207554e-10,Bin,5.4,5.5
Delaware,1 wk ahead,percent,1.35698334689549e-10,Bin,5.5,5.6
Delaware,1 wk ahead,percent,7.86639891806292e-11,Bin,5.6,5.7
Delaware,1 wk ahead,percent,4.77370414892159e-11,Bin,5.7,5.8
Delaware,1 wk ahead,percent,0.00599999791969679,Bin,5.8,5.9
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,5.9,6.0
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,6.0,6.1
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,6.1,6.2
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,6.2,6.3
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,6.3,6.4
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,6.4,6.5
Delaware,1 wk ahead,percent,0.00599999791969679,Bin,6.5,6.6
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,6.6,6.7
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,6.7,6.8
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,6.8,6.9
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,6.9,7.0
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,7.0,7.1
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,7.1,7.2
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,7.2,7.3
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,7.3,7.4
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,7.4,7.5
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,7.5,7.6
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,7.6,7.7
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,7.7,7.8
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,7.8,7.9
Delaware,1 wk ahead,percent,4.49672235134243e-11,Bin,7.9,8.0
Delaware,1 wk ahead,percent,4.49672235134247e-11,Bin,8.0,8.1
Delaware,1 wk ahead,percent,4.49672235134251e-11,Bin,8.1,8.2
Delaware,1 wk ahead,percent,4.49672235134251e-11,Bin,8.2,8.3
