location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,2.1
Delaware,2 wk ahead,Point,percent,NA,NA,1.6
Delaware,3 wk ahead,Point,percent,NA,NA,1.6
Delaware,4 wk ahead,Point,percent,NA,NA,1.7
Delaware,Season peak percentage,Point,percent,NA,NA,3.2
Delaware,Season peak week,Point,week,NA,NA,6
Maryland,1 wk ahead,Point,percent,NA,NA,2.9
Maryland,2 wk ahead,Point,percent,NA,NA,2.3
Maryland,3 wk ahead,Point,percent,NA,NA,2.1
Maryland,4 wk ahead,Point,percent,NA,NA,2
Maryland,Season peak percentage,Point,percent,NA,NA,4
Maryland,Season peak week,Point,week,NA,NA,3
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.5
Pennsylvania,2 wk ahead,Point,percent,NA,NA,2.6
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.5
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.7
Pennsylvania,Season peak percentage,Point,percent,NA,NA,4.3
Pennsylvania,Season peak week,Point,week,NA,NA,3
Virginia,1 wk ahead,Point,percent,NA,NA,3.2
Virginia,2 wk ahead,Point,percent,NA,NA,3
Virginia,3 wk ahead,Point,percent,NA,NA,3
Virginia,4 wk ahead,Point,percent,NA,NA,2.9
Virginia,Season peak percentage,Point,percent,NA,NA,5.2
Virginia,Season peak week,Point,week,NA,NA,4
West Virginia,1 wk ahead,Point,percent,NA,NA,3
West Virginia,2 wk ahead,Point,percent,NA,NA,2.6
West Virginia,3 wk ahead,Point,percent,NA,NA,2.3
West Virginia,4 wk ahead,Point,percent,NA,NA,1.9
West Virginia,Season peak percentage,Point,percent,NA,NA,4.8
West Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,Season peak week,Bin,week,40,41,1.6830060097108672e-4
West Virginia,Season peak week,Bin,week,41,42,1.6830060097108672e-4
West Virginia,Season peak week,Bin,week,42,43,1.9664373573983855e-4
West Virginia,Season peak week,Bin,week,43,44,4.4041346863984304e-4
West Virginia,Season peak week,Bin,week,44,45,9.783759965933242e-4
West Virginia,Season peak week,Bin,week,45,46,0.0020100968201186994
West Virginia,Season peak week,Bin,week,46,47,0.0038279958181266028
West Virginia,Season peak week,Bin,week,47,48,0.006776098589059337
West Virginia,Season peak week,Bin,week,48,49,0.011183345389108531
West Virginia,Season peak week,Bin,week,49,50,0.01726509753818323
West Virginia,Season peak week,Bin,week,50,51,0.025017121139046347
West Virginia,Season peak week,Bin,week,51,52,0.03413577212057884
West Virginia,Season peak week,Bin,week,52,53,0.04400321089560563
West Virginia,Season peak week,Bin,week,1,2,0.053759405480712515
West Virginia,Season peak week,Bin,week,2,3,0.062463773287476786
West Virginia,Season peak week,Bin,week,3,4,0.06930646749584239
