location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.9
Delaware,2 wk ahead,Point,percent,NA,NA,1.7
Delaware,3 wk ahead,Point,percent,NA,NA,1.4
Delaware,4 wk ahead,Point,percent,NA,NA,1.4
Delaware,Season peak percentage,Point,percent,NA,NA,3.5
Delaware,Season peak week,Point,week,NA,NA,7
Maryland,1 wk ahead,Point,percent,NA,NA,3.2
Maryland,2 wk ahead,Point,percent,NA,NA,2.9
Maryland,3 wk ahead,Point,percent,NA,NA,2.6
Maryland,4 wk ahead,Point,percent,NA,NA,2.3
Maryland,Season peak percentage,Point,percent,NA,NA,4.4
Maryland,Season peak week,Point,week,NA,NA,4
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.6
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.6
Pennsylvania,Season peak percentage,Point,percent,NA,NA,4
Pennsylvania,Season peak week,Point,week,NA,NA,5
Virginia,1 wk ahead,Point,percent,NA,NA,4.1
Virginia,2 wk ahead,Point,percent,NA,NA,3.6
Virginia,3 wk ahead,Point,percent,NA,NA,3.3
Virginia,4 wk ahead,Point,percent,NA,NA,3
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.4
West Virginia,2 wk ahead,Point,percent,NA,NA,3.1
West Virginia,3 wk ahead,Point,percent,NA,NA,2.6
West Virginia,4 wk ahead,Point,percent,NA,NA,2.1
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,0.00651566441535352
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0169064788578144
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0188904694497324
Delaware,1 wk ahead,Bin,percent,0.3,0.4,0.0244775350607818
Delaware,1 wk ahead,Bin,percent,0.4,0.5,0.023307103107132
Delaware,1 wk ahead,Bin,percent,0.5,0.6,0.019732955366672
Delaware,1 wk ahead,Bin,percent,0.6,0.7,0.0231265229311073
Delaware,1 wk ahead,Bin,percent,0.7,0.8,0.022800547512849
Delaware,1 wk ahead,Bin,percent,0.8,0.9,0.0257878827462905
Delaware,1 wk ahead,Bin,percent,0.9,1.0,0.0234065728307041
Delaware,1 wk ahead,Bin,percent,1.0,1.1,0.0277015174221804
Delaware,1 wk ahead,Bin,percent,1.1,1.2,0.0256395117552741
Delaware,1 wk ahead,Bin,percent,1.2,1.3,0.0252470479519689
