location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.9
Delaware,2 wk ahead,Point,percent,NA,NA,2
Delaware,3 wk ahead,Point,percent,NA,NA,1.5
Delaware,4 wk ahead,Point,percent,NA,NA,1.2
Delaware,Season peak percentage,Point,percent,NA,NA,3.8
Delaware,Season peak week,Point,week,NA,NA,8
Maryland,1 wk ahead,Point,percent,NA,NA,3.3
Maryland,2 wk ahead,Point,percent,NA,NA,3.5
Maryland,3 wk ahead,Point,percent,NA,NA,2.8
Maryland,4 wk ahead,Point,percent,NA,NA,2.5
Maryland,Season peak percentage,Point,percent,NA,NA,4.7
Maryland,Season peak week,Point,week,NA,NA,7
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3.2
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.7
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.5
Pennsylvania,Season peak percentage,Point,percent,NA,NA,3.4
Pennsylvania,Season peak week,Point,week,NA,NA,8
Virginia,1 wk ahead,Point,percent,NA,NA,5.4
Virginia,2 wk ahead,Point,percent,NA,NA,4.7
Virginia,3 wk ahead,Point,percent,NA,NA,3.9
Virginia,4 wk ahead,Point,percent,NA,NA,3.2
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.6
West Virginia,2 wk ahead,Point,percent,NA,NA,3.6
West Virginia,3 wk ahead,Point,percent,NA,NA,2.8
West Virginia,4 wk ahead,Point,percent,NA,NA,2.3
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,0.00134960961857356
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0114656287348403
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0150135207810012
Delaware,1 wk ahead,Bin,percent,0.3,0.4,0.0281105804199075
Delaware,1 wk ahead,Bin,percent,0.4,0.5,0.0237866770538527
Delaware,1 wk ahead,Bin,percent,0.5,0.6,0.0133574957636288
Delaware,1 wk ahead,Bin,percent,0.6,0.7,0.0211912040990843
Delaware,1 wk ahead,Bin,percent,0.7,0.8,0.0194502586812646
Delaware,1 wk ahead,Bin,percent,0.8,0.9,0.026412727063717
Delaware,1 wk ahead,Bin,percent,0.9,1.0,0.0194614209196998
Delaware,1 wk ahead,Bin,percent,1.0,1.1,0.0299248311818611
Delaware,1 wk ahead,Bin,percent,1.1,1.2,0.0238724901765596
Delaware,1 wk ahead,Bin,percent,1.2,1.3,0.0221890564129307
Delaware,1 wk ahead,Bin,percent,1.3,1.4,0.0292254977526904
Delaware,1 wk ahead,Bin,percent,1.4,1.5,0.0345392839047232
Delaware,1 wk ahead,Bin,percent,1.5,1.6,0.0459583637984781
Delaware,1 wk ahead,Bin,percent,1.6,1.7,0.0443358849252419
Delaware,1 wk ahead,Bin,percent,1.7,1.8,0.0427175425009486
Delaware,1 wk ahead,Bin,percent,1.8,1.9,0.0445769035485941
Delaware,1 wk ahead,Bin,percent,1.9,2.0,0.041205564051585
Delaware,1 wk ahead,Bin,percent,2.0,2.1,0.0317259994715431
Delaware,1 wk ahead,Bin,percent,2.1,2.2,0.0309230094899927
Delaware,1 wk ahead,Bin,percent,2.2,2.3,0.0222585338015192
Delaware,1 wk ahead,Bin,percent,2.3,2.4,0.02399997761485
Delaware,1 wk ahead,Bin,percent,2.4,2.5,0.0187421833127674
Delaware,1 wk ahead,Bin,percent,2.5,2.6,0.0134447681940228
Delaware,1 wk ahead,Bin,percent,2.6,2.7,0.00984872173583296
Delaware,1 wk ahead,Bin,percent,2.7,2.8,0.0192680791673477
Delaware,1 wk ahead,Bin,percent,2.8,2.9,0.0121237033363966
Delaware,1 wk ahead,Bin,percent,2.9,3.0,0.0153947335347179
Delaware,1 wk ahead,Bin,percent,3.0,3.1,0.0142963440808609
Delaware,1 wk ahead,Bin,percent,3.1,3.2,0.0175371276487958
Delaware,1 wk ahead,Bin,percent,3.2,3.3,0.00424227773095641
Delaware,1 wk ahead,Bin,percent,3.3,3.4,0.00226249142493181
Delaware,1 wk ahead,Bin,percent,3.4,3.5,0.013344609005007
Delaware,1 wk ahead,Bin,percent,3.5,3.6,0.00617042728756399
Delaware,1 wk ahead,Bin,percent,3.6,3.7,0.0155483568634791
