location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.8
Delaware,2 wk ahead,Point,percent,NA,NA,2
Delaware,3 wk ahead,Point,percent,NA,NA,1.4
Delaware,4 wk ahead,Point,percent,NA,NA,1.1
Delaware,Season peak percentage,Point,percent,NA,NA,4
Delaware,Season peak week,Point,week,NA,NA,8
Maryland,1 wk ahead,Point,percent,NA,NA,3.3
Maryland,2 wk ahead,Point,percent,NA,NA,3.5
Maryland,3 wk ahead,Point,percent,NA,NA,2.8
Maryland,4 wk ahead,Point,percent,NA,NA,2.5
Maryland,Season peak percentage,Point,percent,NA,NA,4.7
Maryland,Season peak week,Point,week,NA,NA,7
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3.2
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.7
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.6
Pennsylvania,Season peak percentage,Point,percent,NA,NA,3.4
Pennsylvania,Season peak week,Point,week,NA,NA,8
Virginia,1 wk ahead,Point,percent,NA,NA,5.4
Virginia,2 wk ahead,Point,percent,NA,NA,4.5
Virginia,3 wk ahead,Point,percent,NA,NA,3.6
Virginia,4 wk ahead,Point,percent,NA,NA,3.1
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.7
West Virginia,2 wk ahead,Point,percent,NA,NA,3.6
West Virginia,3 wk ahead,Point,percent,NA,NA,2.7
West Virginia,4 wk ahead,Point,percent,NA,NA,2.2
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,4.52364416475237e-10
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0100300907475167
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0140421267178084
