location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.9
Delaware,2 wk ahead,Point,percent,NA,NA,1.9
Delaware,3 wk ahead,Point,percent,NA,NA,1.5
Delaware,4 wk ahead,Point,percent,NA,NA,1.4
Delaware,Season peak percentage,Point,percent,NA,NA,4
Delaware,Season peak week,Point,week,NA,NA,8
Maryland,1 wk ahead,Point,percent,NA,NA,3.3
Maryland,2 wk ahead,Point,percent,NA,NA,3.6
Maryland,3 wk ahead,Point,percent,NA,NA,2.9
Maryland,4 wk ahead,Point,percent,NA,NA,2.5
Maryland,Season peak percentage,Point,percent,NA,NA,4.7
Maryland,Season peak week,Point,week,NA,NA,7
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3.2
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.7
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.5
Pennsylvania,Season peak percentage,Point,percent,NA,NA,3.4
Pennsylvania,Season peak week,Point,week,NA,NA,8
Virginia,1 wk ahead,Point,percent,NA,NA,5.4
Virginia,2 wk ahead,Point,percent,NA,NA,4.6
Virginia,3 wk ahead,Point,percent,NA,NA,3.8
Virginia,4 wk ahead,Point,percent,NA,NA,3.2
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.6
West Virginia,2 wk ahead,Point,percent,NA,NA,3.6
West Virginia,3 wk ahead,Point,percent,NA,NA,2.8
West Virginia,4 wk ahead,Point,percent,NA,NA,2.3
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,0.00329475612783482
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0135346231832518
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0164135538171614
Delaware,1 wk ahead,Bin,percent,0.3,0.4,0.026702919593653
Delaware,1 wk ahead,Bin,percent,0.4,0.5,0.0233751202568096
Delaware,1 wk ahead,Bin,percent,0.5,0.6,0.0152619273556926
Delaware,1 wk ahead,Bin,percent,0.6,0.7,0.0213756640371478
Delaware,1 wk ahead,Bin,percent,0.7,0.8,0.0200167468819925
Delaware,1 wk ahead,Bin,percent,0.8,0.9,0.025449159075082
Delaware,1 wk ahead,Bin,percent,0.9,1.0,0.0200439804268957
Delaware,1 wk ahead,Bin,percent,1.0,1.1,0.028240718804471
Delaware,1 wk ahead,Bin,percent,1.1,1.2,0.0235845557762269
Delaware,1 wk ahead,Bin,percent,1.2,1.3,0.0223660501217049
Delaware,1 wk ahead,Bin,percent,1.3,1.4,0.0279790618137842
Delaware,1 wk ahead,Bin,percent,1.4,1.5,0.0322778207712231
Delaware,1 wk ahead,Bin,percent,1.5,1.6,0.0413620143256129
Delaware,1 wk ahead,Bin,percent,1.6,1.7,0.0402923263239373
Delaware,1 wk ahead,Bin,percent,1.7,1.8,0.0392327384057211
Delaware,1 wk ahead,Bin,percent,1.8,1.9,0.0408807431002057
Delaware,1 wk ahead,Bin,percent,1.9,2.0,0.0384328292774257
Delaware,1 wk ahead,Bin,percent,2.0,2.1,0.0311923275267783
Delaware,1 wk ahead,Bin,percent,2.1,2.2,0.0306776318953562
Delaware,1 wk ahead,Bin,percent,2.2,2.3,0.0239813756614251
Delaware,1 wk ahead,Bin,percent,2.3,2.4,0.0253415114162107
Delaware,1 wk ahead,Bin,percent,2.4,2.5,0.0211794594284338
Delaware,1 wk ahead,Bin,percent,2.5,2.6,0.0169206804453843
Delaware,1 wk ahead,Bin,percent,2.6,2.7,0.0139241887160735
Delaware,1 wk ahead,Bin,percent,2.7,2.8,0.0210177276236112
Delaware,1 wk ahead,Bin,percent,2.8,2.9,0.0151412236780628
Delaware,1 wk ahead,Bin,percent,2.9,3.0,0.0173442702457681
Delaware,1 wk ahead,Bin,percent,3.0,3.1,0.0161084094449843
Delaware,1 wk ahead,Bin,percent,3.1,3.2,0.0182376126720296
Delaware,1 wk ahead,Bin,percent,3.2,3.3,0.00746537304566758
Delaware,1 wk ahead,Bin,percent,3.3,3.4,0.0055233865081647
Delaware,1 wk ahead,Bin,percent,3.4,3.5,0.0137849511080849
Delaware,1 wk ahead,Bin,percent,3.5,3.6,0.00783567480148147
Delaware,1 wk ahead,Bin,percent,3.6,3.7,0.0148280667839632
Delaware,1 wk ahead,Bin,percent,3.7,3.8,0.00762674318251924
Delaware,1 wk ahead,Bin,percent,3.8,3.9,0.00727007716681787
Delaware,1 wk ahead,Bin,percent,3.9,4.0,0.00290096185692127
Delaware,1 wk ahead,Bin,percent,4.0,4.1,0.00673001839695478
Delaware,1 wk ahead,Bin,percent,4.1,4.2,0.00382328248560072
Delaware,1 wk ahead,Bin,percent,4.2,4.3,0.00977984400428692
Delaware,1 wk ahead,Bin,percent,4.3,4.4,0.00559145788931829
