location,target,type,unit,bin_start_incl,bin_end_notincl,value
Virginia,1 wk ahead,Point,percent,NA,NA,5.3
Virginia,2 wk ahead,Point,percent,NA,NA,4.6
Virginia,3 wk ahead,Point,percent,NA,NA,3.8
Virginia,4 wk ahead,Point,percent,NA,NA,3.2
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
Virginia,1 wk ahead,Bin,percent,0.0,0.1,2.938224277931e-05
Virginia,1 wk ahead,Bin,percent,0.1,0.2,7.20451602770984e-05
Virginia,1 wk ahead,Bin,percent,0.2,0.3,9.3224772354104e-05
Virginia,1 wk ahead,Bin,percent,0.3,0.4,0.000119068094777263
Virginia,1 wk ahead,Bin,percent,0.4,0.5,0.000150157249958449
Virginia,1 wk ahead,Bin,percent,0.5,0.6,0.000187008237067063
Virginia,1 wk ahead,Bin,percent,0.6,0.7,0.000230069549322322
Virginia,1 wk ahead,Bin,percent,0.7,0.8,0.000279676568465859
Virginia,1 wk ahead,Bin,percent,0.8,0.9,0.000336053948876296
Virginia,1 wk ahead,Bin,percent,0.9,1.0,0.000399243169796736
Virginia,1 wk ahead,Bin,percent,1.0,1.1,0.000469103135457054
Virginia,1 wk ahead,Bin,percent,1.1,1.2,0.000545310182054959
Virginia,1 wk ahead,Bin,percent,1.2,1.3,0.000627339358347695
Virginia,1 wk ahead,Bin,percent,1.3,1.4,0.000714445838480277
Virginia,1 wk ahead,Bin,percent,1.4,1.5,0.000805713232164562
Virginia,1 wk ahead,Bin,percent,1.5,1.6,0.00090000829295624
Virginia,1 wk ahead,Bin,percent,1.6,1.7,0.00569934157228563
Virginia,1 wk ahead,Bin,percent,1.7,1.8,0.00109228430843684
Virginia,1 wk ahead,Bin,percent,1.8,1.9,0.00118718770358187
Virginia,1 wk ahead,Bin,percent,1.9,2.0,0.00504166068736844
Virginia,1 wk ahead,Bin,percent,2.0,2.1,0.00136589150553969
Virginia,1 wk ahead,Bin,percent,2.1,2.2,0.0014459769819764
Virginia,1 wk ahead,Bin,percent,2.2,2.3,0.00716139318957063
Virginia,1 wk ahead,Bin,percent,2.3,2.4,0.00157836058528657
Virginia,1 wk ahead,Bin,percent,2.4,2.5,0.00162714015077082
Virginia,1 wk ahead,Bin,percent,2.5,2.6,0.0195349056202901
Virginia,1 wk ahead,Bin,percent,2.6,2.7,0.00168252348851115
Virginia,1 wk ahead,Bin,percent,2.7,2.8,0.00356840094470529
Virginia,1 wk ahead,Bin,percent,2.8,2.9,0.0044975843373042
Virginia,1 wk ahead,Bin,percent,2.9,3.0,0.0025888597901869
Virginia,1 wk ahead,Bin,percent,3.0,3.1,0.0110121985557793
Virginia,1 wk ahead,Bin,percent,3.1,3.2,0.00625223627515703
Virginia,1 wk ahead,Bin,percent,3.2,3.3,0.00618334965400381
Virginia,1 wk ahead,Bin,percent,3.3,3.4,0.0089265193500954
Virginia,1 wk ahead,Bin,percent,3.4,3.5,0.0126030772040298
Virginia,1 wk ahead,Bin,percent,3.5,3.6,0.00122466016446367
Virginia,1 wk ahead,Bin,percent,3.6,3.7,0.0124208979919524
Virginia,1 wk ahead,Bin,percent,3.7,3.8,0.0226782522563493
Virginia,1 wk ahead,Bin,percent,3.8,3.9,0.0160083222975445
Virginia,1 wk ahead,Bin,percent,3.9,4.0,0.0338028956681069
Virginia,1 wk ahead,Bin,percent,4.0,4.1,0.0196242364360044
Virginia,1 wk ahead,Bin,percent,4.1,4.2,0.019566476990289
Virginia,1 wk ahead,Bin,percent,4.2,4.3,0.0289272803365108
Virginia,1 wk ahead,Bin,percent,4.3,4.4,0.018546478943191
Virginia,1 wk ahead,Bin,percent,4.4,4.5,0.0166437025376803
Virginia,1 wk ahead,Bin,percent,4.5,4.6,0.016633462592657
Virginia,1 wk ahead,Bin,percent,4.6,4.7,0.0298024055591336
Virginia,1 wk ahead,Bin,percent,4.7,4.8,0.0222848887591524
Virginia,1 wk ahead,Bin,percent,4.8,4.9,0.0185361790791479
Virginia,1 wk ahead,Bin,percent,4.9,5.0,0.0354860587175744
Virginia,1 wk ahead,Bin,percent,5.0,5.1,0.0185737322729881
Virginia,1 wk ahead,Bin,percent,5.1,5.2,0.0214148995074476
Virginia,1 wk ahead,Bin,percent,5.2,5.3,0.0157876266639812
Virginia,1 wk ahead,Bin,percent,5.3,5.4,0.0308507624845952
Virginia,1 wk ahead,Bin,percent,5.4,5.5,0.0223916488632792
Virginia,1 wk ahead,Bin,percent,5.5,5.6,0.0101631303985987
Virginia,1 wk ahead,Bin,percent,5.6,5.7,0.0148591845472935
Virginia,1 wk ahead,Bin,percent,5.7,5.8,0.0223695721570837
Virginia,1 wk ahead,Bin,percent,5.8,5.9,0.0110591091926283
Virginia,1 wk ahead,Bin,percent,5.9,6.0,0.00632618611500204
Virginia,1 wk ahead,Bin,percent,6.0,6.1,0.0138155369855723
Virginia,1 wk ahead,Bin,percent,6.1,6.2,0.0231808324728882
Virginia,1 wk ahead,Bin,percent,6.2,6.3,0.0127879930954691
Virginia,1 wk ahead,Bin,percent,6.3,6.4,0.0136802109286423
Virginia,1 wk ahead,Bin,percent,6.4,6.5,0.0117488240703096
Virginia,1 wk ahead,Bin,percent,6.5,6.6,0.025808388737337
Virginia,1 wk ahead,Bin,percent,6.6,6.7,0.0191741791896587
Virginia,1 wk ahead,Bin,percent,6.7,6.8,0.0125418537592073
Virginia,1 wk ahead,Bin,percent,6.8,6.9,0.00591227125170828
Virginia,1 wk ahead,Bin,percent,6.9,7.0,0.00587074265993065
Virginia,1 wk ahead,Bin,percent,7.0,7.1,0.0161803862877133
Virginia,1 wk ahead,Bin,percent,7.1,7.2,0.00674020598794226
Virginia,1 wk ahead,Bin,percent,7.2,7.3,0.00577022008633797
Virginia,1 wk ahead,Bin,percent,7.3,7.4,0.0123296811674408
Virginia,1 wk ahead,Bin,percent,7.4,7.5,0.0076050975979121
Virginia,1 wk ahead,Bin,percent,7.5,7.6,0.00382480426329987
Virginia,1 wk ahead,Bin,percent,7.6,7.7,0.0132170855136772
Virginia,1 wk ahead,Bin,percent,7.7,7.8,0.00379897744403806
Virginia,1 wk ahead,Bin,percent,7.8,7.9,0.00379002656214135
Virginia,1 wk ahead,Bin,percent,7.9,8.0,0.00754588060685089
Virginia,1 wk ahead,Bin,percent,8.0,8.1,0.00942223667705281
Virginia,1 wk ahead,Bin,percent,8.1,8.2,0.00471550671362952
Virginia,1 wk ahead,Bin,percent,8.2,8.3,0.00283213080665427
Virginia,1 wk ahead,Bin,percent,8.3,8.4,0.00847530264660603
Virginia,1 wk ahead,Bin,percent,8.4,8.5,0.00941632328678725
Virginia,1 wk ahead,Bin,percent,8.5,8.6,0.0084771919595814
Virginia,1 wk ahead,Bin,percent,8.6,8.7,1.40025075659888e-05
Virginia,1 wk ahead,Bin,percent,8.7,8.8,0.00378084292371805
Virginia,1 wk ahead,Bin,percent,8.8,8.9,0.00284594665905291
Virginia,1 wk ahead,Bin,percent,8.9,9.0,3.15386297201524e-05
Virginia,1 wk ahead,Bin,percent,9.0,9.1,0.00380385321838277
Virginia,1 wk ahead,Bin,percent,9.1,9.2,0.00193450261643603
Virginia,1 wk ahead,Bin,percent,9.2,9.3,0.00477102924668335
Virginia,1 wk ahead,Bin,percent,9.3,9.4,0.00196629750956245
Virginia,1 wk ahead,Bin,percent,9.4,9.5,0.00386770780985256
Virginia,1 wk ahead,Bin,percent,9.5,9.6,0.00765324179534116
Virginia,1 wk ahead,Bin,percent,9.6,9.7,0.000153434554908273
Virginia,1 wk ahead,Bin,percent,9.7,9.8,0.00112189671343657
Virginia,1 wk ahead,Bin,percent,9.8,9.9,0.000210819066504395
Virginia,1 wk ahead,Bin,percent,9.9,10.0,0.00588549575057183
Virginia,1 wk ahead,Bin,percent,10.0,10.1,0.000272463905439241
Virginia,1 wk ahead,Bin,percent,10.1,10.2,0.00406537260452744
Virginia,1 wk ahead,Bin,percent,10.2,10.3,0.000331212956175292
Virginia,1 wk ahead,Bin,percent,10.3,10.4,0.0069415363442509
Virginia,1 wk ahead,Bin,percent,10.4,10.5,0.00884468410077518
Virginia,1 wk ahead,Bin,percent,10.5,10.6,0.000395743750982827
