location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.8
Delaware,2 wk ahead,Point,percent,NA,NA,2.1
Delaware,3 wk ahead,Point,percent,NA,NA,1.5
Delaware,4 wk ahead,Point,percent,NA,NA,1.1
Delaware,Season peak percentage,Point,percent,NA,NA,4.1
Delaware,Season peak week,Point,week,NA,NA,8
Maryland,1 wk ahead,Point,percent,NA,NA,3.3
Maryland,2 wk ahead,Point,percent,NA,NA,3.5
Maryland,3 wk ahead,Point,percent,NA,NA,2.8
Maryland,4 wk ahead,Point,percent,NA,NA,2.5
Maryland,Season peak percentage,Point,percent,NA,NA,4.7
Maryland,Season peak week,Point,week,NA,NA,7
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3.2
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.7
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.5
Pennsylvania,Season peak percentage,Point,percent,NA,NA,3.4
Pennsylvania,Season peak week,Point,week,NA,NA,8
Virginia,1 wk ahead,Point,percent,NA,NA,5.3
Virginia,2 wk ahead,Point,percent,NA,NA,4.6
Virginia,3 wk ahead,Point,percent,NA,NA,3.8
Virginia,4 wk ahead,Point,percent,NA,NA,3.2
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.6
West Virginia,2 wk ahead,Point,percent,NA,NA,3.6
West Virginia,3 wk ahead,Point,percent,NA,NA,2.8
West Virginia,4 wk ahead,Point,percent,NA,NA,2.3
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,4.46911617076546e-05
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0100768625011362
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0140765336014818
Delaware,1 wk ahead,Bin,percent,0.3,0.4,0.0290564099182014
Delaware,1 wk ahead,Bin,percent,0.4,0.5,0.0240714244868749
Delaware,1 wk ahead,Bin,percent,0.5,0.6,0.0120984708931293
Delaware,1 wk ahead,Bin,percent,0.6,0.7,0.0210878404967146
Delaware,1 wk ahead,Bin,percent,0.7,0.8,0.0190962537822561
Delaware,1 wk ahead,Bin,percent,0.8,0.9,0.0270864216207539
Delaware,1 wk ahead,Bin,percent,0.9,1.0,0.019104421160646
Delaware,1 wk ahead,Bin,percent,1.0,1.1,0.031086354121618
Delaware,1 wk ahead,Bin,percent,1.1,1.2,0.0241013554716432
