location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.8
Delaware,2 wk ahead,Point,percent,NA,NA,2.1
Delaware,3 wk ahead,Point,percent,NA,NA,1.5
Delaware,4 wk ahead,Point,percent,NA,NA,1.1
Delaware,Season peak percentage,Point,percent,NA,NA,4.1
Delaware,Season peak week,Point,week,NA,NA,8
Maryland,1 wk ahead,Point,percent,NA,NA,3.3
Maryland,2 wk ahead,Point,percent,NA,NA,3.6
Maryland,3 wk ahead,Point,percent,NA,NA,2.9
Maryland,4 wk ahead,Point,percent,NA,NA,2.5
Maryland,Season peak percentage,Point,percent,NA,NA,4.7
Maryland,Season peak week,Point,week,NA,NA,7
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3.2
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.7
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.5
Pennsylvania,Season peak percentage,Point,percent,NA,NA,3.6
Pennsylvania,Season peak week,Point,week,NA,NA,8
Virginia,1 wk ahead,Point,percent,NA,NA,5.3
Virginia,2 wk ahead,Point,percent,NA,NA,4.5
Virginia,3 wk ahead,Point,percent,NA,NA,3.8
Virginia,4 wk ahead,Point,percent,NA,NA,3.1
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.7
West Virginia,2 wk ahead,Point,percent,NA,NA,3.7
West Virginia,3 wk ahead,Point,percent,NA,NA,2.8
West Virginia,4 wk ahead,Point,percent,NA,NA,2.3
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,5.83505060665584e-10
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0100300908880865
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0140421268090343
Delaware,1 wk ahead,Bin,percent,0.3,0.4,0.0290872613696806
Delaware,1 wk ahead,Bin,percent,0.4,0.5,0.0240722165648315
Delaware,1 wk ahead,Bin,percent,0.5,0.6,0.0120361089786099
Delaware,1 wk ahead,Bin,percent,0.6,0.7,0.0210631897143762
Delaware,1 wk ahead,Bin,percent,0.7,0.8,0.0190571717998358
Delaware,1 wk ahead,Bin,percent,0.8,0.9,0.0270812435630303
Delaware,1 wk ahead,Bin,percent,0.9,1.0,0.019057171839167
Delaware,1 wk ahead,Bin,percent,1.0,1.1,0.0310932794749059
Delaware,1 wk ahead,Bin,percent,1.1,1.2,0.0240722167218039
