location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.8
Delaware,2 wk ahead,Point,percent,NA,NA,2.1
Delaware,3 wk ahead,Point,percent,NA,NA,1.5
Delaware,4 wk ahead,Point,percent,NA,NA,1.1
Delaware,Season peak percentage,Point,percent,NA,NA,4.1
Delaware,Season peak week,Point,week,NA,NA,8
Maryland,1 wk ahead,Point,percent,NA,NA,3.3
Maryland,2 wk ahead,Point,percent,NA,NA,3.6
Maryland,3 wk ahead,Point,percent,NA,NA,2.9
Maryland,4 wk ahead,Point,percent,NA,NA,2.5
Maryland,Season peak percentage,Point,percent,NA,NA,4.7
Maryland,Season peak week,Point,week,NA,NA,7
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3.2
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.7
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.4
Pennsylvania,Season peak percentage,Point,percent,NA,NA,3.5
Pennsylvania,Season peak week,Point,week,NA,NA,8
Virginia,1 wk ahead,Point,percent,NA,NA,5.3
Virginia,2 wk ahead,Point,percent,NA,NA,4.5
Virginia,3 wk ahead,Point,percent,NA,NA,3.8
Virginia,4 wk ahead,Point,percent,NA,NA,3.2
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.7
West Virginia,2 wk ahead,Point,percent,NA,NA,3.7
West Virginia,3 wk ahead,Point,percent,NA,NA,2.9
West Virginia,4 wk ahead,Point,percent,NA,NA,2.3
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,6.26098609889941e-07
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0100307562238734
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0140425770456032
Delaware,1 wk ahead,Bin,percent,0.3,0.4,0.0290868087095312
Delaware,1 wk ahead,Bin,percent,0.4,0.5,0.0240720842856245
Delaware,1 wk ahead,Bin,percent,0.5,0.6,0.0120367215470766
Delaware,1 wk ahead,Bin,percent,0.6,0.7,0.0210632491930819
Delaware,1 wk ahead,Bin,percent,0.7,0.8,0.0190573541746597
Delaware,1 wk ahead,Bin,percent,0.8,0.9,0.0270809339162346
Delaware,1 wk ahead,Bin,percent,0.9,1.0,0.019057359443498
Delaware,1 wk ahead,Bin,percent,1.0,1.1,0.0310927381523525
Delaware,1 wk ahead,Bin,percent,1.1,1.2,0.0240721244098526
