location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.8
Delaware,2 wk ahead,Point,percent,NA,NA,2.1
Delaware,3 wk ahead,Point,percent,NA,NA,1.5
Delaware,4 wk ahead,Point,percent,NA,NA,1.1
Delaware,Season peak percentage,Point,percent,NA,NA,4
Delaware,Season peak week,Point,week,NA,NA,8
Maryland,1 wk ahead,Point,percent,NA,NA,3.3
Maryland,2 wk ahead,Point,percent,NA,NA,3.5
Maryland,3 wk ahead,Point,percent,NA,NA,2.8
Maryland,4 wk ahead,Point,percent,NA,NA,2.5
Maryland,Season peak percentage,Point,percent,NA,NA,4.7
Maryland,Season peak week,Point,week,NA,NA,7
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3.2
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.7
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.4
Pennsylvania,Season peak percentage,Point,percent,NA,NA,3.4
Pennsylvania,Season peak week,Point,week,NA,NA,8
Virginia,1 wk ahead,Point,percent,NA,NA,5.3
Virginia,2 wk ahead,Point,percent,NA,NA,4.6
Virginia,3 wk ahead,Point,percent,NA,NA,3.8
Virginia,4 wk ahead,Point,percent,NA,NA,3.2
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.6
West Virginia,2 wk ahead,Point,percent,NA,NA,3.7
West Virginia,3 wk ahead,Point,percent,NA,NA,2.8
West Virginia,4 wk ahead,Point,percent,NA,NA,2.3
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,0.000347563312865669
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0103996838953015
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0142925780739216
Delaware,1 wk ahead,Bin,percent,0.3,0.4,0.0288359309042052
Delaware,1 wk ahead,Bin,percent,0.4,0.5,0.023999802177283
Delaware,1 wk ahead,Bin,percent,0.5,0.6,0.0123788094372777
Delaware,1 wk ahead,Bin,percent,0.6,0.7,0.0210987963238293
Delaware,1 wk ahead,Bin,percent,0.7,0.8,0.0191617731449418
Delaware,1 wk ahead,Bin,percent,0.8,0.9,0.026912613419413
Delaware,1 wk ahead,Bin,percent,0.9,1.0,0.0191656560219762
Delaware,1 wk ahead,Bin,percent,1.0,1.1,0.0307964782131292
Delaware,1 wk ahead,Bin,percent,1.1,1.2,0.024025404284845
