location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.9
Delaware,2 wk ahead,Point,percent,NA,NA,2
Delaware,3 wk ahead,Point,percent,NA,NA,1.5
Delaware,4 wk ahead,Point,percent,NA,NA,1.2
Delaware,Season peak percentage,Point,percent,NA,NA,3.8
Delaware,Season peak week,Point,week,NA,NA,8
Maryland,1 wk ahead,Point,percent,NA,NA,3.3
Maryland,2 wk ahead,Point,percent,NA,NA,3.4
Maryland,3 wk ahead,Point,percent,NA,NA,2.8
Maryland,4 wk ahead,Point,percent,NA,NA,2.5
Maryland,Season peak percentage,Point,percent,NA,NA,4.7
Maryland,Season peak week,Point,week,NA,NA,7
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3.2
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.7
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.4
Pennsylvania,Season peak percentage,Point,percent,NA,NA,3.4
Pennsylvania,Season peak week,Point,week,NA,NA,8
Virginia,1 wk ahead,Point,percent,NA,NA,5.4
Virginia,2 wk ahead,Point,percent,NA,NA,4.6
Virginia,3 wk ahead,Point,percent,NA,NA,3.8
Virginia,4 wk ahead,Point,percent,NA,NA,3.2
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.6
West Virginia,2 wk ahead,Point,percent,NA,NA,3.6
West Virginia,3 wk ahead,Point,percent,NA,NA,2.8
West Virginia,4 wk ahead,Point,percent,NA,NA,2.3
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,0.00159094047272324
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0117220010810124
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0151881702771864
Delaware,1 wk ahead,Bin,percent,0.3,0.4,0.027936566253127
Delaware,1 wk ahead,Bin,percent,0.4,0.5,0.0237392891347471
Delaware,1 wk ahead,Bin,percent,0.5,0.6,0.0136016640878839
Delaware,1 wk ahead,Bin,percent,0.6,0.7,0.0212227443004927
Delaware,1 wk ahead,Bin,percent,0.7,0.8,0.0195315936014762
Delaware,1 wk ahead,Bin,percent,0.8,0.9,0.0263047605237495
Delaware,1 wk ahead,Bin,percent,0.9,1.0,0.0195480560119516
Delaware,1 wk ahead,Bin,percent,1.0,1.1,0.0297293552922851
Delaware,1 wk ahead,Bin,percent,1.1,1.2,0.0238519257115867
Delaware,1 wk ahead,Bin,percent,1.2,1.3,0.0222265111419891
Delaware,1 wk ahead,Bin,percent,1.3,1.4,0.0290845020234776
Delaware,1 wk ahead,Bin,percent,1.4,1.5,0.0342702709088505
Delaware,1 wk ahead,Bin,percent,1.5,1.6,0.0453959206799271
Delaware,1 wk ahead,Bin,percent,1.6,1.7,0.0438402415970234
Delaware,1 wk ahead,Bin,percent,1.7,1.8,0.0422890547177892
Delaware,1 wk ahead,Bin,percent,1.8,1.9,0.0441190957648904
Delaware,1 wk ahead,Bin,percent,1.9,2.0,0.0408600312077306
Delaware,1 wk ahead,Bin,percent,2.0,2.1,0.0316570571334059
Delaware,1 wk ahead,Bin,percent,2.1,2.2,0.0308870830611716
Delaware,1 wk ahead,Bin,percent,2.2,2.3,0.0224656883869336
Delaware,1 wk ahead,Bin,percent,2.3,2.4,0.0241570482283665
Delaware,1 wk ahead,Bin,percent,2.4,2.5,0.0190340757810871
Delaware,1 wk ahead,Bin,percent,2.5,2.6,0.0138648077250601
Delaware,1 wk ahead,Bin,percent,2.6,2.7,0.010342549263792
Delaware,1 wk ahead,Bin,percent,2.7,2.8,0.0194707689121633
Delaware,1 wk ahead,Bin,percent,2.8,2.9,0.0124846283350303
Delaware,1 wk ahead,Bin,percent,2.9,3.0,0.0156225482356514
Delaware,1 wk ahead,Bin,percent,3.0,3.1,0.0145076611460464
Delaware,1 wk ahead,Bin,percent,3.1,3.2,0.0176105825481882
Delaware,1 wk ahead,Bin,percent,3.2,3.3,0.00463207349301772
Delaware,1 wk ahead,Bin,percent,3.3,3.4,0.00265841595785303
Delaware,1 wk ahead,Bin,percent,3.4,3.5,0.0133897222885882
Delaware,1 wk ahead,Bin,percent,3.5,3.6,0.0063701058551109
Delaware,1 wk ahead,Bin,percent,3.6,3.7,0.0154516005670923
