location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.8
Delaware,2 wk ahead,Point,percent,NA,NA,2.1
Delaware,3 wk ahead,Point,percent,NA,NA,1.6
Delaware,4 wk ahead,Point,percent,NA,NA,1.7
Delaware,Season peak percentage,Point,percent,NA,NA,3.7
Delaware,Season peak week,Point,week,NA,NA,8
Maryland,1 wk ahead,Point,percent,NA,NA,3.3
Maryland,2 wk ahead,Point,percent,NA,NA,3.6
Maryland,3 wk ahead,Point,percent,NA,NA,2.8
Maryland,4 wk ahead,Point,percent,NA,NA,2.5
Maryland,Season peak percentage,Point,percent,NA,NA,4.8
Maryland,Season peak week,Point,week,NA,NA,7
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3.2
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.6
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.4
Pennsylvania,Season peak percentage,Point,percent,NA,NA,3.4
Pennsylvania,Season peak week,Point,week,NA,NA,8
Virginia,1 wk ahead,Point,percent,NA,NA,5.4
Virginia,2 wk ahead,Point,percent,NA,NA,4.7
Virginia,3 wk ahead,Point,percent,NA,NA,3.5
Virginia,4 wk ahead,Point,percent,NA,NA,3
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.7
West Virginia,2 wk ahead,Point,percent,NA,NA,3.7
West Virginia,3 wk ahead,Point,percent,NA,NA,2.8
West Virginia,4 wk ahead,Point,percent,NA,NA,1.9
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,2.35669367791981e-10
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0100300905212199
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0140421265495446
Delaware,1 wk ahead,Bin,percent,0.3,0.4,0.0290872616153276
Delaware,1 wk ahead,Bin,percent,0.4,0.5,0.0240722166031124
Delaware,1 wk ahead,Bin,percent,0.5,0.6,0.0120361085622099
Delaware,1 wk ahead,Bin,percent,0.6,0.7,0.0210631895981841
Delaware,1 wk ahead,Bin,percent,0.7,0.8,0.0190571715922819
Delaware,1 wk ahead,Bin,percent,0.8,0.9,0.0270812436239904
Delaware,1 wk ahead,Bin,percent,0.9,1.0,0.0190571715969526
Delaware,1 wk ahead,Bin,percent,1.0,1.1,0.0310932796465706
Delaware,1 wk ahead,Bin,percent,1.1,1.2,0.0240722166275517
