location,target,type,unit,bin_start_incl,bin_end_notincl,value
Delaware,1 wk ahead,Point,percent,NA,NA,1.9
Delaware,2 wk ahead,Point,percent,NA,NA,2
Delaware,3 wk ahead,Point,percent,NA,NA,1.5
Delaware,4 wk ahead,Point,percent,NA,NA,1.1
Delaware,Season peak percentage,Point,percent,NA,NA,3.9
Delaware,Season peak week,Point,week,NA,NA,7
Maryland,1 wk ahead,Point,percent,NA,NA,3.3
Maryland,2 wk ahead,Point,percent,NA,NA,3.6
Maryland,3 wk ahead,Point,percent,NA,NA,2.9
Maryland,4 wk ahead,Point,percent,NA,NA,2.5
Maryland,Season peak percentage,Point,percent,NA,NA,4.8
Maryland,Season peak week,Point,week,NA,NA,7
Pennsylvania,1 wk ahead,Point,percent,NA,NA,2.8
Pennsylvania,2 wk ahead,Point,percent,NA,NA,3.2
Pennsylvania,3 wk ahead,Point,percent,NA,NA,2.7
Pennsylvania,4 wk ahead,Point,percent,NA,NA,2.5
Pennsylvania,Season peak percentage,Point,percent,NA,NA,3.4
Pennsylvania,Season peak week,Point,week,NA,NA,8
Virginia,1 wk ahead,Point,percent,NA,NA,5.3
Virginia,2 wk ahead,Point,percent,NA,NA,4.5
Virginia,3 wk ahead,Point,percent,NA,NA,3.8
Virginia,4 wk ahead,Point,percent,NA,NA,3.2
Virginia,Season peak percentage,Point,percent,NA,NA,6.7
Virginia,Season peak week,Point,week,NA,NA,6
West Virginia,1 wk ahead,Point,percent,NA,NA,3.6
West Virginia,2 wk ahead,Point,percent,NA,NA,3.6
West Virginia,3 wk ahead,Point,percent,NA,NA,2.8
West Virginia,4 wk ahead,Point,percent,NA,NA,2.3
West Virginia,Season peak percentage,Point,percent,NA,NA,4.7
West Virginia,Season peak week,Point,week,NA,NA,5
Delaware,1 wk ahead,Bin,percent,0.0,0.1,0.00101598624975497
Delaware,1 wk ahead,Bin,percent,0.1,0.2,0.0111107639386004
Delaware,1 wk ahead,Bin,percent,0.2,0.3,0.0147733916648221
Delaware,1 wk ahead,Bin,percent,0.3,0.4,0.0283520156190879
Delaware,1 wk ahead,Bin,percent,0.4,0.5,0.0238572604317306
Delaware,1 wk ahead,Bin,percent,0.5,0.6,0.0130308446561025
Delaware,1 wk ahead,Bin,percent,0.6,0.7,0.0211595542471484
Delaware,1 wk ahead,Bin,percent,0.7,0.8,0.0193530816048159
Delaware,1 wk ahead,Bin,percent,0.8,0.9,0.0265779780676349
Delaware,1 wk ahead,Bin,percent,0.9,1.0,0.0193614827540774
Delaware,1 wk ahead,Bin,percent,1.0,1.1,0.0302136643071281
Delaware,1 wk ahead,Bin,percent,1.1,1.2,0.0239218543579688
Delaware,1 wk ahead,Bin,percent,1.2,1.3,0.022158677606923
Delaware,1 wk ahead,Bin,percent,1.3,1.4,0.0294392622028311
Delaware,1 wk ahead,Bin,percent,1.4,1.5,0.034927144465207
Delaware,1 wk ahead,Bin,percent,1.5,1.6,0.0467466994856741
Delaware,1 wk ahead,Bin,percent,1.6,1.7,0.0450294107266425
Delaware,1 wk ahead,Bin,percent,1.7,1.8,0.0433152360941528
Delaware,1 wk ahead,Bin,percent,1.8,1.9,0.0452108524119583
Delaware,1 wk ahead,Bin,percent,1.9,2.0,0.0416811340116272
Delaware,1 wk ahead,Bin,percent,2.0,2.1,0.0318175364487818
Delaware,1 wk ahead,Bin,percent,2.1,2.2,0.0309651032641076
Delaware,1 wk ahead,Bin,percent,2.2,2.3,0.0219630483818717
Delaware,1 wk ahead,Bin,percent,2.3,2.4,0.0237698964207871
Delaware,1 wk ahead,Bin,percent,2.4,2.5,0.0183241665611272
Delaware,1 wk ahead,Bin,percent,2.5,2.6,0.0128486099254128
Delaware,1 wk ahead,Bin,percent,2.6,2.7,0.00914973118810497
Delaware,1 wk ahead,Bin,percent,2.7,2.8,0.0189680068464268
Delaware,1 wk ahead,Bin,percent,2.8,2.9,0.0116061696494445
Delaware,1 wk ahead,Bin,percent,2.9,3.0,0.0150603767659009
Delaware,1 wk ahead,Bin,percent,3.0,3.1,0.0139855650430906
Delaware,1 wk ahead,Bin,percent,3.1,3.2,0.0174170021385634
Delaware,1 wk ahead,Bin,percent,3.2,3.3,0.00368947999847313
Delaware,1 wk ahead,Bin,percent,3.3,3.4,0.00170320842994626
Delaware,1 wk ahead,Bin,percent,3.4,3.5,0.013269096636581
Delaware,1 wk ahead,Bin,percent,3.5,3.6,0.00588482066880197
Delaware,1 wk ahead,Bin,percent,3.6,3.7,0.0156719082932055
