location,target,unit,type,bin_start_incl,bin_end_notincl,value
Alabama,1 wk ahead,percent,Point,NA,NA,2.7
Alabama,2 wk ahead,percent,Point,NA,NA,2.8
Alabama,3 wk ahead,percent,Point,NA,NA,2.9
Alabama,4 wk ahead,percent,Point,NA,NA,2.6
Alabama,Season peak percentage,percent,Point,NA,NA,11.5
Alabama,Season peak week,week,Point,NA,NA,3
Alaska,1 wk ahead,percent,Point,NA,NA,0.7
Alaska,2 wk ahead,percent,Point,NA,NA,0.4
Alaska,3 wk ahead,percent,Point,NA,NA,0.4
Alaska,4 wk ahead,percent,Point,NA,NA,0.3
Alaska,Season peak percentage,percent,Point,NA,NA,4.2
Alaska,Season peak week,week,Point,NA,NA,4
Arizona,1 wk ahead,percent,Point,NA,NA,0.7
Arizona,2 wk ahead,percent,Point,NA,NA,0.7
Arizona,3 wk ahead,percent,Point,NA,NA,0.7
Arizona,4 wk ahead,percent,Point,NA,NA,0.7
Arizona,Season peak percentage,percent,Point,NA,NA,3.3
Arizona,Season peak week,week,Point,NA,NA,5
Arkansas,1 wk ahead,percent,Point,NA,NA,0.5
Arkansas,2 wk ahead,percent,Point,NA,NA,0.6
Arkansas,3 wk ahead,percent,Point,NA,NA,0.1
Arkansas,4 wk ahead,percent,Point,NA,NA,0.2
Arkansas,Season peak percentage,percent,Point,NA,NA,6.1
Arkansas,Season peak week,week,Point,NA,NA,3
California,1 wk ahead,percent,Point,NA,NA,2.1
California,2 wk ahead,percent,Point,NA,NA,2
California,3 wk ahead,percent,Point,NA,NA,2
California,4 wk ahead,percent,Point,NA,NA,1.8
California,Season peak percentage,percent,Point,NA,NA,5.3
California,Season peak week,week,Point,NA,NA,3
Colorado,1 wk ahead,percent,Point,NA,NA,0.5
Colorado,2 wk ahead,percent,Point,NA,NA,0.5
Colorado,3 wk ahead,percent,Point,NA,NA,4.1
Colorado,4 wk ahead,percent,Point,NA,NA,0.5
Colorado,Season peak percentage,percent,Point,NA,NA,2.9
Colorado,Season peak week,week,Point,NA,NA,6
Connecticut,1 wk ahead,percent,Point,NA,NA,0.5
Connecticut,2 wk ahead,percent,Point,NA,NA,0.5
Connecticut,3 wk ahead,percent,Point,NA,NA,4.8
Connecticut,4 wk ahead,percent,Point,NA,NA,0.7
Connecticut,Season peak percentage,percent,Point,NA,NA,2.9
Connecticut,Season peak week,week,Point,NA,NA,6
Delaware,1 wk ahead,percent,Point,NA,NA,6.5
Delaware,2 wk ahead,percent,Point,NA,NA,5.4
Delaware,3 wk ahead,percent,Point,NA,NA,6.4
Delaware,4 wk ahead,percent,Point,NA,NA,6.4
Delaware,Season peak percentage,percent,Point,NA,NA,3.6
Delaware,Season peak week,week,Point,NA,NA,2
Georgia,1 wk ahead,percent,Point,NA,NA,1.1
Georgia,2 wk ahead,percent,Point,NA,NA,1.2
Georgia,3 wk ahead,percent,Point,NA,NA,0.9
Georgia,4 wk ahead,percent,Point,NA,NA,0.8
Georgia,Season peak percentage,percent,Point,NA,NA,5.3
Georgia,Season peak week,week,Point,NA,NA,52
Hawaii,1 wk ahead,percent,Point,NA,NA,2.3
Hawaii,2 wk ahead,percent,Point,NA,NA,2.7
Hawaii,3 wk ahead,percent,Point,NA,NA,1.9
Hawaii,4 wk ahead,percent,Point,NA,NA,2.5
Hawaii,Season peak percentage,percent,Point,NA,NA,4.7
Hawaii,Season peak week,week,Point,NA,NA,11
Idaho,1 wk ahead,percent,Point,NA,NA,1.5
Idaho,2 wk ahead,percent,Point,NA,NA,1.9
Idaho,3 wk ahead,percent,Point,NA,NA,1.5
Idaho,4 wk ahead,percent,Point,NA,NA,1.1
Idaho,Season peak percentage,percent,Point,NA,NA,5.2
Idaho,Season peak week,week,Point,NA,NA,8
Illinois,1 wk ahead,percent,Point,NA,NA,1.4
Illinois,2 wk ahead,percent,Point,NA,NA,1.7
Illinois,3 wk ahead,percent,Point,NA,NA,1.5
Illinois,4 wk ahead,percent,Point,NA,NA,1.3
Illinois,Season peak percentage,percent,Point,NA,NA,5.1
Illinois,Season peak week,week,Point,NA,NA,3
Indiana,1 wk ahead,percent,Point,NA,NA,0.5
Indiana,2 wk ahead,percent,Point,NA,NA,0.7
Indiana,3 wk ahead,percent,Point,NA,NA,0.4
Indiana,4 wk ahead,percent,Point,NA,NA,0.5
Indiana,Season peak percentage,percent,Point,NA,NA,6.3
Indiana,Season peak week,week,Point,NA,NA,3
Iowa,1 wk ahead,percent,Point,NA,NA,0.1
Iowa,2 wk ahead,percent,Point,NA,NA,0.1
Iowa,3 wk ahead,percent,Point,NA,NA,0.1
Iowa,4 wk ahead,percent,Point,NA,NA,0.1
Iowa,Season peak percentage,percent,Point,NA,NA,3
Iowa,Season peak week,week,Point,NA,NA,53
Kansas,1 wk ahead,percent,Point,NA,NA,0.3
Kansas,2 wk ahead,percent,Point,NA,NA,0.4
Kansas,3 wk ahead,percent,Point,NA,NA,0.2
Kansas,4 wk ahead,percent,Point,NA,NA,0.2
Kansas,Season peak percentage,percent,Point,NA,NA,4
Kansas,Season peak week,week,Point,NA,NA,4
Kentucky,1 wk ahead,percent,Point,NA,NA,3.4
Kentucky,2 wk ahead,percent,Point,NA,NA,0.1
Kentucky,3 wk ahead,percent,Point,NA,NA,2.8
Kentucky,4 wk ahead,percent,Point,NA,NA,0.2
Kentucky,Season peak percentage,percent,Point,NA,NA,1.7
Kentucky,Season peak week,week,Point,NA,NA,6
Maine,1 wk ahead,percent,Point,NA,NA,0.7
Maine,2 wk ahead,percent,Point,NA,NA,0.8
Maine,3 wk ahead,percent,Point,NA,NA,0.6
Maine,4 wk ahead,percent,Point,NA,NA,0.7
Maine,Season peak percentage,percent,Point,NA,NA,2.6
Maine,Season peak week,week,Point,NA,NA,51
Maryland,1 wk ahead,percent,Point,NA,NA,1.7
Maryland,2 wk ahead,percent,Point,NA,NA,1.3
Maryland,3 wk ahead,percent,Point,NA,NA,2
Maryland,4 wk ahead,percent,Point,NA,NA,3.1
Maryland,Season peak percentage,percent,Point,NA,NA,4.6
Maryland,Season peak week,week,Point,NA,NA,2
Massachusetts,1 wk ahead,percent,Point,NA,NA,0.8
Massachusetts,2 wk ahead,percent,Point,NA,NA,0.8
Massachusetts,3 wk ahead,percent,Point,NA,NA,0.7
Massachusetts,4 wk ahead,percent,Point,NA,NA,0.7
Massachusetts,Season peak percentage,percent,Point,NA,NA,2.7
Massachusetts,Season peak week,week,Point,NA,NA,53
Michigan,1 wk ahead,percent,Point,NA,NA,0.8
Michigan,2 wk ahead,percent,Point,NA,NA,0.8
Michigan,3 wk ahead,percent,Point,NA,NA,0.9
Michigan,4 wk ahead,percent,Point,NA,NA,1
Michigan,Season peak percentage,percent,Point,NA,NA,3.2
Michigan,Season peak week,week,Point,NA,NA,6
Minnesota,1 wk ahead,percent,Point,NA,NA,0.6
Minnesota,2 wk ahead,percent,Point,NA,NA,0.6
Minnesota,3 wk ahead,percent,Point,NA,NA,0.6
Minnesota,4 wk ahead,percent,Point,NA,NA,0.7
Minnesota,Season peak percentage,percent,Point,NA,NA,3.4
Minnesota,Season peak week,week,Point,NA,NA,52
Mississippi,1 wk ahead,percent,Point,NA,NA,2.4
Mississippi,2 wk ahead,percent,Point,NA,NA,2.5
Mississippi,3 wk ahead,percent,Point,NA,NA,2.2
Mississippi,4 wk ahead,percent,Point,NA,NA,2.1
Mississippi,Season peak percentage,percent,Point,NA,NA,9.5
Mississippi,Season peak week,week,Point,NA,NA,52
Missouri,1 wk ahead,percent,Point,NA,NA,0.8
Missouri,2 wk ahead,percent,Point,NA,NA,0.6
Missouri,3 wk ahead,percent,Point,NA,NA,3
Missouri,4 wk ahead,percent,Point,NA,NA,3.1
Missouri,Season peak percentage,percent,Point,NA,NA,6.2
Missouri,Season peak week,week,Point,NA,NA,6
Montana,1 wk ahead,percent,Point,NA,NA,6
Montana,2 wk ahead,percent,Point,NA,NA,6.5
Montana,3 wk ahead,percent,Point,NA,NA,0.5
Montana,4 wk ahead,percent,Point,NA,NA,4.4
Montana,Season peak percentage,percent,Point,NA,NA,1.3
Montana,Season peak week,week,Point,NA,NA,8
Nebraska,1 wk ahead,percent,Point,NA,NA,2.4
Nebraska,2 wk ahead,percent,Point,NA,NA,1.3
Nebraska,3 wk ahead,percent,Point,NA,NA,0.3
Nebraska,4 wk ahead,percent,Point,NA,NA,0.4
Nebraska,Season peak percentage,percent,Point,NA,NA,7.6
Nebraska,Season peak week,week,Point,NA,NA,53
Nevada,1 wk ahead,percent,Point,NA,NA,1
Nevada,2 wk ahead,percent,Point,NA,NA,1.1
Nevada,3 wk ahead,percent,Point,NA,NA,0.9
Nevada,4 wk ahead,percent,Point,NA,NA,0.7
Nevada,Season peak percentage,percent,Point,NA,NA,3.6
Nevada,Season peak week,week,Point,NA,NA,5
New Hampshire,1 wk ahead,percent,Point,NA,NA,4.6
New Hampshire,2 wk ahead,percent,Point,NA,NA,4.4
New Hampshire,3 wk ahead,percent,Point,NA,NA,2.7
New Hampshire,4 wk ahead,percent,Point,NA,NA,6
New Hampshire,Season peak percentage,percent,Point,NA,NA,1.2
New Hampshire,Season peak week,week,Point,NA,NA,51
New Jersey,1 wk ahead,percent,Point,NA,NA,1.9
New Jersey,2 wk ahead,percent,Point,NA,NA,2.1
New Jersey,3 wk ahead,percent,Point,NA,NA,2
New Jersey,4 wk ahead,percent,Point,NA,NA,2
New Jersey,Season peak percentage,percent,Point,NA,NA,4.5
New Jersey,Season peak week,week,Point,NA,NA,1
New Mexico,1 wk ahead,percent,Point,NA,NA,1.7
New Mexico,2 wk ahead,percent,Point,NA,NA,1.4
New Mexico,3 wk ahead,percent,Point,NA,NA,1.5
New Mexico,4 wk ahead,percent,Point,NA,NA,1.5
New Mexico,Season peak percentage,percent,Point,NA,NA,6.5
New Mexico,Season peak week,week,Point,NA,NA,4
New York,1 wk ahead,percent,Point,NA,NA,1.4
New York,2 wk ahead,percent,Point,NA,NA,1.4
New York,3 wk ahead,percent,Point,NA,NA,1.3
New York,4 wk ahead,percent,Point,NA,NA,1.3
New York,Season peak percentage,percent,Point,NA,NA,4.5
New York,Season peak week,week,Point,NA,NA,1
North Carolina,1 wk ahead,percent,Point,NA,NA,0.7
North Carolina,2 wk ahead,percent,Point,NA,NA,0.7
North Carolina,3 wk ahead,percent,Point,NA,NA,0.6
North Carolina,4 wk ahead,percent,Point,NA,NA,0.6
