component_model_id,season,weight
Dynamic Harmonic Model,2014/2015,0.966002179485448
Historical Average,2014/2015,0.0339869414208132
Subtype Historical Average,2014/2015,1.08790937387902e-05
Dynamic Harmonic Model,2015/2016,0.901081980890863
Historical Average,2015/2016,0.0988883194360438
Subtype Historical Average,2015/2016,2.96996730926941e-05
Dynamic Harmonic Model,2016/2017,0.910409297368141
Historical Average,2016/2017,0.0895614388738136
Subtype Historical Average,2016/2017,2.92637580452217e-05
Dynamic Harmonic Model,2017/2018,0.951912966117012
Historical Average,2017/2018,0.0478455628552985
Subtype Historical Average,2017/2018,0.000241471027689612
Dynamic Harmonic Model,2018/2019,0.933138996448649
Historical Average,2018/2019,0.066831076312598
Subtype Historical Average,2018/2019,2.99272387533017e-05
