component_model_id,season,Model Week,weight
Dynamic Harmonic Model,2014/2015,40,0.988829877316093
Dynamic Harmonic Model,2014/2015,41,0.988829877316093
Dynamic Harmonic Model,2014/2015,42,0.988829877316093
Dynamic Harmonic Model,2014/2015,43,0.988829877316093
Dynamic Harmonic Model,2014/2015,44,0.988829877316093
Historical Average,2014/2015,40,0.00548325158829425
Historical Average,2014/2015,41,0.00548325158829425
Historical Average,2014/2015,42,0.00548325158829425
Historical Average,2014/2015,43,0.00548325158829425
Historical Average,2014/2015,44,0.00548325158829425
Subtype Historical Average,2014/2015,40,0.00568687109561257
Subtype Historical Average,2014/2015,41,0.00568687109561257
Subtype Historical Average,2014/2015,42,0.00568687109561257
Subtype Historical Average,2014/2015,43,0.00568687109561257
Subtype Historical Average,2014/2015,44,0.00568687109561257
Dynamic Harmonic Model,2015/2016,40,0.968836541047117
Dynamic Harmonic Model,2015/2016,41,0.968836541047117
Dynamic Harmonic Model,2015/2016,42,0.968836541047117
Dynamic Harmonic Model,2015/2016,43,0.968836541047117
Dynamic Harmonic Model,2015/2016,44,0.968836541047117
Historical Average,2015/2016,40,0.029487017349666
Historical Average,2015/2016,41,0.029487017349666
Historical Average,2015/2016,42,0.029487017349666
Historical Average,2015/2016,43,0.029487017349666
Historical Average,2015/2016,44,0.029487017349666
Subtype Historical Average,2015/2016,40,0.00167644160321652
Subtype Historical Average,2015/2016,41,0.00167644160321652
Subtype Historical Average,2015/2016,42,0.00167644160321652
Subtype Historical Average,2015/2016,43,0.00167644160321652
Subtype Historical Average,2015/2016,44,0.00167644160321652
Dynamic Harmonic Model,2016/2017,40,0.974036765427845
Dynamic Harmonic Model,2016/2017,41,0.974036765427845
Dynamic Harmonic Model,2016/2017,42,0.974036765427845
Dynamic Harmonic Model,2016/2017,43,0.974036765427845
Dynamic Harmonic Model,2016/2017,44,0.974036765427845
Historical Average,2016/2017,40,0.025029336920823
Historical Average,2016/2017,41,0.025029336920823
Historical Average,2016/2017,42,0.025029336920823
Historical Average,2016/2017,43,0.025029336920823
Historical Average,2016/2017,44,0.025029336920823
Subtype Historical Average,2016/2017,40,0.000933897651331691
Subtype Historical Average,2016/2017,41,0.000933897651331691
Subtype Historical Average,2016/2017,42,0.000933897651331691
Subtype Historical Average,2016/2017,43,0.000933897651331691
Subtype Historical Average,2016/2017,44,0.000933897651331691
Dynamic Harmonic Model,2017/2018,40,0.980911816022788
Dynamic Harmonic Model,2017/2018,41,0.980911816022788
Dynamic Harmonic Model,2017/2018,42,0.980911816022788
Dynamic Harmonic Model,2017/2018,43,0.980911816022788
Dynamic Harmonic Model,2017/2018,44,0.980911816022788
Historical Average,2017/2018,40,0.000335217021680839
Historical Average,2017/2018,41,0.000335217021680839
Historical Average,2017/2018,42,0.000335217021680839
Historical Average,2017/2018,43,0.000335217021680839
Historical Average,2017/2018,44,0.000335217021680839
Subtype Historical Average,2017/2018,40,0.0187529669555309
Subtype Historical Average,2017/2018,41,0.0187529669555309
Subtype Historical Average,2017/2018,42,0.0187529669555309
Subtype Historical Average,2017/2018,43,0.0187529669555309
Subtype Historical Average,2017/2018,44,0.0187529669555309
Dynamic Harmonic Model,2014/2015,45,0.999995029664103
Dynamic Harmonic Model,2014/2015,46,0.999995029664103
Dynamic Harmonic Model,2014/2015,47,0.999995029664103
Dynamic Harmonic Model,2014/2015,48,0.999995029664103
Historical Average,2014/2015,45,1.27855316094902e-06
Historical Average,2014/2015,46,1.27855316094902e-06
Historical Average,2014/2015,47,1.27855316094902e-06
Historical Average,2014/2015,48,1.27855316094902e-06
Subtype Historical Average,2014/2015,45,3.69178273640261e-06
Subtype Historical Average,2014/2015,46,3.69178273640261e-06
