component_model_id,season,Model Week,location,weight
Dynamic Harmonic Model,2014/2015,40,Delaware,0.999999867867106
Dynamic Harmonic Model,2014/2015,41,Delaware,0.999999867867106
Dynamic Harmonic Model,2014/2015,42,Delaware,0.999999867867106
Dynamic Harmonic Model,2014/2015,43,Delaware,0.999999867867106
Dynamic Harmonic Model,2014/2015,44,Delaware,0.999999867867106
Historical Average,2014/2015,40,Delaware,1.27124904759754e-07
Historical Average,2014/2015,41,Delaware,1.27124904759754e-07
Historical Average,2014/2015,42,Delaware,1.27124904759754e-07
Historical Average,2014/2015,43,Delaware,1.27124904759754e-07
Historical Average,2014/2015,44,Delaware,1.27124904759754e-07
Subtype Historical Average,2014/2015,40,Delaware,5.00798957231295e-09
Subtype Historical Average,2014/2015,41,Delaware,5.00798957231295e-09
Subtype Historical Average,2014/2015,42,Delaware,5.00798957231295e-09
Subtype Historical Average,2014/2015,43,Delaware,5.00798957231295e-09
Subtype Historical Average,2014/2015,44,Delaware,5.00798957231295e-09
Dynamic Harmonic Model,2015/2016,40,Delaware,0.999999688430127
Dynamic Harmonic Model,2015/2016,41,Delaware,0.999999688430127
Dynamic Harmonic Model,2015/2016,42,Delaware,0.999999688430127
Dynamic Harmonic Model,2015/2016,43,Delaware,0.999999688430127
Dynamic Harmonic Model,2015/2016,44,Delaware,0.999999688430127
Historical Average,2015/2016,40,Delaware,1.97300751499132e-07
Historical Average,2015/2016,41,Delaware,1.97300751499132e-07
Historical Average,2015/2016,42,Delaware,1.97300751499132e-07
Historical Average,2015/2016,43,Delaware,1.97300751499132e-07
Historical Average,2015/2016,44,Delaware,1.97300751499132e-07
Subtype Historical Average,2015/2016,40,Delaware,1.14269121489046e-07
Subtype Historical Average,2015/2016,41,Delaware,1.14269121489046e-07
Subtype Historical Average,2015/2016,42,Delaware,1.14269121489046e-07
Subtype Historical Average,2015/2016,43,Delaware,1.14269121489046e-07
Subtype Historical Average,2015/2016,44,Delaware,1.14269121489046e-07
Dynamic Harmonic Model,2016/2017,40,Delaware,0.9999994156077
Dynamic Harmonic Model,2016/2017,41,Delaware,0.9999994156077
Dynamic Harmonic Model,2016/2017,42,Delaware,0.9999994156077
