component_model_id,season,Model Week,target,weight
Dynamic Harmonic Model,2014/2015,40,1 wk ahead,0.994077000127621
Dynamic Harmonic Model,2014/2015,41,1 wk ahead,0.994077000127621
Dynamic Harmonic Model,2014/2015,42,1 wk ahead,0.994077000127621
Dynamic Harmonic Model,2014/2015,43,1 wk ahead,0.994077000127621
Dynamic Harmonic Model,2014/2015,44,1 wk ahead,0.994077000127621
Historical Average,2014/2015,40,1 wk ahead,0.000366529676531546
Historical Average,2014/2015,41,1 wk ahead,0.000366529676531546
Historical Average,2014/2015,42,1 wk ahead,0.000366529676531546
Historical Average,2014/2015,43,1 wk ahead,0.000366529676531546
Historical Average,2014/2015,44,1 wk ahead,0.000366529676531546
Subtype Historical Average,2014/2015,40,1 wk ahead,0.00555647019584732
Subtype Historical Average,2014/2015,41,1 wk ahead,0.00555647019584732
Subtype Historical Average,2014/2015,42,1 wk ahead,0.00555647019584732
Subtype Historical Average,2014/2015,43,1 wk ahead,0.00555647019584732
Subtype Historical Average,2014/2015,44,1 wk ahead,0.00555647019584732
Dynamic Harmonic Model,2015/2016,40,1 wk ahead,0.992655749967048
Dynamic Harmonic Model,2015/2016,41,1 wk ahead,0.992655749967048
Dynamic Harmonic Model,2015/2016,42,1 wk ahead,0.992655749967048
Dynamic Harmonic Model,2015/2016,43,1 wk ahead,0.992655749967048
Dynamic Harmonic Model,2015/2016,44,1 wk ahead,0.992655749967048
Historical Average,2015/2016,40,1 wk ahead,0.00358145352959411
Historical Average,2015/2016,41,1 wk ahead,0.00358145352959411
Historical Average,2015/2016,42,1 wk ahead,0.00358145352959411
Historical Average,2015/2016,43,1 wk ahead,0.00358145352959411
Historical Average,2015/2016,44,1 wk ahead,0.00358145352959411
Subtype Historical Average,2015/2016,40,1 wk ahead,0.00376279650335802
Subtype Historical Average,2015/2016,41,1 wk ahead,0.00376279650335802
Subtype Historical Average,2015/2016,42,1 wk ahead,0.00376279650335802
Subtype Historical Average,2015/2016,43,1 wk ahead,0.00376279650335802
Subtype Historical Average,2015/2016,44,1 wk ahead,0.00376279650335802
Dynamic Harmonic Model,2016/2017,40,1 wk ahead,0.993660828552902
Dynamic Harmonic Model,2016/2017,41,1 wk ahead,0.993660828552902
Dynamic Harmonic Model,2016/2017,42,1 wk ahead,0.993660828552902
Dynamic Harmonic Model,2016/2017,43,1 wk ahead,0.993660828552902
Dynamic Harmonic Model,2016/2017,44,1 wk ahead,0.993660828552902
Historical Average,2016/2017,40,1 wk ahead,0.00307187864601057
Historical Average,2016/2017,41,1 wk ahead,0.00307187864601057
Historical Average,2016/2017,42,1 wk ahead,0.00307187864601057
Historical Average,2016/2017,43,1 wk ahead,0.00307187864601057
Historical Average,2016/2017,44,1 wk ahead,0.00307187864601057
Subtype Historical Average,2016/2017,40,1 wk ahead,0.00326729280108736
Subtype Historical Average,2016/2017,41,1 wk ahead,0.00326729280108736
Subtype Historical Average,2016/2017,42,1 wk ahead,0.00326729280108736
Subtype Historical Average,2016/2017,43,1 wk ahead,0.00326729280108736
Subtype Historical Average,2016/2017,44,1 wk ahead,0.00326729280108736
Dynamic Harmonic Model,2017/2018,40,1 wk ahead,0.999999785482447
Dynamic Harmonic Model,2017/2018,41,1 wk ahead,0.999999785482447
Dynamic Harmonic Model,2017/2018,42,1 wk ahead,0.999999785482447
Dynamic Harmonic Model,2017/2018,43,1 wk ahead,0.999999785482447
Dynamic Harmonic Model,2017/2018,44,1 wk ahead,0.999999785482447
Historical Average,2017/2018,40,1 wk ahead,9.94878124132033e-08
Historical Average,2017/2018,41,1 wk ahead,9.94878124132033e-08
Historical Average,2017/2018,42,1 wk ahead,9.94878124132033e-08
Historical Average,2017/2018,43,1 wk ahead,9.94878124132033e-08
Historical Average,2017/2018,44,1 wk ahead,9.94878124132033e-08
Subtype Historical Average,2017/2018,40,1 wk ahead,1.15029740856114e-07
Subtype Historical Average,2017/2018,41,1 wk ahead,1.15029740856114e-07
Subtype Historical Average,2017/2018,42,1 wk ahead,1.15029740856114e-07
Subtype Historical Average,2017/2018,43,1 wk ahead,1.15029740856114e-07
Subtype Historical Average,2017/2018,44,1 wk ahead,1.15029740856114e-07
Dynamic Harmonic Model,2014/2015,45,1 wk ahead,0.999999586124867
Dynamic Harmonic Model,2014/2015,46,1 wk ahead,0.999999586124867
